y2_hhid,dist_road,dist_popcenter,dist_admarc,dist_auction,dist_boma,dist_borderpost,dist_agmrkt,popdensity,af_bio_1,af_bio_8,af_bio_12,af_bio_13,af_bio_16,fsrad3_agpct,fsrad3_lcmaj,ssa_aez09,srtm_1k,twi_mwi,srtm_mwi_5_15,sq1,sq2,sq3,sq4,sq5,sq6,sq7,anntot_avg,wetQ_avg,wetQ_avgstart,h2012_tot,h2012_wetQ,h2012_wetQstart,h2013_tot,h2013_wetQ,h2013_wetQstart,eviarea_avg,grn_avg,sen_avg,evimax_avg,h2012_eviarea,h2012_grn,h2012_sen,h2012_evimax,h2013_eviarea,h2013_grn,h2013_sen,h2013_evimax,LAT_DD_MOD,LON_DD_MOD,distY1Y2
1178-001,12,35,5,35,35,51,35,400-500,188,205,898,230,618,55,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1220,11,Mid-altitude Mountains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,839,649,17,834,576,19,829,681,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.0153,34.0639,
1178-003,1,26,8,26,26,51,26,300-400,191,209,889,220,604,24,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,1160,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,847,637,16,879,636,19,917,712,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.130777,33.96488,17.02
1179-001,17,30,0,30,30,63,30,100-200,193,212,914,212,606,28,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1210,15,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,887,647,17,805,567,20,923,732,17,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.2749,33.7597,
1180-001,12,35,5,35,35,50,35,400-500,189,206,895,230,618,39,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1200,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,839,650,17,833,576,19,828,680,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.0153,34.0639,
1181-001,18,31,2,31,31,63,31,200-300,193,212,918,212,607,41,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1220,14,High-altitude Plains,Severe Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,892,648,17,802,564,20,922,731,17,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.2749,33.7597,
1181-004,9,23,2,23,23,71,23,100-200,198,218,898,218,604,0,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,1120,13,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,870,640,17,833,593,20,910,719,17,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.178589,33.732182,9.130000000000001
1182-001,12,34,4,34,34,51,34,300-400,189,205,895,230,617,47,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1230,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,837,648,17,830,572,19,830,681,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.0153,34.0639,
1184-001,12,35,4,35,35,51,35,300-400,189,206,895,230,618,39,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1200,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,838,649,17,830,573,19,830,681,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.0153,34.0639,
1184-004,12,35,4,35,35,51,35,300-400,189,206,895,230,618,39,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1200,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,838,649,17,830,573,19,830,681,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.0153,34.0639,
1185-001,14,38,6,38,38,49,38,100-200,192,209,890,231,618,31,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1140,14,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,836,648,17,824,570,19,817,671,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.023,34.0863,
1186-001,12,35,4,35,35,51,35,300-400,189,206,895,230,618,39,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1200,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,838,649,17,830,573,19,829,681,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.0153,34.0639,
1187-001,14,38,5,38,38,49,38,100-200,192,209,890,231,618,31,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1140,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,835,648,17,824,569,19,817,671,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.023,34.0863,
1188-001,12,34,5,34,34,51,34,300-400,188,205,898,230,618,57,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1220,11,Mid-altitude Mountains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,838,648,17,833,576,19,831,681,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.0153,34.0639,
1189-001,14,38,5,38,38,49,38,100-200,192,209,890,231,618,33,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1140,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,835,647,17,823,568,19,817,672,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.023,34.0863,
1189-004,14,39,6,39,39,49,39,100-200,192,209,890,231,618,31,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1140,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,835,648,17,824,570,19,817,671,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.023,34.0863,
1190-001,12,35,5,35,35,51,35,400-500,189,206,895,230,618,45,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1200,12,Mid-altitude Mountains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,838,649,17,832,575,19,829,681,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.0153,34.0639,
1190-005,13,93,11,99,15,15,15,100-200,218,231,967,240,663,39,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1170,15,High-altitude Plains,Severe Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,892,659,16,847,603,19,760,609,16,55.43166666666667,149,240,.4544166666666667,72.41,133,255,.464,60.21,147,241,.4597,-13.665294,32.919684,133.4
1191-001,14,38,5,38,38,49,38,100-200,192,208,890,231,618,39,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1130,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,836,648,17,825,570,19,818,673,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.023,34.0863,
1192-001,13,34,4,34,34,52,34,200-300,189,205,895,230,617,45,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1230,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,835,647,17,827,568,19,832,681,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.0153,34.0639,
1193-001,1,19,1,19,19,58,19,300-400,196,214,882,221,602,22,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,1080,18,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,838,627,16,877,637,19,941,728,17,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.11965,33.919859,25.49
1194-001,12,34,5,34,34,51,34,300-400,188,205,898,230,618,57,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1220,12,Mid-altitude Mountains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,838,648,17,833,575,19,831,681,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.0153,34.0639,
1195-001,14,38,5,38,38,49,38,100-200,192,208,890,231,618,35,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1130,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,836,648,17,825,570,19,819,673,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.023,34.0863,
1196-001,12,35,4,35,35,51,35,300-400,189,206,895,230,618,39,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1200,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,838,649,17,830,572,19,829,681,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.0153,34.0639,
1197-001,14,38,5,38,38,49,38,100-200,192,209,890,231,618,33,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1140,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,835,647,17,823,568,19,817,672,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.023,34.0863,
1198-001,12,35,5,35,35,50,35,400-500,186,203,915,231,625,53,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1290,12,Mid-altitude Mountains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,839,649,17,834,577,19,829,681,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.0153,34.0639,
1198-002,10,31,7,31,31,52,31,300-400,191,208,888,228,612,41,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1170,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,836,645,17,840,585,19,843,684,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.0153,34.0639,
1198-003,10,31,7,31,31,52,31,300-400,191,208,888,228,612,41,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1170,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,836,645,17,840,585,19,843,684,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.0153,34.0639,
1199-001,13,38,6,38,38,49,38,200-300,192,209,890,231,618,22,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1140,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,837,648,17,827,573,19,818,672,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.023,34.0863,
1200-001,12,35,5,35,35,50,35,400-500,189,206,895,230,618,39,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1200,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,839,650,17,833,575,19,828,680,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.0153,34.0639,
1201-001,14,39,6,39,39,49,39,100-200,192,209,890,231,618,26,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1140,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,835,648,17,824,570,19,816,671,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.023,34.0863,
1202-001,12,35,5,35,35,51,35,400-500,189,206,895,230,618,39,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1200,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,838,649,17,832,574,19,829,681,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.0153,34.0639,
1203-001,13,38,6,38,38,49,38,200-300,192,209,890,231,619,22,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1140,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,837,648,17,827,573,19,818,672,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.023,34.0863,
1204-001,12,35,4,35,35,51,35,300-400,189,206,895,230,618,39,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1200,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,838,649,17,830,572,19,829,681,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.0153,34.0639,
1205-001,13,38,6,38,38,49,38,200-300,192,209,889,231,618,22,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1140,12,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,837,648,17,828,573,19,818,672,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.023,34.0863,
1206-001,12,35,4,35,35,51,35,300-400,188,205,898,230,618,39,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1220,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,837,649,17,830,572,19,830,681,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.0153,34.0639,
1207-001,13,38,6,38,38,49,38,200-300,192,209,890,231,619,22,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1140,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,837,648,17,827,573,19,818,672,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.023,34.0863,
1209-001,13,38,6,38,38,49,38,200-300,192,208,890,231,618,31,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1130,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,837,648,17,827,572,19,818,672,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.023,34.0863,
1209-004,9,37,9,37,37,46,37,400-500,190,207,894,228,616,20,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-cool/semiarid,1170,20,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,845,653,17,851,597,19,822,677,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.023,34.0863,
1210-001,0,14,11,14,14,81,14,300-400,198,215,853,229,591,20,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1130,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,803,628,16,815,537,18,883,694,17,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-13.8674,33.8281,
1210-003,0,14,11,14,14,81,14,200-300,198,215,853,229,591,20,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1130,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,803,628,16,815,537,18,883,694,17,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-13.8674,33.8281,
1210-004,0,13,12,13,13,81,13,300-400,199,216,853,229,591,16,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,1100,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,804,628,16,815,538,18,882,693,17,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-13.8674,33.8281,
1210-005,9,23,2,23,23,71,23,100-200,198,218,898,218,604,0,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,1120,13,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,870,640,17,833,593,20,910,719,17,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.222226,33.741825,36.82
1211-001,14,39,6,39,39,49,39,100-200,192,209,890,231,618,24,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1140,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,836,648,17,825,570,19,817,671,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.023,34.0863,
1212-001,1,13,11,13,13,80,13,300-400,200,217,851,228,592,18,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,1100,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,805,629,16,816,541,18,879,692,17,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-13.8674,33.8281,
1213-001,14,39,6,39,39,49,39,100-200,192,209,890,231,618,26,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1140,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,835,648,17,824,570,19,816,671,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.023,34.0863,
1213-003,5,33,8,122,15,21,15,100-200,205,219,980,251,681,20,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,1090,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Severe Constraint,808,618,16,790,519,19,831,710,16,67.30333333333334,149,237,.5268166666666666,82.52,124,256,.5187,67.56999999999999,149,236,.5215000000000001,-14.757932,34.764956,107.05
1214-001,0,14,11,14,14,81,14,200-300,197,214,855,230,590,20,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1140,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,803,628,16,815,536,18,884,694,17,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-13.8674,33.8281,
1214-003,0,14,11,14,14,81,14,300-400,198,215,853,229,591,20,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1130,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,803,628,16,815,537,18,883,694,17,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-13.8674,33.8281,
1215-001,14,38,5,38,38,49,38,100-200,192,209,890,231,618,33,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1140,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,835,647,17,823,568,19,817,672,16,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-14.023,34.0863,
1216-001,0,13,12,13,13,81,13,300-400,199,216,853,229,591,16,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,1100,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,804,628,16,816,539,18,881,692,17,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-13.8674,33.8281,
1217-001,0,18,9,18,18,82,18,200-300,194,210,863,232,587,28,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1200,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,800,628,16,813,530,17,890,697,17,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-13.7993,33.8589,
1217-003,0,38,5,38,5,97,5,100-200,186,201,912,245,637,26,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-cool/semiarid,1420,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,802,636,16,794,524,17,863,668,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.660888,33.857543,21.02
1218-001,0,15,11,15,15,82,15,200-300,197,213,856,230,588,26,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1150,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,801,628,16,814,532,18,887,695,17,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-13.8674,33.8281,
1218-002,0,11,10,11,11,80,11,1000-2000,200,217,856,227,593,12,Artificial surfaces and associated areas(Urban areas>50%),Tropic-warm/semiarid,1110,14,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,807,629,17,819,549,19,872,688,17,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-13.8674,33.8281,
1218-003,0,14,12,14,14,81,14,300-400,198,215,853,229,591,20,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1130,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,804,628,16,815,538,18,882,693,17,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-13.8674,33.8281,
1219-001,0,18,9,18,18,82,18,200-300,193,208,870,233,591,35,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/semiarid,1230,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,801,629,16,813,530,17,889,696,17,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-13.7993,33.8589,
1220-001,0,14,11,14,14,81,14,200-300,197,214,855,230,590,20,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,1140,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,803,628,16,815,536,18,884,694,17,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-13.8674,33.8281,
