HHID,case_id,visit,ea_id,fs_j00,fs_j01,fs_j01_os,fs_j02a,fs_j02b,fs_j02b_os,fs_j02c,fs_j02c_os,fs_j02d,fs_j02e,fs_j02f,fs_j02g,fs_j02g_os,fs_j02h,fs_j03a,fs_j03b,fs_j03b_os,fs_j03c,fs_j03c_os,fs_j03d,fs_j03e,fs_j03f,fs_j03g,fs_j03g_os,fs_j03h
2623,308016720066,1,30801672,1,Mlamba,,4,Dozen,,Sun-dried,,9000,,,,,,4,Dozen,,Sun-dried,,18000,,,,,
2777,310021690162,1,31002169,1,Chambo,,200,Piece,,Sun-dried,,3000,,,,,,200,Piece,,Sun-dried,,4000,,,,,
2823,311087030266,1,31108703,1,Chambo,,300,Piece,,Fresh,,3000,,,,,,300,Piece,,Fresh,,6000,,,,,
2827,311087030320,1,31108703,1,Mlamba,,100,Piece,,Smoked,,3000,,,,,,35,Piece,,Smoked,,1750,,,,,
2827,311087030320,1,31108703,1,Chambo,,300,Piece,,Smoked,,1300,,,,,,300,Piece,,Smoked,,3000,,,,,
2835,311087030327,1,31108703,1,Mlamba,,50,Piece,,Sun-dried,,500,,,,,,50,Piece,,Sun-dried,,3000,,,,,
2835,311087030327,1,31108703,1,Chambo,,300,Piece,,Sun-dried,,1000,,,,,,300,Piece,,Sun-dried,,4500,,,,,
2833,311087030374,1,31108703,,,,,,,,,,,,,,,,,,,,,,,,,
2891,312046180102,1,31204618,,,,,,,,,,,,,,,,,,,,,,,,,
2868,314325230046,2,31432523,,,,,,,,,,,,,,,,,,,,,,,,,
2940,314386900029,2,31438690,,,,,,,,,,,,,,,,,,,,,,,,,
2958,314391020044,2,31439102,,,,,,,,,,,,,,,,,,,,,,,,,
2978,314391020125,2,31439102,1,Chambo,,1,Large basket,,Fresh,,16000,,,,,,1,Large basket,,Fresh,,10000,,,,,
2984,314423940024,2,31442394,,,,,,,,,,,,,,,,,,,,,,,,,
