HHID,case_id,visit,ea_id,fs_h0a,fs_h0a_os,fs_h01,fs_h02,fs_h03,fs_h04,fs_h05,fs_h06
501,105033670018,1,10503367,,,,,,,,
633,107321920281,1,10732192,usipa(mosquito)net,,No,,,,,
633,107321920281,1,10732192,kambuzi(beach)seine,,No,,,,,
633,107321920281,1,10732192,mbedza(long /hand line),,No,,,,,
633,107321920281,1,10732192,mbuka/ntaya/ukonde (gillnet),,No,,,,,
633,107321920281,1,10732192,mono(fish traps),,No,,,,,
633,107321920281,1,10732192,chavi (castnet),,No,,,,,
633,107321920281,1,10732192,"other, specify",,No,,,,,
633,107321920281,1,10732192,"other, specify",,No,,,,,
764,107462440085,2,10746244,usipa(mosquito)net,,No,,,,,
764,107462440085,2,10746244,kambuzi(beach)seine,,No,,,,,
764,107462440085,2,10746244,mbedza(long /hand line),,No,,,,,
764,107462440085,2,10746244,mbuka/ntaya/ukonde (gillnet),,No,,,,,
764,107462440085,2,10746244,mono(fish traps),,No,,,,,
764,107462440085,2,10746244,chavi (castnet),,No,,,,,
764,107462440085,2,10746244,"other, specify",,No,,,,,
764,107462440085,2,10746244,"other, specify",,No,,,,,
793,201106200267,1,20110620,usipa(mosquito)net,,No,,,,,
793,201106200267,1,20110620,kambuzi(beach)seine,,No,,,,,
793,201106200267,1,20110620,mbedza(long /hand line),,No,,,,,
793,201106200267,1,20110620,mbuka/ntaya/ukonde (gillnet),,No,,,,,
793,201106200267,1,20110620,mono(fish traps),,No,,,,,
793,201106200267,1,20110620,chavi (castnet),,No,,,,,
793,201106200267,1,20110620,"other, specify",,No,,,,,
793,201106200267,1,20110620,"other, specify",,No,,,,,
973,204040320072,1,20404032,,,,,,,,
1107,205083490010,1,20508349,,,,,,,,
1091,205083490121,1,20508349,usipa(mosquito)net,,No,,,,,
1091,205083490121,1,20508349,kambuzi(beach)seine,,No,,,,,
1091,205083490121,1,20508349,mbedza(long /hand line),,No,,,,,
1091,205083490121,1,20508349,mbuka/ntaya/ukonde (gillnet),,No,,,,,
1091,205083490121,1,20508349,mono(fish traps),,No,,,,,
1091,205083490121,1,20508349,chavi (castnet),,No,,,,,
1091,205083490121,1,20508349,"other, specify",,No,,,,,
1091,205083490121,1,20508349,"other, specify",,No,,,,,
1381,207053720086,1,20705372,usipa(mosquito)net,,No,,,,,
1381,207053720086,1,20705372,kambuzi(beach)seine,,No,,,,,
1381,207053720086,1,20705372,mbedza(long /hand line),,No,,,,,
1381,207053720086,1,20705372,mbuka/ntaya/ukonde (gillnet),,No,,,,,
1381,207053720086,1,20705372,mono(fish traps),,No,,,,,
1381,207053720086,1,20705372,chavi (castnet),,No,,,,,
1381,207053720086,1,20705372,"other, specify",,No,,,,,
1381,207053720086,1,20705372,"other, specify",,No,,,,,
1429,207061630586,1,20706163,usipa(mosquito)net,,No,,,,,
1429,207061630586,1,20706163,kambuzi(beach)seine,,No,,,,,
1429,207061630586,1,20706163,mbedza(long /hand line),,No,,,,,
1429,207061630586,1,20706163,mbuka/ntaya/ukonde (gillnet),,No,,,,,
1429,207061630586,1,20706163,mono(fish traps),,No,,,,,
1429,207061630586,1,20706163,chavi (castnet),,No,,,,,
1429,207061630586,1,20706163,"other, specify",,No,,,,,
1429,207061630586,1,20706163,"other, specify",,No,,,,,
1461,208044050092,1,20804405,,,,,,,,
1637,210375360135,1,21037536,usipa(mosquito)net,,,,,,,
1637,210375360135,1,21037536,kambuzi(beach)seine,,,,,,,
1637,210375360135,1,21037536,mbedza(long /hand line),,,,,,,
1637,210375360135,1,21037536,mbuka/ntaya/ukonde (gillnet),,,,,,,
1637,210375360135,1,21037536,mono(fish traps),,,,,,,
1637,210375360135,1,21037536,chavi (castnet),,,,,,,
1637,210375360135,1,21037536,"other, specify",,,,,,,
1637,210375360135,1,21037536,"other, specify",,,,,,,
1951,301012800005,1,30101280,,,,,,,,
1923,301012800063,1,30101280,,,,,,,,
1935,301012800066,1,30101280,,,,,,,,
1943,301012800128,1,30101280,usipa(mosquito)net,,Yes,1,1,2000,0,0
1943,301012800128,1,30101280,kambuzi(beach)seine,,No,,,,,
1943,301012800128,1,30101280,mbedza(long /hand line),,No,,,,,
1943,301012800128,1,30101280,mbuka/ntaya/ukonde (gillnet),,No,,,,,
1943,301012800128,1,30101280,mono(fish traps),,No,,,,,
1943,301012800128,1,30101280,chavi (castnet),,No,,,,,
1943,301012800128,1,30101280,"other, specify",,No,,,,,
1943,301012800128,1,30101280,"other, specify",,No,,,,,
1939,301012800172,1,30101280,usipa(mosquito)net,,Yes,1,1,2000,0,0
1939,301012800172,1,30101280,kambuzi(beach)seine,,Yes,1,1,5000,0,0
1939,301012800172,1,30101280,mbedza(long /hand line),,No,,,,,
1939,301012800172,1,30101280,mbuka/ntaya/ukonde (gillnet),,No,,,,,
1939,301012800172,1,30101280,mono(fish traps),,No,,,,,
1939,301012800172,1,30101280,chavi (castnet),,No,,,,,
1939,301012800172,1,30101280,"other, specify",,No,,,,,
1939,301012800172,1,30101280,"other, specify",,No,,,,,
1979,301020280258,1,30102028,usipa(mosquito)net,,No,,,,,
1979,301020280258,1,30102028,kambuzi(beach)seine,,No,,,,,
1979,301020280258,1,30102028,mbedza(long /hand line),,No,,,,,
1979,301020280258,1,30102028,mbuka/ntaya/ukonde (gillnet),,No,,,,,
1979,301020280258,1,30102028,mono(fish traps),,No,,,,,
1979,301020280258,1,30102028,chavi (castnet),,No,,,,,
1979,301020280258,1,30102028,"other, specify",,No,,,,,
1979,301020280258,1,30102028,"other, specify",,No,,,,,
2053,301084010268,1,30108401,,,,,,,,
2189,303026010171,1,30302601,usipa(mosquito)net,,No,,,,,
2189,303026010171,1,30302601,kambuzi(beach)seine,,No,,,,,
2189,303026010171,1,30302601,mbedza(long /hand line),,No,,,,,
2189,303026010171,1,30302601,mbuka/ntaya/ukonde (gillnet),,No,,,,,
2189,303026010171,1,30302601,mono(fish traps),,No,,,,,
2189,303026010171,1,30302601,chavi (castnet),,No,,,,,
2189,303026010171,1,30302601,"other, specify",,No,,,,,
2189,303026010171,1,30302601,"other, specify",,No,,,,,
2223,303052770138,1,30305277,,,,,,,,
2257,303055800113,1,30305580,,,,,,,,
2278,303076780046,2,30307678,usipa(mosquito)net,,No,,,,,
2278,303076780046,2,30307678,kambuzi(beach)seine,,No,,,,,
2278,303076780046,2,30307678,mbedza(long /hand line),,No,,,,,
2278,303076780046,2,30307678,mbuka/ntaya/ukonde (gillnet),,No,,,,,
2278,303076780046,2,30307678,mono(fish traps),,No,,,,,
2278,303076780046,2,30307678,chavi (castnet),,No,,,,,
2278,303076780046,2,30307678,"other, specify",,No,,,,,
2278,303076780046,2,30307678,"other, specify",,No,,,,,
2355,304067100177,1,30406710,usipa(mosquito)net,,No,,,,,
2355,304067100177,1,30406710,kambuzi(beach)seine,,No,,,,,
2355,304067100177,1,30406710,mbedza(long /hand line),,No,,,,,
2355,304067100177,1,30406710,mbuka/ntaya/ukonde (gillnet),,No,,,,,
2355,304067100177,1,30406710,mono(fish traps),,No,,,,,
2355,304067100177,1,30406710,chavi (castnet),,No,,,,,
2355,304067100177,1,30406710,"other, specify",,No,,,,,
2355,304067100177,1,30406710,"other, specify",,No,,,,,
2399,305024560043,1,30502456,usipa(mosquito)net,,No,,,,,
2399,305024560043,1,30502456,kambuzi(beach)seine,,No,,,,,
2399,305024560043,1,30502456,mbedza(long /hand line),,No,,,,,
2399,305024560043,1,30502456,mbuka/ntaya/ukonde (gillnet),,No,,,,,
2399,305024560043,1,30502456,mono(fish traps),,No,,,,,
2399,305024560043,1,30502456,chavi (castnet),,No,,,,,
2399,305024560043,1,30502456,"other, specify",,No,,,,,
2399,305024560043,1,30502456,"other, specify",,No,,,,,
2454,307086650188,2,30708665,usipa(mosquito)net,,No,,,,,
2454,307086650188,2,30708665,kambuzi(beach)seine,,No,,,,,
2454,307086650188,2,30708665,mbedza(long /hand line),,No,,,,,
2454,307086650188,2,30708665,mbuka/ntaya/ukonde (gillnet),,No,,,,,
2454,307086650188,2,30708665,mono(fish traps),,No,,,,,
2454,307086650188,2,30708665,chavi (castnet),,No,,,,,
2454,307086650188,2,30708665,"other, specify",,No,,,,,
2454,307086650188,2,30708665,"other, specify",,No,,,,,
2581,307116840099,1,30711684,usipa(mosquito)net,,No,,,,,
2581,307116840099,1,30711684,kambuzi(beach)seine,,No,,,,,
2581,307116840099,1,30711684,mbedza(long /hand line),,No,,,,,
2581,307116840099,1,30711684,mbuka/ntaya/ukonde (gillnet),,No,,,,,
2581,307116840099,1,30711684,mono(fish traps),,No,,,,,
2581,307116840099,1,30711684,chavi (castnet),,No,,,,,
2581,307116840099,1,30711684,"other, specify",,No,,,,,
2581,307116840099,1,30711684,"other, specify",,No,,,,,
2569,307116840228,1,30711684,usipa(mosquito)net,,No,,,,,
2569,307116840228,1,30711684,kambuzi(beach)seine,,No,,,,,
2569,307116840228,1,30711684,mbedza(long /hand line),,No,,,,,
2569,307116840228,1,30711684,mbuka/ntaya/ukonde (gillnet),,No,,,,,
2569,307116840228,1,30711684,mono(fish traps),,No,,,,,
2569,307116840228,1,30711684,chavi (castnet),,No,,,,,
2569,307116840228,1,30711684,"other, specify",,No,,,,,
2569,307116840228,1,30711684,"other, specify",,No,,,,,
2623,308016720066,1,30801672,usipa(mosquito)net,,No,,,,,
2623,308016720066,1,30801672,kambuzi(beach)seine,,No,,,,,
2623,308016720066,1,30801672,mbedza(long /hand line),,No,,,,,
2623,308016720066,1,30801672,mbuka/ntaya/ukonde (gillnet),,No,,,,,
2623,308016720066,1,30801672,mono(fish traps),,No,,,,,
2623,308016720066,1,30801672,chavi (castnet),,No,,,,,
2623,308016720066,1,30801672,"other, specify",,No,,,,,
2623,308016720066,1,30801672,"other, specify",,No,,,,,
2777,310021690162,1,31002169,usipa(mosquito)net,,No,,,,,
2777,310021690162,1,31002169,kambuzi(beach)seine,,No,,,,,
2777,310021690162,1,31002169,mbedza(long /hand line),,No,,,,,
2777,310021690162,1,31002169,mbuka/ntaya/ukonde (gillnet),,No,,,,,
2777,310021690162,1,31002169,mono(fish traps),,No,,,,,
2777,310021690162,1,31002169,chavi (castnet),,No,,,,,
2777,310021690162,1,31002169,"other, specify",,No,,,,,
2777,310021690162,1,31002169,"other, specify",,No,,,,,
2823,311087030266,1,31108703,usipa(mosquito)net,,No,,,,,
