HHID,case_id,ea_id,reside,stratum,hh_wgt,qx_type,hh_a01,hh_a02,hh_a02b,hh_a11,hh_a13,hh_a22_1,hh_a22_2,hh_a23_1,hh_a23a_1,hh_a23b_1,hh_a23c_1,hh_a23_2,hh_a23a_2,hh_a23b_2,hh_a23c_2,hh_a25_1,hh_a25_2,hh_a26_1,hh_a26a_1,hh_a26b_1,hh_a26c_1,hh_a26_2,hh_a26a_2,hh_a26b_2,hh_a26c_2,hh_a31_1,hh_a31_2,hh_a32_1,hh_a32a_1,hh_a32b_1,hh_a32c_1,hh_a32_2,hh_a32a_2,hh_a32b_2,hh_a32c_2,hh_a34_1,hh_a34_2,hh_a35_1,hh_a35a_1,hh_a35b_1,hh_a35c_1,hh_a35_2,hh_a35a_2,hh_a35b_2,hh_a35c_2,hh_g09,hh_m00,hh_o00,hh_s01,hh_w01,int_outcome_1,int_outcome_2
48,101012040045,10101204,rural,North - Rural,514.62598,Panel B,Chitipa,1,Mwabulambya,No,,14,14,22apr2010,22,4,2010,07aug2010,7,8,2010,10,10,24apr2010,24,4,2010,08aug2010,8,8,2010,19,19,05may2010,5,5,2010,09aug2010,9,8,2010,6,10,23sep2010,23,9,2010,24jan2011,24,1,2011,Yes,Yes,No,No,Yes,Complete,Complete
36,101012040054,10101204,rural,North - Rural,514.62598,Panel B,Chitipa,1,Mwabulambya,No,,14,14,21apr2010,21,4,2010,07aug2010,7,8,2010,10,10,24apr2010,24,4,2010,08aug2010,8,8,2010,19,19,05may2010,5,5,2010,09aug2010,9,8,2010,6,10,23sep2010,23,9,2010,25jan2011,25,1,2011,No,Yes,No,No,No,Complete,Complete
56,101012040058,10101204,rural,North - Rural,514.62598,Panel B,Chitipa,1,Mwabulambya,No,,11,13,22apr2010,22,4,2010,09aug2010,9,8,2010,10,10,24apr2010,24,4,2010,10aug2010,10,8,2010,19,19,05may2010,5,5,2010,12aug2010,12,8,2010,6,10,23sep2010,23,9,2010,24jan2011,24,1,2011,No,Yes,No,Yes,No,Complete,Complete
64,101012040062,10101204,rural,North - Rural,514.62598,Panel B,Chitipa,1,Mwabulambya,No,,11,11,22apr2010,22,4,2010,09aug2010,9,8,2010,10,10,24apr2010,24,4,2010,09aug2010,9,8,2010,19,19,05may2010,5,5,2010,10aug2010,10,8,2010,6,10,23sep2010,23,9,2010,25jan2011,25,1,2011,Yes,Yes,Yes,No,No,Complete,Complete
34,101012040071,10101204,rural,North - Rural,514.62598,Panel B,Chitipa,1,Mwabulambya,No,,11,13,21apr2010,21,4,2010,09aug2010,9,8,2010,10,10,24apr2010,24,4,2010,10aug2010,10,8,2010,19,19,05may2010,5,5,2010,10aug2010,10,8,2010,6,10,23sep2010,23,9,2010,25jan2011,25,1,2011,No,Yes,No,Yes,No,Complete,Complete
58,101012040075,10101204,rural,North - Rural,514.62598,Panel B,Chitipa,1,Mwabulambya,No,,11,11,21apr2010,21,4,2010,07aug2010,7,8,2010,10,10,24apr2010,24,4,2010,07aug2010,7,8,2010,19,19,05may2010,5,5,2010,09aug2010,9,8,2010,6,10,23sep2010,23,9,2010,24jan2011,24,1,2011,No,Yes,No,No,No,Complete,Complete
46,101012040079,10101204,rural,North - Rural,514.62598,Panel B,Chitipa,1,Mwabulambya,No,,11,11,21apr2010,21,4,2010,07aug2010,7,8,2010,10,10,24apr2010,24,4,2010,07aug2010,7,8,2010,19,19,05may2010,5,5,2010,09aug2010,9,8,2010,6,10,23sep2010,23,9,2010,25jan2011,25,1,2011,Yes,Yes,No,No,No,Complete,Complete
60,101012040087,10101204,rural,North - Rural,514.62598,Panel B,Chitipa,1,Mwabulambya,No,,11,11,22apr2010,22,4,2010,09aug2010,9,8,2010,10,10,24apr2010,24,4,2010,10aug2010,10,8,2010,19,19,05may2010,5,5,2010,10aug2010,10,8,2010,6,10,23sep2010,23,9,2010,24jan2011,24,1,2011,No,Yes,No,No,No,Complete,Complete
21,101012150001,10101215,rural,North - Rural,444.56241,Panel A,Chitipa,1,Mwabulambya,No,,11,11,11may2010,11,5,2010,21sep2010,21,9,2010,10,10,19may2010,19,5,2010,21sep2010,21,9,2010,19,19,03jun2010,3,6,2010,22sep2010,22,9,2010,5,5,24nov2010,24,11,2010,04nov2010,4,11,2010,No,Yes,Yes,No,Yes,Complete,Complete
17,101012150004,10101215,rural,North - Rural,444.56241,Panel A,Chitipa,1,Mwabulambya,No,,11,11,12may2010,12,5,2010,21sep2010,21,9,2010,10,10,18may2010,18,5,2010,21sep2010,21,9,2010,19,19,03jun2010,3,6,2010,22sep2010,22,9,2010,5,5,24nov2010,24,11,2010,04jan2011,4,1,2011,No,Yes,Yes,No,No,Complete,Complete
