HHID,case_id,visit,ea_id,fs_e01,fs_e02,fs_e02_os,fs_e03,fs_e04a,fs_e04b,fs_e04b_os,fs_e04c,fs_e04c_os,fs_e04d,fs_e04e,fs_e04f,fs_e05a,fs_e05b,fs_e06a,fs_e06b,fs_e06b_os,fs_e06c,fs_e06c_os,fs_e06d,fs_e06e,fs_e06f,fs_e07,fs_e07_os,fs_e08a,fs_e08b,fs_e08b_os,fs_e08c,fs_e08c_os,fs_e08d,fs_e08e,fs_e08f,fs_e08f_os,fs_e08g,fs_e08h,fs_e09,fs_e10,fs_e10_os,fs_e11a,fs_e11b,fs_e11b_os,fs_e11c,fs_e11c_os,fs_e11d,fs_e11e,fs_e11e_os,fs_e11f,fs_e12,fs_e13,fs_e13_os
633,107321920281,1,10732192,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,107462440085,2,10746244,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,201106200267,1,20110620,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,204040320072,1,20404032,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,205083490010,1,20508349,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,205083490121,1,20508349,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1381,207053720086,1,20705372,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1429,207061630586,1,20706163,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461,208044050092,1,20804405,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,210375360135,1,21037536,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,301012800005,1,30101280,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,301012800063,1,30101280,Yes,Makakani,,1,20,Dozen,,Fresh,,,,,20,,20,Dozen,,Fresh,,,,,"Yes, the figures matched",,15,Dozen,,Sun-dried,,350,,,,,,1,No,NOTHING WRITTEN,5,Piece,,Fresh,,,,,,1/4,"Yes, the figures matched",
1923,301012800063,1,30101280,Yes,Makumba,,1,40,Piece,,Fresh,,,,,40,,40,Piece,,Fresh,,,,,,,40,Piece,,Fresh,,1500,,,,,,1,No,,0,Piece,,Fresh,,,,,,1/4,,
1923,301012800063,1,30101280,Yes,Mlamba,,1,10,Dozen,,Sun-dried,,,,,10,,10,Dozen,,Sun-dried,,,,,,,9,Dozen,,Sun-dried,,500,,,,,,1,No,,1,Dozen,,Sun-dried,,,,,,1/4,,
1923,301012800063,1,30101280,Yes,Matemda,,1,20,Dozen,,Fresh,,,,,20,,20,Dozen,,Fresh,,,,,,,20,Dozen,,Sun-dried,,2000,,,,,,1,No,,0,Piece,,Fresh,,,,,,1/4,,
1923,301012800063,1,30101280,Yes,Nkunga,,1,30,Piece,,Fresh,,,,,30,,30,Piece,,Fresh,,,,,,,27,Piece,,Fresh,,600,,,,,,1,No,,3,Piece,,Fresh,,,,,,1/4,,
1935,301012800066,1,30101280,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,301012800128,1,30101280,Yes,Matemda,,4,30,Dozen,,Fresh,,,,,120,,120,Dozen,,Fresh,,,,,,,150,Dozen,,Fresh,,3000,,,,,,1,Yes,,1,Dozen,,Fresh,,,,,,Almost none,,
1943,301012800128,1,30101280,Yes,Nkunga,,4,10,Piece,,Fresh,,,,,40,,40,Piece,,Fresh,,,,,,,40,Piece,,Fresh,,3000,,,,,,2,Yes,,1,Dozen,,Fresh,,,,,,1/4,,
1943,301012800128,1,30101280,Yes,Usipa,,4,40,Dozen,,Fresh,,,,,160,,160,Dozen,,Fresh,,,,,"Yes, the figures matched",,155,Dozen,,Fresh,,10000,150,Dozen,,Fresh,3000,4,No,NOTHING WRITTEN,1,Dozen,,Fresh,,1,Dozen,,Fresh,1/4,"Yes, the figures matched",
1939,301012800172,1,30101280,Yes,Makumba,,2,30,Large basket,,Fresh,,,,,60,,20,Dozen,,Fresh,,,,,,,20,Dozen,,Fresh,,5000,,,,,,1,Yes,,2,Piece,,Fresh,,,,,,Almost none,,
1939,301012800172,1,30101280,Yes,Usipa,,4,50,Large basket,,Fresh,,30,Large basket,Fresh,200,120,200,Large basket,,Fresh,,30,Large basket,Fresh,"Yes, the figures matched",,180,Large basket,,Fresh,,10000,30,Large basket,,Fresh,2400,2,Yes,,20,Large basket,,Sun-dried,,,,,,1/4,"Yes, the figures matched",
1939,301012800172,1,30101280,Yes,Utaka,,2,20,Dozen,,Fresh,,20,Dozen,Fresh,40,40,20,Dozen,,Fresh,,,,,,,20,Dozen,,Fresh,,5000,,,,,,2,No,,1,10 kg bag,,Fresh,,,,,,1/4,,
1979,301020280258,1,30102028,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2053,301084010268,1,30108401,Yes,Chambo,,8,10,Dozen,,Fresh,,,,,80,,80,Dozen,,Fresh,,,,,"Yes, the figures matched",,10,Dozen,,Fresh,,500,,,,,,8,No,,2,Dozen,,Fresh,,,,,,Almost none,"Yes, the figures matched",
2053,301084010268,1,30108401,Yes,Ncheni,,8,1,Dozen,,Fresh,,,,,8,,8,Dozen,,Fresh,,,,,,,1,Dozen,,Fresh,,1800,,,,,,8,No,,1,Dozen,,Fresh,,,,,,Almost none,,
2053,301084010268,1,30108401,Yes,Other (specify),MBABA,8,20,Dozen,,Fresh,,,,,160,,160,Dozen,,Fresh,,,,,,,20,Dozen,,Fresh,,100,,,,,,8,No,,5,Dozen,,Fresh,,,,,,Almost none,,
2189,303026010171,1,30302601,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2223,303052770138,1,30305277,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2257,303055800113,1,30305580,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
