PID,eligible_tracking,status,whynotfound,specialcase
007403,1,Found,,
007404,0,Found,,
007405,0,Found,,
007406,0,Found,,
007501,1,Found,,
007502,1,Found,,
007503,1,Found,,
007504,1,Found,,
007505,1,Found,,
007506,1,Found,,
007507,0,Found,,
007601,1,Found,,
007602,1,Individual Dead,,
007603,1,Found,,
007604,1,Found,,
007605,1,Found,,
007606,1,Found,,
007607,1,Found,,
007608,0,Found,,
007609,1,Found,,
007701,1,Found,,
007702,1,Found,,
007703,0,Found,,
007704,0,Found,,
007801,1,Found,,
007802,1,Found,,
007803,1,Found,,
007901,1,Found,,
007902,1,Found,,
007903,0,Found,,
007904,1,Found,,
007905,1,Found,,
007906,1,Found,,
008001,1,Found,,
008002,1,Found,,
008003,1,Found,,
008004,1,Found,,
008101,1,Found,,
008102,1,Found,,
008103,0,Found,,
008104,1,Found,,
008201,1,Found,,
008202,1,Found,,
008203,1,Found,,
008204,0,Found,,
008205,0,Found,,
008206,0,Found,,
008207,0,Found,,
008208,0,Found,,
008301,1,Found,,
008302,1,Found,,
008303,0,Found,,
008401,1,Found,,
008402,1,Found,,
008403,1,Found,,
008404,1,Found,,
008405,1,Found,,
008406,1,Found,,
008407,0,Found,,
008408,0,Found,,
008409,0,Found,,
008501,1,Found,,
008502,1,Found,,
008601,1,Found,,
008602,1,Found,,
008603,1,Found,,
008604,1,Found,,
008605,0,Found,,
008606,0,Found,,
008701,1,Found,,
008702,1,Found,,
008703,0,Found,,
008801,1,Found,,
008802,1,Found,,
008803,1,Found,,
008804,1,Found,,
008805,1,Found,,
008806,1,Found,,
008807,0,Found,,
008901,1,Found,,
008902,1,Found,,
008903,1,Found,,
008904,1,Found,,
008905,1,Found,,
008906,1,Found,,
008907,1,Found,,
008908,0,Found,,
008909,0,Found,,
008910,0,Found,,
009001,1,Found,,
009002,1,Found,,
009003,1,Found,,
009004,1,Found,,
009005,1,Found,,
009006,0,Found,,
009007,0,Found,,
009008,0,Found,,
009009,0,Found,,
009101,1,Found,,
009102,1,Found,,
009103,0,Found,,
009201,1,Found,,
009202,1,Found,,
009203,1,Found,,
009204,1,Found,,
009205,1,Found,,
009206,0,Found,,
009207,0,Found,,
009208,0,Found,,
009301,1,Found,,
009302,1,Found,,
009303,1,Found,,
009401,1,Found,,
009402,1,Found,,
009403,0,Found,,
009405,0,"Not Found, Tracking Ineligible",,
009501,1,Found,,
009502,1,Found,,
009503,1,Found,,
009601,1,Found,,
009602,1,Found,,
009603,1,Found,,
009604,0,Found,,
009605,0,Found,,
009701,1,Found,,
009702,1,Found,,
009703,0,Found,,
009704,0,Found,,
009705,0,Found,,
009706,0,Found,,
009801,1,Found,,
009802,1,Found,,
009804,0,Found,,
009805,0,Found,,
009806,0,Individual Dead,,
009901,1,Found,,
009902,1,Found,,
009903,1,Found,,
009904,1,Found,,
009905,1,Found,,
009906,0,Found,,
009907,1,Found,,
009908,0,Found,,
009909,0,Found,,
009910,0,Found,,
010001,1,Found,,
010002,1,Found,,
010003,1,Found,,
010004,1,Found,,
010005,1,Found,,
010006,1,Found,,
010007,0,Found,,
010008,0,Found,,
010009,0,Found,,
010101,1,Found,,
010102,1,Found,,
010103,0,Found,,
010104,0,Found,,
010105,0,Found,,
010201,1,Found,,
010202,1,Found,,
010203,1,Found,,
010204,0,Found,,
010205,0,Found,,
010301,1,Found,,
010302,1,Found,,
010303,1,Found,,
010304,1,Found,,
010305,1,Found,,
010306,0,Found,,
010307,0,Found,,
010401,1,Found,,
010402,1,Individual Dead,,
010403,1,Found,,
010404,1,Found,,
010405,1,Found,,
010406,0,Found,,
010407,0,Found,,
010501,1,Found,,
010502,1,Found,,
010503,1,Found,,
010601,1,Found,,
010602,1,Found,,
010603,0,Found,,
010701,1,Found,,
010702,1,Found,,
010703,1,Found,,
010801,1,Found,,
010802,1,Found,,
010803,0,Found,,
010804,0,Found,,
010805,0,Found,,
010901,1,Found,,
010902,1,Found,,
010903,1,Found,,
010904,1,Found,,
010905,0,Found,,
011001,1,Found,,
011002,1,Found,,
011003,1,Found,,
011004,1,Found,,
011005,1,Found,,
011006,1,Found,,
011007,1,Found,,
011008,1,Found,,
011009,1,Found,,
011010,1,Found,,
011011,0,"Not Found, Tracking Ineligible",,
011012,0,Found,,
011101,1,Found,,
011102,1,Found,,
011103,0,Found,,
011104,0,Found,,
011105,0,Found,,
011201,1,Found,,
011202,1,Found,,
011203,1,Found,,
011301,1,Found,,
011302,1,Found,,
011303,0,Found,,
011304,0,Found,,
011401,1,Found,,
011402,1,Found,,
011403,0,Found,,
011501,1,Found,,
011502,1,Found,,
011601,1,Found,,
011602,1,Found,,
011603,1,Found,,
011604,1,Found,,
011605,1,Found,,
011606,1,Found,,
011607,0,Found,,
011701,1,Found,,
011702,1,Found,,
011703,0,Found,,
011801,1,Found,,
011802,1,Found,,
011803,1,Found,,
011804,0,Found,,
011901,1,Found,,
011902,1,Found,,
012001,1,Found,,
012002,1,Found,,
012003,1,Found,,
012004,1,Found,,
012005,0,Found,,
012006,0,Found,,
012007,0,Found,,
012101,1,Found,,
012102,1,Found,,
012103,0,Found,,
012104,0,Found,,
012105,0,Found,,
012106,0,Found,,
012201,1,Found,,
012301,1,Found,,
012302,1,Found,,
012303,1,Found,,
012304,0,Found,,
012305,0,Found,,
012306,0,Found,,
012307,0,Found,,
012401,1,Found,,
012501,1,Found,,
012502,1,Found,,
012503,0,Found,,
012504,0,Found,,
012601,1,Found,,
012602,1,Found,,
012603,0,Found,,
012604,0,Found,,
012701,1,Found,,
012702,1,Found,,
012703,1,Found,,
012704,1,Found,,
012705,0,Found,,
012706,0,Found,,
012707,0,Found,,
012708,0,Found,,
012801,1,Found,,
012802,1,Found,,
012803,1,Found,,
012804,1,Found,,
012805,1,Found,,
012806,1,Found,,
012807,0,Found,,
012808,0,Found,,
012809,0,Found,,
012901,1,Found,,
012902,1,Found,,
012903,1,Found,,
012904,0,Found,,
012905,1,Found,,
012906,1,Found,,
012907,0,Found,,
012908,1,Found,,
013001,1,Found,,
013002,1,Found,,
013003,1,Found,,
013101,1,Found,,
013102,1,Found,,
013103,0,Found,,
013104,0,Found,,
013201,1,Found,,
013301,1,"Not Found, Tracking Eligible",Individual Outside Malawi or in Likoma,
013302,1,Found,,
013401,1,Found,,
013402,1,Found,,
