occ,y2_hhid,qx_type,interview_status,fs_d0c,fs_d0d,fs_d07,fs_d08,fs_d09,fs_d10,fs_d11,fs_d12,fs_d13
5,1949-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,1951-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,1951-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,YES,1,1,35000,0,0,60000
3,1951-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,1951-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,1951-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,1951-002,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,1951-002,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,1951-002,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,1951-002,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,1951-002,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,2053-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),YES,1,1,10000,0,0,0
2,2053-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,2053-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,2053-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,2053-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,2073-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,2073-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,2073-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,2073-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,2073-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,2103-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),,,,,,,
2,2103-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,,,,,,,
3,2103-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,,,,,,,
4,2103-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",,,,,,,
5,2103-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",,,,,,,
1,2189-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,2189-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,2189-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,2189-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,2189-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,2202-002,PANEL B,Panel B - Combined Visit,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,2202-002,PANEL B,Panel B - Combined Visit,PLANKBOAT,Plankboat,NO,,,,,,
3,2202-002,PANEL B,Panel B - Combined Visit,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,2202-002,PANEL B,Panel B - Combined Visit,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,2202-002,PANEL B,Panel B - Combined Visit,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,2231-004,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,2231-004,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,2231-004,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,2231-004,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,2231-004,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,2403-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,2403-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,2403-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,2403-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,2403-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,2433-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,2433-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,2433-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,2433-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,2433-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,2563-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,2563-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,2563-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,2563-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,2563-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,2569-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,2569-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,2569-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,2569-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,2569-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,2598-001,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,2598-001,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,2598-001,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,2598-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,2598-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,2603-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,2603-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,2603-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,2603-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,2603-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,2656-001,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,2656-001,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,2656-001,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,2656-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,2656-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,2703-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,2703-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,2703-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,2703-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,2703-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,2777-001,PANEL A,Panel A - 2 Visits,BWATO (DUGOUT),Bwato (dugout),,,,,,,
2,2777-001,PANEL A,Panel A - 2 Visits,PLANKBOAT,Plankboat,,,,,,,
3,2777-001,PANEL A,Panel A - 2 Visits,OUTBOARD ENGINE,Outboard engine,,,,,,,
4,2777-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",,,,,,,
5,2777-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",,,,,,,
1,2788-003,PANEL B,Panel B - 2 Visits,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,2788-003,PANEL B,Panel B - 2 Visits,PLANKBOAT,Plankboat,NO,,,,,,
3,2788-003,PANEL B,Panel B - 2 Visits,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
4,2788-003,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
5,2788-003,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,,
1,2812-003,PANEL B,Panel B - Combined Visit,BWATO (DUGOUT),Bwato (dugout),NO,,,,,,
2,2812-003,PANEL B,Panel B - Combined Visit,PLANKBOAT,Plankboat,NO,,,,,,
3,2812-003,PANEL B,Panel B - Combined Visit,OUTBOARD ENGINE,Outboard engine,NO,,,,,,
