occ,ea_id,com_cd01,com_cd03,com_cd04,com_cd05,com_cd06,com_cd07a,com_cd07b,com_cd08a,com_cd08b,com_cd11,com_cd14,com_cd15,com_cd16a,com_cd16b,com_cd17,com_cd18a,com_cd18b,com_cd23,com_cd24,com_cd25,com_cd26,com_cd27a,com_cd27b,com_cd28,com_cd29,com_cd30,com_cd31,com_cd32,com_cd33,com_cd34,com_cd35,com_cd36a,com_cd36b,com_cd37,com_cd38,com_cd40a,com_cd40b,com_cd41,com_cd42,com_cd43,com_cd44,com_cd45,com_cd46,com_cd47,com_cd48,com_cd49a,com_cd49b,com_cd50,com_cd51a,com_cd51b,com_cd52,com_cd54,com_cd55,com_cd56,com_cd57,com_cd58,com_cd59,com_cd60a,com_cd60b,com_cd61,com_cd62,com_cd63,com_cd64,com_cd65a,com_cd65b,com_cd65c,com_cd65e,com_cd65f,com_cd66,com_cd67a,com_cd67b,com_cd68,com_cd69a,com_cd69b,com_cd70,com_cd71
1,30901603,DIRT TRACK,NO,7,7,NO,13,KM,20,MINUTE,500,500,NO,4,KM,NO,4,KM,YES,,20,1,0,KM,18,1038,NO,9,YES,3/4,COOKED FOOD,YES,13,KM,24,534,0,METER,15,489,YES,0,0,0,0,YES,,,NO,3,KM,,,YES,YES,FEMALE,YES,YES,13,KM,GOVERNMENT FACILITY,NO,,YES,YES,NO,YES,NO,NO,NO,13,KM,NO,13,KM,NO,YES
1,31001333,DIRT ROAD (MAINTAINED),NO,0,0,NO,30,KM,15,MINUTE,2600,3200,NO,30,KM,YES,,,NO,30,8,0,2,KM,10,1040,YES,,YES,ALMOST ALL,COOKED FOOD,NO,71,KM,17,382,20,KM,99,99,YES,0,0,0,0,YES,,,NO,15,KM,,,NO,,,,,15,KM,RELIGIOUS FACILITY,YES,0,NO,,,,,,NO,30,KM,YES,,,NO,YES
1,31001749,GRADED GRAVELED,YES,0,12,NO,15,KM,10,HOUR,1300,2100,NO,15,KM,NO,15,KM,NO,15,11,1,0,0,7,550,NO,3,NO,,,NO,,,17,382,70,KM,10,205,YES,0,0,0,0,YES,,,NO,15,KM,,,NO,,,,,15,KM,GOVERNMENT FACILITY,YES,0,NO,,,,,,NO,15,KM,NO,15,KM,NO,NO
1,31002169,TAR/ASPHALT,YES,12,12,YES,,,10,MINUTE,500,1500,YES,,,NO,1,KM,NO,1,100,3,1,KM,24,2594,YES,,YES,1/4,RATIONS (DRY),NO,26,KM,17,382,26,KM,15,200,YES,0,0,3,4,YES,,,NO,3,KM,,,YES,YES,MALE,NO,YES,26,KM,GOVERNMENT FACILITY,YES,7000,YES,YES,YES,YES,YES,NO,NO,1,KM,YES,,,NO,NO
1,31004312,GRADED GRAVELED,YES,12,12,NO,12,KM,5,MINUTE,280,2,NO,7,KM,NO,7,KM,NO,12,8,0,0,0,6,553,NO,1,YES,ALMOST ALL,COOKED FOOD,NO,20,KM,12,111,9,KM,10,241,YES,0,0,0,0,YES,,,NO,8,KM,,,YES,YES,MALE,YES,YES,8,KM,GOVERNMENT FACILITY,NO,,NO,,,,,,NO,15,KM,YES,,,NO,NO
1,31006556,DIRT TRACK,YES,12,0,YES,,,2,DAY,1050,1000,YES,,,YES,,,NO,25,17,0,2,KM,14,1010,YES,,YES,ALMOST ALL,COOKED FOOD,NO,67,KM,,,66,KM,8,120,YES,0,0,0,0,YES,,,YES,,,ALWAYS AVAILABLE,YES,YES,,,,,67,KM,GOVERNMENT FACILITY,YES,0,YES,NO,NO,NO,YES,YES,YES,,,NO,67,KM,NO,NO
1,31007335,DIRT ROAD (MAINTAINED),YES,1,12,NO,3,KM,1,HOUR,900,1000,NO,3,KM,NO,3,KM,NO,3,21,0,0,,9,750,YES,,NO,,,NO,44,KM,17,382,3,KM,8,169,NO,0,0,0,0,YES,,,NO,3,KM,,,NO,,,,,15,KM,RELIGIOUS FACILITY,NO,,YES,YES,NO,NO,NO,NO,NO,15,KM,NO,44,KM,NO,NO
1,31108703,GRADED GRAVELED,YES,11,12,YES,,,30,MINUTE,500,3000,YES,,,YES,,,YES,,7,0,300,METER,22,1256,YES,,YES,ALMOST ALL,COOKED FOOD,YES,10,KM,18,434,2,KM,10,200,NO,0,0,0,0,YES,,,YES,,,ALWAYS AVAILABLE,YES,NO,,,,,9,KM,GOVERNMENT FACILITY,NO,,YES,NO,YES,YES,NO,NO,NO,9,METER,NO,36,KM,NO,NO
1,31201007,DIRT ROAD (MAINTAINED),NO,0,8,NO,10,KM,1,HOUR,750,3100,YES,,,NO,10,KM,NO,102,4,0,500,METER,16,670,YES,,YES,3/4,COOKED FOOD,NO,10,KM,36,300,500,METER,13,180,NO,0,0,0,0,YES,,,NO,10,KM,,,YES,,,,,10,KM,GOVERNMENT FACILITY,YES,1500,YES,NO,NO,YES,NO,YES,NO,10,KM,NO,10,KM,NO,NO
1,31201104,DIRT ROAD (MAINTAINED),YES,11,12,NO,3,KM,5,HOUR,500,2800,YES,,,YES,,,YES,,14,1,0,,11,2100,YES,,NO,,,NO,47,KM,32,629,3,KM,17,261,YES,0,0,0,0,YES,,,NO,47,KM,,,NO,,,,,47,KM,GOVERNMENT FACILITY,YES,1950,NO,,,,,,NO,47,KM,NO,47,KM,NO,YES
1,31201197,DIRT ROAD (MAINTAINED),YES,0,8,NO,30,KM,10,HOUR,800,1600,NO,3,KM,NO,3,KM,NO,30,4,0,2,KM,6,303,YES,,NO,,,NO,45,KM,32,629,12,KM,13,350,YES,0,0,0,0,YES,,,NO,3,KM,,,NO,,,,,45,KM,GOVERNMENT FACILITY,NO,,NO,,,,,,NO,45,KM,NO,45,KM,NO,YES
