case_id,ea_id,plot_id,dist_hh,HHID,reside,stratum,hh_wgt,qx_type,hh_a01,hh_a02,hh_a02b,hh_a11,hh_a13,hh_a22_1,hh_a22_2,hh_a23_1,hh_a23a_1,hh_a23b_1,hh_a23c_1,hh_a23_2,hh_a23a_2,hh_a23b_2,hh_a23c_2,hh_a25_1,hh_a25_2,hh_a26_1,hh_a26a_1,hh_a26b_1,hh_a26c_1,hh_a26_2,hh_a26a_2,hh_a26b_2,hh_a26c_2,hh_a31_1,hh_a31_2,hh_a32_1,hh_a32a_1,hh_a32b_1,hh_a32c_1,hh_a32_2,hh_a32a_2,hh_a32b_2,hh_a32c_2,hh_a34_1,hh_a34_2,hh_a35_1,hh_a35a_1,hh_a35b_1,hh_a35c_1,hh_a35_2,hh_a35a_2,hh_a35b_2,hh_a35c_2,hh_g09,hh_m00,hh_o00,hh_s01,hh_w01,int_outcome_1,int_outcome_2,_merge
204040320072,20404049,R2,2.0999999,973,rural,Center - Rural,746.80981,Panel A,Dowa,4,Chiwere,No,,42,42,29apr2010,29,4,2010,28aug2010,28,8,2010,40,40,30apr2010,30,4,2010,28aug2010,28,8,2010,49,49,08jun2010,8,6,2010,29aug2010,29,8,2010,5,5,22nov2010,22,11,2010,23dec2010,23,12,2010,No,Yes,Yes,No,No,Complete,Complete,both in master and using data
204040320075,20404049,R2,.89999998,977,rural,Center - Rural,746.80981,Panel A,Dowa,4,Chiwere,No,,42,42,29apr2010,29,4,2010,28aug2010,28,8,2010,40,40,30apr2010,30,4,2010,28aug2010,28,8,2010,49,49,08jun2010,8,6,2010,29aug2010,29,8,2010,5,5,22nov2010,22,11,2010,23dec2010,23,12,2010,No,Yes,No,No,No,Complete,Complete,both in master and using data
204040320075,20404049,R3,.69999999,977,rural,Center - Rural,746.80981,Panel A,Dowa,4,Chiwere,No,,42,42,29apr2010,29,4,2010,28aug2010,28,8,2010,40,40,30apr2010,30,4,2010,28aug2010,28,8,2010,49,49,08jun2010,8,6,2010,29aug2010,29,8,2010,5,5,22nov2010,22,11,2010,23dec2010,23,12,2010,No,Yes,No,No,No,Complete,Complete,both in master and using data
204040320075,20404049,R1,.89999998,977,rural,Center - Rural,746.80981,Panel A,Dowa,4,Chiwere,No,,42,42,29apr2010,29,4,2010,28aug2010,28,8,2010,40,40,30apr2010,30,4,2010,28aug2010,28,8,2010,49,49,08jun2010,8,6,2010,29aug2010,29,8,2010,5,5,22nov2010,22,11,2010,23dec2010,23,12,2010,No,Yes,No,No,No,Complete,Complete,both in master and using data
204040320075,20404049,R4,.69999999,977,rural,Center - Rural,746.80981,Panel A,Dowa,4,Chiwere,No,,42,42,29apr2010,29,4,2010,28aug2010,28,8,2010,40,40,30apr2010,30,4,2010,28aug2010,28,8,2010,49,49,08jun2010,8,6,2010,29aug2010,29,8,2010,5,5,22nov2010,22,11,2010,23dec2010,23,12,2010,No,Yes,No,No,No,Complete,Complete,both in master and using data
204040320083,20404049,R2,.5,963,rural,Center - Rural,746.80981,Panel A,Dowa,4,Chiwere,No,,44,44,28apr2010,28,4,2010,27aug2010,27,8,2010,40,40,29apr2010,29,4,2010,27aug2010,27,8,2010,49,49,10jun2010,10,6,2010,30aug2010,30,8,2010,5,5,23nov2010,23,11,2010,23dec2010,23,12,2010,No,Yes,No,No,No,Complete,Complete,both in master and using data
204040320083,20404049,R1,.5,963,rural,Center - Rural,746.80981,Panel A,Dowa,4,Chiwere,No,,44,44,28apr2010,28,4,2010,27aug2010,27,8,2010,40,40,29apr2010,29,4,2010,27aug2010,27,8,2010,49,49,10jun2010,10,6,2010,30aug2010,30,8,2010,5,5,23nov2010,23,11,2010,23dec2010,23,12,2010,No,Yes,No,No,No,Complete,Complete,both in master and using data
204040320096,20404049,R1,0,987,rural,Center - Rural,746.80981,Panel A,Dowa,4,Chiwere,No,,41,41,29apr2010,29,4,2010,27aug2010,27,8,2010,40,40,30apr2010,30,4,2010,27aug2010,27,8,2010,49,49,11jun2010,11,6,2010,30aug2010,30,8,2010,5,5,23nov2010,23,11,2010,23dec2010,23,12,2010,Yes,Yes,Yes,No,No,Complete,Complete,both in master and using data
204040320096,20404049,R2,.1,987,rural,Center - Rural,746.80981,Panel A,Dowa,4,Chiwere,No,,41,41,29apr2010,29,4,2010,27aug2010,27,8,2010,40,40,30apr2010,30,4,2010,27aug2010,27,8,2010,49,49,11jun2010,11,6,2010,30aug2010,30,8,2010,5,5,23nov2010,23,11,2010,23dec2010,23,12,2010,Yes,Yes,Yes,No,No,Complete,Complete,both in master and using data
204040320107,20404049,R1,5.1999998,969,rural,Center - Rural,746.80981,Panel A,Dowa,4,Chiwere,No,,44,44,29apr2010,29,4,2010,27aug2010,27,8,2010,40,40,30apr2010,30,4,2010,27aug2010,27,8,2010,49,49,10jun2010,10,6,2010,30aug2010,30,8,2010,5,5,23nov2010,23,11,2010,23dec2010,23,12,2010,No,Yes,Yes,No,Yes,Complete,Complete,both in master and using data
204040320107,20404049,R2,5.1999998,969,rural,Center - Rural,746.80981,Panel A,Dowa,4,Chiwere,No,,44,44,29apr2010,29,4,2010,27aug2010,27,8,2010,40,40,30apr2010,30,4,2010,27aug2010,27,8,2010,49,49,10jun2010,10,6,2010,30aug2010,30,8,2010,5,5,23nov2010,23,11,2010,23dec2010,23,12,2010,No,Yes,Yes,No,Yes,Complete,Complete,both in master and using data
204040320114,20404049,R2,.5,961,rural,Center - Rural,746.80981,Panel A,Dowa,4,Chiwere,No,,44,44,29apr2010,29,4,2010,27aug2010,27,8,2010,40,40,30apr2010,30,4,2010,27aug2010,27,8,2010,49,49,12jun2010,12,6,2010,30aug2010,30,8,2010,5,5,23nov2010,23,11,2010,23dec2010,23,12,2010,No,Yes,No,No,No,Complete,Complete,both in master and using data
