HHID,case_id,visit,ea_id,fs_d0c,fs_d07,fs_d08,fs_d09,fs_d10,fs_d11,fs_d12,fs_d13,fs_d14a,fs_d14b,fs_d14c,fs_d14d
316,103086360135,2,10308636,"other, specify",No,,,,,,,,,,
316,103086360135,2,10308636,"other, specify",No,,,,,,,,,,
306,103086360153,2,10308636,bwato (dugout),No,,,,,,,0,0,0,0
306,103086360153,2,10308636,plankboat,No,,,,,,,,,,
306,103086360153,2,10308636,outboard engine,No,,,,,,,,,,
306,103086360153,2,10308636,"other, specify",No,,,,,,,,,,
306,103086360153,2,10308636,"other, specify",No,,,,,,,,,,
388,104041860008,2,10404186,bwato (dugout),Yes,1,0,8000,0,0,0,0,0,0,0
388,104041860008,2,10404186,plankboat,No,,,,,,,,,,
388,104041860008,2,10404186,outboard engine,No,,,,,,,,,,
388,104041860008,2,10404186,"other, specify",No,,,,,,,,,,
388,104041860008,2,10404186,"other, specify",No,,,,,,,,,,
396,104041860012,2,10404186,bwato (dugout),Yes,2,2,6000,0,0,0,0,0,0,0
396,104041860012,2,10404186,plankboat,No,,,,,,,,,,
396,104041860012,2,10404186,outboard engine,No,,,,,,,,,,
396,104041860012,2,10404186,"other, specify",No,,,,,,,,,,
396,104041860012,2,10404186,"other, specify",No,,,,,,,,,,
384,104041860017,2,10404186,bwato (dugout),Yes,1,1,4000,0,0,0,0,0,0,0
384,104041860017,2,10404186,plankboat,No,,,,,,,,,,
384,104041860017,2,10404186,outboard engine,No,,,,,,,,,,
384,104041860017,2,10404186,"other, specify",No,,,,,,,,,,
384,104041860017,2,10404186,"other, specify",No,,,,,,,,,,
404,104041860021,2,10404186,bwato (dugout),Yes,1,0,12000,0,0,0,0,0,0,0
404,104041860021,2,10404186,plankboat,No,,,,,,,,,,
404,104041860021,2,10404186,outboard engine,No,,,,,,,,,,
404,104041860021,2,10404186,"other, specify",No,,,,,,,,,,
404,104041860021,2,10404186,"other, specify",No,,,,,,,,,,
410,104041860030,2,10404186,bwato (dugout),No,,,,,,,0,0,0,0
410,104041860030,2,10404186,plankboat,No,,,,,,,,,,
410,104041860030,2,10404186,outboard engine,No,,,,,,,,,,
410,104041860030,2,10404186,"other, specify",No,,,,,,,,,,
410,104041860030,2,10404186,"other, specify",No,,,,,,,,,,
386,104041860034,2,10404186,bwato (dugout),Yes,1,1,4000,0,0,0,0,0,0,0
386,104041860034,2,10404186,plankboat,No,,,,,,,,,,
386,104041860034,2,10404186,outboard engine,No,,,,,,,,,,
386,104041860034,2,10404186,"other, specify",No,,,,,,,,,,
386,104041860034,2,10404186,"other, specify",No,,,,,,,,,,
406,104041860039,2,10404186,bwato (dugout),Yes,1,1,8000,0,,,0,0,0,0
406,104041860039,2,10404186,plankboat,No,,,,,,,,,,
406,104041860039,2,10404186,outboard engine,No,,,,,,,,,,
406,104041860039,2,10404186,"other, specify",No,,,,,,,,,,
406,104041860039,2,10404186,"other, specify",No,,,,,,,,,,
394,104041860043,2,10404186,bwato (dugout),Yes,1,1,10000,0,0,0,0,0,0,0
394,104041860043,2,10404186,plankboat,No,,,,,,,,,,
394,104041860043,2,10404186,outboard engine,No,,,,,,,,,,
394,104041860043,2,10404186,"other, specify",No,,,,,,,,,,
394,104041860043,2,10404186,"other, specify",No,,,,,,,,,,
408,104041860061,2,10404186,bwato (dugout),Yes,1,0,10000,0,0,0,0,0,0,0
408,104041860061,2,10404186,plankboat,No,,,,,,,,,,
408,104041860061,2,10404186,outboard engine,No,,,,,,,,,,
408,104041860061,2,10404186,"other, specify",No,,,,,,,,,,
408,104041860061,2,10404186,"other, specify",No,,,,,,,,,,
390,104041860065,2,10404186,bwato (dugout),No,,,,,,,0,0,0,0
390,104041860065,2,10404186,plankboat,No,,,,,,,,,,
390,104041860065,2,10404186,outboard engine,No,,,,,,,,,,
390,104041860065,2,10404186,"other, specify",No,,,,,,,,,,
390,104041860065,2,10404186,"other, specify",No,,,,,,,,,,
412,104041860083,2,10404186,bwato (dugout),No,,,,,,,0,0,0,0
412,104041860083,2,10404186,plankboat,No,,,,,,,,,,
412,104041860083,2,10404186,outboard engine,No,,,,,,,,,,
412,104041860083,2,10404186,"other, specify",No,,,,,,,,,,
412,104041860083,2,10404186,"other, specify",No,,,,,,,,,,
424,105015050001,2,10501505,bwato (dugout),No,,,,,,,,,,
424,105015050001,2,10501505,plankboat,No,,,,,,,,,,
424,105015050001,2,10501505,outboard engine,No,,,,,,,,,,
424,105015050001,2,10501505,"other, specify",No,,,,,,,,,,
424,105015050001,2,10501505,"other, specify",No,,,,,,,,,,
501,105033670018,1,10503367,bwato (dugout),No,,,,,,,0,0,0,0
501,105033670018,1,10503367,plankboat,No,,,,,,,,,,
501,105033670018,1,10503367,outboard engine,No,,,,,,,,,,
