occ,ea_id,com_cf28,com_cf00,com_cf29,com_cf30,com_cf31,com_cf32a,com_cf32b,com_cf33,com_cf34,com_cf35a,com_cf35b,com_cf35c,com_cf35d,com_cf35e
2,20507089,,102,SWIDISH,INCREASE CROP YIELDS,40,9,2010,EXTERNAL SOURCES ONLY,UNDP,YES,YES,YES,NO,NO
3,20507089,,103,ACTION AID,INCREASE CROP YIELDS,385,7,1997,EXTERNAL SOURCES ONLY,UNDP,YES,YES,YES,NO,YES
1,20507459,YES,101,TOTAL LAND CARE,INTRODUCE LEGUME COVER CROPS,50,9,2011,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,YES,NO,YES,NO,NO
2,20507459,,102,SWIDISH,INCREASE CROP YIELDS,4,9,2012,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,YES,YES,NO,NO,NO
1,20508349,NO,,,,,,,,,,,,,
1,20601141,NO,,,,,,,,,,,,,
1,20601626,NO,,,,,,,,,,,,,
1,20602363,NO,,,,,,,,,,,,,
1,20603090,YES,101,TOBACCO LOANS,INCREASE CROP YIELDS,2,8,2012,FARMERS & EXTERNAL SOURCES,NASFAM,YES,YES,NO,NO,NO
1,20603533,NO,,,,,,,,,,,,,
1,20604638,NO,,,,,,,,,,,,,
1,20605302,NO,,,,,,,,,,,,,
1,20607260,NO,,,,,,,,,,,,,
1,20607315,NO,,,,,,,,,,,,,
1,20610050,NO,,,,,,,,,,,,,
1,20610249,YES,101,SEEDS TO FARMERS,INCREASE CROP YIELDS,1500,10,2012,FARMERS & EXTERNAL SOURCES,NASFAM,YES,YES,NO,NO,NO
2,20610249,,102,SEEDS TO FARMERS,INCREASE CROP YIELDS,1500,10,2012,FARMERS & EXTERNAL SOURCES,TOTAL LAND CARE,YES,YES,NO,NO,NO
1,20613324,NO,,,,,,,,,,,,,
1,20614477,NO,,,,,,,,,,,,,
1,20615064,NO,,,,,,,,,,,,,
1,20615735,NO,,,,,,,,,,,,,
1,20702471,YES,101,PEPPER FARMING,AGRO-FORESTRY PRACTICES,10,1,2012,FARMERS & EXTERNAL SOURCES,TOTAL LAND CARE,YES,YES,NO,NO,NO
1,20704738,NO,,,,,,,,,,,,,
1,20705372,NO,,,,,,,,,,,,,
1,20706163,NO,,,,,,,,,,,,,
1,20801046,YES,101,IMPROVE SOIL,IMPROVE SOIL QUALITY,35,10,2012,FARMERS ONLY,TOTAL LAND CARE,YES,YES,YES,NO,NO
1,20802019,NO,,,,,,,,,,,,,
1,20803156,YES,101,N2 AFRICA PROJECT[NITROGE,INCREASE CROP YIELDS,10,12,2010,EXTERNAL SOURCES ONLY,UNDP,NO,YES,NO,YES,NO
1,20804405,NO,,,,,,,,,,,,,
1,20804768,NO,,,,,,,,,,,,,
1,20806131,NO,,,,,,,,,,,,,
1,20807727,YES,101,2,IMPROVE SOIL QUALITY,40,,2012,FARMERS ONLY,TOTAL LAND CARE,YES,YES,YES,NO,NO
1,20808421,NO,,,,,,,,,,,,,
1,20903583,YES,101,TOTAL LANDCARE,INCREASE CROP YIELDS,32,5,2012,FARMERS ONLY,CARE INTERNATIONAL,YES,NO,YES,NO,NO
1,20906524,NO,,,,,,,,,,,,,
1,20906605,NO,,,,,,,,,,,,,
1,20908088,NO,,,,,,,,,,,,,
1,20908119,NO,,,,,,,,,,,,,
1,20909113,YES,101,AFRICANRISING,INCREASE CROP YIELDS,17,11,2012,EXTERNAL SOURCES ONLY,CARLA,YES,YES,NO,NO,NO
1,21037030,,,,,,,,,,,,,,
1,21037536,NO,,,,,,,,,,,,,
1,21048764,NO,,,,,,,,,,,,,
1,21051203,,,,,,,,,,,,,,
1,21052427,NO,,,,,,,,,,,,,
1,21053745,NO,,,,,,,,,,,,,
1,21055241,NO,,,,,,,,,,,,,
1,21055693,NO,,,,,,,,,,,,,
1,21066096,NO,,,,,,,,,,,,,
1,21066339,NO,,,,,,,,,,,,,
1,21074510,NO,,,,,,,,,,,,,
1,21077725,,,,,,,,,,,,,,
1,21080308,NO,,,,,,,,,,,,,
1,21081573,NO,,,,,,,,,,,,,
1,21086069,NO,,,,,,,,,,,,,
1,21086436,NO,,,,,,,,,,,,,
1,21087531,NO,,,,,,,,,,,,,
1,21088597,NO,,,,,,,,,,,,,
1,30101280,NO,,,,,,,,,,,,,
1,30101545,YES,101,NASFARM,INTRODUCE LEGUME COVER CROPS,30,6,2010,EXTERNAL SOURCES ONLY,NASFAM,YES,YES,NO,NO,NO
1,30102028,NO,,,,,,,,,,,,,
1,30102540,YES,101,NASFAM,INTRODUCE LEGUME COVER CROPS,28,2,2011,FARMERS & EXTERNAL SOURCES,NASFAM,YES,NO,YES,YES,NO
1,30103074,NO,,,,,,,,,,,,,
1,30104708,YES,101,NASFARM,INTRODUCE LEGUME COVER CROPS,10,7,2009,FARMERS & EXTERNAL SOURCES,NASFAM,YES,NO,NO,NO,NO
1,30105325,NO,,,,,,,,,,,,,
1,30105448,YES,101,NASFAM,INTRODUCE LEGUME COVER CROPS,10,7,2002,EXTERNAL SOURCES ONLY,NASFAM,YES,YES,NO,NO,NO
1,30107624,NO,,,,,,,,,,,,,
1,30108401,NO,,,,,,,,,,,,,
1,30109724,NO,,,,,,,,,,,,,
1,30202252,NO,,,,,,,,,,,,,
1,30206341,NO,,,,,,,,,,,,,
1,30206572,NO,,,,,,,,,,,,,
1,30208396,YES,101,1,IMPROVE SOIL QUALITY,20,5,2013,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,NO,NO,NO,NO,NO
2,30208396,,102,,,,,,,,,,,,
1,30212307,NO,,,,,,,,,,,,,
1,30212492,NO,,,,,,,,,,,,,
1,30302601,NO,,,,,,,,,,,,,
1,30305082,NO,,,,,,,,,,,,,
1,30305277,NO,,,,,,,,,,,,,
1,30305580,NO,,,,,,,,,,,,,
1,30306087,NO,,,,,,,,,,,,,
1,30306555,NO,,,,,,,,,,,,,
1,30307678,NO,,,,,,,,,,,,,
1,30403444,NO,,,,,,,,,,,,,
