ea_id,com_ca01,com_ca02,com_ca06,com_ca07,com_ca07a,com_ca07b,com_ca07c,com_ca12,com_ca13,com_ca13a,com_ca13b,com_ca13c,com_ca17,com_ca18,com_ca19,com_ca20,com_ca21,com_ca22,com_ca23,com_ca24
20111718,Kasungu,11,40,26aug2010,26,8,2010,49,29aug2010,29,8,2010,YES,NO,YES,YES,NO,YES,MUD BRICK (UNFIRED),GRASS
20112661,Kasungu,12,40,11jun2010,11,6,2010,49,29jun2010,29,6,2010,YES,NO,YES,YES,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
20113112,Kasungu,13,40,29mar2010,29,3,2010,49,25may2010,25,5,2010,NO,NO,YES,YES,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
20115434,Kasungu,15,40,20jul2010,20,7,2010,49,24jul2010,24,7,2010,YES,NO,YES,YES,YES,YES,MUD BRICK (UNFIRED),GRASS
20205207,Nkhota kota,5,50,24sep2010,24,9,2010,59,02oct2010,2,10,2010,NO,NO,YES,YES,NO,YES,BURNT BRICKS,GRASS
20206362,Nkhota kota,6,50,03apr2010,3,4,2010,59,26may2010,26,5,2010,NO,NO,YES,YES,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
20302539,Ntchisi,2,50,27apr2010,27,4,2010,59,26may2010,26,5,2010,NO,NO,NO,NO,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
20303065,Ntchisi,3,50,08jun2010,8,6,2010,59,07jul2010,7,7,2010,NO,NO,YES,NO,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
20305301,Ntchisi,5,50,26aug2010,26,8,2010,59,26aug2010,26,8,2010,NO,NO,YES,YES,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
20306557,Ntchisi,6,50,20jul2010,20,7,2010,59,04aug2010,4,8,2010,NO,NO,YES,YES,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
20402198,Dowa,2,40,01sep2010,1,9,2010,49,20sep2010,20,9,2010,YES,NO,YES,YES,NO,YES,BURNT BRICKS,GRASS
20404032,Dowa,4,40,29apr2010,29,4,2010,49,25may2010,25,5,2010,YES,NO,YES,YES,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
20404575,Dowa,4,40,31aug2010,31,8,2010,49,08sep2010,8,9,2010,NO,NO,YES,NO,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
20405366,Dowa,5,40,09jun2010,9,6,2010,49,27jun2010,27,6,2010,YES,NO,YES,NO,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
20407398,Dowa,7,40,23jul2010,23,7,2010,49,06aug2010,6,8,2010,YES,NO,YES,YES,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
20407481,Dowa,7,40,01apr2010,1,4,2010,49,25may2010,25,5,2010,YES,NO,YES,YES,NO,YES,MUD BRICK (UNFIRED),IRON SHEETS
20507089,Salima,7,80,18sep2010,18,9,2010,89,25oct2010,25,10,2010,NO,NO,NO,NO,NO,YES,MUD BRICK (UNFIRED),GRASS
