HHID,case_id,visit,ea_id,fs_h0c,fs_h07,fs_h08,fs_h09,fs_h10,fs_h11,fs_h12,fs_h13,fs_h14a,fs_h14b,fs_h14c,fs_h14d
1381,207053720086,1,20705372,bwato (dugout),No,,,,,,,0,0,0,0
1381,207053720086,1,20705372,plankboat,No,,,,,,,,,,
1381,207053720086,1,20705372,outboard engine,No,,,,,,,,,,
1381,207053720086,1,20705372,"other, specify",No,,,,,,,,,,
1381,207053720086,1,20705372,"other, specify",No,,,,,,,,,,
1429,207061630586,1,20706163,bwato (dugout),No,,,,,,,0,0,0,0
1429,207061630586,1,20706163,plankboat,No,,,,,,,,,,
1429,207061630586,1,20706163,outboard engine,No,,,,,,,,,,
1429,207061630586,1,20706163,"other, specify",No,,,,,,,,,,
1429,207061630586,1,20706163,"other, specify",No,,,,,,,,,,
1461,208044050092,1,20804405,,,,,,,,,,,,
1637,210375360135,1,21037536,bwato (dugout),,,,,,,,,,,
1637,210375360135,1,21037536,plankboat,,,,,,,,,,,
1637,210375360135,1,21037536,outboard engine,,,,,,,,,,,
1637,210375360135,1,21037536,"other, specify",,,,,,,,,,,
1637,210375360135,1,21037536,"other, specify",,,,,,,,,,,
1951,301012800005,1,30101280,,,,,,,,,,,,
1923,301012800063,1,30101280,,,,,,,,,,,,
1935,301012800066,1,30101280,,,,,,,,,,,,
1943,301012800128,1,30101280,bwato (dugout),No,,,,,,,1,1,0,0
1943,301012800128,1,30101280,plankboat,Yes,1,0,4000,0,0,0,,,,
1943,301012800128,1,30101280,outboard engine,No,,,,,,,,,,
1943,301012800128,1,30101280,"other, specify",No,,,,,,,,,,
1943,301012800128,1,30101280,"other, specify",No,,,,,,,,,,
1939,301012800172,1,30101280,bwato (dugout),No,,,,,,,0,0,0,0
1939,301012800172,1,30101280,plankboat,Yes,1,1,5000,0,0,0,1,2,0,0
1939,301012800172,1,30101280,outboard engine,No,,,,,,,,,,
1939,301012800172,1,30101280,"other, specify",No,,,,,,,,,,
1939,301012800172,1,30101280,"other, specify",No,,,,,,,,,,
1979,301020280258,1,30102028,bwato (dugout),No,,,,,,,0,0,0,0
1979,301020280258,1,30102028,plankboat,No,,,,,,,,,,
