HHID,case_id,visit,ea_id,fs_f00,fs_f01,fs_f01_os,fs_f02a,fs_f02b,fs_f02c,fs_f02d,fs_f02e,fs_f02f,fs_f02g,fs_f02h,fs_f03a,fs_f03b,fs_f03b_os,fs_f03c,fs_f03c_os,fs_f03d,fs_f03e,fs_f03f,fs_f03f_os,fs_f03g,fs_f03g_os,fs_f03h
1939,301012800172,1,30101280,1,Makumba,,20,Dozen,Fresh,5000,,,,,20,Dozen,,Fresh,,5000,0,,,,,
1939,301012800172,1,30101280,1,Usipa,,180,Large basket,Fresh,10000,,,,,180,Large basket,,Fresh,,2400,0,,,,,
1939,301012800172,1,30101280,1,Utaka,,30,Large basket,Fresh,2400,,,,,30,Large basket,,Fresh,,2400,,,,,,
1979,301020280258,1,30102028,1,Matemda,,8,Large basket,Fresh,18000,,,,,8,Large basket,,Fresh,,18000,,,,,,
1979,301020280258,1,30102028,1,Utaka,,4,Large basket,Fresh,12000,,,,,4,Large basket,,Fresh,,12000,,,,,,
2053,301084010268,1,30108401,2,,,,,,,,,,,,,,,,,,,,,,
2189,303026010171,1,30302601,1,Mlamba,,1,Large basket,Fresh,8000,,,,,1,Large basket,,Smoked,,1500,,,,,,
2189,303026010171,1,30302601,1,Chambo,,15,Kilogram,Fresh,3000,,,,,15,Kilogram,,Smoked,,6000,,,,,,
2223,303052770138,1,30305277,1,Matemda,,1,Small basket,Sun-dried,550,,,,,1,Small basket,,Sun-dried,,1100,,,,,,
2223,303052770138,1,30305277,1,Usipa,,1,Small basket,Smoked,900,,,,,.5,Small basket,,Smoked,,1500,,,,,,
2223,303052770138,1,30305277,1,Utaka,,1,Small basket,Smoked,700,,,,,1,Small basket,,Smoked,,2000,,,,,,
2257,303055800113,1,30305580,1,Matemda,,1,5 kg bag,Sun-dried,300,,,,,1,5 kg bag,,Sun-dried,,700,,,,,,
2278,303076780046,2,30307678,1,Usipa,,2,5 kg bag,Sun-dried,300,,,,,2,5 kg bag,,Sun-dried,,700,,,,,,
2355,304067100177,1,30406710,1,Chambo,,2,Large basket,Fresh,3700,,,,,2,Large basket,,Fresh,,7000,,,,,,
2399,305024560043,1,30502456,1,Makakani,,350,Dozen,Sun-dried,50,,,,,350,Dozen,,Sun-dried,,80,,,,,,
2399,305024560043,1,30502456,1,Mlamba,,27,Dozen,Sun-dried,150,,,,,27,Dozen,,Sun-dried,,320,,,,,,
2399,305024560043,1,30502456,1,Chambo,,210,Dozen,Sun-dried,80,,,,,210,Dozen,,Sun-dried,,150,,,,,,
2454,307086650188,2,30708665,1,Matemda,,3,Small basket,Sun-dried,1800,,,,,1,Small basket,,Sun-dried,,1000,,,,,,
2454,307086650188,2,30708665,1,Usipa,,1,Small basket,Sun-dried,600,,,,,1,Small basket,,Sun-dried,,1000,,,,,,
2454,307086650188,2,30708665,1,Utaka,,1,Small basket,Sun-dried,600,,,,,1,Small basket,,Sun-dried,,1000,,,,,,
2581,307116840099,1,30711684,1,Usipa,,2,Small basket,Sun-dried,3000,,,,,1,Small basket,,Sun-dried,,3000,,,,,,
2581,307116840099,1,30711684,1,Utaka,,150,Piece,Smoked,2000,,,,,50,Piece,,Smoked,,2000,,,,,,
2569,307116840228,1,30711684,1,Chambo,,3,10 kg bag,Smoked,10000,,,,,6,10 kg bag,,Smoked,,25000,,,,,,
2569,307116840228,1,30711684,1,Ncheni,,1,5 kg bag,Smoked,8000,,,,,3,5 kg bag,,Smoked,,15000,,,,,,
2569,307116840228,1,30711684,1,Utaka,,1,10 kg bag,Smoked,17000,,,,,1,25 kg bag,,Smoked,,20000,,,,,,
2623,308016720066,1,30801672,1,Makakani,,3,Dozen,Sun-dried,8000,,,,,3,Dozen,,Sun-dried,,16000,,,,,,
2623,308016720066,1,30801672,1,Mlamba,,4,Dozen,Sun-dried,9000,,,,,4,Dozen,,Sun-dried,,18000,,,,,,
2623,308016720066,1,30801672,1,Matemda,,3,Dozen,Sun-dried,8000,,,,,2,Dozen,,Sun-dried,,16000,,,,,,
2777,310021690162,1,31002169,1,Chambo,,200,Piece,Sun-dried,2500,,,,,200,Piece,,Sun-dried,,3000,,,,,,
