ea_id,com_cg01,com_cg02,com_cg03,com_cg04,com_cg05,com_cg06,com_cg07,com_cg08,com_cg09,com_cg10,com_cg11,com_cg12,com_cg13,com_cg14,com_cg15,com_cg16,com_cg17,com_cg18,com_cg19,com_cg20,com_cg21,com_cg22,com_cg23,com_cg24,com_cg25,com_cg26,com_cg27,com_cg28,com_cg29,com_cg30,com_cg31,com_cg32,com_cg33,com_cg34
30109724,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,WORSE,WORSE,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,MUCH BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,ABOUT THE SAME,WORSE,WORSE,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,4
30202252,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,WORSE,WORSE,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,BETTER,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,WORSE,BETTER,MUCH WORSE,MUCH WORSE,WORSE,WORSE,BETTER,ABOUT THE SAME,4
30206341,MUCH BETTER,MUCH BETTER,BETTER,BETTER,BETTER,MUCH WORSE,WORSE,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,BETTER,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,WORSE,BETTER,WORSE,MUCH WORSE,WORSE,WORSE,BETTER,BETTER,4
30206572,BETTER,BETTER,BETTER,MUCH BETTER,ABOUT THE SAME,MUCH WORSE,MUCH WORSE,BETTER,MUCH WORSE,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,WORSE,ABOUT THE SAME,BETTER,BETTER,BETTER,ABOUT THE SAME,BETTER,WORSE,WORSE,ABOUT THE SAME,BETTER,MUCH WORSE,WORSE,WORSE,BETTER,ABOUT THE SAME,4
30208396,BETTER,BETTER,BETTER,ABOUT THE SAME,NOT APPLICABLE,WORSE,WORSE,WORSE,BETTER,BETTER,WORSE,BETTER,BETTER,WORSE,WORSE,WORSE,WORSE,ABOUT THE SAME,WORSE,BETTER,BETTER,BETTER,NOT APPLICABLE,WORSE,BETTER,BETTER,BETTER,ABOUT THE SAME,BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,MUCH WORSE,112
30212307,BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH WORSE,MUCH WORSE,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,MUCH BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,MUCH BETTER,ABOUT THE SAME,BETTER,BETTER,WORSE,WORSE,WORSE,WORSE,WORSE,WORSE,BETTER,BETTER,4
30212492,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,WORSE,WORSE,ABOUT THE SAME,BETTER,MUCH BETTER,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,BETTER,BETTER,WORSE,BETTER,WORSE,MUCH WORSE,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,4
30302601,BETTER,BETTER,BETTER,NOT APPLICABLE,MUCH WORSE,WORSE,MUCH WORSE,BETTER,NOT APPLICABLE,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,ABOUT THE SAME,BETTER,BETTER,MUCH WORSE,WORSE,BETTER,BETTER,BETTER,WORSE,MUCH WORSE,WORSE,BETTER,BETTER,BETTER,37
30305082,WORSE,BETTER,BETTER,NOT APPLICABLE,NOT APPLICABLE,WORSE,WORSE,BETTER,WORSE,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,WORSE,WORSE,ABOUT THE SAME,BETTER,BETTER,BETTER,WORSE,BETTER,BETTER,BETTER,WORSE,WORSE,ABOUT THE SAME,BETTER,BETTER,MUCH BETTER,MUCH BETTER,250
30305277,ABOUT THE SAME,BETTER,BETTER,WORSE,MUCH WORSE,WORSE,NOT APPLICABLE,BETTER,ABOUT THE SAME,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,WORSE,WORSE,BETTER,WORSE,ABOUT THE SAME,ABOUT THE SAME,WORSE,WORSE,ABOUT THE SAME,ABOUT THE SAME,WORSE,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,ABOUT THE SAME,15
30305580,MUCH WORSE,BETTER,BETTER,NOT APPLICABLE,NOT APPLICABLE,WORSE,MUCH WORSE,BETTER,BETTER,BETTER,ABOUT THE SAME,WORSE,BETTER,WORSE,BETTER,BETTER,WORSE,WORSE,BETTER,BETTER,WORSE,BETTER,WORSE,WORSE,WORSE,ABOUT THE SAME,WORSE,WORSE,WORSE,ABOUT THE SAME,BETTER,BETTER,BETTER,2067
30306087,MUCH WORSE,BETTER,BETTER,WORSE,MUCH WORSE,MUCH BETTER,NOT APPLICABLE,ABOUT THE SAME,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,WORSE,BETTER,BETTER,WORSE,ABOUT THE SAME,BETTER,MUCH WORSE,BETTER,BETTER,ABOUT THE SAME,WORSE,WORSE,ABOUT THE SAME,WORSE,WORSE,BETTER,BETTER,11
30306555,WORSE,BETTER,WORSE,ABOUT THE SAME,MUCH WORSE,WORSE,WORSE,WORSE,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,WORSE,WORSE,WORSE,WORSE,ABOUT THE SAME,ABOUT THE SAME,WORSE,WORSE,BETTER,WORSE,WORSE,WORSE,WORSE,BETTER,BETTER,BETTER,MUCH BETTER,105
30307678,BETTER,BETTER,BETTER,ABOUT THE SAME,BETTER,BETTER,WORSE,WORSE,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,WORSE,WORSE,ABOUT THE SAME,BETTER,BETTER,ABOUT THE SAME,WORSE,BETTER,BETTER,WORSE,WORSE,WORSE,BETTER,WORSE,WORSE,WORSE,WORSE,164
30403444,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,WORSE,MUCH WORSE,MUCH WORSE,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH WORSE,WORSE,MUCH BETTER,MUCH BETTER,WORSE,WORSE,BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,MUCH WORSE,MUCH WORSE,MUCH WORSE,MUCH BETTER,MUCH WORSE,MUCH WORSE,MUCH WORSE,BETTER,WORSE,WORSE,WORSE,4
30406710,WORSE,WORSE,WORSE,WORSE,MUCH WORSE,MUCH WORSE,MUCH WORSE,WORSE,MUCH BETTER,MUCH BETTER,WORSE,MUCH WORSE,BETTER,MUCH BETTER,MUCH BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,BETTER,WORSE,WORSE,WORSE,WORSE,MUCH WORSE,MUCH WORSE,ABOUT THE SAME,MUCH WORSE,MUCH WORSE,WORSE,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,1
30501383,BETTER,MUCH BETTER,MUCH BETTER,BETTER,MUCH BETTER,WORSE,BETTER,WORSE,BETTER,BETTER,ABOUT THE SAME,BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,MUCH BETTER,MUCH BETTER,BETTER,MUCH BETTER,BETTER,MUCH BETTER,WORSE,MUCH WORSE,MUCH WORSE,MUCH WORSE,ABOUT THE SAME,ABOUT THE SAME,WORSE,1
30502456,WORSE,WORSE,WORSE,WORSE,WORSE,WORSE,WORSE,WORSE,WORSE,WORSE,BETTER,WORSE,WORSE,MUCH BETTER,WORSE,WORSE,WORSE,ABOUT THE SAME,WORSE,ABOUT THE SAME,WORSE,WORSE,NOT APPLICABLE,WORSE,BETTER,MUCH WORSE,WORSE,MUCH WORSE,BETTER,BETTER,BETTER,BETTER,BETTER,1
