ea_id,com_cd01,com_cd02a,com_cd02b,com_cd03,com_cd04,com_cd05,com_cd06,com_cd07a,com_cd07b,com_cd08a,com_cd08b,com_cd09,com_cd10a,com_cd10b,com_cd11,com_cd12,com_cd13a,com_cd13b,com_cd13c,com_cd14,com_cd15,com_cd16a,com_cd16b,com_cd17,com_cd18a,com_cd18b,com_cd19,com_cd20a,com_cd20b,com_cd21,com_cd22a,com_cd22b,com_cd23,com_cd24a,com_cd24b,com_cd25,com_cd26,com_cd27a,com_cd27b,com_cd28,com_cd29,com_cd30,com_cd31,com_cd32,com_cd33,com_cd34,com_cd35,com_cd36a,com_cd36b,com_cd37,com_cd38,com_cd39,com_cd40a,com_cd40b,com_cd41,com_cd42,com_cd43,com_cd44,com_cd45,com_cd46,com_cd47,com_cd48,com_cd49a,com_cd49b,com_cd50,com_cd51a,com_cd51b,com_cd52,com_cd53,com_cd54,com_cd55,com_cd56,com_cd57,com_cd58,com_cd59,com_cd60a,com_cd60b,com_cd61,com_cd62,com_cd63,com_cd64,com_cd65a,com_cd65b,com_cd65c,com_cd65d,com_cd65e,com_cd65f,com_cd65g,com_cd66,com_cd67a,com_cd67b,com_cd68,com_cd69a,com_cd69b,com_cd70,com_cd71
30305082,DIRT ROAD (MAINTAINED),10,KM,NO,9,9,NO,10,KM,1,HOUR,NO,50,KM,400,NO,50,KM,ZOMBA,400,NO,10,KM,YES,,,NO,5,KM,NO,5,KM,NO,5,KM,14,2,2,KM,12,1500,YES,,YES,ALMOST ALL,COOKED FOOD,NO,5,KM,0,0,NO,5,KM,8,350,NO,0,0,0,0,NO,5,KM,NO,10,KM,ALWAYS AVAILABLE,RELIGIOUS FACILITY,YES,NO,NO,,,,5,KM,RELIGIOUS FACILITY,NO,,NO,,,,,,,,NO,50,KM,NO,50,KM,NO,NO
30305277,DIRT ROAD (MAINTAINED),5,KM,YES,12,12,YES,,,10,MINUTE,NO,15,KM,300,NO,15,KM,ZOMBA,300,NO,3,KM,YES,,,YES,,,YES,,,NO,3,KM,4,1,1,KM,7,1284,YES,,NO,,,NO,7,KM,12,200,NO,3,KM,11,250,NO,0,0,0,0,YES,,,NO,5,KM,,,,NO,,,,,3,KM,GOVERNMENT FACILITY,YES,850,NO,,,,,,,,NO,15,KM,NO,5,KM,NO,NO
30305580,DIRT ROAD (MAINTAINED),26,KM,YES,12,12,NO,26,KM,10,HOUR,NO,36,KM,650,NO,15,KM,ZOMBA,250,NO,36,KM,NO,7,KM,NO,13,KM,NO,13,KM,NO,13,KM,13,1,7,KM,5,850,YES,,NO,,,NO,13,KM,9,289,YES,15,KM,15,274,YES,0,0,0,3,NO,36,KM,NO,13,KM,,,,NO,,,,,13,KM,GOVERNMENT FACILITY,YES,850,NO,,,,,,,,NO,36,KM,NO,36,KM,NO,NO
30306087,DIRT ROAD (MAINTAINED),37,KM,NO,9,8,NO,4,KM,3,HOUR,NO,41,KM,700,NO,41,KM,ZOMBA,700,NO,4,KM,NO,6,KM,NO,4,KM,NO,16,KM,NO,16,KM,4,1,4,KM,5,1216,YES,,NO,,,NO,16,KM,13,290,YES,4,KM,10,305,NO,3,0,0,0,YES,,,NO,4,KM,ALWAYS AVAILABLE,RELIGIOUS FACILITY,NO,YES,,,,,4,KM,RELIGIOUS FACILITY,YES,0,YES,,,,,,,,NO,41,KM,NO,41,KM,NO,NO
30306555,DIRT ROAD (MAINTAINED),25,KM,NO,8,8,NO,25,KM,5,MINUTE,NO,98,KM,1000,NO,98,KM,ZOMBA,1000,NO,5,KM,NO,5,KM,NO,25,KM,NO,25,KM,NO,20,KM,24,0,500,METER,11,758,YES,,YES,ALMOST ALL,COOKED FOOD,NO,98,KM,32,800,YES,500,METER,7,176,NO,0,0,0,0,NO,25,KM,NO,25,KM,ALWAYS AVAILABLE,GOVERNMENT FACILITY,YES,NO,,,,,98,KM,GOVERNMENT FACILITY,NO,,YES,YES,NO,NO,YES,NO,2,,NO,98,KM,NO,98,KM,NO,NO
30307678,TAR/ASPHALT,100,METER,YES,12,12,YES,,,5,MINUTE,NO,24,KM,200,YES,,,,,YES,,,NO,12,KM,YES,,,YES,,,YES,,,7,1,1,KM,18,1264,YES,,NO,,,NO,5,KM,7,240,YES,1,KM,12,200,NO,2,1,1,2,YES,,,NO,1,KM,ALWAYS AVAILABLE,RELIGIOUS FACILITY,YES,NO,NO,,,,1,KM,RELIGIOUS FACILITY,YES,0,NO,,,,,,,,NO,24,KM,NO,24,KM,NO,NO
30403444,DIRT ROAD (MAINTAINED),5,METER,YES,12,12,YES,,,5,MINUTE,NO,80,KM,730,NO,30,KM,ZOMBA,280,YES,,,YES,,,NO,10,KM,YES,,,YES,,,6,2,0,,11,918,YES,,YES,ALMOST ALL,COOKED FOOD,NO,70,KM,37,580,YES,0,KM,12,363,NO,0,0,0,0,YES,,,YES,,,ALWAYS AVAILABLE,GOVERNMENT FACILITY,YES,YES,,,,,0,KM,GOVERNMENT FACILITY,NO,,NO,,,,,,,,NO,25,KM,NO,25,KM,NO,NO
30406710,DIRT ROAD (MAINTAINED),15,KM,NO,0,8,NO,15,KM,10,MINUTE,NO,16,KM,300,NO,35,KM,BLANTYRE,500,NO,16,KM,YES,,,NO,15,KM,NO,4,MILE,NO,4,MILE,4,1,4,KM,11,1194,YES,,YES,ALMOST ALL,COOKED FOOD,NO,25,KM,27,280,YES,45,KM,6,196,NO,1,0,0,1,NO,15,KM,NO,5,KM,,,,NO,NO,,,,15,KM,GOVERNMENT FACILITY,NO,,NO,,,,,,,,NO,35,KM,NO,35,KM,NO,NO
30501383,GRADED GRAVELED,7,KM,YES,12,12,YES,,,5,MINUTE,NO,16,KM,100,NO,16,KM,BLANTYRE,100,NO,2,KM,NO,5,KM,NO,20,KM,NO,5,KM,NO,5,KM,15,1,5,KM,17,569,YES,,YES,ALMOST ALL,COOKED FOOD,NO,5,KM,30,560,NO,10,METER,26,472,NO,2,0,0,2,YES,,,NO,15,KM,,,,NO,YES,FEMALE,YES,YES,15,KM,GOVERNMENT FACILITY,YES,0,YES,YES,NO,YES,YES,YES,2,,NO,5,KM,NO,15,KM,NO,NO
30502456,DIRT ROAD (MAINTAINED),10,KM,NO,0,0,NO,10,KM,5,MINUTE,NO,33,KM,350,NO,33,KM,BLANTYRE,350,NO,10,KM,NO,10,KM,NO,10,KM,NO,10,KM,NO,10,KM,8,1,10,KM,14,1782,YES,,NO,,,NO,21,KM,30,560,YES,11,KM,19,307,YES,0,0,0,0,NO,10,KM,NO,10,KM,,,,NO,,,,,10,KM,GOVERNMENT FACILITY,NO,,NO,,,,,,,,NO,33,KM,NO,33,KM,YES,
30503685,DIRT ROAD (MAINTAINED),5,KM,NO,8,8,NO,5,KM,5,MINUTE,NO,50,KM,450,NO,50,KM,BLANTYRE,450,YES,,,NO,5,KM,NO,5,KM,NO,5,KM,NO,5,KM,11,0,0,KM,7,861,NO,3,NO,,,NO,35,KM,30,560,YES,5,KM,9,210,YES,2,0,0,0,YES,,,NO,5,KM,,,,YES,YES,FEMALE,YES,YES,50,KM,GOVERNMENT FACILITY,YES,850,YES,YES,NO,YES,NO,NO,1,,NO,50,KM,NO,50,KM,YES,
