HHID,case_id,visit,ea_id,fs_e0a,fs_e14,fs_e15,fs_e16
410,104041860030,2,10404186,kambuzi(beach)seine,No,,
410,104041860030,2,10404186,mbedza(long /hand line),No,,
410,104041860030,2,10404186,mbuka/ntaya/ukonde (gillnet),No,,
410,104041860030,2,10404186,mono(fish traps),No,,
410,104041860030,2,10404186,chavi (castnet),No,,
386,104041860034,2,10404186,usipa(mosquito)net,No,,
386,104041860034,2,10404186,kambuzi(beach)seine,No,,
386,104041860034,2,10404186,mbedza(long /hand line),No,,
386,104041860034,2,10404186,mbuka/ntaya/ukonde (gillnet),No,,
386,104041860034,2,10404186,mono(fish traps),No,,
386,104041860034,2,10404186,chavi (castnet),No,,
406,104041860039,2,10404186,usipa(mosquito)net,No,,
406,104041860039,2,10404186,kambuzi(beach)seine,No,,
406,104041860039,2,10404186,mbedza(long /hand line),No,,
406,104041860039,2,10404186,mbuka/ntaya/ukonde (gillnet),No,,
406,104041860039,2,10404186,mono(fish traps),No,,
406,104041860039,2,10404186,chavi (castnet),No,,
394,104041860043,2,10404186,usipa(mosquito)net,No,,
394,104041860043,2,10404186,kambuzi(beach)seine,No,,
394,104041860043,2,10404186,mbedza(long /hand line),No,,
394,104041860043,2,10404186,mbuka/ntaya/ukonde (gillnet),No,,
394,104041860043,2,10404186,mono(fish traps),No,,
394,104041860043,2,10404186,chavi (castnet),No,,
408,104041860061,2,10404186,usipa(mosquito)net,No,,
408,104041860061,2,10404186,kambuzi(beach)seine,No,,
408,104041860061,2,10404186,mbedza(long /hand line),No,,
408,104041860061,2,10404186,mbuka/ntaya/ukonde (gillnet),No,,
408,104041860061,2,10404186,mono(fish traps),No,,
408,104041860061,2,10404186,chavi (castnet),No,,
390,104041860065,2,10404186,usipa(mosquito)net,Yes,1,0
390,104041860065,2,10404186,kambuzi(beach)seine,No,,
390,104041860065,2,10404186,mbedza(long /hand line),No,,
390,104041860065,2,10404186,mbuka/ntaya/ukonde (gillnet),No,,
390,104041860065,2,10404186,mono(fish traps),No,,
390,104041860065,2,10404186,chavi (castnet),No,,
412,104041860083,2,10404186,usipa(mosquito)net,No,,
412,104041860083,2,10404186,kambuzi(beach)seine,No,,
412,104041860083,2,10404186,mbedza(long /hand line),No,,
412,104041860083,2,10404186,mbuka/ntaya/ukonde (gillnet),No,,
412,104041860083,2,10404186,mono(fish traps),No,,
412,104041860083,2,10404186,chavi (castnet),No,,
424,105015050001,2,10501505,usipa(mosquito)net,No,,
424,105015050001,2,10501505,kambuzi(beach)seine,No,,
424,105015050001,2,10501505,mbedza(long /hand line),No,,
424,105015050001,2,10501505,mbuka/ntaya/ukonde (gillnet),No,,
424,105015050001,2,10501505,mono(fish traps),No,,
424,105015050001,2,10501505,chavi (castnet),No,,
501,105033670018,1,10503367,usipa(mosquito)net,No,,
501,105033670018,1,10503367,kambuzi(beach)seine,No,,
501,105033670018,1,10503367,mbedza(long /hand line),No,,
501,105033670018,1,10503367,mbuka/ntaya/ukonde (gillnet),No,,
501,105033670018,1,10503367,mono(fish traps),No,,
501,105033670018,1,10503367,chavi (castnet),No,,
633,107321920281,1,10732192,usipa(mosquito)net,No,,
633,107321920281,1,10732192,kambuzi(beach)seine,No,,
633,107321920281,1,10732192,mbedza(long /hand line),No,,
633,107321920281,1,10732192,mbuka/ntaya/ukonde (gillnet),No,,
633,107321920281,1,10732192,mono(fish traps),No,,
633,107321920281,1,10732192,chavi (castnet),No,,
764,107462440085,2,10746244,usipa(mosquito)net,No,,
764,107462440085,2,10746244,kambuzi(beach)seine,No,,
764,107462440085,2,10746244,mbedza(long /hand line),No,,
764,107462440085,2,10746244,mbuka/ntaya/ukonde (gillnet),No,,
764,107462440085,2,10746244,mono(fish traps),No,,
764,107462440085,2,10746244,chavi (castnet),No,,
793,201106200267,1,20110620,usipa(mosquito)net,No,,
793,201106200267,1,20110620,kambuzi(beach)seine,No,,
793,201106200267,1,20110620,mbedza(long /hand line),No,,
793,201106200267,1,20110620,mbuka/ntaya/ukonde (gillnet),No,,
793,201106200267,1,20110620,mono(fish traps),No,,
793,201106200267,1,20110620,chavi (castnet),No,,
973,204040320072,1,20404032,usipa(mosquito)net,No,,
973,204040320072,1,20404032,kambuzi(beach)seine,No,,
973,204040320072,1,20404032,mbedza(long /hand line),No,,
973,204040320072,1,20404032,mbuka/ntaya/ukonde (gillnet),No,,
973,204040320072,1,20404032,mono(fish traps),No,,
973,204040320072,1,20404032,chavi (castnet),No,,
1107,205083490010,1,20508349,usipa(mosquito)net,No,,
1107,205083490010,1,20508349,kambuzi(beach)seine,No,,
1107,205083490010,1,20508349,mbedza(long /hand line),No,,
1107,205083490010,1,20508349,mbuka/ntaya/ukonde (gillnet),No,,
1107,205083490010,1,20508349,mono(fish traps),No,,
1107,205083490010,1,20508349,chavi (castnet),No,,
1091,205083490121,1,20508349,usipa(mosquito)net,No,,
1091,205083490121,1,20508349,kambuzi(beach)seine,No,,
1091,205083490121,1,20508349,mbedza(long /hand line),No,,
1091,205083490121,1,20508349,mbuka/ntaya/ukonde (gillnet),No,,
1091,205083490121,1,20508349,mono(fish traps),No,,
1091,205083490121,1,20508349,chavi (castnet),No,,
1381,207053720086,1,20705372,usipa(mosquito)net,No,,
1381,207053720086,1,20705372,kambuzi(beach)seine,No,,
1381,207053720086,1,20705372,mbedza(long /hand line),No,,
1381,207053720086,1,20705372,mbuka/ntaya/ukonde (gillnet),No,,
1381,207053720086,1,20705372,mono(fish traps),No,,
1381,207053720086,1,20705372,chavi (castnet),No,,
1429,207061630586,1,20706163,usipa(mosquito)net,No,,
1429,207061630586,1,20706163,kambuzi(beach)seine,No,,
1429,207061630586,1,20706163,mbedza(long /hand line),No,,
1429,207061630586,1,20706163,mbuka/ntaya/ukonde (gillnet),No,,
1429,207061630586,1,20706163,mono(fish traps),No,,
1429,207061630586,1,20706163,chavi (castnet),No,,
1461,208044050092,1,20804405,usipa(mosquito)net,No,,
1461,208044050092,1,20804405,kambuzi(beach)seine,No,,
1461,208044050092,1,20804405,mbedza(long /hand line),No,,
1461,208044050092,1,20804405,mbuka/ntaya/ukonde (gillnet),No,,
1461,208044050092,1,20804405,mono(fish traps),No,,
1461,208044050092,1,20804405,chavi (castnet),No,,
1637,210375360135,1,21037536,usipa(mosquito)net,No,,
1637,210375360135,1,21037536,kambuzi(beach)seine,No,,
1637,210375360135,1,21037536,mbedza(long /hand line),No,,
1637,210375360135,1,21037536,mbuka/ntaya/ukonde (gillnet),No,,
1637,210375360135,1,21037536,mono(fish traps),No,,
1637,210375360135,1,21037536,chavi (castnet),No,,
1951,301012800005,1,30101280,usipa(mosquito)net,No,,
1951,301012800005,1,30101280,kambuzi(beach)seine,No,,
1951,301012800005,1,30101280,mbedza(long /hand line),No,,
1951,301012800005,1,30101280,mbuka/ntaya/ukonde (gillnet),No,,
1951,301012800005,1,30101280,mono(fish traps),No,,
1951,301012800005,1,30101280,chavi (castnet),No,,
1923,301012800063,1,30101280,usipa(mosquito)net,No,,
1923,301012800063,1,30101280,kambuzi(beach)seine,No,,
1923,301012800063,1,30101280,mbedza(long /hand line),No,,
1923,301012800063,1,30101280,mbuka/ntaya/ukonde (gillnet),No,,
1923,301012800063,1,30101280,mono(fish traps),No,,
1923,301012800063,1,30101280,chavi (castnet),No,,
1935,301012800066,1,30101280,usipa(mosquito)net,No,,
1935,301012800066,1,30101280,kambuzi(beach)seine,No,,
1935,301012800066,1,30101280,mbedza(long /hand line),No,,
1935,301012800066,1,30101280,mbuka/ntaya/ukonde (gillnet),No,,
1935,301012800066,1,30101280,mono(fish traps),No,,
1935,301012800066,1,30101280,chavi (castnet),No,,
1943,301012800128,1,30101280,usipa(mosquito)net,No,,
1943,301012800128,1,30101280,kambuzi(beach)seine,No,,
1943,301012800128,1,30101280,mbedza(long /hand line),No,,
1943,301012800128,1,30101280,mbuka/ntaya/ukonde (gillnet),No,,
1943,301012800128,1,30101280,mono(fish traps),No,,
1943,301012800128,1,30101280,chavi (castnet),No,,
1939,301012800172,1,30101280,usipa(mosquito)net,No,,
1939,301012800172,1,30101280,kambuzi(beach)seine,No,,
1939,301012800172,1,30101280,mbedza(long /hand line),No,,
1939,301012800172,1,30101280,mbuka/ntaya/ukonde (gillnet),No,,
1939,301012800172,1,30101280,mono(fish traps),No,,
1939,301012800172,1,30101280,chavi (castnet),No,,
1979,301020280258,1,30102028,usipa(mosquito)net,No,,
1979,301020280258,1,30102028,kambuzi(beach)seine,No,,
1979,301020280258,1,30102028,mbedza(long /hand line),No,,
1979,301020280258,1,30102028,mbuka/ntaya/ukonde (gillnet),No,,
1979,301020280258,1,30102028,mono(fish traps),No,,
1979,301020280258,1,30102028,chavi (castnet),No,,
2053,301084010268,1,30108401,usipa(mosquito)net,No,,
2053,301084010268,1,30108401,kambuzi(beach)seine,No,,
2053,301084010268,1,30108401,mbedza(long /hand line),No,,
2053,301084010268,1,30108401,mbuka/ntaya/ukonde (gillnet),No,,
2053,301084010268,1,30108401,mono(fish traps),No,,
2053,301084010268,1,30108401,chavi (castnet),No,,
2189,303026010171,1,30302601,usipa(mosquito)net,No,,
2189,303026010171,1,30302601,kambuzi(beach)seine,No,,
2189,303026010171,1,30302601,mbedza(long /hand line),No,,
2189,303026010171,1,30302601,mbuka/ntaya/ukonde (gillnet),No,,
2189,303026010171,1,30302601,mono(fish traps),No,,
2189,303026010171,1,30302601,chavi (castnet),No,,
2223,303052770138,1,30305277,usipa(mosquito)net,No,,
2223,303052770138,1,30305277,kambuzi(beach)seine,No,,
2223,303052770138,1,30305277,mbedza(long /hand line),No,,
2223,303052770138,1,30305277,mbuka/ntaya/ukonde (gillnet),No,,
2223,303052770138,1,30305277,mono(fish traps),No,,
2223,303052770138,1,30305277,chavi (castnet),No,,
2257,303055800113,1,30305580,usipa(mosquito)net,No,,
2257,303055800113,1,30305580,kambuzi(beach)seine,No,,
2257,303055800113,1,30305580,mbedza(long /hand line),No,,
2257,303055800113,1,30305580,mbuka/ntaya/ukonde (gillnet),No,,
2257,303055800113,1,30305580,mono(fish traps),No,,
2257,303055800113,1,30305580,chavi (castnet),No,,
2278,303076780046,2,30307678,usipa(mosquito)net,No,,
2278,303076780046,2,30307678,kambuzi(beach)seine,No,,
2278,303076780046,2,30307678,mbedza(long /hand line),No,,
2278,303076780046,2,30307678,mbuka/ntaya/ukonde (gillnet),No,,
2278,303076780046,2,30307678,mono(fish traps),No,,
2278,303076780046,2,30307678,chavi (castnet),No,,
2355,304067100177,1,30406710,usipa(mosquito)net,No,,
2355,304067100177,1,30406710,kambuzi(beach)seine,No,,
2355,304067100177,1,30406710,mbedza(long /hand line),No,,
2355,304067100177,1,30406710,mbuka/ntaya/ukonde (gillnet),No,,
2355,304067100177,1,30406710,mono(fish traps),No,,
2355,304067100177,1,30406710,chavi (castnet),No,,
2399,305024560043,1,30502456,usipa(mosquito)net,No,,
2399,305024560043,1,30502456,kambuzi(beach)seine,No,,
2399,305024560043,1,30502456,mbedza(long /hand line),No,,
2399,305024560043,1,30502456,mbuka/ntaya/ukonde (gillnet),No,,
2399,305024560043,1,30502456,mono(fish traps),No,,
2399,305024560043,1,30502456,chavi (castnet),No,,
2454,307086650188,2,30708665,usipa(mosquito)net,No,,
2454,307086650188,2,30708665,kambuzi(beach)seine,No,,
2454,307086650188,2,30708665,mbedza(long /hand line),No,,
2454,307086650188,2,30708665,mbuka/ntaya/ukonde (gillnet),No,,
2454,307086650188,2,30708665,mono(fish traps),No,,
2454,307086650188,2,30708665,chavi (castnet),No,,
2581,307116840099,1,30711684,usipa(mosquito)net,No,,
2581,307116840099,1,30711684,kambuzi(beach)seine,No,,
2581,307116840099,1,30711684,mbedza(long /hand line),No,,
2581,307116840099,1,30711684,mbuka/ntaya/ukonde (gillnet),No,,
2581,307116840099,1,30711684,mono(fish traps),No,,
2581,307116840099,1,30711684,chavi (castnet),No,,
2569,307116840228,1,30711684,usipa(mosquito)net,No,,
2569,307116840228,1,30711684,kambuzi(beach)seine,No,,
2569,307116840228,1,30711684,mbedza(long /hand line),No,,
2569,307116840228,1,30711684,mbuka/ntaya/ukonde (gillnet),No,,
2569,307116840228,1,30711684,mono(fish traps),No,,
2569,307116840228,1,30711684,chavi (castnet),No,,
2623,308016720066,1,30801672,usipa(mosquito)net,No,,
2623,308016720066,1,30801672,kambuzi(beach)seine,No,,
2623,308016720066,1,30801672,mbedza(long /hand line),No,,
2623,308016720066,1,30801672,mbuka/ntaya/ukonde (gillnet),No,,
2623,308016720066,1,30801672,mono(fish traps),No,,
2623,308016720066,1,30801672,chavi (castnet),No,,
2777,310021690162,1,31002169,usipa(mosquito)net,No,,
2777,310021690162,1,31002169,kambuzi(beach)seine,No,,
2777,310021690162,1,31002169,mbedza(long /hand line),No,,
2777,310021690162,1,31002169,mbuka/ntaya/ukonde (gillnet),No,,
2777,310021690162,1,31002169,mono(fish traps),No,,
2777,310021690162,1,31002169,chavi (castnet),No,,
2823,311087030266,1,31108703,usipa(mosquito)net,No,,
2823,311087030266,1,31108703,kambuzi(beach)seine,No,,
2823,311087030266,1,31108703,mbedza(long /hand line),No,,
2823,311087030266,1,31108703,mbuka/ntaya/ukonde (gillnet),No,,
2823,311087030266,1,31108703,mono(fish traps),No,,
2823,311087030266,1,31108703,chavi (castnet),No,,
2827,311087030320,1,31108703,usipa(mosquito)net,No,,
2827,311087030320,1,31108703,kambuzi(beach)seine,No,,
2827,311087030320,1,31108703,mbedza(long /hand line),No,,
2827,311087030320,1,31108703,mbuka/ntaya/ukonde (gillnet),No,,
2827,311087030320,1,31108703,mono(fish traps),No,,
2827,311087030320,1,31108703,chavi (castnet),No,,
2835,311087030327,1,31108703,usipa(mosquito)net,No,,
2835,311087030327,1,31108703,kambuzi(beach)seine,No,,
2835,311087030327,1,31108703,mbedza(long /hand line),No,,
2835,311087030327,1,31108703,mbuka/ntaya/ukonde (gillnet),No,,
2835,311087030327,1,31108703,mono(fish traps),No,,
2835,311087030327,1,31108703,chavi (castnet),No,,
2833,311087030374,1,31108703,usipa(mosquito)net,No,,
2833,311087030374,1,31108703,kambuzi(beach)seine,No,,
2833,311087030374,1,31108703,mbedza(long /hand line),No,,
2833,311087030374,1,31108703,mbuka/ntaya/ukonde (gillnet),No,,
2833,311087030374,1,31108703,mono(fish traps),No,,
2833,311087030374,1,31108703,chavi (castnet),Yes,1,0
2891,312046180102,1,31204618,usipa(mosquito)net,No,,
2891,312046180102,1,31204618,kambuzi(beach)seine,No,,
2891,312046180102,1,31204618,mbedza(long /hand line),No,,
2891,312046180102,1,31204618,mbuka/ntaya/ukonde (gillnet),No,,
2891,312046180102,1,31204618,mono(fish traps),No,,
2891,312046180102,1,31204618,chavi (castnet),No,,
2868,314325230046,2,31432523,usipa(mosquito)net,No,,
2868,314325230046,2,31432523,kambuzi(beach)seine,No,,
2868,314325230046,2,31432523,mbedza(long /hand line),No,,
2868,314325230046,2,31432523,mbuka/ntaya/ukonde (gillnet),No,,
2868,314325230046,2,31432523,mono(fish traps),No,,
2868,314325230046,2,31432523,chavi (castnet),No,,
2940,314386900029,2,31438690,usipa(mosquito)net,No,,
2940,314386900029,2,31438690,kambuzi(beach)seine,No,,
2940,314386900029,2,31438690,mbedza(long /hand line),No,,
2940,314386900029,2,31438690,mbuka/ntaya/ukonde (gillnet),No,,
2940,314386900029,2,31438690,mono(fish traps),No,,
