case_id,hhid,Fish_SpeciesID,fs_i02a,fs_i02b,fs_i02c,fs_i02d,fs_i02e,fs_i01,fs_i02,fs_i02_Oth,fs_i03,fs_i04a,fs_i04b,fs_i_04c,fs_i04d,fs_i04e,fs_i04f,fs_i04g,fs_i04h,fs_i04i,fs_i04j,fs_i04k,fs_i05a,fs_i05b,fs_i06a,fs_i06b,fs_i06c,fs_i06d,fs_i06e,fs_i06f,fs_i06g,fs_i06h,fs_i06i,fs_i06j,fs_i07a,fs_i07b,fs_i08a,fs_i08b,fs_i08c,fs_i08d,fs_i08e,fs_i08f,fs_i08g,fs_i08h,fs_i08i,fs_i08j,fs_i08k,fs_i08l,fs_i09,fs_i10a,fs_i10b,fs_i11a,fs_i11b,fs_i11c,fs_i11d,fs_i11e,fs_i11f,fs_i11g,fs_i11h,fs_i11i,fs_i11j,fs_i12,fs_i13a,fs_i13b
104021810117,df0b43e26caa4c2fbd8422b108fbbede,,,,,,,yes,ncheni,.,6,6,DOZEN / BUNDLE,,fresh,,no,,,,,,36,,46,piece,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,6,DOZEN / BUNDLE,,fresh,.,1500,,,,,,,6,yes,,12,piece,,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
104021810158,e388d90053af4754844fdaf89d74a477,,,,,,,yes,usipa,.,12,90,OTHER (SPECIFY),10 Litres pail,OTHER (SPECIFY),Fresh,no,,,,,,1080,,1080,OTHER (SPECIFY),10 Litres,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,88,OTHER (SPECIFY),10 Litres pail,fresh,.,7000,,,,,,,12,yes,,2,OTHER (SPECIFY),10 Litres pail,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
105011970059,025aa6c330234024a159947a74a27cb7,,,,,,,yes,makakani,,24,12,OTHER (SPECIFY),"""No 10 plate """,fresh,,no,,,,,,288,,288,OTHER (SPECIFY),"""No 10 plate """,fresh,,,,,,,"YES, THE FIGURES MATCHED",,12,OTHER (SPECIFY),"""No 10 plate """,smoked,,300,,,,,,,24,yes,,3,OTHER (SPECIFY),No 10 plate,smoked,,,,,,,1/4,"YES, THE FIGURES MATCHED",
105011970059,025aa6c330234024a159947a74a27cb7,,,,,,,yes,mlamba,,24,26,piece,,fresh,,no,,,,,,624,,624,piece,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,18,piece,,smoked,,70,,,,,,,24,yes,,8,piece,,smoked,,,,,,,1/4,"YES, THE FIGURES MATCHED",
105011970059,025aa6c330234024a159947a74a27cb7,,,,,,,yes,matemba,,24,15,OTHER (SPECIFY),"""No 10 plate """,fresh,,no,,,,,,360,,360,OTHER (SPECIFY),"""No 10 plate """,fresh,,,,,,,"YES, THE FIGURES MATCHED",,12,OTHER (SPECIFY),"""No 10 plate """,smoked,,300,,,,,,,24,yes,,3,OTHER (SPECIFY),"""No 10 plate """,smoked,,,,,,,1/4,"YES, THE FIGURES MATCHED",
106012200067,a570550ddf1b4f91be1b016fa3c1bc94,,,,,,,yes,usipa,.,10,8,LARGE BASKET,,fresh,,no,,,,,,80,,80,LARGE BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,70,LARGE BASKET,,fresh,.,6000,,,,,,,10,yes,,1,LARGE BASKET,.,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012200074,0fefe02983d54c1e9c34e892cfc36aca,,,,,,,yes,usipa,.,2,30,LARGE BASKET,,fresh,,no,,,,,,30,,60,LARGE BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,60,LARGE BASKET,,fresh,.,5000,,,,,,,2,yes,,1,SMALL BASKET,.,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012200111,f408e6986d064a479badfe445c059b10,,,,,,,yes,ncheni,.,2,1,DOZEN / BUNDLE,,fresh,,no,,,,,,20,,2,DOZEN / BUNDLE,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,10,piece,,fresh,.,5000,,,,,,,2,yes,,14,piece,.,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
106012200118,7b0eb61063ce4c39a5910d7811a4f80a,,,,,,,yes,usipa,.,3,2,OTHER (SPECIFY),"""40 litre bucket """,OTHER (SPECIFY),"""40 litre bucket """,no,,,,,,3,,1,OTHER (SPECIFY),"""40 LITRE BUCKET """,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,1,OTHER (SPECIFY),"""40 litre bucket """,fresh,.,10000,,,,,,,3,no,"""No difference """,1,kilogram,.,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012210045,2034b55a41de4b928623efb78b9444b8,,,,,,,yes,usipa,,12,10,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,,no,,,,,,120,,120,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,117,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,.,20000,,,,,,,12,yes,,3,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
