case_id,hhid,Fish_SpeciesID,fs_i02a,fs_i02b,fs_i02c,fs_i02d,fs_i02e,fs_i01,fs_i02,fs_i02_Oth,fs_i03,fs_i04a,fs_i04b,fs_i_04c,fs_i04d,fs_i04e,fs_i04f,fs_i04g,fs_i04h,fs_i04i,fs_i04j,fs_i04k,fs_i05a,fs_i05b,fs_i06a,fs_i06b,fs_i06c,fs_i06d,fs_i06e,fs_i06f,fs_i06g,fs_i06h,fs_i06i,fs_i06j,fs_i07a,fs_i07b,fs_i08a,fs_i08b,fs_i08c,fs_i08d,fs_i08e,fs_i08f,fs_i08g,fs_i08h,fs_i08i,fs_i08j,fs_i08k,fs_i08l,fs_i09,fs_i10a,fs_i10b,fs_i11a,fs_i11b,fs_i11c,fs_i11d,fs_i11e,fs_i11f,fs_i11g,fs_i11h,fs_i11i,fs_i11j,fs_i12,fs_i13a,fs_i13b
302035540196,ac0bc9d9b3264e80bece616687522955,,,,,,,yes,chambo,.,2,2,SMALL BASKET,,smoked,,no,,,,,,2,,2,SMALL BASKET,,smoked,.,,,,,,"YES, THE FIGURES MATCHED",.,2,SMALL BASKET,,smoked,.,60000,,,,,,,1,yes,,0,SMALL BASKET,,smoked,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
302035540196,ac0bc9d9b3264e80bece616687522955,,,,,,,yes,matemba,.,2,1,25 KG BAG,,SUN-DRIED,,no,,,,,,50,,2,25 KG BAG,,SUN-DRIED,.,,,,,,"YES, THE FIGURES MATCHED",.,2,25 KG BAG,,SUN-DRIED,.,15000,,,,,,,1,yes,,1,SMALL BASKET,,SUN-DRIED,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
302035540211,942af73fcf754f59b412db31d02c7cc3,,,,,,,yes,chambo,.,3,1,25 KG BAG,,fresh,,no,,,,,,75,,75,kilogram,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,1,25 KG BAG,,fresh,.,30000,,,,,,,3,no,"""He did fishing in those weeks """,1,DOZEN / BUNDLE,,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
302075600255,0a4f52e5fc644f849d1a6fbec7e4881d,,,,,,,yes,matemba,,9,20,SMALL BASKET,,fresh,,no,,,,,,1800,,1800,SMALL BASKET,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,17,SMALL BASKET,,fresh,,1200,,,,,,,9,yes,,3,SMALL BASKET,,fresh,,,,,,,1/4,"YES, THE FIGURES MATCHED",
302075600255,0a4f52e5fc644f849d1a6fbec7e4881d,,,,,,,yes,chambo,,8,10,DOZEN / BUNDLE,,fresh,,no,,,,,,80,,80,DOZEN / BUNDLE,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,10,DOZEN / BUNDLE,,fresh,,1200,,,,,,,8,yes,,3,DOZEN / BUNDLE,,fresh,,,,,,,1/4,"YES, THE FIGURES MATCHED",
302225660115,1761f7fb3e9543ffaefd592cb0889f0b,6,chambo,,,,,yes,,,10,10,DOZEN / BUNDLE,,fresh,,no,,,,,,,,100,DOZEN / BUNDLE,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,10,DOZEN / BUNDLE,,fresh,,2500,,,,,,,10,yes,,10,DOZEN / BUNDLE,,fresh,,,,,,,1/4,"YES, THE FIGURES MATCHED",
302225660115,1761f7fb3e9543ffaefd592cb0889f0b,,,,,,,yes,chambo,,10,10,DOZEN / BUNDLE,,fresh,,no,,,,,,100,,100,DOZEN / BUNDLE,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,10,DOZEN / BUNDLE,,fresh,.,2500,,,,,,,10,yes,,10,DOZEN / BUNDLE,.,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
303025730130,ea35b6b913e24b4693837847c8b344c5,,,,,,,yes,mlamba,,3,2,DOZEN / BUNDLE,,fresh,,no,,,,,,6,,6,DOZEN / BUNDLE,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,1,DOZEN / BUNDLE,,fresh,,12000,,,,,,,5,yes,,1,DOZEN / BUNDLE,,fresh,,,,,,,1/4,"YES, THE FIGURES MATCHED",
303025730226,b6be6a7b4cfd4d7b95bf635c402234fc,,,,,,,yes,mlamba,,4,2,DOZEN / BUNDLE,,fresh,,no,,,,,,8,,16,DOZEN / BUNDLE,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,11,piece,,fresh,,7000,,,,,,,3,no,"""SOME TIME COULD GO BUT GET NOTHING """,1,piece,,fresh,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
303025730318,31fda59924d7462799196c02098345af,,,,,,,yes,chambo,,2,1,LARGE BASKET,,fresh,,no,,,,,,1,,5,LARGE BASKET,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,1,LARGE BASKET,,fresh,,2000,,,,,,,2,yes,,0,OTHER (SPECIFY),Non,OTHER (SPECIFY),Non,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
303025730318,31fda59924d7462799196c02098345af,,,,,,,yes,mlamba,,2,3,piece,,fresh,,no,,,,,,3,,60,piece,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,3,piece,,fresh,,500,,,,,,,2,yes,,0,OTHER (SPECIFY),Non,OTHER (SPECIFY),Non,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
303025730354,c88d0feb34de41e7b29b020fac7d45c2,,,,,,,yes,chambo,,2,2,LARGE BASKET,,fresh,,no,,,,,,4,,20,LARGE BASKET,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,2,LARGE BASKET,,fresh,,5000,,,,,,,2,yes,,7,piece,,fresh,,,,,,,3/4,"YES, THE FIGURES MATCHED",
307016630198,88752c4bfd9f4b93afeb4b9862a23fb3,10,utaka,,,,,yes,,,6,10,kilogram,,fresh,,no,,,,,,,,60,kilogram,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,5,kilogram,,fresh,,5000,,,,,,,6,yes,,5,kilogram,,fresh,,,,,,,1/2,"YES, THE FIGURES MATCHED",
307016630198,88752c4bfd9f4b93afeb4b9862a23fb3,,,,,,,yes,utaka,,6,10,kilogram,,fresh,,no,,,,,,60,,60,kilogram,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,5,kilogram,,fresh,.,5000,,,,,,,6,yes,,5,kilogram,.,fresh,.,,,,,,1/2,"YES, THE FIGURES MATCHED",.
310077550132,eae7ed540374429c86b201f812121926,,,,,,,yes,makakani,,3,3,DOZEN / BUNDLE,,fresh,,no,,,,,,12,,12,DOZEN / BUNDLE,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,0,DOZEN / BUNDLE,,fresh,.,0,,,,,,,0,yes,,4,DOZEN / BUNDLE,,fresh,.,,,,,,ALMOST ALL,"YES, THE FIGURES MATCHED",.
311047620222,59af2959373a49688125879137dc025b,,,,,,,yes,mlamba,,4,30,piece,,SUN-DRIED,,no,,,,,,120,,0,piece,,SUN-DRIED,,,,,,,"YES, THE FIGURES MATCHED",,20,piece,,SUN-DRIED,,300,,,,,,,4,yes,,10,piece,,SUN-DRIED,,,,,,,1/4,"YES, THE FIGURES MATCHED",
311047660204,4861d8dd61ff411b8ffb7659ec704227,,,,,,,yes,makakani,,8,1,SMALL BASKET,,fresh,,no,,,,,,8,,8,SMALL BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,8,SMALL BASKET,,fresh,.,5000,,,,,,,8,yes,,0,SMALL BASKET,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
311047670007,fc0c6c2029ba4946904eeb0f511725eb,,,,,,,yes,other,mphuta,4,20,piece,,fresh,,no,,,,,,80,,80,piece,,fresh,,,,,,,"YES, THE FIGURES MATCHED",,15,piece,,fresh,,70,,,,,,,4,yes,,5,piece,,fresh,,,,,,,1/4,"YES, THE FIGURES MATCHED",
311047680199,742c8b9196d14efba5a985ee1efeb29e,,,,,,,yes,chambo,,12,3,SMALL BASKET,,fresh,,no,,,,,,36,,36,SMALL BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,2,SMALL BASKET,,fresh,.,3000,,,,,,,12,yes,,1,SMALL BASKET,,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
311047680229,2269acdf7ce34832985d1e67590ac420,,,,,,,yes,chambo,,12,20,piece,,fresh,,no,,,,,,240,,240,piece,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,15,piece,,fresh,.,700,,,,,,,12,yes,,5,piece,,fresh,.,,,,,,1/4,"YES, THE FIGURES MATCHED",.
311057710308,4658ff81394f4c798120107d9b2bfde2,,,,,,,yes,makakani,.,0,0,LARGE BASKET,,smoked,,yes,3,SMALL BASKET,,smoked,,0,3,0,SMALL BASKET,,smoked,.,0,SMALL BASKET,,smoked,,"YES, THE FIGURES MATCHED",.,3,SMALL BASKET,,smoked,.,6000,0,SMALL BASKET,,smoked,,0,2,yes,,10,piece,.,smoked,.,0,SMALL BASKET,,smoked,,1/4,"YES, THE FIGURES MATCHED",.
311057710308,4658ff81394f4c798120107d9b2bfde2,,,,,,,yes,mlamba,.,3,0,SMALL BASKET,,smoked,,no,,,,,,0,,0,SMALL BASKET,,smoked,.,,,,,,"YES, THE FIGURES MATCHED",.,2,SMALL BASKET,,smoked,.,5000,,,,,,,3,yes,,0,piece,.,smoked,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
311067740059,e1748feaa90e4f07b7e37d87d03cf617,,,,,,,yes,makakani,,8,1,SMALL BASKET,,fresh,,no,,,,,,""" 0""",,1,SMALL BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,1,SMALL BASKET,,fresh,.,12000,,,,,,,8,yes,,1,DOZEN / BUNDLE,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
