case_id,hhid,Fish_SpeciesID,fs_j01,fs_j01_oth,fs_j02a,fs_j02b,fs_j02c,fs_j02d,fs_j02e,fs_j02f,fs_02filter,fs_j02h,fs_j02i,fs_j02j,fs_j02k,fs_j02l,fs_j02m,fs_j03a,fs_j03b,fs_j03c,fs_j03d,fs_j03e,fs_j03f,fs_j03filter,fs_j03g,fs_j03h,fs_j03i,fs_j03j,fs_j03k,fs_j03l
106012200154,15301a838151412593a5aaa0a9ee3dd4,,usipa,,2,SMALL BASKET,,SUN-DRIED,,50000,no,,,,,,,2,SMALL BASKET,,SUN-DRIED,.,85000,no,,,.,,,
106012210032,e582a4d6e6a9412a86d4b162d1993ba6,,utaka,,2,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,,22000,no,,,,,,,120,OTHER (SPECIFY),5 LITRE PAIL,SUN-DRIED,,5000,no,,,.,,,
106012210083,c6147f79ff9e4a7ebc0b750678530acd,,utaka,,2,OTHER (SPECIFY),"""large RK BASIN """,fresh,,23000,no,,,,,,,112,OTHER (SPECIFY),"""5 litre chigoba """,SUN-DRIED,,4500,no,,,.,,,
106012210096,8897f4ccfd9a442699d5d4a5df36ad32,,usipa,,3,OTHER (SPECIFY),"""large RK BASIN """,fresh,,20000,no,,,,,,,210,OTHER (SPECIFY),""" 5 litre bucket """,SUN-DRIED,,4000,no,,,.,,,
106012210135,8f83af46a9364299825f1bbff6c76b06,,usipa,,3,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,,18000,no,,,,,,,189,OTHER (SPECIFY),5 LITRE PAIL,SUN-DRIED,,3500,no,,,.,,,
106012210148,c5e469c7fc2441398185c7f79b5ece13,,usipa,,7,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,,17000,no,,,,,,,588,OTHER (SPECIFY),"""5 LITRE PAIL """,SUN-DRIED,,3000,no,,,.,,,
106012220017,9e377e99bbaa4fa1894e5c40b40fabbd,,utaka,,3,OTHER (SPECIFY),LARGE RK BASIN,fresh,,17000,no,,,,,,,21,OTHER (SPECIFY),5 LITRE PAIL,SUN-DRIED,,3000,no,,,.,,,
106012220039,209f86cd9c734baab40065b101d7e5de,,utaka,,3,OTHER (SPECIFY),RK LARGE BASIN,fresh,,12000,no,,,,,,,3,LARGE BASKET,,fresh,,20000,no,,,.,,,
106012220058,5424559a24a244fa9e09001adf3b7338,,mlamba,,15,piece,,smoked,,650,no,,,,,,,15,piece,,smoked,.,1400,no,,,,,,
106012220061,1299960eefdc49dc85e74275ff361dab,,other,KAMPANGO,0,,,,,,,,,,,,,0,,,,,,no,,,.,,,
106012220072,45c20fe32c0545df88f6a15eca3c77c3,,usipa,,0,,,,,,,,,,,,,0,,,,.,,no,,,.,,,
106012220083,299b0466b1c7480c9217a68f8b5ed850,,usipa,,0,,,,,,,,,,,,,0,,,,,,no,,,.,,,
106012220100,1b3b07c731f049e3aaaf2a381aa34112,,usipa,,10,OTHER (SPECIFY),basin,fresh,,10000,no,,,,,,,10,OTHER (SPECIFY),basin,SUN-DRIED,.,20000,no,,,,,,
106012220144,b5e0d9d13de147dfa087af1a60d7aaae,,utaka,,15,SMALL BASKET,,SUN-DRIED,,3000,no,,,,,,,350000,OTHER (SPECIFY),"""5 litre pail """,SUN-DRIED,.,3000,no,,,,,,
106012220144,b5e0d9d13de147dfa087af1a60d7aaae,,usipa,,40,OTHER (SPECIFY),"""5 litre pail """,SUN-DRIED,,2000,no,,,,,,,420000,OTHER (SPECIFY),"""5 litre pail """,SUN-DRIED,.,2500,no,,,,,,
106012220216,db8f2497fb26445b812c09f0489579de,,other,"""Nkhomu """,2,OTHER (SPECIFY),Unit,fresh,,4000,no,,,,,,,2,OTHER (SPECIFY),Unit,smoked,.,14000,no,,,.,,,
106012220236,8fe45ed101d248b69bfbec8dff4e906d,,utaka,,2,OTHER (SPECIFY),RK LARGE BASIN,fresh,,20000,no,,,,,,,14,OTHER (SPECIFY),"""5 LITRE PAIL """,SUN-DRIED,,3500,no,,,.,,,
106012220271,7084ffb8fe874654a9760d30a398bca4,,usipa,,32,LARGE BASKET,,fresh,,6000,no,,,,,,,30,LARGE BASKET,,SUN-DRIED,.,9000,no,,,.,,,
106012220302,bd28003ab98c4dd098a2ad695e965a20,,utaka,,1,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,,18000,no,,,,,,,7,OTHER (SPECIFY),"""5 litre chigoba """,SUN-DRIED,,4000,no,,,.,,,
106012230025,543c2daae0a74ab4ae162333c2a8773c,,utaka,,5,SMALL BASKET,,fresh,,4000,no,,,,,,,5,SMALL BASKET,,SUN-DRIED,.,6500,no,,,,,,
106012230025,543c2daae0a74ab4ae162333c2a8773c,,usipa,,10,SMALL BASKET,,fresh,,3500,no,,,,,,,10,SMALL BASKET,,SUN-DRIED,.,5000,no,,,,,,
106012230076,b8efd333b2634467b5b1792e5ced2351,,usipa,,1,LARGE BASKET,,SUN-DRIED,,12000,no,,,,,,,7,OTHER (SPECIFY),"""5 LITRE PAIL """,SUN-DRIED,.,2500,yes,7,OTHER (SPECIFY),"""5 LITRE PAIL """,SUN-DRIED,,2500
106012230114,1b585c1e49684f6c843546b9682ef3f7,,usipa,,1,LARGE BASKET,,fresh,,8000,no,,,,,,,5,OTHER (SPECIFY),"""5 LITRE PAIL """,SUN-DRIED,.,3000,no,,,,,,
106012230139,268577bab7d041518347492975d84a26,,usipa,,3,OTHER (SPECIFY),"""10 litre pail """,SUN-DRIED,,4000,no,,,,,,,6,OTHER (SPECIFY),"""5 litre pail """,SUN-DRIED,.,3000,no,,,,,,
106012230164,f470912aca0d4bf9ab930d08bc30b5b7,,usipa,,3,OTHER (SPECIFY),"""10 litre pail """,SUN-DRIED,,3000,no,,,,,,,6,OTHER (SPECIFY),"""5 litre pail """,SUN-DRIED,.,3000,no,,,,,,
106012230177,a21dcb576aab47498258a551704d0e1a,,usipa,,3,OTHER (SPECIFY),5 litre pail,SUN-DRIED,,3000,no,,,,,,,3,OTHER (SPECIFY),"""5 litre pail each """,SUN-DRIED,.,4500,no,,,,,,
106012230189,ea138ed267034d4ebdd9fbd39ba55d9e,,usipa,,9,OTHER (SPECIFY),"""5 litre  pail """,fresh,,1000,no,,,,,,,9,OTHER (SPECIFY),"""5 litre pail """,SUN-DRIED,.,3500,no,,,,,,
