case_id,hhid,Fishing_GearID,fs_h01a,fs_h01b,fs_h02,fs_h03,fs_h04,fs_hfilter,fs_h05,fs_hfilter6,fs_h06
106012200074,0fefe02983d54c1e9c34e892cfc36aca,Usipa (mosquito) net,yes,.,1,1,80000,no,,no,
106012200103,a402e1330a0a49d9af436d82ddc4a2ad,Mbuka/ntaya/ukonde (gillnet),yes,.,1,1,50000,no,,no,
106012200111,f408e6986d064a479badfe445c059b10,Mbedza (long /hand line),yes,.,3,3,3000,no,,no,
106012200118,7b0eb61063ce4c39a5910d7811a4f80a,Usipa (mosquito) net,yes,.,1,0,750,no,,yes,2500
106012200140,a40dfdd1423a4301adda69279487b612,Usipa (mosquito) net,yes,.,1,0,30000,no,,no,
106012200154,15301a838151412593a5aaa0a9ee3dd4,Usipa (mosquito) net,yes,,2,2,750,no,,no,
106012210045,2034b55a41de4b928623efb78b9444b8,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,100000,no,,no,
106012210109,3cf590999e8a4d2f8aa9edb7d2f5c9a2,Mbuka/ntaya/ukonde (gillnet),yes,,2,2,100000,no,,no,
106012210122,d525875262dc4c2da8ba6c2b80dc5820,Mbuka/ntaya/ukonde (gillnet),yes,,3,3,200000,no,,no,
106012210186,dd157816118747f7b8c645deef83314a,Mbuka/ntaya/ukonde (gillnet),yes,,3,3,40000,no,,no,
106012220017,9e377e99bbaa4fa1894e5c40b40fabbd,Mbuka/ntaya/ukonde (gillnet),yes,,2,2,250000,no,,no,
106012220061,1299960eefdc49dc85e74275ff361dab,Mbedza (long /hand line),yes,,200,200,9000,no,,no,
106012220083,299b0466b1c7480c9217a68f8b5ed850,Usipa (mosquito) net,yes,,3,3,190000,no,,no,
106012220100,1b3b07c731f049e3aaaf2a381aa34112,Mbuka/ntaya/ukonde (gillnet),yes,.,2,2,40000,no,,no,
106012220105,378d35459ffe4bbcb838fe972ccf76f4,Usipa (mosquito) net,yes,,1,1,120000,no,,no,
106012220171,8949b0927d47403689676499aaa0e554,Usipa (mosquito) net,yes,,1,1,200000,no,,no,
106012220192,e07b605d86664cfeb87f6d0f41a31538,Mbedza (long /hand line),yes,,400,400,14000,no,,no,
106012220214,58d807a0904745bd8e2b83c77c4e8afe,Usipa (mosquito) net,yes,,1,1,120000,no,,no,
106012220280,e9233b566489450294fa0fb34d988278,Mbedza (long /hand line),yes,,30,30,7000,no,,no,
106012220346,0480490180ae492bab38520e1a2d9a52,Mbedza (long /hand line),yes,,150,150,1500,no,,no,
106012230013,6cc3588b213e4615aeff177626a94117,Usipa (mosquito) net,yes,.,1,1,4000,no,,no,
106012230164,f470912aca0d4bf9ab930d08bc30b5b7,Mbuka/ntaya/ukonde (gillnet),yes,.,1,1,5500,no,,no,
106012230177,a21dcb576aab47498258a551704d0e1a,Usipa (mosquito) net,yes,.,1,1,3500,no,,no,
106012240131,3d46228d82ab4af6900846a524e7afd7,Mbedza (long /hand line),yes,,400,400,1500,no,,no,
106012240131,3d46228d82ab4af6900846a524e7afd7,Mbuka/ntaya/ukonde (gillnet),yes,,3,3,50000,no,,no,
106012250020,db2c6d4784534897bed7627d3da9fe5b,Mbedza (long /hand line),yes,,270,270,3000,no,,no,
106012250136,53e1f38072e04f3b800220bbff635724,Usipa (mosquito) net,yes,,1,1,80000,no,,no,
106012260028,db10b756b2b649338d6b0cc5dab1db9e,Usipa (mosquito) net,yes,.,100,200,3000,no,,no,
106012260028,db10b756b2b649338d6b0cc5dab1db9e,Mbedza (long /hand line),yes,.,200,200,0,no,,no,
106012260100,cdfa04e88e6a4bceae9f15d91717ab16,Mbedza (long /hand line),yes,.,500,500,100,no,,no,
106012260100,cdfa04e88e6a4bceae9f15d91717ab16,Mbuka/ntaya/ukonde (gillnet),yes,.,15,15,2500,no,,no,
106012270125,97c3a192048e45fd95240ad1844012e6,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,250000,no,,no,
106012270144,cc6e6992ce7e4b13b8a09e070d177a21,Mbedza (long /hand line),yes,,20,20,2500,no,,no,
106012270162,53b1172c8b584b9baacecaa75a988982,Usipa (mosquito) net,yes,,2,2,250000,no,,no,
106012280034,dda4810cf7b841b592cbc3ba5e724664,Usipa (mosquito) net,yes,,1,1,200000,no,,no,
106012280073,cfdf0fa754b54dd6ae961b086d0e4809,Mbuka/ntaya/ukonde (gillnet),yes,,2,2,150000,no,,no,
106012290134,4073d45af850495d9611563823d55180,Mbuka/ntaya/ukonde (gillnet),yes,.,10,10,4500,no,,no,
107332340910,358e06d5b8524baa882ce3d0c260cbd9,Mbuka/ntaya/ukonde (gillnet),yes,,5,5,4000,no,,no,
201082640304,5cd17aa582ec463e84659a66629604ae,Usipa (mosquito) net,yes,,1,0,16000,no,,no,
201092650014,cf4256eda8da4ec491a36a56cd1864e8,Mbuka/ntaya/ukonde (gillnet),yes,.,15,15,1000,no,,no,
201092650014,cf4256eda8da4ec491a36a56cd1864e8,Mbuka/ntaya/ukonde (gillnet),yes,,15,15,1000,no,,no,
201112710191,a318bc3ae2f24feb9e9bd9b45b8fa332,Mono (fish traps),yes,.,7,7,5000,no,,no,
202012790011,2a95fcb052ee42a2b5c022452cadc2d0,Usipa (mosquito) net,yes,.,1,1,200000,no,,no,
202012790011,2a95fcb052ee42a2b5c022452cadc2d0,Mbedza (long /hand line),yes,.,400,400,6000,no,,no,
202012790029,bea54af9c5784c588259a0e17174c84a,Usipa (mosquito) net,yes,.,1,1,260000,yes,200,no,
202012790035,f4dcd135283b45529ce279049f9e7c7e,Usipa (mosquito) net,yes,.,1,1,120000,no,,no,
202012790040,7241cd8f32ff4106b55025b4a6f5d740,Kambuzi (beach) seine,yes,.,1,1,7000,yes,7000,no,
202012790076,756f72ccd7ea4838ac486b84b997a376,Mono (fish traps),yes,.,5,5,500,no,,no,
202012790121,73039d062d694c268787010492da465f,Mbedza (long /hand line),yes,.,5,5,150,yes,5,no,
202012830237,f1e45c98b9aa4142aa04d55d518d6618,"Other, specify",yes,CHILIMIRA,1,1,300000,no,,no,
202032880190,b08aa2f097364d9aac1ff7894c3c1cab,Usipa (mosquito) net,yes,,1,1,32000,yes,1,no,
202032900002,5b4548bf808a4f0c9d0cd57f822fbe32,Mbuka/ntaya/ukonde (gillnet),yes,,101,11,22000,no,,no,
202032900151,1f30ffc4d661494ba2460dcbd9d9fe72,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,30000,no,,no,
202032910060,bcd3b9e845524f8c882da48b8e0783cd,Mbedza (long /hand line),yes,.,200,200,50,no,,no,
202032910060,bcd3b9e845524f8c882da48b8e0783cd,Mbuka/ntaya/ukonde (gillnet),yes,.,1,1,27800,no,,no,
202032910071,b5ab8fdf6d5c4ad0ad538cde105afd8f,Usipa (mosquito) net,yes,.,1,1,40000,yes,1,no,
202042920087,a869738b3ba644d694cd471ba4fc1217,Usipa (mosquito) net,yes,,2,0,10000,no,,no,
202052980483,8ddd6c96ab654f27b5c4a57019e4ff26,Chavi (castnet),yes,,1,1,25000,yes,1,yes,45000
202203010134,ebb1936f05454d26bbc2e76ecbec96b7,Mbedza (long /hand line),yes,.,500,500,1500,no,,no,
202203010134,ebb1936f05454d26bbc2e76ecbec96b7,Mbedza (long /hand line),yes,,500,500,1500,no,,no,
204023310182,012da9e82da04e21a13f1211b30dbac4,Mbedza (long /hand line),yes,,7,5,200,yes,2,no,
204033350258,9e82a1c74f294d6ab25ffe94cd31d07d,Mono (fish traps),yes,,3,3,1200,no,,no,
205053630038,7c95a7771a7b49d399a16e7f087e6d7a,Mbedza (long /hand line),yes,.,40,40,20,no,,no,
205093710037,5cd87a3c0e03474aae127305863dab3c,Usipa (mosquito) net,yes,,1,0,50000,no,,no,
205093710051,13e9088afe9c438cac1a4f7903b6c3d6,"Other, specify",yes,"""KANDWINWI """,1,0,50000,no,,yes,6000
205093710189,d5af1a731bea4a6cbaf9626d48a5536b,Mbedza (long /hand line),yes,,3,3,0,no,,no,
205093710189,d5af1a731bea4a6cbaf9626d48a5536b,Mono (fish traps),yes,,2,2,0,no,,no,
205213740051,efead557527c4756938f9c6280e9d4f1,Mbedza (long /hand line),yes,,60,126,15,no,,no,
205213740258,1be356194ac443a58ce70510ed78b02d,Mbedza (long /hand line),yes,,2,2,400,no,,no,
208074530245,d42801a9eb0f4ab985798cb018d206e7,Mbuka/ntaya/ukonde (gillnet),yes,,1500,0,100000,no,,yes,100000
301035250264,99c9b70b452f42adb3653c2fbdac459f,Usipa (mosquito) net,yes,,1,1,8500,yes,2,no,
301085380027,e0834f6a719e4b6a8d46bc4cf7dcebf7,Mbuka/ntaya/ukonde (gillnet),yes,.,2,0,15000,no,,yes,8000
301215420031,b4237fc6be1e4fd9b358e91f617a06cd,Mbedza (long /hand line),yes,,70,70,700,yes,1,no,
301215420102,8fe404afd210435ebf7f864bb9439bd9,Mbuka/ntaya/ukonde (gillnet),yes,,1,0,20000,no,,yes,5000
301215420280,f1b6f0ef573a4c7ebacbb5c7d5b77b82,Mbuka/ntaya/ukonde (gillnet),yes,,2,0,700,no,,yes,600
301215420387,46a12026a67544e99cd141708ce0698c,Mbuka/ntaya/ukonde (gillnet),no,,0,0,0,no,,no,
301215420565,f0c89d23cb8f422c96d9fff1e9a2982c,"Other, specify",yes,khoka,1,1,30000,no,,no,
302035540030,2ed0c205f1dd42ba938c9bc18c8b4451,Mono (fish traps),yes,,30,30,200,no,,no,
302035540075,00c095c9651d4a71a0c58ce0d2c96b40,Mono (fish traps),yes,,1,1,300,no,,no,
302035540196,ac0bc9d9b3264e80bece616687522955,Mono (fish traps),yes,,50,50,5000,no,,no,
302035540211,942af73fcf754f59b412db31d02c7cc3,Mono (fish traps),yes,,50,50,200,no,,no,
302055560090,0da34ccbd1f84c3bbd7b1208c42a9189,Mbedza (long /hand line),yes,.,50,50,30,yes,50,no,
302055560090,0da34ccbd1f84c3bbd7b1208c42a9189,Mono (fish traps),yes,.,5,5,500,yes,5,no,
