case_id,hhid,fs_f01,fs_f01_oth,fs_f02a,fs_f02b,fs_f02c,fs_f02d,fs_f02e,fs_f02f,fs_f02g,fs_f02h,fs_f02i,fs_f02j,fs_f02k,fs_f02l,fs_f02m,fs_f03a,fs_f03b,fs_f03c,fs_f03d,fs_f03e,fs_f03f,fs_f03g,fs_f03h,fs_f03i,fs_f03j,fs_f03k,fs_f03l,fs_f03m,Fish_SpeciesID
207204340029,ab04801d0c304c8d9b9847efd92646d1,,,3,SMALL BASKET,,smoked,,5400,no,,,,,,,3,SMALL BASKET,,smoked,,8500,no,,,,,,,10
207204340029,ab04801d0c304c8d9b9847efd92646d1,,,5,SMALL BASKET,,SUN-DRIED,,9000,no,,,,,,,5,SMALL BASKET,,SUN-DRIED,,22500,no,,,,,,,9
207204340029,ab04801d0c304c8d9b9847efd92646d1,,,3,SMALL BASKET,,SUN-DRIED,,2000,no,,,,,,,3,SMALL BASKET,,SUN-DRIED,,3000,no,,,,,,,4
207204340029,ab04801d0c304c8d9b9847efd92646d1,usipa,,5,SMALL BASKET,,SUN-DRIED,.,9000,no,,,.,,.,,5,SMALL BASKET,,SUN-DRIED,.,22500,no,,,,,.,,
208074530245,d42801a9eb0f4ab985798cb018d206e7,utaka,,40,SMALL BASKET,,fresh,,2500,no,,,,,,,40,SMALL BASKET,,fresh,,2500,no,,,,,,,
208074530303,8b3253a5c03d41eb9aafd4a82925bb87,makakani,,0,,,,,,no,,,,,,,3500,piece,,fresh,,50,no,,,,,,,
208074560039,81a57628687f42b982a6f9bc5c4c67dd,makakani,,0,,,,.,,no,,,,,.,,250000,LARGE BASKET,,fresh,.,250000,no,,,,,.,,
208074560039,81a57628687f42b982a6f9bc5c4c67dd,matemba,,0,,,,.,,no,,,,,.,,50000,DOZEN / BUNDLE,,fresh,.,50000,no,,,,,.,,
208074560039,81a57628687f42b982a6f9bc5c4c67dd,mlamba,,0,,,,.,,no,,,,,.,,300000,DOZEN / BUNDLE,,fresh,.,200000,no,,,,,.,,
208074560039,81a57628687f42b982a6f9bc5c4c67dd,makumba,,0,,,,.,,no,,,,,.,,20,DOZEN / BUNDLE,,fresh,.,20,no,,,,,.,,
