case_id,hhid,fs_b01a,fs_b01b,fs_b01c,fs_b01d,fs_b01e,fs_b01f,fs_b01g,fs_b01h,fs_b01i,fs_b01j,fs_b01k,fs_b01l,fs_b02
105202190223,bc6852e572de444e85158af694a0bc75,N,N,N,N,N,L,L,H,H,H,H,N,no
106012200014,349e1d76d94747adb42511ccac7c03b4,N,L,L,L,N,N,N,H,H,H,H,N,yes
106012200022,9f5a35f8683f4072ba8dd79fbe2893b3,L,L,L,N,N,N,N,H,H,H,N,N,yes
106012200044,a76b724c2f83402d8decd8eaf428326e,H,H,H,L,L,L,L,N,H,H,H,H,yes
106012200051,f03e120c8efa4a708c1f617c5ac7771f,H,H,H,L,L,L,L,N,H,H,H,H,yes
106012200067,a570550ddf1b4f91be1b016fa3c1bc94,N,L,L,L,L,L,L,H,H,H,H,H,yes
106012200074,0fefe02983d54c1e9c34e892cfc36aca,N,L,L,L,L,N,H,H,H,H,N,N,yes
106012200096,d9e64ae237c5421495e282d113f1b33c,L,L,L,L,N,N,H,H,H,H,H,H,yes
106012200103,a402e1330a0a49d9af436d82ddc4a2ad,N,N,N,N,L,L,L,H,H,H,H,N,yes
106012200111,f408e6986d064a479badfe445c059b10,L,L,N,N,H,H,H,H,H,H,N,N,yes
106012200118,7b0eb61063ce4c39a5910d7811a4f80a,L,N,N,N,N,N,H,H,H,N,L,L,yes
106012200140,a40dfdd1423a4301adda69279487b612,L,L,L,L,N,H,H,H,N,N,N,N,yes
106012200154,15301a838151412593a5aaa0a9ee3dd4,L,L,N,N,N,N,H,H,N,N,N,L,yes
106012210032,e582a4d6e6a9412a86d4b162d1993ba6,L,L,H,H,H,H,H,L,L,N,N,N,yes
106012210045,2034b55a41de4b928623efb78b9444b8,N,N,L,H,H,H,H,H,L,L,N,N,yes
106012210083,c6147f79ff9e4a7ebc0b750678530acd,L,L,L,H,H,H,N,N,N,N,N,N,no
106012210096,8897f4ccfd9a442699d5d4a5df36ad32,L,L,N,H,H,H,N,N,N,N,N,N,no
106012210109,3cf590999e8a4d2f8aa9edb7d2f5c9a2,H,H,H,N,N,L,L,L,N,N,N,N,yes
106012210122,d525875262dc4c2da8ba6c2b80dc5820,L,L,L,N,N,N,N,N,N,H,H,H,yes
106012210135,8f83af46a9364299825f1bbff6c76b06,L,L,L,N,H,H,H,N,N,N,N,N,yes
106012210148,c5e469c7fc2441398185c7f79b5ece13,N,N,N,N,L,L,L,N,H,H,H,H,yes
106012210160,6c61bb2d0721418ebabf2f2c3f1f0924,N,L,L,L,L,N,N,H,H,H,H,N,yes
106012210173,45b627bc2db740c09009a23deac04a22,L,N,N,N,N,N,H,H,H,H,H,L,yes
106012210186,dd157816118747f7b8c645deef83314a,L,L,L,N,N,H,H,H,H,N,N,N,yes
106012220017,9e377e99bbaa4fa1894e5c40b40fabbd,N,N,L,L,L,H,H,H,H,L,N,N,yes
106012220039,209f86cd9c734baab40065b101d7e5de,N,N,L,L,L,H,H,H,L,L,N,N,yes
106012220058,5424559a24a244fa9e09001adf3b7338,N,N,N,N,L,L,L,N,H,H,H,H,yes
106012220061,1299960eefdc49dc85e74275ff361dab,L,L,L,L,N,N,N,H,H,H,L,L,yes
106012220072,45c20fe32c0545df88f6a15eca3c77c3,N,N,N,N,N,N,N,H,H,H,H,L,yes
106012220083,299b0466b1c7480c9217a68f8b5ed850,L,L,L,L,N,N,H,H,H,N,N,N,yes
106012220100,1b3b07c731f049e3aaaf2a381aa34112,H,H,H,N,N,L,L,N,N,N,N,N,yes
106012220105,378d35459ffe4bbcb838fe972ccf76f4,N,N,N,L,L,L,N,N,H,H,H,H,yes
106012220144,b5e0d9d13de147dfa087af1a60d7aaae,N,N,N,L,L,L,L,H,H,H,N,N,yes
106012220171,8949b0927d47403689676499aaa0e554,H,H,L,L,L,H,H,N,N,N,N,N,yes
106012220192,e07b605d86664cfeb87f6d0f41a31538,H,H,H,L,L,L,L,N,N,N,N,N,yes
106012220214,58d807a0904745bd8e2b83c77c4e8afe,N,N,N,N,L,L,L,N,H,H,H,H,yes
106012220216,db8f2497fb26445b812c09f0489579de,N,N,N,N,N,N,H,H,H,L,L,N,yes
106012220236,8fe45ed101d248b69bfbec8dff4e906d,H,H,H,H,N,L,L,L,N,N,N,N,yes
106012220271,7084ffb8fe874654a9760d30a398bca4,H,H,H,L,L,L,L,H,N,H,H,H,yes
106012220280,e9233b566489450294fa0fb34d988278,H,H,H,N,N,N,N,N,L,L,N,N,yes
106012220302,bd28003ab98c4dd098a2ad695e965a20,H,H,H,H,N,N,N,N,N,L,L,L,yes
106012220346,0480490180ae492bab38520e1a2d9a52,H,H,H,N,N,N,N,N,L,L,L,N,yes
106012230013,6cc3588b213e4615aeff177626a94117,H,L,L,L,L,L,L,N,N,N,H,H,yes
106012230025,543c2daae0a74ab4ae162333c2a8773c,H,H,L,L,L,L,L,H,H,N,N,N,yes
106012230076,b8efd333b2634467b5b1792e5ced2351,N,N,L,L,L,H,H,H,H,H,N,N,yes
106012230114,1b585c1e49684f6c843546b9682ef3f7,L,L,N,N,N,N,H,H,H,H,L,L,yes
106012230139,268577bab7d041518347492975d84a26,H,H,N,N,N,N,N,L,L,N,N,N,yes
106012230164,f470912aca0d4bf9ab930d08bc30b5b7,H,N,N,N,N,H,L,L,L,N,N,N,yes
106012230177,a21dcb576aab47498258a551704d0e1a,H,N,H,N,N,N,N,N,L,N,N,H,yes
106012230189,ea138ed267034d4ebdd9fbd39ba55d9e,L,N,H,H,H,N,N,N,N,N,N,L,yes
