case_id,hhid,ag_r25,ag_r26,ag_r27,ag_r28,ag_r29
101011080155,4646abacab934180abfb849459f22287,0,0,0,0,0
101011080164,d4b3896bf332472db8c56a1b2484b5a2,0,3000,0,0,0
101011080181,0f5de2bc7db447e6a221b6c753dd19fb,0,0,0,0,4000
101021090016,b978d1182ee94be582634f1534088968,0,0,0,0,0
101021090035,9bfac3ebe5b945dab24a3a6cf3f531c7,0,0,0,0,0
101021090054,3ae0b83292a04feb945ecfa7654f85af,0,0,0,0,0
101021090092,fa7181b8a48141e9b5375f9f07696b4a,0,0,0,0,0
101021090149,b33961495abf4ad0afc69efeea23ba61,0,0,10000,0,0
101021090187,2db8307e59ca47ff9feba949444840f5,0,0,0,0,0
101021090206,d24e160d18054d3fbe9fd5cd3febf1fb,0,0,0,0,0
101021090225,d2eff8458cbc4973bd19540049a785b6,0,0,0,0,0
101021090245,0d21b72dea0748e9b68791ddb3abe37c,0,0,0,0,0
101021090264,4e1e7b75094b4561ba4c15510c91bb7a,0,0,0,0,0
101021090283,64448c22a12a436ca7c8f7848d3b600a,0,0,0,0,0
101021090302,bb4ad46308fd47f2a1734aea35038427,0,0,0,0,0
101021100010,0f2a6bc1f8f3476da532df54edf32e32,0,0,0,0,0
101021100020,63ed8484afcc4d81a94787f181daaa9c,0,600,0,0,0
101021100030,01a06fc892d44c048f6c506608135c41,0,0,0,0,0
101021100041,30030be4664344f48cdffa84e8b5dfa9,0,0,0,0,0
101021100061,97cf255d846147d4a761af2f93534d47,0,0,0,0,0
101021100071,3b2d84cd39e9485e8cc9f5d8dda31312,0,0,1500,900,0
101021100082,6877f51463284bab9776e27ac99ffe4e,0,0,0,0,0
101021100092,a4c212d9e2a241c980d0b61747cd6cc4,0,0,0,0,0
101021100102,284147d74bcf4cbab27b13738cd1bf9e,0,0,0,0,0
101021100112,1066643538b2448bb6f3576d99b93963,0,0,0,1200,0
101021100133,1273a65b2b7e4d1580a3d46f44830ea9,0,0,0,0,1000
101021100143,a183a0d1519b417fb227c3bf6833f6b5,0,0,0,0,0
101021100153,470ec0d9ff1443938cd195042ff9ac05,0,0,0,0,0
101021100173,b172ac557f21486cbaf35a846610de85,0,0,0,0,0
101021100193,59738c6b0b0b4698bdcb3b4d47249f87,0,2500,0,0,0
101021100213,881c0760605f4f278e2c1ab74ee0c3be,0,6000,1800,0,0
101021110004,ef54f923b9434c34aa3da438d50694ee,0,0,0,0,0
101021110011,e1dd613e0dc44885b2de4a350297c701,0,0,600,0,0
101021110025,836edbfc80c94c69b37ece683ba793ee,0,500,1000,0,0
101021110031,1932530af3c64641ad687e22df626239,0,0,0,0,0
101021110045,d031baf10320462c8169b7d8d2c799f7,0,0,0,0,0
101021110052,6d2b5a8bd4b74a128d41bb2b04959bd6,0,0,0,0,0
101021110080,212b7fc57c6244409360297e64fe0a95,0,0,0,0,0
101021110086,06329ecc71e5430fadb9d1b4b752806d,0,0,0,0,0
101021110093,b3008b557a2e419b93492058a2012067,0,0,0,0,0
101021110100,4eada1d1b00844aa94fc413e44f4b6f4,0,0,0,0,0
101021110107,2a343158cb7a4274b38cc558b7645077,0,0,0,0,0
101021120009,868cfafd299a4e538abcafa1f4744241,0,0,0,0,0
101021120020,c128d0b2ddb34b808049a85bb236857b,0,0,0,0,0
101021120034,d2974aac0a3142e2b39c05b614132d65,0,0,0,0,0
101021120040,454e7a6720214d3c95d06e592eeb270c,0,0,0,0,0
101021120044,3a3a0e3cd64c489cad153e73187f93e4,0,0,0,0,0
101021120049,417f0741731a425e9d47f453747952c0,0,0,0,0,0
101021120054,1c9016e058804852970c511b4d35bff3,0,0,0,0,0
101021120088,4dc7c816227c4b3d9b63eff09785aced,0,3000,350,0,0
101031130010,43da15b392404c87b88b661009658646,0,0,0,0,0
101031130030,c642eb5bae004f2bb7510eaf740e3fc3,0,0,2000,0,0
101031130039,2cf6fa2186b04e53b11b5ba9ba3b230b,0,0,0,0,0
101031130049,70c4fec57b374ae49acb644d11cb76dd,0,0,0,0,0
101031130059,954ff42898b746d4af3b401f4014ad60,0,0,0,0,0
101031130069,c5823b03a1794fe1a56822d708680378,0,0,0,0,0
101031130079,e51f233934674fd5a7beb5240178c9c2,0,0,0,0,0
101031130089,13cadfc2b46948119cba72b57e058d70,0,0,0,0,0
101031130099,720d9bece54b440d9d8f75454d2eb823,0,0,0,0,0
101031130109,9e2e12c8b2664a98a712e98e8ea175f0,0,0,0,0,0
101031130128,e7ed514a263f446984c41432447f76e5,0,0,0,0,0
101031130138,2394dab1945e47a38be4bbd460517acc,0,0,0,0,0
101031140007,765a3f45dc214e938ee78815efb7fcd9,0,0,0,0,0
101031140013,e48fcb0cfe484adf9e9d8d789f15cf87,0,0,0,0,0
101031140020,2d67e904c12e4c3d9e619e355b6e0a29,0,0,0,0,0
101031140035,c86f5e596dfd4128a54ff60878980c25,0,0,0,0,0
101031140041,6a4e0128607e4cdf810a934164776c0e,0,0,0,0,0
101031140048,b2a2026c83ae41a7923a98816df65b14,0,0,0,0,0
101031140063,493266144833480db51fec24dfab1ad3,0,0,0,0,0
101031140070,163eadee65014697a8b245e2ef6d29b7,0,1000,0,0,0
101031140076,3359041e1cf84a61805765d90fe888c6,0,0,0,0,0
101031140091,a0cfad73b8ba4df8b14e84563cd566ec,0,0,0,0,0
101031140098,2fe9f709b5864c2bb02d93614ddf5d56,0,0,0,0,0
101031140104,2f91f9906b3c4c6ab0c363655380ad10,0,0,0,0,0
101031140117,1b182b8196d34a598c0f5aaab4ca616f,0,0,0,0,0
101031140124,9bc811aa902b46f6b66a3f1972db4d2b,0,0,0,0,0
101031140130,7cc3a746c9e6481db3f3561a0fbdef3f,0,0,0,0,0
101031140144,406e032a1e22440993d498c451674a56,0,0,0,0,0
101031150011,226bd4f046244452a34c0fa507a27d96,0,0,0,0,0
101031150028,e8fc80e85f07427b8c4458b9bb8174fd,0,0,0,0,0
101031150037,cb8f800c91dc475abebacf860aa68c9c,0,0,0,0,0
