case_id,hhid,Fishing_GearID,fs_d01a,fs_d01b,fs_d02,fs_d03,fs_d04,fs_d05_filter,fs_d05,fs_d06_filter,fs_d06
106012210109,3cf590999e8a4d2f8aa9edb7d2f5c9a2,Mbuka/ntaya/ukonde (gillnet),yes,,2,2,100000,no,,no,
106012210122,d525875262dc4c2da8ba6c2b80dc5820,Mbuka/ntaya/ukonde (gillnet),yes,,3,3,50000,no,,no,
106012210186,dd157816118747f7b8c645deef83314a,Mbuka/ntaya/ukonde (gillnet),yes,,3,3,40000,yes,1,no,
106012220017,9e377e99bbaa4fa1894e5c40b40fabbd,Mbuka/ntaya/ukonde (gillnet),yes,,2,2,250000,no,,no,
106012220061,1299960eefdc49dc85e74275ff361dab,Mbedza (long /hand line),yes,,200,200,9000,no,,no,
106012220083,299b0466b1c7480c9217a68f8b5ed850,Usipa (mosquito) net,yes,,3,3,150000,no,,no,
106012220100,1b3b07c731f049e3aaaf2a381aa34112,Mbedza (long /hand line),yes,,20,20,1000,yes,25,no,
106012220100,1b3b07c731f049e3aaaf2a381aa34112,Mbuka/ntaya/ukonde (gillnet),yes,,2,2,30000,no,,no,
106012220105,378d35459ffe4bbcb838fe972ccf76f4,Usipa (mosquito) net,yes,,1,1,100000,no,,no,
106012220171,8949b0927d47403689676499aaa0e554,Mbedza (long /hand line),yes,,200,200,2500,no,,no,
106012220171,8949b0927d47403689676499aaa0e554,Mbuka/ntaya/ukonde (gillnet),yes,,2,2,100000,no,,no,
106012220192,e07b605d86664cfeb87f6d0f41a31538,Mbedza (long /hand line),yes,,200,200,5000,no,,no,
106012220214,58d807a0904745bd8e2b83c77c4e8afe,Usipa (mosquito) net,yes,,1,1,120000,no,,no,
106012220280,e9233b566489450294fa0fb34d988278,Mbedza (long /hand line),yes,,50,50,5000,no,,no,
106012220346,0480490180ae492bab38520e1a2d9a52,Mbedza (long /hand line),yes,,200,200,1600,no,,no,
106012230013,6cc3588b213e4615aeff177626a94117,Usipa (mosquito) net,yes,,1,1,4000,no,,no,
106012230164,f470912aca0d4bf9ab930d08bc30b5b7,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,5000,no,,no,
106012230177,a21dcb576aab47498258a551704d0e1a,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,3000,no,,no,
106012230214,d22a7cedb38f47a5bb5e55fd3bb84ef6,Usipa (mosquito) net,yes,,1,1,10000,no,,no,
106012230214,d22a7cedb38f47a5bb5e55fd3bb84ef6,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,8000,no,,no,
106012240131,3d46228d82ab4af6900846a524e7afd7,Mbedza (long /hand line),yes,,400,400,1500,no,,no,
106012240131,3d46228d82ab4af6900846a524e7afd7,Mbuka/ntaya/ukonde (gillnet),yes,,3,3,15000,no,,no,
106012250020,db2c6d4784534897bed7627d3da9fe5b,Mbedza (long /hand line),yes,,270,270,3000,yes,1,no,
106012250136,53e1f38072e04f3b800220bbff635724,Usipa (mosquito) net,yes,,1,1,90000,no,,no,
106012260028,db10b756b2b649338d6b0cc5dab1db9e,Usipa (mosquito) net,yes,,100,100,3500,no,,no,
106012260028,db10b756b2b649338d6b0cc5dab1db9e,Mbedza (long /hand line),yes,,200,200,5000,no,,no,
106012260069,3d2b9530620a405990773f77c92d42a8,Mbuka/ntaya/ukonde (gillnet),,,2,2,0,no,,no,
106012260100,cdfa04e88e6a4bceae9f15d91717ab16,Mbedza (long /hand line),yes,,500,500,100,no,,no,
106012260100,cdfa04e88e6a4bceae9f15d91717ab16,Mbuka/ntaya/ukonde (gillnet),yes,,15,15,4000,no,,no,
106012270125,97c3a192048e45fd95240ad1844012e6,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,250000,no,,no,
106012270144,cc6e6992ce7e4b13b8a09e070d177a21,Mbedza (long /hand line),yes,,20,20,2000,no,,no,
