ea_id,module_cb_startdate,module_cb_startHr,module_cb_startMin,module_cb_endHr,module_cb_endMin,module_cc_startdate,module_cc_startHr,module_cc_startMin,module_cc_endHr,module_cc_endMin,module_ce_startdate,module_ce_startHr,module_ce_startMin,module_ce_endHr,module_ce_endMin,module_cf_startdate,module_cf_startHr,module_cf_startMin,module_cf_endHr,module_cf_endMin,module_cg_startdate,module_cg_startHr,module_cg_startMin,module_cg_endHr,module_cg_endMin,module_ch_startdate,module_ch_startHr,module_ch_startMin,module_ch_endHr,module_ch_endMin,module_ci_startdate,module_ci_startHr,module_ci_startMin,module_ci_endHr,module_ci_endMin,module_cj_startdate,module_cj_startHr,module_cj_startMin,module_cj_endHr,module_cj_endMin
30403603,2017-03-21,15,30,15,52,2017-03-21,15,52,16,9,2017-03-21,16,19,16,20,2017-03-21,16,20,16,30,2017-03-21,16,30,16,40,2017-03-21,16,43,17,10,2017-03-21,17,10,17,11,2017-03-21,17,11,17,35
30403604,2016-04-18,10,58,11,28,2016-04-18,11,28,11,55,2016-04-18,12,31,12,42,2016-04-18,12,42,13,14,2016-04-18,13,15,13,41,2016-04-18,13,42,14,24,2016-04-18,14,25,14,33,2016-04-18,14,34,15,3
30403605,2017-01-31,13,33,13,56,2017-01-31,13,57,14,13,2017-01-31,14,32,14,38,2017-01-31,14,39,14,53,2017-01-31,14,54,15,11,2017-01-31,15,12,15,31,2017-01-31,15,33,15,40,2017-01-31,15,41,16,19
30403606,2016-09-28,8,39,8,55,2016-09-28,8,56,9,13,2016-09-28,9,33,9,42,2016-09-28,9,43,10,3,2016-09-28,10,7,10,24,2016-09-28,10,25,10,46,2016-09-28,10,46,10,54,2016-09-28,10,55,11,8
30404607,2017-04-10,11,40,11,55,2017-04-10,11,56,12,8,2017-04-10,12,26,12,30,2017-04-10,12,31,12,40,2017-04-10,12,41,12,53,2017-04-10,12,54,13,11,2017-04-10,13,12,13,24,2017-04-10,13,25,13,38
30404608,2016-06-09,9,47,10,2,2016-06-09,10,2,10,17,2016-06-09,10,43,10,49,2016-06-09,10,49,11,9,2016-06-09,11,11,11,23,2016-06-09,11,23,11,53,2016-06-09,11,54,11,59,2016-06-09,12,43,12,18
30404609,2017-02-23,9,35,9,53,2017-02-23,9,54,10,6,2017-02-23,10,37,10,45,2017-02-23,10,46,11,26,2017-02-23,11,27,11,37,2017-02-23,11,38,11,58,2017-02-23,11,59,12,12,2017-02-23,12,14,12,32
30405610,2016-12-15,12,26,12,48,2016-12-15,12,49,13,9,2016-12-15,13,35,13,45,2016-12-15,13,46,14,22,2016-12-15,14,23,14,36,2016-12-15,14,37,15,8,2016-12-15,15,9,15,16,2016-12-15,15,19,15,35
30406611,2017-04-15,13,31,13,58,2017-04-15,13,59,14,5,2017-04-15,14,14,14,19,2017-04-15,14,20,14,43,2017-04-15,14,43,14,49,2017-04-15,14,50,15,5,2017-04-15,15,6,15,14,2017-04-15,15,15,15,27
30406612,2016-07-20,9,14,9,29,2016-07-20,9,29,9,48,2016-07-20,10,15,10,21,2016-07-20,10,21,10,40,2016-07-20,10,40,10,47,2016-07-20,10,47,10,56,2016-07-20,10,56,10,59,2016-07-20,10,59,11,8
