case_id,hhid,crop_code,ag_o01,ag_o02a,ag_o02b,ag_o02c,ag_o03,ag_o05a,ag_o05b,ag_o06a,ag_o06b,ag_o07a,ag_o07b,ag_o08,ag_o09,ag_o09_oth,ag_o10,ag_o31a,ag_o31b,ag_o31b_oth,ag_o31c,ag_o32a,ag_o32b,ag_o32b_oth,ag_o32c,ag_o33a,ag_o33b,ag_o33b_oth,ag_o33c,ag_o34a,ag_o34b,ag_o34b_oth,ag_o34c,ag_o35a,ag_o35b,ag_o35b_oth,ag_o35c,ag_o36a,ag_o36b,ag_o36b_oth,ag_o36c,ag_o36d,ag_o37a,ag_o37b,ag_o37_oth,ag_o38,ag_o39,ag_o39_oth,ag_o40a,ag_o40b,ag_o40b_oth,ag_o40c,ag_o41a,ag_o41b,ag_o41_oth,ag_o42a,ag_o42b,ag_o42_oth
101021110086,06329ecc71e5430fadb9d1b4b752806d,tomato,yes,28,PAIL (LARGE),NOT APPLICABLE,84000,3,,1,2,august,2016,8,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (LARGE),,NOT APPLICABLE,,Rotting,,,no,,,,,,,,,,Wait for the arrival of buyer,,
101021110100,4eada1d1b00844aa94fc413e44f4b6f4,tomato,yes,24,OTHER (SPECIFY),NOT APPLICABLE,60000,3,,1,,september,2016,15,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,0,,,,2,PAIL (SMALL),,NOT APPLICABLE,,Rotting,,,no,,,,,,,,,,Wait for the arrival of buyer,,
101031130010,43da15b392404c87b88b661009658646,MAIZE HYBRID RECYCLED,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,5,,,,no,,,,,,,,,,Food for household,,
101031130099,720d9bece54b440d9d8f75454d2eb823,maize,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,S: SHELLED,,Rotting,Insects,,yes,Bags in house,,1,PAIL (LARGE),,U: UNSHELLED,Did Nothing,,,Food for household,Seed for planting,
101031140007,765a3f45dc214e938ee78815efb7fcd9,tanaposi,yes,1,PAIL (SMALL),NOT APPLICABLE,2500,6,,2,3,september,2016,10,On Foot,,2500,0,,,,0,,,,0,,,,0,,,,0,,,,2,bunch,,NOT APPLICABLE,,Theft,,,no,,,,,,,,,,Food for household,,
101031140035,c86f5e596dfd4128a54ff60878980c25,MAIZE HYBRID,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,kilogram,,S: SHELLED,,Rodents/Pests,,,no,,,,,,,,,,Food for household,,
101031140063,493266144833480db51fec24dfab1ad3,MAIZE HYBRID,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,no,,,,,,,,,,Food for household,,
101031140063,493266144833480db51fec24dfab1ad3,beans,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,.2,PAIL (SMALL),,U: UNSHELLED,,Rotting,Insects,,no,,,,,,,,,,Food for household,,
101031140070,163eadee65014697a8b245e2ef6d29b7,MAIZE HYBRID,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,no,,,,,,,,,,Food for household,,
101031140070,163eadee65014697a8b245e2ef6d29b7,beans,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,no,,,,,,,,,,Food for household,,
101031140076,3359041e1cf84a61805765d90fe888c6,maize,no,,,,,,,,,,,,,,,1,PAIL (LARGE),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,S: SHELLED,,Rotting,,,no,,,,,,,,,,Food for household,Seed for planting,
101031140091,a0cfad73b8ba4df8b14e84563cd566ec,maize,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,S: SHELLED,,Rotting,,,no,,,,,,,,,,Food for household,Seed for planting,
101031140091,a0cfad73b8ba4df8b14e84563cd566ec,nkhwani,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (LARGE),,NOT APPLICABLE,,Rotting,Flood,,no,,,,,,,,,,Food for household,Seed for planting,
101031140104,2f91f9906b3c4c6ab0c363655380ad10,maize,no,,,,,,,,,,,,,,,1,PAIL (SMALL),,U: UNSHELLED,0,,,,0,,,,0,,,,0,,,,1,PAIL (LARGE),,NOT APPLICABLE,,Rotting,,,no,,,,,,,,,,Food for household,Seed for planting,
101031140104,2f91f9906b3c4c6ab0c363655380ad10,nkhwani,no,,,,,,,,,,,,,,,1,PAIL (LARGE),,NOT APPLICABLE,0,,,,0,,,,0,,,,1,PAIL (SMALL),,U: UNSHELLED,1,PAIL (SMALL),,NOT APPLICABLE,,Rotting,,,no,,,,,,,,,,Food for household,Seed for planting,
