case_id,hhid,fs_d14a,fs_d14b,fs_d14c,fs_d14d,fs_d15,fs_d16a,fs_d16b,fs_d17,fs_d18a,fs_d18b,fs_d18c,fs_18d,fs_d18e,fs_d18f,fs_d19,fs_d20a,fs_d20b,fs_d21a,fs_d21b,fs_d22,fs_d23,fs_d24a,fs_d24b
103091630065,f66081fcd5754c73bb04ed9348cf4e55,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103091640104,b9c94e08eab045e2aa3573e8682e065d,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103091640136,769d9986929f45169fc472563bac5523,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103091640150,9f4acc45075e445390de3771cac29b10,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103091640211,bc3bce638161477592d3ea6fca0c817e,2,4,0,0,no,,,yes,2,LARGE BASKET,,1,LARGE BASKET,,no,,,0,0,no,,,
103091640225,440104333e2e46afb69b58735a15ce1d,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103091640254,3df550fb47554460bd794cd44f989aa2,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103121660085,b8ae7be8d7ac456c8c4363c3172a0cbd,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103121670149,d8a58ec5e522491eb3fbd29b26c8a815,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103121680279,6722c5108f494fa7b2129ba5366656d9,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103121680364,23be6551653a4a0284ec5ef0a5f0b383,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103121690211,a7a96247cbd74fb3887dcb4745d1a436,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103201700023,200abe65cf81492996fb536cdba870de,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103201700045,922e3d8ad8584509943cdf1e7369d496,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103201700057,5df913186e364fe2aae62230c04193c9,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103201700068,84be51f327394a3a8e5a06374264eba1,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103201700079,9977f1d5d6f7420da34b676ad1f9bf0f,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103201700102,48d11b47d14a4d2a855f5fec1c8e8cd8,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103201700159,d4b20eee007e44c0a28d773f16c41258,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103201700170,06cd9a308c6d4a309d1f2ee191d511e8,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103201700193,6bf41810b584418c9e9f51c0b46c6282,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103201700204,a5ae70e5fa064337815355c972f70c3f,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
104021810008,1e0aebd7b0334d81963cceb98abc2b64,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
104021810017,69fe1296e62643ae831589db3e368cee,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
104021810025,345271d5f42d4bb68cbefd4bc5fe165a,2,6,0,3,yes,1200,0,no,,,,,,,no,,,0,0,no,,,
104021810034,51d6adec32b04948af8fdfc2d7cd5ce9,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
104021810042,3ac5a8e86df9427f905e18c85060093b,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
104021810075,33d72c15c22e4193a22f89d6087978f6,1,1,0,0,yes,4000,0,no,,,,,,,yes,3000,0,0,0,no,,,
104021810084,6d8dfc681c3247a2bd049133392cf5f5,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
104021810109,572dbe8173894e32b723538056173285,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
104021810117,df0b43e26caa4c2fbd8422b108fbbede,2,4,0,0,yes,50000,250000,no,,,,,,,yes,10000,0,3000,0,no,,,
104021810158,e388d90053af4754844fdaf89d74a477,5,20,0,20,no,,,no,,,,,,,yes,5000,0,0,0,no,,,
104021810175,2a587a238d7248f6bb0505a7657a9ca2,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
105011970059,025aa6c330234024a159947a74a27cb7,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
105022000029,a2bf6c35fdcd42c69a5c5d4e4ce498ec,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
105202190223,bc6852e572de444e85158af694a0bc75,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012200014,349e1d76d94747adb42511ccac7c03b4,1,12,0,12,no,,,no,,,,,,,yes,8000,0,3000,0,no,,,
106012200022,9f5a35f8683f4072ba8dd79fbe2893b3,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012200044,a76b724c2f83402d8decd8eaf428326e,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012200051,f03e120c8efa4a708c1f617c5ac7771f,5,12,0,0,no,,,no,,,,,,,yes,5000,0,1000,0,no,,,
106012200067,a570550ddf1b4f91be1b016fa3c1bc94,4,10,0,0,no,,,no,,,,,,,yes,7000,0,2500,0,no,,,
106012200074,0fefe02983d54c1e9c34e892cfc36aca,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012200096,d9e64ae237c5421495e282d113f1b33c,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012200103,a402e1330a0a49d9af436d82ddc4a2ad,10,2,0,0,no,,,no,,,,,,,yes,12000,0,2500,0,no,,,
106012200111,f408e6986d064a479badfe445c059b10,4,12,0,0,no,,,no,,,,,,,yes,14000,0,20000,0,no,,,
106012200118,7b0eb61063ce4c39a5910d7811a4f80a,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012200140,a40dfdd1423a4301adda69279487b612,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012200154,15301a838151412593a5aaa0a9ee3dd4,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012210032,e582a4d6e6a9412a86d4b162d1993ba6,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012210045,2034b55a41de4b928623efb78b9444b8,5,20,0,0,no,,,no,,,,,,,yes,20000,0,0,0,no,,,
106012210083,c6147f79ff9e4a7ebc0b750678530acd,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012210096,8897f4ccfd9a442699d5d4a5df36ad32,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012210109,3cf590999e8a4d2f8aa9edb7d2f5c9a2,2,12,0,0,yes,9000,0,no,,,,,,,no,,,0,0,no,,,
106012210122,d525875262dc4c2da8ba6c2b80dc5820,11,12,0,0,no,,,no,,,,,,,yes,20000,0,0,0,no,,,
106012210135,8f83af46a9364299825f1bbff6c76b06,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012210148,c5e469c7fc2441398185c7f79b5ece13,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012210160,6c61bb2d0721418ebabf2f2c3f1f0924,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012210173,45b627bc2db740c09009a23deac04a22,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012210186,dd157816118747f7b8c645deef83314a,2,16,0,0,yes,10000,0,no,,,,,,,no,,,0,0,no,,,
106012220017,9e377e99bbaa4fa1894e5c40b40fabbd,8,8,0,0,no,,,yes,1,LARGE BASKET,,1,LARGE BASKET,,no,,,5000,0,no,,,
106012220039,209f86cd9c734baab40065b101d7e5de,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012220058,5424559a24a244fa9e09001adf3b7338,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012220061,1299960eefdc49dc85e74275ff361dab,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012220072,45c20fe32c0545df88f6a15eca3c77c3,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012220083,299b0466b1c7480c9217a68f8b5ed850,10,8,0,0,no,,,no,,,,,,,yes,30000,0,5000,0,no,,,
106012220100,1b3b07c731f049e3aaaf2a381aa34112,2,6,0,0,no,,,yes,10,piece,,10,OTHER (SPECIFY),PIECE,yes,5000,0,1200,0,no,,,
106012220105,378d35459ffe4bbcb838fe972ccf76f4,2,16,0,0,no,,,yes,1,OTHER (SPECIFY),"""LARGE RK BASIN """,1,OTHER (SPECIFY),"""LARGE RK BASIN """,no,,,5000,0,no,,,
106012220144,b5e0d9d13de147dfa087af1a60d7aaae,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012220171,8949b0927d47403689676499aaa0e554,4,8,0,0,no,,,yes,1,DOZEN / BUNDLE,,1,DOZEN / BUNDLE,,no,,,0,0,no,,,
106012220192,e07b605d86664cfeb87f6d0f41a31538,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012220214,58d807a0904745bd8e2b83c77c4e8afe,3,10,0,0,yes,25000,0,no,,,,,,,no,,,0,4000,no,,,
106012220216,db8f2497fb26445b812c09f0489579de,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012220236,8fe45ed101d248b69bfbec8dff4e906d,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012220271,7084ffb8fe874654a9760d30a398bca4,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
