case_id,hhid,ag_e27a,ag_e27b,ag_e27c,ag_e27d,ag_e27e,ag_e27f,ag_e27g,ag_e27h,ag_e28,ag_e29a,ag_e29b,ag_e29c,ag_e29d,ag_e29e,ag_e29f,ag_e29g,ag_e29h,ag_e29i,ag_e29j,ag_e29k,ag_e29l
208014350383,8c93d3f98e3e430bb5a04e4f7365c07d,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no
208014350409,86d78b6b832c4ea78c013f37523dbe33,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no
208014360019,4a2841a9c02a4e62a97571c8a5fc13ea,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no
208014360038,27c05ae5339d49bd80ae7bbb84bd64a1,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208014360058,305dc2f783b446ec944e8070bca8fe35,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208014360082,593e41f4caf6447089949bb85d92cb27,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208014360102,89225516f31446aaacd456e09826163b,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
208014360121,a292a327ca4a42a38065d36af30f5f08,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
208014360140,c011ea81ec6042e99a0421538aa9591a,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208014360184,0fd6c6d2e95747ba977f94ebcffe576f,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
208014360189,c4613ae7ead14448b8c46d3f9c4e0a17,no,no,yes,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208014360266,b6c9841533324bcdbbd00715a41d6f28,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208014360286,9e4962cc9364468982a4116a400c1e13,yes,yes,no,no,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no
208014360305,96827c77a3f945189851263bda1cd5c6,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208014360343,59748d7f54dc4b2bba04799ae398da27,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208014360363,ea549fae45cf43ee9685510480e8a4c9,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208014360382,8358b3fd144e42ccad5d245d06b263d6,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
208014360420,1e5ed3df3a8240fea79103dbb86edb7f,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no
208014370028,a77d38056ed44afcba24dac12912105a,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
208014370057,d10a7e86300a4640bab6c1b6707cdb9c,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208014370086,1c312d1590e34f62b7e0c73038811eac,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208014370115,63c7d367fc7546558f520466ddc5d7ae,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208014370144,ec31a9d963b84a67b550ef01b3009264,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
208014370174,9f3e3ed1df9242d287d57cf45ee2f505,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,no
208014370203,306ac38f543c431386f0a01c30a917f7,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208014370232,4eee8ae5443e48238cab85b0290c4d10,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208014370261,de86ea32f4204b838d07f3aea4b33e5c,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208014370290,adad47651d64432fa8ff79b344eaebc2,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208014370320,10aedd36513a4278b11897de9859e06f,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208014370378,c4648ce6ccee437785880f46c64b9349,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
208014370407,83dfc5d6a2ef49af8b6b7051a9b5201f,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208014370466,134a98c68fd24facad3d03cf0c1808ab,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208014380020,252acac98eb1469d8e8ad88aeb343f0a,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
208014380041,52feedd0ecda44a5be6347652471619c,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208014380061,ee0b1f42be3c4e5ca4df424c0bd42438,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no
208014380102,370e96a678824fe89b6107da6ff86c95,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
208014380122,d9871c8ce88e420c88993c33c87f6f30,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208014380143,68486c62a9e647cebe662e0de987271b,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no
208014380204,4042ad6729b643dda0ae30842d49a74b,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
208014380224,45fa050e31dd4b69866d3cd153ea2216,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no
208014380285,3da65416ed704061bc6bfa4f6d8c2b40,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,no
208014380306,2a3b43229f7f47449ae27704a4ff7d55,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no
208014380346,52c5c6f6b907461696140a8abf75f7c1,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
208014380367,99e81ea25d1e4b9b9803eef27f62f6f7,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208014380387,458556afee774bf19deaceac0a11ff8b,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no
