case_id,hhid,ea_id,region,district,reside,interviewDate,hh_wgt,hh_a02a,hh_a03,hh_a06,hh_a11,hh_a13,hh_a22,hh_a23,hh_g09,hh_m00,hh_o0a,hh_s01,hh_w01
204033360221,762a14ca5b014d9dbc5f036300c5d84b,20403336,Central,Dowa,rural,2016-07-22,339.44989,3,336,0221,no,,40,17,no,yes,yes,no,yes
202052970256,762ea3ceefc44441b4e6851a5b2594c6,20205297,Central,Nkhotakota,rural,2016-10-31,201.5592,5,297,0256,no,,50,45,no,yes,no,no,no
311087780084,76309b0a80d045599c46147727eb784e,31108778,Southern,Nsanje,rural,2017-04-21,172.60249,8,778,0084,no,,800,75,yes,yes,no,no,no
210665010030,763b239c20f84eaaba8cfb10efb90417,21066501,Central,Lilongwe City,urban,2016-06-22,316.65781,66,501,0030,no,,70,31,yes,yes,no,yes,no
205073670115,763de45757a3419995221778f5b81bd7,20507367,Central,Salima,rural,2016-06-28,301.11981,7,367,0115,no,,50,20,no,yes,no,yes,no
203053180211,7644137afe354d9d8e8f600b68cf08fc,20305318,Central,Ntchisi,rural,2016-10-18,292.8941,5,318,0211,no,,50,9,yes,yes,no,no,no
210554980232,765386bb75e94244824b5a08a390320d,21055498,Central,Lilongwe City,urban,2017-01-26,416.28369,55,498,0232,no,,80,35,yes,yes,yes,yes,no
101031140007,765a3f45dc214e938ee78815efb7fcd9,10103114,North,Chitipa,rural,2016-10-04,191.0786,3,114,0007,no,,10,1,yes,yes,no,yes,no
207044240021,76733895494c442f83b451b7f8ca7950,20704424,Central,Mchinji,rural,2016-05-11,451.5192,4,424,0021,no,,70,33,no,yes,no,yes,no
204033360148,767aab6dce84420193d49db4636bcf5e,20403336,Central,Dowa,rural,2016-07-22,339.44989,3,336,0148,no,,40,16,no,yes,no,yes,no
206104000124,76828aa63d134ccfbf0e862e0cbbe077,20610400,Central,Lilongwe,rural,2017-03-21,549.51349,10,400,0124,no,,600,27,no,yes,yes,yes,no
309017130015,7686788e324f48739fe1accca334b2b0,30901713,Southern,Phalombe,rural,2016-05-26,290.58401,1,713,0015,no,,600,67,no,yes,no,no,no
203053200036,768ba2426788431f8f628cd222320a64,20305320,Central,Ntchisi,rural,2016-06-13,154.3008,5,320,0036,no,,50,20,yes,yes,no,yes,no
