case_id,hhid,fs_e01,fs_e02,fs_e02_oth,fs_e03,fs_e04a,fs_e04b,fs_e04c,fs_e04d,fs_e04e,fs_e04f,fs_e04g,fs_e04h,fs_e04i,fs_e04j,fs_e04k,fs_e05a,fs_e05b,fs_e06a,fs_e06b,fs_e06c,fs_e06d,fs_e06e,fs_e06f,fs_e06g,fs_e06h,fs_e06i,fs_e06j,fs_e07a,fs_e07b,fs_e08a,fs_e08b,fs_e08c,fs_e08d,fs_e08e,fs_e08f,fs_e08g,fs_e08h,fs_e08i,fs_e08j,fs_e08k,fs_e08l,fs_e09,fs_e10,fs_e11a,fs_e11b,fs_e11c,fs_e11d,fs_e11e,fs_e11f,fs_e11g,fs_e11h,fs_e11i,fs_e11j,fs_e12,fs_e13a,fs_e13b,Fish_SpeciesID
102051430051,95af18dce6774558b4c8189c8ece2dc8,yes,utaka,,4,4,SMALL BASKET,,fresh,,no,,,,,,16,,16,SMALL BASKET,,fresh,,16,SMALL BASKET,,fresh,,"YES, THE FIGURES MATCHED",,4,SMALL BASKET,,fresh,,1500,9,SMALL BASKET,,fresh,,17500,4,yes,18,piece,,fresh,,18,piece,,fresh,,1/4,"YES, THE FIGURES MATCHED",,
102051430063,f1b3be26069c489d8d14c57518101408,yes,other,GONG'O,16,3,OTHER (SPECIFY),Large BASIN,fresh,,no,,,,,,48,,48,OTHER (SPECIFY),LARGE BASIN,fresh,,48,OTHER (SPECIFY),LARGE BASIN,fresh,,"YES, THE FIGURES MATCHED",,2,OTHER (SPECIFY),LARGE BASIN,fresh,,15000,16,OTHER (SPECIFY),LARGE BASIN,fresh,,25000,20,no,16,OTHER (SPECIFY),LARGE BASIN,fresh,,1,SMALL BASKET,,fresh,,1/4,"YES, THE FIGURES MATCHED",,
102051430113,947cb04fcc36485784709ffea38208bd,yes,ncheni,,2,20,DOZEN / BUNDLE,,fresh,,no,,,,,,40,,45,DOZEN / BUNDLE,,fresh,,45,DOZEN / BUNDLE,,fresh,,"YES, THE FIGURES MATCHED",,30,DOZEN / BUNDLE,,fresh,,3500,30,DOZEN / BUNDLE,,fresh,,4000,2,yes,10,DOZEN / BUNDLE,,fresh,,10,DOZEN / BUNDLE,,fresh,,1/4,"YES, THE FIGURES MATCHED",,
102051430237,01ed4b0ebb174ce2b6ad24a2171b81f8,yes,other,NKHOLOKORO,15,9,LARGE BASKET,,fresh,,no,,,,,,135,,135,LARGE BASKET,,fresh,,0,OTHER (SPECIFY),"""nothing caught by other member """,OTHER (SPECIFY),"""nothing ""","YES, THE FIGURES MATCHED",,3,LARGE BASKET,,fresh,,7000,1,LARGE BASKET,,fresh,,8000,15,no,5,LARGE BASKET,,smoked,,1,LARGE BASKET,,smoked,,1/4,"YES, THE FIGURES MATCHED",,
102051430249,7354428d3dc54a6dbd1345984caa5391,yes,usipa,,16,2,OTHER (SPECIFY),90 kg bag,fresh,,yes,1,OTHER (SPECIFY),"""90 KG BAG """,SUN-DRIED,,32,16,2,OTHER (SPECIFY),"""90 kg bag """,fresh,,3,OTHER (SPECIFY),"""90 kg bag """,SUN-DRIED,,"YES, THE FIGURES MATCHED",,3,25 KG BAG,,fresh,,30000,0,SMALL BASKET,,fresh,,0,16,no,1,SMALL BASKET,,SUN-DRIED,,1,SMALL BASKET,,SUN-DRIED,,1/4,"YES, THE FIGURES MATCHED",,
102051430261,6552bf2e438f4d41b03bff392be5ae6e,yes,mlamba,,9,3,LARGE BASKET,,smoked,,no,,,,,,27,,27,LARGE BASKET,,smoked,,27,LARGE BASKET,,smoked,,"YES, THE FIGURES MATCHED",,2,LARGE BASKET,,fresh,,4000,6000,LARGE BASKET,,smoked,,4000,9,no,9,SMALL BASKET,,smoked,,9,SMALL BASKET,,smoked,,1/4,"YES, THE FIGURES MATCHED",,
102051430261,6552bf2e438f4d41b03bff392be5ae6e,yes,ncheni,,16,6,LARGE BASKET,,fresh,,no,,,,,,96,,0,LARGE BASKET,,smoked,,16,LARGE BASKET,,smoked,,"YES, THE FIGURES MATCHED",,80,LARGE BASKET,,smoked,,5000,23,LARGE BASKET,,smoked,,7000,16,yes,14,SMALL BASKET,,smoked,,1,SMALL BASKET,,smoked,,1/4,"YES, THE FIGURES MATCHED",,
102051440026,c4110f608f2a4f339cd3bf50cc4e3e82,yes,ncheni,,12,20,10 KG BAG,,fresh,,no,,,,,,240,,240,10 KG BAG,,fresh,,240,10 KG BAG,,fresh,,"YES, THE FIGURES MATCHED",,19,10 KG BAG,,fresh,,4000,45,10 KG BAG,,fresh,,11000,12,no,1,10 KG BAG,,smoked,,1,10 KG BAG,,smoked,,1/4,"YES, THE FIGURES MATCHED",,
103041550097,567c55b2fade45ca9224c7e045c6faf2,yes,usipa,,4,20,LARGE BASKET,,fresh,,yes,20,LARGE BASKET,,SUN-DRIED,,80,80,40,LARGE BASKET,,SUN-DRIED,,80,LARGE BASKET,,SUN-DRIED,,"YES, THE FIGURES MATCHED",,80,LARGE BASKET,,SUN-DRIED,,3000,5,LARGE BASKET,,SUN-DRIED,,3000,4,no,3,LARGE BASKET,,fresh,,3,LARGE BASKET,,SUN-DRIED,,1/2,"YES, THE FIGURES MATCHED",,
103041550161,37d827493097455584995cea49b0c3a0,yes,usipa,,1,1,DOZEN / BUNDLE,,fresh,,no,,,,,,1,,1,DOZEN / BUNDLE,,fresh,,0,DOZEN / BUNDLE,,fresh,,"YES, THE FIGURES MATCHED",,0,OTHER (SPECIFY),none,OTHER (SPECIFY),none,0,4,SMALL BASKET,,fresh,,0,0,no,1,DOZEN / BUNDLE,,fresh,,1,DOZEN / BUNDLE,,fresh,,ALMOST ALL,"YES, THE FIGURES MATCHED",,
103041550161,37d827493097455584995cea49b0c3a0,yes,utaka,,1,1,SMALL BASKET,,fresh,,no,,,,,,1,,1,SMALL BASKET,,fresh,,0,OTHER (SPECIFY),none,OTHER (SPECIFY),none,"YES, THE FIGURES MATCHED",,0,OTHER (SPECIFY),none,OTHER (SPECIFY),none,0,0,OTHER (SPECIFY),none,OTHER (SPECIFY),none,0,0,no,1,SMALL BASKET,,fresh,,1,SMALL BASKET,,fresh,,ALMOST ALL,"YES, THE FIGURES MATCHED",,
