case_id,hhid,crop_code,ag_h0b_oth,ag_h01a,ag_h01b,ag_h01b_oth,ag_h02,ag_h03,ag_h04,ag_h06a,ag_h06b,ag_h07a,ag_h07b,ag_h07b_oth,ag_h08,ag_h08_oth,ag_h09,ag_h10,ag_h11,ag_h12,ag_h13,ag_h14a,ag_h14b,ag_h37,ag_h38a,ag_h38b,ag_h38b_oth,ag_h39a,ag_h39b,ag_h40,ag_h41,ag_h42a,ag_h42b,ag_h42b_oth,ag_h43
101011010126,b2856f2dc800493dacc8fea33a1ca304,beans,,25,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,25,kilogram,,Improved variety is too expensive
101011020011,3353f3b4e8bd4aa2bb22a180bcb6cf23,MAIZE: HYBRID,,5,kilogram,,"YES, THE FIGURES MATCHED",yes,,,,,,,,,,,,,,,,no,,,,,,,no,,,,Other (Specify)
101011020011,3353f3b4e8bd4aa2bb22a180bcb6cf23,beans,,5,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,5,kilogram,,Own Bicycle or Oxcart,,0,3000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify)
101011020011,3353f3b4e8bd4aa2bb22a180bcb6cf23,sunflower,,1,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,kilogram,,Other (Specify)
101011020011,3353f3b4e8bd4aa2bb22a180bcb6cf23,nkhwani,,500,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,500,gram,,Preference for traditional variety
101011020021,8f5ce0fbc5db43ffa0048a4f32e55a1b,MAIZE: LOCAL,,5,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,5,kilogram,,Improved variety is too expensive
101011020021,8f5ce0fbc5db43ffa0048a4f32e55a1b,nkhwani,,500,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,500,gram,,Preference for traditional variety
101011020032,7efe8aed09d34ed281a3589e70a288f1,MAIZE: HYBRID,,15,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,15,kilogram,,Own Bicycle or Oxcart,,0,13500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify)
101011020032,7efe8aed09d34ed281a3589e70a288f1,beans,,15,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,15,kilogram,,Own Bicycle or Oxcart,,0,10500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify)
101011020032,7efe8aed09d34ed281a3589e70a288f1,sunflower,,500,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,500,gram,,Improved variety is too expensive
