case_id,hhid,crop_code,ag_n01a,ag_n01b,ag_n01b_oth,ag_n02,ag_n03,ag_n04,ag_n06a,ag_n06b,ag_n07a,ag_n07b,ag_n07b_oth,ag_n08,ag_n08_oth,ag_n09,ag_n10,ag_n11,ag_n12,ag_n13,ag_n14a,ag_n14b,ag_n37,ag_n38a,ag_n38b,ag_n38b_oth,ag_n39a,ag_n39b,ag_n40,ag_n41,ag_n42a,ag_n42b,ag_n42b_oth,ag_n43,ag_n43_oth
101031140091,a0cfad73b8ba4df8b14e84563cd566ec,nkhwani,500,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,4,kilogram,,Preference for traditional variety,
101031140104,2f91f9906b3c4c6ab0c363655380ad10,maize,5,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,5,kilogram,,Improved variety is too expensive,
101031140104,2f91f9906b3c4c6ab0c363655380ad10,nkhwani,250,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,250,OTHER (SPECIFY),GRAMS,Improved variety is too expensive,
101031140124,9bc811aa902b46f6b66a3f1972db4d2b,MAIZE HYBRID,4,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,4,kilogram,,1,,0,no,,,,Other (Specify),INFLUENCE OF RELATIVES
101031140124,9bc811aa902b46f6b66a3f1972db4d2b,nkhwani,500,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,500,OTHER (SPECIFY),GRAMS,Preference for traditional variety,
101201220072,4f095bc5a2cb4e88ac6abf9693274645,tanaposi,10,gram,,"YES, THE FIGURES MATCHED",no,yes,3,,10,gram,,Own Bicycle or Oxcart,,0,800,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
101201220072,4f095bc5a2cb4e88ac6abf9693274645,OTHER (SPECIFY),10,gram,,"YES, THE FIGURES MATCHED",no,yes,3,,10,gram,,Own Bicycle or Oxcart,,0,800,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
101201220126,3137d33aef354c79a3893ad1299c67b0,MAIZE HYBRID,0,,,"YES, THE FIGURES MATCHED",yes,,,,,,,,,,,,,,,,no,,,,,,,no,,,,Preference for traditional variety,
102011290274,d8ae44f0e05540ca8b2cf609bde50981,SWEET POTATO,1,other,90 KG BAG,"YES, THE FIGURES MATCHED",no,yes,4,,1,OTHER (SPECIFY),90KGBAG,Own Bicycle or Oxcart,,500,2000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
102021310082,f4623e291cb848d69108a32be83d42b3,maize,5,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,5,kilogram,,Truck / Bus/ Minibus,,1200,4000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
102021310082,f4623e291cb848d69108a32be83d42b3,nkhwani,5,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,5,kilogram,,Preference for traditional variety,
102021310153,8d7d92d2ad9743e493457857543fcdf0,maize,3,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,3,kilogram,,Improved variety is too expensive,
102031330234,53517e290d7c4c4bbffb1efcfd5c7a73,MAIZE HYBRID,4,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,2,kilogram,,Own Bicycle or Oxcart,,0,2000,"Paid in full, with own-savings",,,,,no,,,,,,,yes,2,kilogram,,Advice from fellow farmer,
102031330234,53517e290d7c4c4bbffb1efcfd5c7a73,tomato,50,gram,,"YES, THE FIGURES MATCHED",no,yes,3,,50,gram,,On Foot,,0,800,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from input supplier,
102041410031,bdfc54401c7b4caf8c616d40f77c617b,RICE TCG10,20,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,10 KG BAG,,Preference for traditional variety,
102201460108,dd740077bdda4f22a19aeed32aa49570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103011490056,c53d66cb5b0d40028ef9e5d1a9fc93db,MAIZE HYBRID,2,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,2,kilogram,,Improved variety is too expensive,
103011490078,3a6cf555beb1457cb33b89d7eae2f2e0,MAIZE HYBRID,2,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,2,kilogram,,Improved variety is too expensive,
103011500110,41207209b17946139ac5b3595bb197c3,tanaposi,10,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,10,ram,,Other (Specify),
103011500110,41207209b17946139ac5b3595bb197c3,tomato,10,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,10,ram,,Other (Specify),
103011500198,ab7d4ea95a884b5faf2a60c5914482a9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103011500209,9af857c963b947ef9b088c66d8b35061,beans,5,kilogram,,"YES, THE FIGURES MATCHED",no,yes,1,,5,kilogram,,On Foot,,0,1200,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from extension officer,
103011500230,607dbe75f1c144078d5533439c735f0b,tanaposi,20,gram,,"YES, THE FIGURES MATCHED",no,yes,1,,20,gram,,On Foot,,0,500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from input supplier,
103011500230,607dbe75f1c144078d5533439c735f0b,tomato,5,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,5,ram,,Advice from input supplier,
103041550268,62e206e8acfc4fa8bd272e9209053f33,rice,1,other,PAIL,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,OTHER (SPECIFY),PAIL,Improved variety is too expensive,
103051580104,524e5e1613a64298a6f8337b731da874,MAIZE HYBRID,2,kilogram,,"YES, THE FIGURES MATCHED",no,yes,1,,1,2 KG BAG,,Truck / Bus/ Minibus,,400,2000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
103051580282,78b5289f3e9643e687043eba15237d00,MAIZE HYBRID,2,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,2,kilogram,,3,,0,no,,,,Improved variety is too expensive,
103051580282,78b5289f3e9643e687043eba15237d00,SWEET POTATO,100,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,100,kilogram,,3,,0,no,,,,Improved variety is too expensive,
103071610002,1d62400f2d5b4d87bad4b6b6687f5462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103071610009,5df9c16f99b5413d854aef3d65e2f90e,SWEET POTATO,3,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,3,kilogram,,Improved variety is too expensive,
103101650213,cd448e191a6b4afabf6f3a9e871ec9c5,MAIZE HYBRID,3,kilogram,,"YES, THE FIGURES MATCHED",no,yes,5,,3,kilogram,,Truck / Bus/ Minibus,,1500,4500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
103121660077,cd87c1ae6f6247a791610f0148dc90a8,maize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103121670070,ad2ecea049444414b91da38fa986b46c,RICE KILOMBERO,40,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,40,kilogram,,On Foot,,0,6000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
103121670133,6c5378ff2c914065b860dea3ab84016a,MAIZE HYBRID,3,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,3,kilogram,,Preference for traditional variety,
103121680364,23be6551653a4a0284ec5ef0a5f0b383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104011730016,d1587128075c48f88d589d7fd5bb6bdf,MAIZE HYBRID,2,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,2,kilogram,,On Foot,,0,2000,Received on credit,0,2000,2,,no,,,,,,,no,,,,Improved variety is too expensive,
104011730016,d1587128075c48f88d589d7fd5bb6bdf,beans,1,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,1,kilogram,,1,,0,no,,,,Improved variety is too expensive,
104011730042,0e1721da5d0d4ae9b43a51ead0527ea7,MAIZE HYBRID,5,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,5,kilogram,,On Foot,,0,6000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
104011730119,feb5cf23b9ce4f86aa6d86dc1cce1106,MAIZE HYBRID,1,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,1,kilogram,,On Foot,,0,1500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
104011730159,d59f72a96e124548b8d21e55ae92a9ae,MAIZE HYBRID,2,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,2,kilogram,,7,,0,no,,,,Improved variety is too expensive,
104011730159,d59f72a96e124548b8d21e55ae92a9ae,beans,2,kilogram,,"YES, THE FIGURES MATCHED",yes,,,,,,,,,,,,,,,,yes,2,kilogram,,4,,0,no,,,,Improved variety is too expensive,
104011740025,b42dfe9761254b8cafc19effdd13425d,tanaposi,2,gram,,"YES, THE FIGURES MATCHED",no,yes,3,,2,gram,,On Foot,,0,500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
104011770042,c50e32f6a4e74eaaa30c4dd546da8046,tanaposi,1,gram,,"YES, THE FIGURES MATCHED",no,yes,3,,1,gram,,On Foot,,0,250,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
104011770273,92a1d7fad0ea4e6aae1ede4e5529c2fe,tanaposi,1,gram,,"YES, THE FIGURES MATCHED",no,yes,3,,1,gram,,On Foot,,0,200,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
