country,adm1,adm2,adm3,adm4,lat,lon,GPS_level,hhID,fieldID,plotID,crop,plot_area_measured_ha,plot_area_reported_ha,plot_area_reported_localUnit,localUnit_area,crop_area_share,planting_year,planting_month,harvest_year_begin,harvest_month_begin,harvest_year_end,harvest_month_end,harvest_year,harvest_month,dataset_name,dataset_doi
Malawi,southern,zomba,,,-15.44637,35.465641,3,303025330307,rg01,r01,maize,0.0121405692670607,0.2023428211176788,0.5,acre,,2017.0,11.0,,3.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,northern,chitipa,,,-9.6340399,33.534969,3,101031110113,rg01,r01,maize,0.0728434156023643,0.1011714105588394,0.25,acre,87.5,2018.0,12.0,,7.0,,7.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,chiradzulu,,,-15.75966,35.2967,3,304035630156,rg01,r01,maize,0.0364217078011821,0.1011714105588394,0.25,acre,87.5,2018.0,12.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,central,nkhotakota,,,-13.21139,34.31535,3,202062760088,rg01,r01,maize,0.1699679697388502,0.2023428211176788,0.5,acre,,2019.0,1.0,,5.0,,5.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,mulanje,,,-15.96642,35.784519,3,308026460133,rg01,r01,maize,0.0202342821117678,0.2023428211176788,0.5,acre,75.0,2018.0,11.0,,3.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,phalombe,,,-15.54433,35.606609,3,309056810165,rg01,r01,maize,0.3197016573659326,0.2023428211176788,0.5,acre,87.5,2018.0,12.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,zomba city,,,-15.41485,35.341949,3,314317750063,rg01,r01,maize,0.0121405692670607,0.004,40.0,square meters,87.5,2018.0,12.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,central,nkhotakota,,,-13.15413,34.167549,3,202062750140,rg01,r01,maize,0.3561233651671148,0.4046856422353577,1.0,acre,87.5,2018.0,12.0,,3.0,,3.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,central,kasungu,,,-13.42758,33.266109,3,201152490316,rg01,r01,maize,0.3197016573659326,0.2023428211176788,0.5,acre,,2018.0,11.0,,5.0,,5.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,northern,rumphi,,,-10.83369,33.532139,3,104081850171,rg01,r01,maize,0.2144833903847396,0.3035142316765182,0.75,acre,,2017.0,12.0,,2.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
