hhID,plotID,plot_area_reported_localUnit,crop_area_share,planting_month,planting_year,fieldID,plot_area_reported_ha,localUnit_area,crop,harvest_month_begin,harvest_year_begin,harvest_month_end,harvest_year_end,season,adm1,adm2,adm3,adm4,lat,lon,GPS_level,plot_area_measured_ha,harvest_month,harvest_year,dataset_name,country,dataset_doi
H0211001,2,1,60,NA,2015,1,0.4046944556859571,acres,Cassava,13,2015,19,2015,second,Kampala,Nakawa Division,Bukoto I,Mulimira,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0211001,2,1,40,3,2016,1,0.4046944556859571,acres,Beans,19,2015,19,2015,second,Kampala,Nakawa Division,Bukoto I,Mulimira,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0211001,3,1,NA,8,2015,1,0.4046944556859571,acres,Sweet potatoes,10,2014,12,2014,first,Kampala,Nakawa Division,Bukoto I,Mulimira,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0211001,2,1,50,8,2014,1,0.4046944556859571,acres,Cassava,NA,NA,NA,NA,first,Kampala,Nakawa Division,Bukoto I,Mulimira,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0211001,3,0.5,100,12,2015,1,0.20234722784297854,acres,Sweet potatoes,16,2015,18,2015,second,Kampala,Nakawa Division,Bukoto I,Mulimira,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0211001,2,1,50,8,2015,1,0.4046944556859571,acres,Beans,10,2014,11,2014,first,Kampala,Nakawa Division,Bukoto I,Mulimira,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0211001,1,1,NA,8,2015,1,0.4046944556859571,acres,Maize,11,2014,12,2014,first,Kampala,Nakawa Division,Bukoto I,Mulimira,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0211001,2,1,40,3,2016,1,0.4046944556859571,acres,Beans,18,2015,18,2015,second,Kampala,Nakawa Division,Bukoto I,Mulimira,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0230201,1,0.0500000007450581,NA,4,2007,1,0.020234723085818737,acres,Banana food,12,2015,12,2015,first,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0231001,1,0.0500000007450581,NA,6,2014,1,0.020234723085818737,acres,Banana food,12,2014,13,2015,first,Kampala,Nakawa Division,Kyanja,Kisaasi Central,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0271101,2,2,100,8,2015,2,0.8093889113719142,acres,Cassava,20,2015,24,2015,second,Wakiso,Masulita Town Council,Masulita,Bbale,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0271101,3,1,NA,8,2015,2,0.4046944556859571,acres,Sweet potatoes,11,2014,NA,2014,first,Wakiso,Masulita Town Council,Masulita,Bbale,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0271101,2,1,50,8,2015,2,0.4046944556859571,acres,Beans,10,2014,10,2014,first,Wakiso,Masulita Town Council,Masulita,Bbale,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
