hhID,plotID,plot_area_reported_localUnit,crop_area_share,planting_month,planting_year,fieldID,plot_area_reported_ha,localUnit_area,crop,harvest_month_begin,harvest_year_begin,harvest_month_end,harvest_year_end,season,adm1,adm2,adm3,lat,lon,GPS_level,plot_area_measured_ha,harvest_month,harvest_year,adm4,dataset_name,country,dataset_doi
0060071f3f414406af7312d68eae8513,1,0.5,10,1,2019,1,0.20234722784297857,acres,Cassava,NA,NA,NA,NA,second,KASSANDA,KALWANA,KASSAAZI,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
008c674975f24ea79f50e30cbd4ee635,1,1,30,4,2019,2,0.4046944556859571,acres,Sunflower,10,2019,10,2019,second,NAPAK,LOTOME,LOMUNO,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
008c674975f24ea79f50e30cbd4ee635,1,1,70,4,2019,2,0.4046944556859571,acres,Sorghum,10,2019,10,2019,second,NAPAK,LOTOME,LOMUNO,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
008c674975f24ea79f50e30cbd4ee635,1,1,30,5,2019,3,0.4046944556859571,acres,Sunflower,11,2019,11,2019,second,NAPAK,LOTOME,LOMUNO,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
008c674975f24ea79f50e30cbd4ee635,1,1,70,5,2019,3,0.4046944556859571,acres,Sorghum,10,2019,11,2019,second,NAPAK,LOTOME,LOMUNO,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
009c1baa0edb44f8af47773ce0b7caaa,1,0.65,70,1,9998,1,0.2630513961958721,acres,Banana food,7,2018,12,2018,first,ISINGIRO,BIRERE,KASAANA,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
009c1baa0edb44f8af47773ce0b7caaa,1,0.65,30,2,2019,1,0.2630513961958721,acres,Beans,5,2019,5,2019,second,ISINGIRO,BIRERE,KASAANA,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
009c1baa0edb44f8af47773ce0b7caaa,1,0.65,50,8,9998,1,0.2630513961958721,acres,Banana food,1,2019,6,2019,second,ISINGIRO,BIRERE,KASAANA,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
00b48fb6bcf84dd581bd7b2be5f908a0,1,0.75,5,8,2018,1,0.3035208417644678,acres,Maize,11,2018,11,2018,first,LUWERO,ZIROBWE,KAKAKALA,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
00b48fb6bcf84dd581bd7b2be5f908a0,1,0.75,5,8,2018,1,0.3035208417644678,acres,Beans,10,2018,10,2018,first,LUWERO,ZIROBWE,KAKAKALA,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
00b48fb6bcf84dd581bd7b2be5f908a0,1,0.75,10,6,2018,1,0.3035208417644678,acres,Cassava,12,2018,2,2019,first,LUWERO,ZIROBWE,KAKAKALA,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
00b48fb6bcf84dd581bd7b2be5f908a0,1,0.75,20,1,2016,1,0.3035208417644678,acres,Banana food,7,2018,12,2018,first,LUWERO,ZIROBWE,KAKAKALA,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
00b48fb6bcf84dd581bd7b2be5f908a0,1,0.75,10,1,2016,1,0.3035208417644678,acres,Banana sweet,7,2018,12,2018,first,LUWERO,ZIROBWE,KAKAKALA,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
00b48fb6bcf84dd581bd7b2be5f908a0,2,0.25,NA,6,2018,1,0.10117361392148928,acres,Sweet potatoes,NA,NA,NA,NA,first,LUWERO,ZIROBWE,KAKAKALA,NA,NA,NA,NA,NA,NA,NA,UGA_2019_UNPS_v03_M,Uganda,https://doi.org/10.48529/nqzx-f196
