case_id,HHID,Fishing_GearID,fs_h01a,fs_h01b,fs_h02,fs_h03,fs_h04,fs_hfilter,fs_h05,fs_hfilter6,fs_h06
302125270103,fd110f67f1844f36a0032b31a25b0c22,Mbuka/ntaya/ukonde (gillnet),yes,,16,16,800,NO,,NO,
302125270114,a988e774dc644359b0bc719bb1621063,Mbuka/ntaya/ukonde (gillnet),yes,,20,20,19000,NO,,NO,
303025320127,24217ba3f5d44ea684f51094685ce544,"Other, specify",yes,NKHOKA,1,1,800000,NO,,NO,
303025350064,101f79de544f4e4cb88663fb64e0a353,Mbedza (long /hand line),yes,,200,200,2200,NO,,NO,
303025350157,717e78db21a549e9a61f78ff20e802ea,Mbedza (long /hand line),yes,,1000,1000,3000,NO,,NO,
303025350174,4025541d86034a008c2cacba37617fc9,Usipa (mosquito) net,yes,,28,28,5500,YES,55000,NO,
308056550005,69ec6603f853447eb4cd67d9db93fa1c,Mono (fish traps),yes,,3,3,9000,NO,,NO,
309036740097,8966c9a882b543989a42aadcbe0c2b58,Mbedza (long /hand line),yes,,300,300,2400,YES,300,NO,
309036740203,8282092108bb4dc89e395b3e418cabc7,Mono (fish traps),yes,,50,50,20000,NO,,NO,
309036750022,eb4b4a6041d046b7bb2aa797f3cceb78,Mono (fish traps),yes,,6,6,500,NO,,NO,
309036750136,0a658104094441b28a5527951e890f83,Mono (fish traps),yes,,6,6,1500,NO,,NO,
309056790055,540e9b5c8d134bfc8fc6773caaf3da33,Mbedza (long /hand line),yes,,10,10,50,YES,10,NO,
309056790117,c58a3bdfc3694efaa813be30908202fb,Usipa (mosquito) net,yes,,80,80,72000,NO,,NO,
309056790203,5dd8c5564a4b4a86b5877e48ba496e02,Mono (fish traps),yes,,30,30,700,NO,,NO,
311027110154,f8cb9614a35e48e48a887462089fa9ca,Mono (fish traps),yes,,4,4,1500,NO,,NO,
311047150323,5da42da85b9e4b49a7c7140c31753e47,Mbedza (long /hand line),yes,,2,2,140,NO,,NO,
