case_id,HHID,Boats_EnginesID,fs_d07a,fs_d07b,fs_d08,fs_d09,fs_d10,fs_d11,fs_d12,fs_d13
203073010043,15a741ae6324401288ab1c09f6e94197,"Other,specify",yes,,1,1,0,0,0,0
205043350070,fd697fb8b25443b59da36ca122d337a9,"Other,specify",no,,0,0,0,0,0,0
205053360219,5754b076f97e48c48fd86455ae881c91,Bwato (dugout),yes,,1,1,50000,0,7000,0
205053370039,8b81dd0a679948b880b66a1f598c45a0,Bwato (dugout),yes,,1,1,40000,0,0,0
205053370057,5c6184ef621c4f14ba30fa29cd13147a,Bwato (dugout),yes,,1,0,80000,0,10000,0
205063380157,1f52142bf553415ebfeddd7d91bb2675,Bwato (dugout),yes,,1,1,80000,0,0,0
205093460107,9a17e5a268b54e588170832bd9fc2dec,Bwato (dugout),no,,0,0,0,0,10000,0
205093460230,ac8cf2f98f404b9ea4440c61531926ce,Bwato (dugout),no,,0,1,0,0,0,0
205093460371,2085ec1a834c474d97cad317a897d3e6,Bwato (dugout),yes,,1,1,50000,1,55000,3000
207023890200,9e44309522e94691845bf0f2f15041d3,Plankboat,yes,,1,1,0,0,0,0
301014850221,404755a1aa2d4f9894ebd315a4b73e6e,Bwato (dugout),yes,,1,1,50000,0,0,0
301024880157,89346232f7d3434b8116a01d71d1711e,Bwato (dugout),yes,,2,0,120000,0,25000,0
301074990174,7b2790d523544f5fadc36b0cc30e07b8,Plankboat,yes,,1,0,110000,0,0,0
302055150051,16e35e4959c84fc8af67fd4ba15caff7,Bwato (dugout),yes,,1,1,30000,0,0,0
302055150053,a0d7c31e66624891b0882a43b362bcb3,Bwato (dugout),yes,,1,1,20000,1,15000,4000
302055150125,3fba9c5ad9d647f5a2f28a15225959ec,Bwato (dugout),yes,,1,1,20000,0,0,0
302125270043,6ebbfc3de5004066b3147d9d2b2fc0f8,Bwato (dugout),yes,,1,1,65000,1,0,0
302125270113,c78681536afc403f911e540ac47eb594,Bwato (dugout),yes,,1,0,30000,0,3000,0
302125270114,a988e774dc644359b0bc719bb1621063,Bwato (dugout),yes,,1,0,12000,0,12000,0
303025320127,24217ba3f5d44ea684f51094685ce544,Plankboat,yes,,1,1,250000,0,0,0
303025350064,101f79de544f4e4cb88663fb64e0a353,Bwato (dugout),yes,,2,1,35000,35000,15000,0
303025350064,101f79de544f4e4cb88663fb64e0a353,Plankboat,yes,,1,1,70000,0,0,0
303025350157,717e78db21a549e9a61f78ff20e802ea,Bwato (dugout),yes,,1,1,35000,0,0,0
303025350174,4025541d86034a008c2cacba37617fc9,Bwato (dugout),yes,,1,1,70000,0,0,0
303025350212,5e6d00ae85c544048c4995d03bdb1455,Bwato (dugout),yes,,1,0,70000,0,7200,0
309036740097,8966c9a882b543989a42aadcbe0c2b58,Bwato (dugout),yes,,1,0,30000,0,2000,0
309036740101,7c28372a44d144c58ecd002d9f654c5d,Bwato (dugout),yes,,1,1,43000,1,0,0
309036740163,51141e135368409ba3fb2e9a5fec3642,Bwato (dugout),yes,,1,1,28000,0,0,0
309056790031,1544f8de831b4651824ae978b29d5348,Bwato (dugout),yes,,1,0,50000,0,200,0
309056790055,540e9b5c8d134bfc8fc6773caaf3da33,Bwato (dugout),yes,,1,0,100000,0,30000,0
309056790203,5dd8c5564a4b4a86b5877e48ba496e02,Bwato (dugout),yes,,1,1,45000,0,0,0
310036980328,2353f7d6f19147e1bf283e8fbf1d0789,Bwato (dugout),yes,,2,0,12000,0,2,25000
310077050169,a1e559ff59974ad4866091d21aeff132,Bwato (dugout),yes,,2,2,160000,160000,0,15000
311027110154,f8cb9614a35e48e48a887462089fa9ca,Bwato (dugout),yes,,1,0,30000,0,45000,0
311057190104,05155a5f72944b468dd8dd4eaf6921ea,Bwato (dugout),yes,,1,0,1,0,1,1000
311077220134,b53dcae63bc1481fbc9c129112df9ba7,Bwato (dugout),yes,,4,0,100000,0,10000,0
