case_id,HHID,crop_code,ag_o01,ag_o02a,ag_o02b,ag_o02c,ag_o03,ag_o05a,ag_o05b,ag_o06a,ag_o06b,ag_o07a,ag_o07b,ag_o08,ag_o09,ag_o09_oth,ag_o10,ag_o31a,ag_o31b,ag_o31b_oth,ag_o31c,ag_o32a,ag_o32b,ag_o32b_oth,ag_o32c,ag_o33a,ag_o33b,ag_o33b_oth,ag_o33c,ag_o34a,ag_o34b,ag_o34b_oth,ag_o34c,ag_o35a,ag_o35b,ag_o35b_oth,ag_o35c,ag_o36a,ag_o36b,ag_o36b_oth,ag_o36c,ag_o36d,ag_o37a,ag_o37b,ag_o37_oth,ag_o38,ag_o39,ag_o39_oth,ag_o40a,ag_o40b,ag_o40b_oth,ag_o40c,ag_o41a,ag_o41b,ag_o41_oth,ag_o42a,ag_o42b,ag_o42_oth
203032920005,f47c5dae2e0446be95f123a3034915e2,NKHWANI,NO,,,,,,,,,,,,,,,.5,PAIL (LARGE),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,NO,,,,,,,,,,Does not usually store,,
203032920005,f47c5dae2e0446be95f123a3034915e2,MAIZE HYBRID RECYCLED,NO,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,NO,,,,,,,,,,Food for household,Seed for planting,
203032920005,f47c5dae2e0446be95f123a3034915e2,BEANS,NO,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,NO,,,,,,,,,,Food for household,Seed for planting,
202022670059,f4b1841ed5c4423ba23e7c46fb696417,MAIZE LOCAL,NO,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,100,,,,NO,,,,,,,,,,Food for household,,
202022670059,f4b1841ed5c4423ba23e7c46fb696417,BEANS,NO,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,100,,,,NO,,,,,,,,,,Food for household,,
303115520107,f4cda695f5644984aff0c266c611b8eb,TANAPOSI,YES,5,PAIL (LARGE),NOT APPLICABLE,10000,5,,2,,NOVEMBER,2019,5,On Foot,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,NO,,,,,,,,,,Does not usually store,,
306015980124,f52278482f094017a2047aaf10fa7bfe,MAIZE HYBRID RECYCLED,NO,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,NO,,,,,,,,,,Food for household,,
313027610178,f5565bf6c5cb44b6b0803b7ca6518100,TOMATO,YES,14,OTHER (SPECIFY),NOT APPLICABLE,30000,5,,1,2,JUNE,2019,5,Buyer picked up the crop,,0,2,OTHER (SPECIFY),Dengu,NOT APPLICABLE,1,OTHER (SPECIFY),Dengu,NOT APPLICABLE,0,,,,0,,,,1,NO 10 PLATE,,S: SHELLED,0,,,,5,,,,YES,Other (Specify),plastic paper,1,NO 10 PLATE,,S: SHELLED,5,,,Seed for planting,,
306016050008,f5613ca50a394c788e41407012d53df5,TANAPOSI,YES,4,OTHER (SPECIFY),NOT APPLICABLE,6000,4,,2,,OCTOBER,2018,12,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,,,,NO,,,,,,,,,,Does not usually store,,
306016050008,f5613ca50a394c788e41407012d53df5,NKHWANI,NO,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,,,,NO,,,,,,,,,,Does not usually store,,
101011000260,f5624915b2ea42698c93f09e51d55660,NKHWANI,YES,2,OTHER (SPECIFY),NOT APPLICABLE,2000,3,,1,2,JULY,2018,1,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,NO 10 PLATE,,NOT APPLICABLE,,5,,,NO,,,,,,,,,,Does not usually store,,
101011000260,f5624915b2ea42698c93f09e51d55660,SWEET POTATO,NO,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (LARGE),,S: SHELLED,,1,,,NO,,,,,,,,,,Does not usually store,,
307106340073,f578870209a142b8b4ca0c63ebe5fc37,TANAPOSI,YES,84,50 KG BAG,NOT APPLICABLE,151200,10,,1,2,AUGUST,2018,12,On Foot,,36000,3,50 KG BAG,,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,0,,,,1,,,,NO,,,,,,,,,,To sell at a higher price,,
307106340073,f578870209a142b8b4ca0c63ebe5fc37,IRISH [MALAWI] POTATO,YES,1,50 KG BAG,NOT APPLICABLE,12000,10,,1,2,JULY,2018,1,On Foot,,0,1,PAIL (LARGE),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,0,,,,1,,,,NO,,,,,,,,,,To sell at a higher price,,
307106340073,f578870209a142b8b4ca0c63ebe5fc37,MAIZE HYBRID,YES,6,50 KG BAG,S: SHELLED,54000,10,,1,2,AUGUST,2018,1,Buyer picked up the crop,,0,1,50 KG BAG,,S: SHELLED,0,,,,0,,,,0,,,,0,,,,0,,,,1,,,,NO,,,,,,,,,,To sell at a higher price,,
