case_id,HHID,PID,fs_c00,fs_c00f,fs_c01a,fs_c01b,fs_c01c,fs_c00f1,fs_c02a,fs_c02b,fs_c02c,fs_c00f2,fs_c03a,fs_c03b,fs_c03c,fs_c00f3,fs_c04a,fs_c04b,fs_c04c
102031310144,bd08c9d072c74aa483eebcbf185de1cc,6,NO,,,,,,,,,,,,,,,,
102031310144,bd08c9d072c74aa483eebcbf185de1cc,5,NO,,,,,,,,,,,,,,,,
102031310144,bd08c9d072c74aa483eebcbf185de1cc,2,NO,,,,,,,,,,,,,,,,
102031310144,bd08c9d072c74aa483eebcbf185de1cc,3,NO,,,,,,,,,,,,,,,,
102031310144,bd08c9d072c74aa483eebcbf185de1cc,9,NO,,,,,,,,,,,,,,,,
102031310144,bd08c9d072c74aa483eebcbf185de1cc,1,YES,YES,8,7,9,NO,,,,NO,,,,YES,8,7,2
102031310144,bd08c9d072c74aa483eebcbf185de1cc,8,NO,,,,,,,,,,,,,,,,
102031310144,bd08c9d072c74aa483eebcbf185de1cc,4,NO,,,,,,,,,,,,,,,,
102031310144,bd08c9d072c74aa483eebcbf185de1cc,7,NO,,,,,,,,,,,,,,,,
102031310209,26598eb9e853402b86c1264b470a8af5,2,NO,,,,,,,,,,,,,,,,
102031310209,26598eb9e853402b86c1264b470a8af5,3,NO,,,,,,,,,,,,,,,,
102031310209,26598eb9e853402b86c1264b470a8af5,1,YES,YES,12,4,8,NO,,,,NO,,,,NO,,,
102031340149,fd3fde4884b849f88371920162c589a6,6,NO,,,,,,,,,,,,,,,,
102031340149,fd3fde4884b849f88371920162c589a6,8,NO,,,,,,,,,,,,,,,,
102031340149,fd3fde4884b849f88371920162c589a6,1,YES,YES,4,3,8,NO,,,,NO,,,,NO,,,
102031340149,fd3fde4884b849f88371920162c589a6,3,NO,,,,,,,,,,,,,,,,
102031340149,fd3fde4884b849f88371920162c589a6,7,NO,,,,,,,,,,,,,,,,
102031340149,fd3fde4884b849f88371920162c589a6,5,NO,,,,,,,,,,,,,,,,
102031340149,fd3fde4884b849f88371920162c589a6,9,NO,,,,,,,,,,,,,,,,
102031340149,fd3fde4884b849f88371920162c589a6,4,NO,,,,,,,,,,,,,,,,
102031340149,fd3fde4884b849f88371920162c589a6,2,NO,,,,,,,,,,,,,,,,
102031340149,fd3fde4884b849f88371920162c589a6,10,NO,,,,,,,,,,,,,,,,
102031340186,b16818be1135482e9e3da5ee403698f0,4,NO,,,,,,,,,,,,,,,,
102031340186,b16818be1135482e9e3da5ee403698f0,1,NO,,,,,,,,,,,,,,,,
102031340186,b16818be1135482e9e3da5ee403698f0,9,NO,,,,,,,,,,,,,,,,
102031340186,b16818be1135482e9e3da5ee403698f0,7,NO,,,,,,,,,,,,,,,,
102031340186,b16818be1135482e9e3da5ee403698f0,2,YES,NO,,,,NO,,,,NO,,,,YES,12,6,6
102031340186,b16818be1135482e9e3da5ee403698f0,3,NO,,,,,,,,,,,,,,,,
