case_id,HHID,Fishing_GearID,fs_d01a,fs_d01b,fs_d02,fs_d03,fs_d04,fs_d05_filter,fs_d05,fs_d06_filter,fs_d06
202012640217,3f0493aac12b4454b26ae066bba904b8,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,3500,NO,,NO,
202012640248,2e467500122f43dbb03b768163ece17b,Mbuka/ntaya/ukonde (gillnet),yes,,20000,20000,250,NO,,NO,
202012640252,1961dbf9c3a947129d725cac98bf73b1,Mbedza (long /hand line),yes,,1,1,500,YES,1,NO,
202012650095,2e692dc43c35455bab5717f379e70413,Mbedza (long /hand line),yes,,1,1,25,NO,,NO,
202012650174,f220d6e4a1004dc6b8edadafd7c6c6e8,Mbedza (long /hand line),yes,,1,1,50,YES,1,NO,
202032690313,2f56bc91ee38466598a2327d0e8f3008,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,25000,NO,,NO,
202032690331,a00372954140485a946b116b74ab74a7,Mbuka/ntaya/ukonde (gillnet),yes,,3,3,7000,NO,,NO,
202042700038,ad2716ee75784ef79a82fbeaa12d796c,Mbedza (long /hand line),yes,,5,5,150,YES,2,NO,
202042700041,4e0ae39c3acd40b08221882ec4771e8d,Mbedza (long /hand line),yes,,2,2,300,YES,300,NO,
202042700084,dc47a9477ec94d1fa8509d4bf891db6e,Mbedza (long /hand line),yes,,4,4,40,NO,,NO,
202042700118,eb7f8207ec0341fba18c0e5adef3c9c8,Kambuzi (beach) seine,yes,,2,2,20000,NO,,NO,
202042710084,30276d4532fa4421b658a6def0af6804,Mono (fish traps),yes,,2,2,2000,YES,2,NO,
202042710177,c6735b6c1436494b9a2502bcf7ac4fd5,Mbedza (long /hand line),yes,,20,20,50,YES,500,NO,
202052730008,2c5791e971bd45a2ab323acc8524ba15,Mbedza (long /hand line),yes,,2,2,100,YES,2,NO,
202062740207,87a36ce46afe4a69b05029997f9863a7,Mbedza (long /hand line),yes,,1,1,300,YES,300,NO,
202062740207,87a36ce46afe4a69b05029997f9863a7,Mono (fish traps),yes,,1,1,3500,NO,,NO,
202062740398,de4c1e4e49794475bb71aa0b5b2ddbbb,Mbedza (long /hand line),yes,,2,2,40,YES,2,NO,
202062770118,ec1dae3c2e444e05bf87d07242528189,Mbedza (long /hand line),yes,,2,2,200,YES,2,NO,
202062770237,032f41b50b6b476195a1c9cd53807e82,Mbedza (long /hand line),yes,,25,25,20,NO,,NO,
202062780108,9791161797654f89b7b03b97db45ec36,Mono (fish traps),yes,,2,2,3000,NO,,NO,
203073010043,15a741ae6324401288ab1c09f6e94197,Other Specify,yes,MAIZE SACKS,1,1,250,NO,,NO,
204023070097,6d73f48e2c8346dc8575d206aa021809,Other Specify,yes,MBEDZA,1,1,250,NO,,NO,
204023070153,3ea4ce31d527493ba684dd02cc71cc7c,Mbedza (long /hand line),yes,,2,2,2500,YES,2500,NO,
205043350070,fd697fb8b25443b59da36ca122d337a9,Other Specify,yes,KOMBE,2,2,2000,NO,,NO,
205053360219,5754b076f97e48c48fd86455ae881c91,Other Specify,yes,FISH LINE,1,0,5000,NO,,NO,
205053370039,8b81dd0a679948b880b66a1f598c45a0,Mbuka/ntaya/ukonde (gillnet),yes,,50,50,5000,YES,25,NO,
205053370057,5c6184ef621c4f14ba30fa29cd13147a,Usipa (seine) net,yes,,1,1,6000,NO,,NO,
205063380157,1f52142bf553415ebfeddd7d91bb2675,Kambuzi (beach) seine,yes,,2,2,10000,NO,,NO,
205073430141,1d3c6e020a134f6cb2f74711ceb9c5dc,Usipa (seine) net,no,,0,0,0,NO,,NO,
205093460107,9a17e5a268b54e588170832bd9fc2dec,Mbuka/ntaya/ukonde (gillnet),yes,,1500,1500,9000,YES,5,NO,
205093460230,ac8cf2f98f404b9ea4440c61531926ce,Mbuka/ntaya/ukonde (gillnet),yes,,30,30,5000,YES,5,NO,
205093460371,2085ec1a834c474d97cad317a897d3e6,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,25000,YES,1,NO,
205093460371,2085ec1a834c474d97cad317a897d3e6,Mbedza (long /hand line),yes,,10,10,3600,YES,1,NO,
205213480093,83c41f6877454a1cab4bc0bc10e774a2,Mbedza (long /hand line),yes,,30,40,200,NO,,NO,
206053620027,2028a47b8a6d45efb6152a515c5cf0a4,Mbedza (long /hand line),yes,,3,3,130,YES,3,NO,
206053620027,2028a47b8a6d45efb6152a515c5cf0a4,Mono (fish traps),yes,,2,2,2000,NO,,NO,
206083670380,391c5b87d7f74b2b8aca27813d684aa1,Mbedza (long /hand line),yes,,2,2,60,YES,2,NO,
206083670380,391c5b87d7f74b2b8aca27813d684aa1,Mono (fish traps),yes,,1,1,1500,YES,1,NO,
206163790366,47606658b55940f1a420bd7b64c65f2d,Mbedza (long /hand line),yes,,1,1,0,NO,,NO,
206163790366,47606658b55940f1a420bd7b64c65f2d,Usipa (seine) net,yes,,1,1,300,NO,,NO,
207023890200,9e44309522e94691845bf0f2f15041d3,Other Specify,yes,MOSQUITO NET,1,1,0,NO,,NO,
