case_id,gardenid,plotid,plot_twi,plot_srtm,plot_srtmslp,dist_household
101201220032,RG02,R01,15,1367,4,6.3000002
101201220034,RG02,R01,14,1263,3,3.7
101201220043,RG02,R01,13,1297,3,1.8
101201220082,RG03,R01,12,1319,7,13
101201220173,RG02,R01,13,1270,2,2.8
101201220203,RG02,R01,13,1267,2,8
101201220204,RG02,R01,16,1272,4,0
101201220206,RG02,R01,12,1315,2,17.799999
101201220253,RG02,R01,12,1279,5,.1
101201220259,RG02,R01,14,1294,4,1.8
101201230017,RG02,R01,19,1272,2,1.2
101201230043,TG01,T01,13,1279,3,0
101201230076,RG02,R01,14,1272,2,14.4
101201230116,RG03,R01,19,1262,4,1.2
101201230131,RG01,R01,13,1276,3,0
101201230149,RG02,R01,14,1232,3,5.8000002
102011240015,TG02,T01,16,481,0,.40000001
102011240055,RG02,R01,15,481,1,.89999998
102011240097,TG01,T01,15,483,1,0
102011240157,TG01,T01,15,483,1,0
102011240188,RG02,R01,16,481,1,.2
102011240191,RG02,R01,16,482,1,.30000001
102011240192,RG02,R01,14,484,1,0
102011240230,TG03,T01,14,483,1,.60000002
102011240247,RG02,R01,16,482,1,.30000001
102011250005,RG02,R01,13,519,7,0
102011250011,RG02,T01,14,508,2,1.5
102011250023,TG01,T01,14,511,2,0
102011250029,TG02,T01,13,513,2,0
102011250035,TG01,T01,13,515,1,0
102011250047,RG03,R01,13,518,2,0
102011250053,RG02,R01,14,520,2,0
102011250061,RG03,R01,19,516,1,.1
102011250067,TG02,T01,13,520,2,.1
102011250079,RG01,T01,14,516,1,0
102011250091,RG01,R01,14,517,6,0
102011250097,RG01,T01,15,511,2,0
102011250103,RG02,R01,17,508,2,0
102011250109,RG01,R01,14,513,2,0
102011260002,RG03,R01,14,511,1,.1
102011260032,RG01,R01,16,504,2,.1
102011260059,RG02,R01,17,510,2,0
102011260070,TG02,T02,14,505,1,0
102011260096,RG02,R01,15,509,2,.2
102011260108,RG01,R01,18,509,1,.2
102011260141,TG03,T02,22,511,2,.1
102011260147,RG01,T01,17,512,2,0
102011260172,RG01,R01,13,516,3,0
102011260174,TG01,T02,14,509,2,0
102011260186,RG02,R01,13,515,2,.2
102011260189,TG03,T01,15,515,2,.1
102011260194,RG02,R01,14,507,1,.1
102011260196,TG04,T02,15,515,2,0
102011260201,TG01,T01,15,512,2,.1
102011260210,RG01,R01,13,507,1,0
102011270006,RG02,R01,17,488,2,.1
102011270013,RG02,R01,16,487,1,1.9
102011270030,RG01,R02,17,490,2,0
102011270037,RG04,R01,36,490,1,1.5
102011270044,RG03,R01,18,486,1,2
102011270058,TG01,T01,13,493,2,0
102011270081,RG02,R01,14,489,1,.2
102011270091,TG01,T01,13,489,2,.1
102011270106,RG01,R01,36,488,1,0
102011270131,RG03,R01,15,488,2,.2
102011270141,RG01,R01,14,489,1,0
102011270151,RG01,R01,15,492,2,0
102011270158,RG02,R01,14,490,1,.1
102011270165,TG01,T01,17,491,1,0
102011270173,RG01,T01,15,488,1,0
102011280009,TG01,T01,13,485,1,0
102011280030,RG02,R01,18,485,1,.80000001
102011280034,TG01,T01,13,488,0,0
102011280041,RG02,R01,15,486,1,.1
102011280064,RG02,R01,14,484,1,.60000002
102011280094,RG03,R01,14,488,1,5
102011280096,RG01,R02,14,485,1,0
102011280101,RG02,R01,14,483,0,.60000002
102011280108,RG02,R01,15,486,1,.5
102011280109,TG01,T01,14,485,1,0
102011280124,TG01,T01,13,483,1,0
102011280126,TG01,T01,14,485,1,0
102011280128,RG03,R01,16,484,1,.2
102011280205,RG02,R01,15,486,2,.1
102021290005,RG02,R01,13,502,2,0
102021290010,RG02,R01,14,498,2,.5
102021290042,RG03,R01,18,501,1,.2
102021290044,RG02,D01,15,500,1,.5
102021290045,RG02,D01,13,504,1,.1
102021290049,TG01,T01,13,506,1,0
102021290066,RG02,R01,13,508,8,.1
102021290079,TG01,T01,14,514,14,0
102021290113,TG01,T01,15,502,1,0
102021290124,RG02,R01,14,508,4,0
102021290151,TG01,T02,14,504,2,0
102021290158,TG01,T01,12,516,16,0
102021290164,RG02,R01,15,502,1,.60000002
102021290184,RG02,R01,13,505,4,.1
102031300001,RG01,R01,13,1074,7,0
102031300005,TG05,T03,16,1037,9,1.2
102031300007,TG03,T01,11,993,10,.30000001
102031300015,RG02,R01,11,1052,14,.2
102031300016,RG02,R01,12,1055,10,.2
102031300031,TG01,T01,13,938,7,0
102031300033,RG01,R01,12,1065,12,0
102031300034,TG02,T01,12,955,8,.1
102031300042,RG01,R02,12,1039,6,0
102031300045,RG01,T01,15,1067,4,0
102031300047,RG01,R01,13,1068,6,.1
102031300056,TG01,T01,12,1025,9,0
102031300060,TG02,T01,12,1057,12,.1
102031300064,TG02,T01,13,889,7,.2
102031310020,RG02,R01,14,485,1,.2
102031310022,RG02,R01,14,482,1,9.8999996
102031310023,TG01,T01,14,485,1,0
102031310070,TG02,T01,15,483,1,0
102031310093,RG02,R01,15,488,1,0
102031310097,TG02,T01,15,485,1,0
102031310123,RG02,R01,36,488,0,.1
102031310144,TG02,T02,13,483,2,0
102031310148,RG02,R01,15,488,1,.2
102031310149,TG03,T01,15,482,1,.1
102031310191,RG02,R01,21,486,1,.2
102031310203,RG02,R01,14,484,1,.40000001
102031310207,TG01,T01,14,487,1,0
102031310208,TG03,T01,17,482,1,.2
102031310209,TG01,T01,15,488,1,0
102031320044,RG05,R01,15,501,1,.1
102031320054,RG01,R01,22,500,1,.1
102031320062,RG02,R01,22,500,1,0
102031320066,RG01,R01,17,501,1,0
102031320095,TG03,T01,15,506,1,0
102031320103,RG02,R01,14,504,1,.40000001
102031320117,TG01,T02,15,503,1,3.7
102031320126,RG01,R01,15,497,1,0
102031320132,RG03,R01,36,497,1,.2
102031320138,RG01,R01,21,499,1,0
102031320148,TG02,T01,15,497,1,.1
102031320153,TG03,T01,14,500,1,.1
102031320154,TG03,T02,14,499,1,0
102031320196,RG02,R01,14,501,1,0
102031330005,RG02,R01,16,579,6,.2
102031330017,RG02,R01,12,578,3,0
102031330023,RG02,R01,13,567,4,0
102031330029,RG02,R01,14,535,2,3.8
102031330035,RG02,R02,14,563,5,.1
102031330041,RG03,R01,13,553,7,.1
102031330047,RG02,R01,22,551,8,.1
102031330053,RG01,R01,13,591,10,.1
102031330084,RG02,R01,15,564,9,.1
102031330096,RG02,R01,13,567,2,.2
102031330108,RG03,R01,13,567,5,.1
102031340050,RG03,R01,15,490,2,.30000001
102031340051,RG02,R01,20,494,1,0
102031340087,TG03,T01,14,482,1,.1
102031340099,RG03,R01,13,496,2,.1
102031340130,RG02,R01,13,491,1,1.1
102031340149,RG02,R01,15,487,1,.1
102031340167,RG02,R01,15,497,3,1.2
102031340169,RG02,R01,13,501,2,1.4
102031340172,RG02,R02,16,494,1,1.1
102031340180,RG03,R01,15,498,2,.80000001
102031340182,RG01,R01,14,489,2,0
102031340186,RG01,R01,21,490,2,.1
102031340204,RG01,R01,20,490,1,.1
102031340205,TG01,T01,21,487,2,0
102031340208,RG01,R01,14,484,1,0
102031340217,RG02,R01,18,516,3,1.1
102031350011,RG01,R01,14,505,2,0
102031350043,RG02,R01,13,488,2,.2
102031350057,RG02,R01,14,499,1,.1
102031350059,RG02,R01,14,487,2,.1
102031350066,RG02,R01,14,497,2,.2
102031350075,RG02,R02,19,487,2,0
102031350077,RG01,R01,14,485,2,0
102031350097,RG01,R01,13,501,3,0
102031350101,RG02,R01,13,495,2,1
102031350110,RG02,R01,15,491,2,0
102031350113,RG02,R01,14,501,2,.2
102031350128,RG01,R01,16,491,1,.1
102041360006,TG01,T01,12,510,7,0
102041360030,TG02,T01,14,488,11,0
102041360107,RG01,R01,12,523,4,0
102041360162,TG01,T01,12,489,12,0
102041360172,TG02,T01,14,508,6,.1
102041360188,TG02,T01,13,488,3,.2
102041360190,TG02,T01,12,578,16,.1
102041360193,TG02,T01,16,505,5,0
102041360205,RG02,R01,17,559,1,2.3
102041360232,RG02,T01,14,571,1,1.5
102041370021,RG01,R01,12,563,3,0
102041370026,RG01,R01,17,570,2,0
102041370032,RG02,R01,24,574,2,.69999999
102041370048,RG02,R01,12,549,4,.1
102041370055,RG02,R01,18,549,1,0
102041370060,RG02,R01,13,565,2,.1
102041370065,RG02,T01,13,582,3,.60000002
102041370088,RG02,R01,13,581,5,.80000001
102041370098,TG03,T01,12,582,3,.40000001
102041380040,RG04,R01,13,523,2,.1
102041380053,TG01,T02,14,513,2,0
102041380059,RG02,T01,19,513,2,0
102041380060,TG01,T03,14,525,1,0
102041380069,TG02,T01,14,517,2,0
102041380107,TG02,T01,13,513,2,0
102041380123,TG01,T01,18,510,1,0
102041380131,TG02,T01,19,513,1,.1
102041380139,RG02,R01,19,511,1,0
102041380162,RG01,R02,14,523,2,0
102041380189,TG01,T01,13,522,2,0
102041380195,TG02,T01,13,539,5,0
102041380202,RG02,R01,15,522,1,.60000002
102041380207,TG02,T01,14,518,3,0
102041380237,RG01,R01,14,518,3,0
102041380247,RG03,R01,14,517,1,0
102041390006,TG02,T01,12,497,4,0
102041390025,TG03,T01,12,612,28,.60000002
102041390053,TG02,T01,13,493,5,.1
102041390080,TG02,T01,12,498,4,0
102041390089,TG02,T01,15,499,7,.1
102041390107,TG03,T02,12,494,5,.69999999
102041390135,TG02,T01,12,500,7,.30000001
102041390153,TG01,T01,12,498,4,.1
102041390164,TG02,T01,12,664,7,.5
102041390182,RG02,R01,11,646,14,.89999998
102041390210,TG02,T01,10,758,28,0
102041390229,TG02,T01,13,490,6,.2
102041390238,TG02,T01,18,519,10,.1
102041400018,RG03,T02,16,496,1,.1
102041400209,RG02,R01,15,498,3,.1
