case_id,HHID,fs_i02,fs_i01,fs_i02_Oth,fs_i03,fs_i04a,fs_i04b,fs_i_04c,fs_i04d,fs_i04e,fs_i04f,fs_i04g,fs_i04h,fs_i04i,fs_i04j,fs_i04k,fs_i05a,fs_i05b,fs_i06a,fs_i06b,fs_i06c,fs_i06d,fs_i06e,fs_i06f,fs_i06g,fs_i06h,fs_i06i,fs_i06j,fs_i07a,fs_i07b,fs_i08a,fs_i08b,fs_i08c,fs_i08d,fs_i08e,fs_i08f,fs_i08g,fs_i08h,fs_i08i,fs_i08j,fs_i08k,fs_i08l,fs_i09,fs_i10a,fs_i10b,fs_i11a,fs_i11b,fs_i11c,fs_i11d,fs_i11e,fs_i11f,fs_i11g,fs_i11h,fs_i11i,fs_i11j,fs_i12,fs_i13a,fs_i13b
103121640062,4e809b335b844db28d06a96d374f87f2,USIPA,YES,,8,60,SMALL BASKET,,FRESH,,NO,,,,,,480,,60,SMALL BASKET,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,10,SMALL BASKET,,FRESH,,2500,,,,,,,8,YES,,1,SMALL BASKET,,SUN-DRIED,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
102011240127,4ed4eac64a2144b4b1eac7e946cebd36,USIPA,YES,,28,30,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,NO,,,,,,30,,840,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,27,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,6000,,,,,,,28,NO,NONE,84,OTHER (SPECIFY),10 LITRE PAIL,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
106012110053,543cc1d9ba2441ada5fcb314ba212923,UTAKA,YES,,16,1,LARGE BASKET,,FRESH,,NO,,,,,,16,,16,LARGE BASKET,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,16,LARGE BASKET,,FRESH,,20000,,,,,,,16,YES,,1,SMALL BASKET,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
106012110035,555df629fecb46188e9ac0d9c6604c15,NCHENI,YES,,4,1,LARGE BASKET,,FRESH,,NO,,,,,,1,,4,LARGE BASKET,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,20000,LARGE BASKET,,SMOKED,,20000,,,,,,,4,YES,,3,PIECE,,FRESH,,,,,,,1/4,"YES, THE FIGURES MATCHED",
103071590169,56f929979a924f0dbf18f8b87bdf1cbd,UTAKA,YES,,1,1,5 KG BAG,,FRESH,,NO,,,,,,3,,3,5 KG BAG,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,3,5 KG BAG,,FRESH,,6000,,,,,,,1,YES,,1,KILOGRAM,,FRESH,,,,,,,1/4,"YES, THE FIGURES MATCHED",
311047150323,5da42da85b9e4b49a7c7140c31753e47,MLAMBA,YES,,12,10,PIECE,,FRESH,,NO,,,,,,120,,120,PIECE,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,0,PIECE,,FRESH,,0,,,,,,,0,YES,,120,PIECE,,FRESH,,,,,,,ALMOST ALL,"YES, THE FIGURES MATCHED",
207074000179,6477f55c73e44a80a8b6c57d530a8ad9,MLAMBA,YES,,1,5,PIECE,,FRESH,,NO,,,,,,5,,5,PIECE,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,5,PIECE,,FRESH,,1500,,,,,,,1,YES,,0,PIECE,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
308056550005,69ec6603f853447eb4cd67d9db93fa1c,MLAMBA,YES,,4,5,PIECE,,SUN-DRIED,,NO,,,,,,1,,5,SMALL BASKET,,SUN-DRIED,,,,,,,"YES, THE FIGURES MATCHED",,5,SMALL BASKET,,SUN-DRIED,,25000,,,,,,,4,YES,,4,SMALL BASKET,,SUN-DRIED,,,,,,,3/4,"YES, THE FIGURES MATCHED",
308056550005,69ec6603f853447eb4cd67d9db93fa1c,MATEMBA,YES,,3,5,SMALL BASKET,,FRESH,,NO,,,,,,0,,5,DOZEN / BUNDLE,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,5,SMALL BASKET,,FRESH,,25000,,,,,,,4,YES,,1,SMALL BASKET,,FRESH,,,,,,,1/2,"YES, THE FIGURES MATCHED",
103071590219,6c6c3cc87562426aa6b2f0de01dc4b85,UTAKA,YES,,0,0,KILOGRAM,,SUN-DRIED,,NO,,,,,,0,,0,KILOGRAM,,SUN-DRIED,,,,,,,"YES, THE FIGURES MATCHED",,1,5 KG BAG,,SUN-DRIED,,6000,,,,,,,8,YES,,0,KILOGRAM,,SUN-DRIED,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
103061570040,6e7ecbbd6d7443399057e2e66f7889b3,OTHER,YES,BATALA,12,60,PIECE,,FRESH,,NO,,,,,,750,,750,PIECE,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,60,PIECE,,FRESH,,300,,,,,,,12,YES,,1,PIECE,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
302125270043,6ebbfc3de5004066b3147d9d2b2fc0f8,MATEMBA,YES,,10,10,OTHER (SPECIFY),chigoba,FRESH,,NO,,,,,,100,,100,OTHER (SPECIFY),CHIGOBA,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,9,OTHER (SPECIFY),CHIGOBA,FRESH,,6000,,,,,,,10,YES,,1,OTHER (SPECIFY),CHIGOBA,FRESH,,,,,,,1/4,"YES, THE FIGURES MATCHED",
302055150128,7044c86dce354b30a1bb45b557dc15f4,MLAMBA,YES,,3,10,DOZEN / BUNDLE,,FRESH,,NO,,,,,,fresh,,10,DOZEN / BUNDLE,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,10,DOZEN / BUNDLE,,FRESH,,600,,,,,,,3,YES,,1,DOZEN / BUNDLE,,FRESH,,,,,,,1/4,"YES, THE FIGURES MATCHED",
302055150128,7044c86dce354b30a1bb45b557dc15f4,MATEMBA,YES,,3,1,SMALL BASKET,,FRESH,,NO,,,,,,3,,3,SMALL BASKET,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,1,SMALL BASKET,,FRESH,,4000,,,,,,,3,YES,,1,5 KG BAG,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
303025350157,717e78db21a549e9a61f78ff20e802ea,MLAMBA,YES,,4,280,DOZEN / BUNDLE,,FRESH,,NO,,,,,,1120,,1120,PIECE,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,252,PIECE,,FRESH,,5000,,,,,,,4,YES,,28,PIECE,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
106012110094,71d995caf65841f08abada272723506d,UTAKA,YES,,12,24,10 KG BAG,,FRESH,,NO,,,,,,240,,240,10 KG BAG,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,0,KILOGRAM,,FRESH,,0,,,,,,,0,YES,,0,KILOGRAM,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
104011730202,74ee239e031a4bf3932eba77bbe05473,USIPA,YES,,1,0,PIECE,,FRESH,,NO,,,,,,50,,0,PIECE,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,0,PIECE,,FRESH,,0,,,,,,,0,YES,,1,PIECE,,FRESH,,,,,,,ALMOST ALL,"YES, THE FIGURES MATCHED",
