case_id,HHID,fs_e01,fs_e02,fs_e02_oth,fs_e03,fs_e04a,fs_e04b,fs_e04c,fs_e04d,fs_e04e,fs_e04f,fs_e04g,fs_e04h,fs_e04i,fs_e04j,fs_e04k,fs_e05a,fs_e05b,fs_e06a,fs_e06b,fs_e06c,fs_e06d,fs_e06e,fs_e06f,fs_e06g,fs_e06h,fs_e06i,fs_e06j,fs_e07a,fs_e07b,fs_e08a,fs_e08b,fs_e08c,fs_e08d,fs_e08e,fs_e08f,fs_e08g,fs_e08h,fs_e08i,fs_e08j,fs_e08k,fs_e08l,fs_e09,fs_e10,fs_e11a,fs_e11b,fs_e11c,fs_e11d,fs_e11e,fs_e11f,fs_e11g,fs_e11h,fs_e11i,fs_e11j,fs_e12,fs_e13a,fs_e13b
103051560008,826f18cfb28f46b38a961caee38658c8,YES,UTAKA,,12,2,LARGE BASKET,,FRESH,,NO,,,,,,24,,24,LARGE BASKET,,FRESH,,24,LARGE BASKET,,FRESH,,"YES, THE FIGURES MATCHED",,24,LARGE BASKET,,FRESH,,30000,3,LARGE BASKET,,FRESH,,50000,12,YES,1,DOZEN / BUNDLE,,FRESH,,1,DOZEN / BUNDLE,,FRESH,,1/4,"YES, THE FIGURES MATCHED",
103051560014,c65b0436b3c74579a404d06664b6a048,YES,CHAMBO,,2,10,PIECE,,FRESH,,NO,,,,,,10,,10,PIECE,,FRESH,,10,PIECE,,FRESH,,"YES, THE FIGURES MATCHED",,10,PIECE,,FRESH,,1000,10,PIECE,,FRESH,,1000,2,YES,2,PIECE,,FRESH,,2,PIECE,,FRESH,,ALMOST NONE,"YES, THE FIGURES MATCHED",
103051560029,9e2b74583ee74f159721f71160ae0cf3,YES,CHAMBO,,12,6,5 KG BAG,,FRESH,,NO,,,,,,72,,72,5 KG BAG,,FRESH,,72,5 KG BAG,,FRESH,,"YES, THE FIGURES MATCHED",,6,5 KG BAG,,FRESH,,10000,4,5 KG BAG,,FRESH,,13000,12,YES,0,KILOGRAM,,FRESH,,0,KILOGRAM,,FRESH,,ALMOST NONE,"YES, THE FIGURES MATCHED",
103051560034,9f6ed8b2a26547da9e9864b87f12c00f,YES,UTAKA,,12,70,5 KG BAG,,FRESH,,NO,,,,,,840,,840,5 KG BAG,,FRESH,,840,5 KG BAG,,FRESH,,"YES, THE FIGURES MATCHED",,70,5 KG BAG,,FRESH,,2000,48,5 KG BAG,,FRESH,,3000,12,YES,0,5 KG BAG,,FRESH,,0,KILOGRAM,,FRESH,,ALMOST NONE,"YES, THE FIGURES MATCHED",
103051560121,dade4852b38646408924eabdff8e9155,YES,UTAKA,,24,3,LARGE BASKET,,FRESH,,NO,,,,,,72,,72,LARGE BASKET,,FRESH,,72,LARGE BASKET,,FRESH,,"YES, THE FIGURES MATCHED",,70,LARGE BASKET,,FRESH,,30000,70,LARGE BASKET,,FRESH,,2100000,24,YES,2,LARGE BASKET,,FRESH,,2,LARGE BASKET,,FRESH,,1/4,"YES, THE FIGURES MATCHED",
103051560124,ab73a5cba3ea4c39b51a134a3995c356,YES,UTAKA,,20,2,SMALL BASKET,,FRESH,,NO,,,,,,40,,40,SMALL BASKET,,FRESH,,40,SMALL BASKET,,FRESH,,"YES, THE FIGURES MATCHED",,2,SMALL BASKET,,FRESH,,5000,40,SMALL BASKET,,FRESH,,5000,20,YES,1,DOZEN / BUNDLE,,FRESH,,20,DOZEN / BUNDLE,,FRESH,,ALMOST NONE,"YES, THE FIGURES MATCHED",
103051560127,f986187c2e5e460fb5e1a6e0637c8ea5,YES,USIPA,,12,8,5 KG BAG,,FRESH,,NO,,,,,,96,,96,5 KG BAG,,FRESH,,96,5 KG BAG,,FRESH,,"YES, THE FIGURES MATCHED",,94,5 KG BAG,,FRESH,,2500,94,5 KG BAG,,FRESH,,2500,12,YES,2,5 KG BAG,,FRESH,,2,5 KG BAG,,FRESH,,1/4,"YES, THE FIGURES MATCHED",
103061570005,c683ba6225d24cbebdb0b6dc1e8881e4,YES,OTHER,GONG'O,4,1,KILOGRAM,,FRESH,,NO,,,,,,4,,4,KILOGRAM,,FRESH,,4,KILOGRAM,,FRESH,,"YES, THE FIGURES MATCHED",,0,KILOGRAM,,FRESH,,0,0,KILOGRAM,,FRESH,,0,0,NO,1,KILOGRAM,,FRESH,,1,KILOGRAM,,FRESH,,ALMOST ALL,"YES, THE FIGURES MATCHED",
103061570012,13908448d36c494db21d0ddfa12cac1e,YES,NCHENI,,20,100,PIECE,,FRESH,,NO,,,,,,5,,2000,PIECE,,FRESH,,2000,PIECE,,FRESH,,"YES, THE FIGURES MATCHED",,100,PIECE,,FRESH,,20000,40,PIECE,,FRESH,,8000,4,YES,20,PIECE,,FRESH,,10,PIECE,,FRESH,,1/4,"YES, THE FIGURES MATCHED",
103061570012,13908448d36c494db21d0ddfa12cac1e,YES,MLAMBA,,8,8,PIECE,,FRESH,,NO,,,,,,160,,712,PIECE,,FRESH,,712,PIECE,,FRESH,,"YES, THE FIGURES MATCHED",,20,PIECE,,FRESH,,6000,20,PIECE,,FRESH,,5000,4,YES,6,PIECE,,FRESH,,6,PIECE,,FRESH,,1/4,"YES, THE FIGURES MATCHED",
