region,item_name,item_code,unit_name,Otherunit,unit_code,factor,source
South,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,PAIL MEDIUM,,4B,5.820000171661377,Collected from the Field
North,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,PAIL LARGE,,4C,17.66666603088379,Collected from the Field
Central,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,PAIL LARGE,,4C,9.814999580383301,Collected from the Field
South,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,PAIL LARGE,,4C,10.39999961853027,Collected from the Field
Central,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,NO. 10 PLATE ,,6,.0640000030398369,Collected from the Field
Central,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED),103,NO. 12 PLATE ,,7,.1439999938011169,Collected from the Field
North,MAIZE GRAIN (NOT AS UFA),104,OTHER (SPECIFY),PIECE,23,.1299999952316284,Imputed Factor Based on Other Item-Units
Central,MAIZE GRAIN (NOT AS UFA),104,OTHER (SPECIFY),COB,23,.1299999952316284,Collected from the Field
Central,MAIZE GRAIN (NOT AS UFA),104,OTHER (SPECIFY),CUP,23,.4699999988079071,Collected from the Field
Central,MAIZE GRAIN (NOT AS UFA),104,OTHER (SPECIFY),PIECE,23,.1299999952316284,Imputed Factor Based on Other Item-Units
South,MAIZE GRAIN (NOT AS UFA),104,OTHER (SPECIFY),PIECE,23,.1299999952316284,Imputed Factor Based on Other Item-Units
South,MAIZE GRAIN (NOT AS UFA),104,OTHER (SPECIFY),CUP,23,.4699999988079071,Collected from the Field
South,MAIZE GRAIN (NOT AS UFA),104,OTHER (SPECIFY),COB,23,.1299999952316284,Collected from the Field
North,MAIZE GRAIN (NOT AS UFA),104,5 LITRE BUCKET (CHIGOBA) ,,26,5.223999977111816,Collected from the Field
Central,MAIZE GRAIN (NOT AS UFA),104,5 LITRE BUCKET (CHIGOBA) ,,26,5.099999904632568,Collected from the Field
South,MAIZE GRAIN (NOT AS UFA),104,5 LITRE BUCKET (CHIGOBA) ,,26,5.146499633789063,Collected from the Field
North,MAIZE GRAIN (NOT AS UFA),104,BASIN  SMALL,,27A,4.132999897003174,Collected from the Field
Central,MAIZE GRAIN (NOT AS UFA),104,BASIN  SMALL,,27A,4,Collected from the Field
South,MAIZE GRAIN (NOT AS UFA),104,BASIN  SMALL,,27A,4.193999767303467,Collected from the Field
North,MAIZE GRAIN (NOT AS UFA),104,PAIL,,4,4.378749847412109,Collected from the Field
Central,MAIZE GRAIN (NOT AS UFA),104,PAIL,,4,4.474571228027344,Collected from the Field
South,MAIZE GRAIN (NOT AS UFA),104,PAIL,,4,4.259666442871094,Collected from the Field
North,MAIZE GRAIN (NOT AS UFA),104,PAIL SMALL,,4A,4.372000217437744,Collected from the Field
Central,MAIZE GRAIN (NOT AS UFA),104,PAIL SMALL,,4A,5.293749809265137,Collected from the Field
South,MAIZE GRAIN (NOT AS UFA),104,PAIL SMALL,,4A,5.25,Collected from the Field
North,MAIZE GRAIN (NOT AS UFA),104,PAIL MEDIUM,,4B,10.04199981689453,Collected from the Field
Central,MAIZE GRAIN (NOT AS UFA),104,PAIL MEDIUM,,4B,8.085000038146973,Collected from the Field
South,MAIZE GRAIN (NOT AS UFA),104,PAIL MEDIUM,,4B,8.938999176025391,Collected from the Field
North,MAIZE GRAIN (NOT AS UFA),104,PAIL LARGE,,4C,18.6870002746582,Collected from the Field
Central,MAIZE GRAIN (NOT AS UFA),104,PAIL LARGE,,4C,16.75,Collected from the Field
South,MAIZE GRAIN (NOT AS UFA),104,PAIL LARGE,,4C,18,Collected from the Field
North,MAIZE GRAIN (NOT AS UFA),104,NO. 10 PLATE ,,6,.119999997317791,Collected from the Field
Central,MAIZE GRAIN (NOT AS UFA),104,NO. 10 PLATE ,,6,.1150000020861626,Collected from the Field
South,MAIZE GRAIN (NOT AS UFA),104,NO. 10 PLATE ,,6,.1180000007152557,Collected from the Field
North,MAIZE GRAIN (NOT AS UFA),104,NO. 12 PLATE ,,7,.2100000083446503,Collected from the Field
Central,MAIZE GRAIN (NOT AS UFA),104,NO. 12 PLATE ,,7,.25,Collected from the Field
South,MAIZE GRAIN (NOT AS UFA),104,NO. 12 PLATE ,,7,.2875000238418579,Collected from the Field
North,GREEN MAIZE,105,PAIL,,4,3.880000114440918,"Collected from the field, Few Observations Not in All Regions"
Central,GREEN MAIZE,105,PAIL,,4,3.880000114440918,"Collected from the field, Few Observations Not in All Regions"
South,GREEN MAIZE,105,PAIL,,4,3.880000114440918,"Collected from the field, Few Observations Not in All Regions"
North,GREEN MAIZE,105,PIECE,,9,.3827272653579712,Collected from the Field
Central,GREEN MAIZE,105,PIECE,,9,.3343809545040131,Collected from the Field
South,GREEN MAIZE,105,PIECE,,9,.3368000090122223,Collected from the Field
North,GREEN MAIZE,105,PIECE SMALL,,9A,.2860000133514404,Collected from the Field
Central,GREEN MAIZE,105,PIECE SMALL,,9A,.3100000023841858,Collected from the Field
South,GREEN MAIZE,105,PIECE SMALL,,9A,.2750000059604645,Collected from the Field
North,GREEN MAIZE,105,PIECE MEDIUM,,9B,.3330000042915344,Collected from the Field
Central,GREEN MAIZE,105,PIECE MEDIUM,,9B,.3600000143051147,Collected from the Field
South,GREEN MAIZE,105,PIECE MEDIUM,,9B,.3179999887943268,Collected from the Field
North,GREEN MAIZE,105,PIECE LARGE,,9C,.3926999866962433,Collected from the Field
Central,GREEN MAIZE,105,PIECE LARGE,,9C,.4320000112056732,Collected from the Field
South,GREEN MAIZE,105,PIECE LARGE,,9C,.8691579103469849,Collected from the Field
North,RICE,106,OTHER (SPECIFY),BASIN,23,3.460000038146973,Collected from the Field
Central,RICE,106,OTHER (SPECIFY),CUP,23,.5600000023841858,Collected from the Field
South,RICE,106,OTHER (SPECIFY),CUP,23,.5600000023841858,Collected from the Field
South,RICE,106,OTHER (SPECIFY),BASIN,23,3.460000038146973,Collected from the Field
North,RICE UNSPECIFIED,106,TINA ,,25,.3260000050067902,Collected from the Field
Central,RICE UNSPECIFIED,106,TINA ,,25,.3050000071525574,Collected from the Field
South,RICE UNSPECIFIED,106,TINA ,,25,.3179999887943268,Collected from the Field
North,RICE UNSPECIFIED,106,5 LITRE BUCKET (CHIGOBA) ,,26,5.314000129699707,Collected from the Field
Central,RICE UNSPECIFIED,106,5 LITRE BUCKET (CHIGOBA) ,,26,5.375,Collected from the Field
South,RICE UNSPECIFIED,106,5 LITRE BUCKET (CHIGOBA) ,,26,5.703999996185303,Collected from the Field
North,RICE UNSPECIFIED,106,PAIL,,4,5.218583583831787,"Collected from the field, Few Observations Not in All Regions"
Central,RICE UNSPECIFIED,106,PAIL,,4,5.218583583831787,"Collected from the field, Few Observations Not in All Regions"
South,RICE UNSPECIFIED,106,PAIL,,4,5.218583583831787,"Collected from the field, Few Observations Not in All Regions"
North,RICE UNSPECIFIED,106,PAIL SMALL,,4A,4.341000080108643,Collected from the Field
Central,RICE UNSPECIFIED,106,PAIL SMALL,,4A,5.53000020980835,Collected from the Field
South,RICE UNSPECIFIED,106,PAIL SMALL,,4A,5.528500080108643,Collected from the Field
North,RICE UNSPECIFIED,106,PAIL MEDIUM,,4B,5.87600040435791,"Collected from the field, Few Observations Not in All Regions"
Central,RICE UNSPECIFIED,106,PAIL MEDIUM,,4B,5.87600040435791,"Collected from the field, Few Observations Not in All Regions"
South,RICE UNSPECIFIED,106,PAIL MEDIUM,,4B,5.87600040435791,"Collected from the field, Few Observations Not in All Regions"
North,RICE UNSPECIFIED,106,PAIL LARGE,,4C,19.04999923706055,Collected from the Field
Central,RICE UNSPECIFIED,106,PAIL LARGE,,4C,17.25,Collected from the Field
South,RICE UNSPECIFIED,106,PAIL LARGE,,4C,19,Collected from the Field
North,RICE UNSPECIFIED,106,NO. 10 PLATE ,,6,.1150000020861626,Collected from the Field
Central,RICE UNSPECIFIED,106,NO. 10 PLATE ,,6,.135000005364418,Collected from the Field
South,RICE UNSPECIFIED,106,NO. 10 PLATE ,,6,.1310000121593475,Collected from the Field
North,RICE UNSPECIFIED,106,NO. 12 PLATE ,,7,.1675000041723251,Collected from the Field
Central,RICE UNSPECIFIED,106,NO. 12 PLATE ,,7,.2675000131130219,Collected from the Field
South,RICE UNSPECIFIED,106,NO. 12 PLATE ,,7,.2709999978542328,Collected from the Field
North,FINGER MILLET (MAWERE),107,TINA ,,25,.2660000026226044,Collected from the Field
Central,FINGER MILLET (MAWERE),107,TINA ,,25,.2649999856948853,Collected from the Field
South,FINGER MILLET (MAWERE),107,TINA ,,25,.2800000011920929,Collected from the Field
North,FINGER MILLET (MAWERE),107,BASIN  SMALL,,27A,4.118000030517578,Collected from the Field
Central,FINGER MILLET (MAWERE),107,BASIN  SMALL,,27A,3.605000019073486,Collected from the Field
South,FINGER MILLET (MAWERE),107,BASIN  SMALL,,27A,3.119999885559082,Collected from the Field
North,FINGER MILLET (MAWERE),107,NO. 10 PLATE ,,6,.1150000020861626,Collected from the Field
Central,FINGER MILLET (MAWERE),107,NO. 10 PLATE ,,6,.1099999994039536,Collected from the Field
South,FINGER MILLET (MAWERE),107,NO. 10 PLATE ,,6,.5709999799728394,Collected from the Field
North,FINGER MILLET (MAWERE),107,NO. 12 PLATE ,,7,.1949999928474426,Collected from the Field
Central,FINGER MILLET (MAWERE),107,NO. 12 PLATE ,,7,.1375000029802322,Collected from the Field
South,FINGER MILLET (MAWERE),107,NO. 12 PLATE ,,7,.153999999165535,Collected from the Field
South,SORGHUM (MAPIRA),108,OTHER (SPECIFY),CUP,23,.5299999713897705,Collected from the Field
North,SORGHUM (MAPIRA),108,TINA ,,25,.2829999923706055,Collected from the Field
Central,SORGHUM (MAPIRA),108,TINA ,,25,.2809999883174896,Collected from the Field
South,SORGHUM (MAPIRA),108,TINA ,,25,.2980000078678131,Collected from the Field
North,SORGHUM (MAPIRA),108,5 LITRE BUCKET (CHIGOBA) ,,26,4.454999923706055,Collected from the Field
Central,SORGHUM (MAPIRA),108,5 LITRE BUCKET (CHIGOBA) ,,26,5.116499900817871,Collected from the Field
South,SORGHUM (MAPIRA),108,5 LITRE BUCKET (CHIGOBA) ,,26,5.241999626159668,Collected from the Field
North,SORGHUM (MAPIRA),108,BASIN  SMALL,,27A,2.315000057220459,Collected from the Field
Central,SORGHUM (MAPIRA),108,BASIN  SMALL,,27A,3.414999961853027,Collected from the Field
South,SORGHUM (MAPIRA),108,BASIN  SMALL,,27A,4.277999877929688,Collected from the Field
Central,SORGHUM (MAPIRA),108,PAIL,,4,5.389999866485596,Collected from the Field
South,SORGHUM (MAPIRA),108,PAIL,,4,5.389999866485596,Collected from the Field
North,SORGHUM (MAPIRA),108,PAIL SMALL,,4A,3.783999919891357,Collected from the Field
Central,SORGHUM (MAPIRA),108,PAIL SMALL,,4A,5.215000152587891,Collected from the Field
South,SORGHUM (MAPIRA),108,PAIL SMALL,,4A,5.466000080108643,Collected from the Field
North,SORGHUM (MAPIRA),108,PAIL LARGE,,4C,15.69999980926514,Collected from the Field
Central,SORGHUM (MAPIRA),108,PAIL LARGE,,4C,16.64374923706055,Collected from the Field
South,SORGHUM (MAPIRA),108,PAIL LARGE,,4C,18,Collected from the Field
North,SORGHUM (MAPIRA),108,No 10 PLATE,,6,1.094585299491882,Collected from the Field
Central,SORGHUM (MAPIRA),108,NO. 10 PLATE ,,6,.1150000020861626,Collected from the Field
South,SORGHUM (MAPIRA),108,NO. 10 PLATE ,,6,1.094585299491882,Collected from the Field
North,SORGHUM (MAPIRA),108,NO. 12 PLATE ,,7,.119999997317791,Collected from the Field
Central,SORGHUM (MAPIRA),108,NO. 12 PLATE ,,7,.1599999964237213,Collected from the Field
South,SORGHUM (MAPIRA),108,NO. 12 PLATE ,,7,1.713939189910889,Collected from the Field
South,PEARL MILLET (MCHEWERE),109,OTHER (SPECIFY),CUP,23,.5400000214576721,Collected from the Field
Central,PEARL MILLET (MCHEWERE),109,TINA ,,25,.3120000064373016,Collected from the Field
South,PEARL MILLET (MCHEWERE),109,TINA ,,25,.2980000078678131,Collected from the Field
Central,PEARL MILLET (MCHEWERE),109,BASIN  SMALL,,27A,3.654999971389771,Collected from the Field
South,PEARL MILLET (MCHEWERE),109,BASIN  SMALL,,27A,4.244999885559082,Collected from the Field
North,PEARL MILLET (MCHEWERE),109,PAIL,,4,3.871749877929688,"Collected from the field, Few Observations Not in All Regions"
Central,PEARL MILLET (MCHEWERE),109,PAIL,,4,3.871749877929688,"Collected from the field, Few Observations Not in All Regions"
South,PEARL MILLET (MCHEWERE),109,PAIL,,4,3.871749877929688,"Collected from the field, Few Observations Not in All Regions"
North,PEARL MILLET (MCHEWERE),109,PAIL SMALL,,4A,4.300000190734863,Collected from the Field
South,PEARL MILLET (MCHEWERE),109,PAIL SMALL,,4A,5.353000164031982,Collected from the Field
North,PEARL MILLET (MCHEWERE),109,PAIL MEDIUM,,4B,10.26499938964844,"Collected from the field, Few Observations Not in All Regions"
Central,PEARL MILLET (MCHEWERE),109,PAIL MEDIUM,,4B,10.26499938964844,"Collected from the field, Few Observations Not in All Regions"
South,PEARL MILLET (MCHEWERE),109,PAIL MEDIUM,,4B,10.26499938964844,"Collected from the field, Few Observations Not in All Regions"
South,PEARL MILLET (MCHEWERE),109,PAIL LARGE,,4C,17.57399940490723,Collected from the Field
North,WHEAT FLOUR,110,PAIL,,4,3.278120040893555,"Collected from the field, Few Observations Not in All Regions"
Central,WHEAT FLOUR,110,PAIL,,4,3.278120040893555,"Collected from the field, Few Observations Not in All Regions"
South,WHEAT FLOUR,110,PAIL,,4,3.278120040893555,"Collected from the field, Few Observations Not in All Regions"
North,WHEAT FLOUR,110,PIECE,,9,1.00683331489563,Collected from the Field
Central,WHEAT FLOUR,110,PIECE,,9,.9132500290870667,Collected from the Field
South,WHEAT FLOUR,110,PIECE,,9,1.013499975204468,Collected from the Field
North,BREAD,111,LOAF (300G) ,,31,.300000011920929,Calculated Standard Unit
Central,BREAD,111,LOAF (300G) ,,31,.300000011920929,Calculated Standard Unit
South,BREAD,111,LOAF (300G) ,,31,.300000011920929,Calculated Standard Unit
North,BREAD,111,LOAF (600G) ,,32,.6000000238418579,Calculated Standard Unit
Central,BREAD,111,LOAF (600G) ,,32,.6000000238418579,Calculated Standard Unit
South,BREAD,111,LOAF (600G) ,,32,.6000000238418579,Calculated Standard Unit
North,BREAD,111,LOAF (700G) ,,33,.699999988079071,Calculated Standard Unit
Central,BREAD,111,LOAF (700G) ,,33,.699999988079071,Calculated Standard Unit
South,BREAD,111,LOAF (700G) ,,33,.699999988079071,Calculated Standard Unit
North,BREAD,111,PIECE,,9,.5130909085273743,Collected from the Field
Central,BREAD,111,PIECE ,,9,.1235000044107437,Collected from the Field
South,BREAD,111,PIECE ,,9,.1500000059604645,Collected from the Field
North,"BUNS, SCONES",112,OTHER (SPECIFY),DOZEN,23,.8399999737739563,"Collected from the field, Few Observations Not in All Regions"
South,"BUNS, SCONES",112,OTHER (SPECIFY),DOZEN,23,.8399999737739563,"Collected from the field, Few Observations Not in All Regions"
North,"BUNS, SCONES YELLOW",112,PIECE,,9,.0919310376048088,Collected from the Field
Central,"BUNS, SCONES YELLOW",112,PIECE,,9,.0742222219705582,Collected from the Field
South,"BUNS, SCONES YELLOW",112,PIECE,,9,.1004456505179405,Collected from the Field
North,"BUNS, SCONES YELLOW",112,PIECE SMALL,,9A,.061999998986721,Collected from the Field
Central,"BUNS, SCONES YELLOW",112,PIECE SMALL,,9A,.0850000008940697,Collected from the Field
South,"BUNS, SCONES YELLOW",112,PIECE SMALL,,9A,.0900000035762787,Collected from the Field
North,"BUNS, SCONES YELLOW",112,PIECE MEDIUM,,9B,.1369999945163727,Collected from the Field
Central,"BUNS, SCONES YELLOW",112,PIECE MEDIUM,,9B,.1439999938011169,Collected from the Field
South,"BUNS, SCONES YELLOW",112,PIECE MEDIUM,,9B,.1480000019073486,Collected from the Field
