case_id,HHID,fs_d14a,fs_d14b,fs_d14c,fs_d14d,fs_d15,fs_d16a,fs_d16b,fs_d17,fs_d18a,fs_d18b,fs_d18c,fs_18d,fs_d18e,fs_d18f,fs_d19,fs_d20a,fs_d20b,fs_d21a,fs_d21b,fs_d22,fs_d23,fs_d24a,fs_d24b
103061570005,c683ba6225d24cbebdb0b6dc1e8881e4,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103061570012,13908448d36c494db21d0ddfa12cac1e,2,20,0,20,NO,,,YES,1,DOZEN / BUNDLE,,1,DOZEN / BUNDLE,,NO,,,0,0,NO,,,
103061570040,6e7ecbbd6d7443399057e2e66f7889b3,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103061570199,95621fcb6a2e4500a79a407436ef8146,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103061570203,3a350102d7ec42edadeec08e1f8555e9,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103071590131,311fdbae1e814acaa952ab564c9f8460,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103071590137,2ce10fc6386840e6855ee3010a428ec2,1,1,2,5,YES,10000,2000,YES,1,DOZEN / BUNDLE,,1,DOZEN / BUNDLE,,NO,,,500,500,NO,,,
103071590145,ba5dcfc6f42e46f987ec987db024fd16,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103071590169,56f929979a924f0dbf18f8b87bdf1cbd,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103071590172,dc6bcfce915647c9bed0e4ccd5e21a23,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103071590219,6c6c3cc87562426aa6b2f0de01dc4b85,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103081600079,b374bcac7d0d43b8a2ea386d84f7cc1c,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103091620003,966a8f7369614dae9c2747caa722153a,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
