case_id,HHID,fs_f01,fs_f01_oth,fs_f02a,fs_f02b,fs_f02c,fs_f02d,fs_f02e,fs_f02f,fs_f02g,fs_f02h,fs_f02i,fs_f02j,fs_f02k,fs_f02l,fs_f02m,fs_f03a,fs_f03b,fs_f03c,fs_f03d,fs_f03e,fs_f03f,fs_f03g,fs_f03h,fs_f03i,fs_f03j,fs_f03k,fs_f03l,fs_f03m
103031530002,59b73b407a99406483debac0d7bb5a17,USIPA,,3,SMALL BASKET,,FRESH,,12000,NO,,,,,,,3,SMALL BASKET,,FRESH,,2000,NO,,,,,,
103041550180,63d5301b943a433da5d50baa505766aa,USIPA,,4,SMALL BASKET,,FRESH,,5000,NO,,,,,,,4,SMALL BASKET,,SUN-DRIED,,7000,NO,,,,,,
103041550229,2bbd8db25e7240a2bbd5997d053dab37,USIPA,,3,LARGE BASKET,,SUN-DRIED,,10000,NO,,,,,,,12,SMALL BASKET,,SUN-DRIED,,3000,NO,,,,,,
103051560008,826f18cfb28f46b38a961caee38658c8,UTAKA,,0,,,,,,NO,,,,,,,0,,,,,,NO,,,,,,
103051560014,c65b0436b3c74579a404d06664b6a048,CHAMBO,,0,,,,,,NO,,,,,,,5,PIECE,,FRESH,,1000,NO,,,,,,
103051560023,485dde2f65804638887630db88e8d60d,UTAKA,,120,5 KG BAG,,FRESH,,2000,NO,,,,,,,120,5 KG BAG,,SUN-DRIED,,4000,YES,120,,,SMOKED,,5000
103051560029,9e2b74583ee74f159721f71160ae0cf3,CHAMBO,,0,,,,,,NO,,,,,,,6,5 KG BAG,,FRESH,,10000,NO,,,,,,
103051560034,9f6ed8b2a26547da9e9864b87f12c00f,UTAKA,,0,,,,,,NO,,,,,,,70,5 KG BAG,,FRESH,,2000,NO,,,,,,
103051560036,d61354615e084362a9297bebbe6266a5,UTAKA,,12,5 KG BAG,,FRESH,,2500,NO,,,,,,,12,5 KG BAG,,SUN-DRIED,,6000,YES,6,,,SMOKED,,7000
103051560121,dade4852b38646408924eabdff8e9155,UTAKA,,0,,,,,,NO,,,,,,,70,LARGE BASKET,,FRESH,,30000,NO,,,,,,
103051560124,ab73a5cba3ea4c39b51a134a3995c356,UTAKA,,0,,,,,,NO,,,,,,,40,SMALL BASKET,,FRESH,,5000,NO,,,,,,
103051560127,f986187c2e5e460fb5e1a6e0637c8ea5,USIPA,,0,,,,,,NO,,,,,,,94,5 KG BAG,,FRESH,,2500,NO,,,,,,
103061570005,c683ba6225d24cbebdb0b6dc1e8881e4,NCHENI,,1,SMALL BASKET,,FRESH,,5000,YES,1,SMALL BASKET,,SMOKED,,5000,1,SMALL BASKET,,SMOKED,,5000,NO,,,,,,
103061570012,13908448d36c494db21d0ddfa12cac1e,NCHENI,,5,LARGE BASKET,,FRESH,,800,NO,,,,,,,50,PIECE,,FRESH,,1000,NO,,,,,,
103061570040,6e7ecbbd6d7443399057e2e66f7889b3,OTHER,BATALA,0,,,,,,NO,,,,,,,150,PIECE,,FRESH,,300,NO,,,,,,
103061570040,6e7ecbbd6d7443399057e2e66f7889b3,USIPA,,0,,,,,,NO,,,,,,,10000,LARGE BASKET,,FRESH,,5000,NO,,,,,,
103061570199,95621fcb6a2e4500a79a407436ef8146,USIPA,,10,5 KG BAG,,FRESH,,2500,NO,,,,,,,10,5 KG BAG,,FRESH,,4000,NO,,,,,,
103061570203,3a350102d7ec42edadeec08e1f8555e9,OTHER,BATALA,6,LARGE BASKET,,FRESH,,30000,NO,,,,,,,6,LARGE BASKET,,FRESH,,35000,NO,,,,,,
103071590131,311fdbae1e814acaa952ab564c9f8460,UTAKA,,3,LARGE BASKET,,FRESH,,15000,NO,,,,,,,3,LARGE BASKET,,FRESH,,15000,NO,,,,,,
103071590137,2ce10fc6386840e6855ee3010a428ec2,UTAKA,,0,,,,,,NO,,,,,,,0,,,,,,NO,,,,,,
103071590145,ba5dcfc6f42e46f987ec987db024fd16,UTAKA,,1,10 KG BAG,,FRESH,,1000,NO,,,,,,,0,,,,,,NO,,,,,,
103071590169,56f929979a924f0dbf18f8b87bdf1cbd,UTAKA,,0,,,,,,NO,,,,,,,1,SMALL BASKET,,FRESH,,12500,NO,,,,,,
103071590172,dc6bcfce915647c9bed0e4ccd5e21a23,UTAKA,,0,,,,,,NO,,,,,,,0,,,,,,NO,,,,,,
103071590219,6c6c3cc87562426aa6b2f0de01dc4b85,USIPA,,16,5 KG BAG,,SUN-DRIED,,4500,NO,,,,,,,16,5 KG BAG,,SUN-DRIED,,6000,NO,,,,,,
103071590219,6c6c3cc87562426aa6b2f0de01dc4b85,UTAKA,,5,5 KG BAG,,SUN-DRIED,,4500,NO,,,,,,,5,5 KG BAG,,SUN-DRIED,,11000,NO,,,,,,
103081600079,b374bcac7d0d43b8a2ea386d84f7cc1c,USIPA,,16,OTHER (SPECIFY),5L BUCKET,FRESH,,1200,NO,,,,,,,4,OTHER (SPECIFY),5LITRE CHIGOBA BUCKET,FRESH,,2500,NO,,,,,,
103091620003,966a8f7369614dae9c2747caa722153a,OTHER,MTUMALA,15,SMALL BASKET,,FRESH,,3000,NO,,,,,,,15,SMALL BASKET,,FRESH,,3500,NO,,,,,,
103091620003,966a8f7369614dae9c2747caa722153a,UTAKA,,20,SMALL BASKET,,FRESH,,2000,NO,,,,,,,20,SMALL BASKET,,FRESH,,3500,NO,,,,,,
103091620007,896fbdd3a1314a62ba6abe213695d5c4,NCHENI,,20,SMALL BASKET,,FRESH,,2000,NO,,,,,,,20,SMALL BASKET,,FRESH,,3000,NO,,,,,,
103091620011,a715151846fc48d2867c9079374ce2c8,NCHENI,,25,SMALL BASKET,,FRESH,,2000,NO,,,,,,,25,SMALL BASKET,,FRESH,,3000,NO,,,,,,
103091620012,44b58a80f2394709b5d320523950e675,UTAKA,,10,SMALL BASKET,,FRESH,,2000,NO,,,,,,,10,SMALL BASKET,,FRESH,,2500,NO,,,,,,
103091620014,e5ef30cd32f842f99e81b66256283285,OTHER,NO FISH TRADING ACTIVITIES DONE,0,,,,,,NO,,,,,,,0,,,,,,NO,,,,,,
103091620017,7bdeb0713a3a4be3adbd57b9d856c8ae,NCHENI,,3,LARGE BASKET,,FRESH,,2500,NO,,,,,,,3,LARGE BASKET,,SMOKED,,5000,NO,,,,,,
103091620022,441a7583bdfa46bab21f95056eb32d95,NCHENI,,0,,,,,,NO,,,,,,,0,,,,,,NO,,,,,,
103091620025,ddd3d5fe5f564353a0e26cd8d6382e64,UTAKA,,25,OTHER (SPECIFY),5L BUCKET,FRESH,,2500,NO,,,,,,,25,OTHER (SPECIFY),5LITRE CHIGOBA BUCKET,SMOKED,,3500,NO,,,,,,
