case_id,HHID,ag_r25,ag_r26,ag_r27,ag_r28,ag_r29
101021100116,0c968049019549cf934810a584a32aae,0,30000,0,0,0
101021100140,3d142efa44934a5581a3ea2c176c076b,0,1000,0,0,0
101021100161,86b3d1e2c9814c2d940d26f4af771a09,0,0,0,0,0
101021100168,09634c228e444d3dabbed46f940f9652,0,0,0,0,0
101021100179,7eaaafd6b61e48d68f1ba8111c140d16,0,0,0,0,0
101021100180,da37c8239c6b4b8ca0018ae6447ed67d,0,0,0,0,0
101021100190,7e3a2b43178547a3a3826836c21bd887,0,1000,0,0,0
101021100225,e4459df45e5d40a89d2eb3f73c57e952,0,0,0,0,0
101021100229,66837ec594cd480f97514e2ed699143a,0,0,0,0,0
101031110017,6f7bf3592c874669b6d2e21c4a4893fc,0,0,0,0,0
101031110030,45be12c1789f408783b7f0fc96351f19,0,20000,0,0,0
101031110039,6ef606cddea04363ad03b030a4094c25,0,0,0,0,0
101031110057,1fc1988e4607419bae7337d19a8a8447,0,0,0,0,0
101031110104,969c3753cf824281b8fb9c9c740f3180,0,0,0,0,0
101031110113,ab22d2d88d25477097c3c0caf31e5c93,0,0,0,0,0
101031110132,9dfba777c9f34b6896fe502557c9d300,0,0,0,0,0
101031110150,52435e1bd1fa4761badd19e39c906325,0,0,0,0,0
101031110177,da328b5673be4b4385357b76eea89726,0,0,0,0,0
101031110196,cbb2283e752d4978ad0512417e05e861,0,0,0,0,0
101031120035,5bf1c5c953154937bdb7a33661219c47,0,0,0,0,0
101031120049,da101dd3b1264c38a257469f14d07878,0,0,0,0,0
101031120054,66cf87e1938d453896a46c6df26bf85b,0,0,0,0,0
101031120078,1cea1e013dd54fc1abd970a427612821,0,0,0,0,0
101031120091,192e0295873342b5a6010eae586b6714,0,20000,0,0,0
101031120095,ac34ccad107d42afb19ad5c7c2529e9c,0,0,5000,0,0
101031120097,662f2ac5f466467f91a89d4cdae8366a,0,0,0,0,0
101031120116,66a52406da1a4ad2bc67699de1e6b0b5,0,5000,0,0,0
101031120119,6e2fc21caea341fe91732a9e875f2186,0,0,960,0,0
101031120131,8bbd17b31328495eb17a11565cb77ea6,0,0,0,0,0
101031120151,4bd06eec7f6149f6a15c78d8a99a07ed,0,1000,1000,0,0
101031120176,122cc2640c494d16a7f68e81b72a350a,0,0,600,0,0
101031130003,dcc23e4e5a544c7aa98092a22c02b671,0,0,0,0,0
101031130005,9f1d85391cb7409d8f5f5a392244e8d6,0,0,0,0,0
101031130007,91ef7b780a8a4848925fefa1369878ca,0,0,0,0,0
101031130009,232ea6ecc0a249eaba3959937e692df5,0,0,0,0,0
