case_id,HHID,fs_b_start_date,fs_b_respondent,fs_b_endHr,fs_c_start_date,fs_c_respondent,fs_c_endHr,fs_d_start_date,fs_d_respondent,fs_d_endHr,fs_e_start_date,fs_e_endHr,fs_f_respondent,fs_f_endHr,fs_f_endMin,fs_g_start_date,fs_g_respondent,fs_g_endHr,fs_h_start_date,fs_h_respondent,fs_h_end_date,fs_i_start_date,fs_i_respondent,fs_i_endHr,fs_j_respondent,fs_j_endHr,fs_j_endMin
102051410186,13bfa8ac242f4ce3b8f823be3e7daf9d,2020-02-24,1,15,2020-02-24,1,15,2020-02-24,1,15,2020-02-24,16,1,16,4,2020-02-24,1,16,2020-02-24,1,2020-02-24,2020-02-24,1,16,1,16,18
102051410196,f5759c2a258644598a43fd1c6a26b424,2020-02-24,1,12,2020-02-24,1,12,2020-02-24,1,12,2020-02-24,12,1,12,17,2020-02-24,2,12,2020-02-24,2,2020-02-24,2020-02-24,1,12,1,12,26
102051420214,6b6344882dac43dea8388f8d1d962368,2019-07-22,1,11,2019-07-22,1,11,2019-07-22,1,11,2019-07-22,14,1,11,22,##N/A##,1,.a,##N/A##,.a,##N/A##,##N/A##,.a,.a,.a,.a,.a
102201430307,e9e09d1f25f045a2977e121c85cd8299,2019-12-07,2,9,2019-12-07,2,9,2019-12-07,2,9,2019-12-07,9,2,9,36,2019-12-07,2,9,2019-12-07,2,2019-12-07,2019-12-07,2,9,2,9,41
102201460042,165210a5cec9462990d6f144094ceb9d,2019-07-16,1,12,2019-07-16,2,12,2019-07-16,2,12,2019-07-16,12,2,12,39,2019-07-16,2,12,2019-07-17,2,2019-07-17,2019-07-17,2,12,2,12,34
102201460103,c9d941818fb345438335e3c8a73347f0,2019-07-16,1,10,2019-07-16,1,11,2019-07-16,1,11,2019-07-16,11,1,11,9,2019-07-16,1,11,2019-07-16,1,2019-07-16,2019-07-16,1,11,1,11,23
102201460206,4e417471acac4e86953bec6695c5aa55,2019-07-17,1,17,2019-07-17,1,17,2019-07-17,1,17,2019-07-17,17,1,17,21,2019-07-17,1,17,2019-07-17,1,2019-07-17,2019-07-17,1,17,1,17,37
102201460261,70010aa27e9b49e8b844f52a8fc6ee7d,2019-07-18,1,11,2019-07-17,1,11,2019-07-18,1,11,2019-07-18,11,1,11,17,2019-07-18,1,11,2019-07-18,1,2019-07-18,2019-07-18,1,11,1,11,26
102201460330,14651bc65d6f4bdf86aaea33c334ab1e,2019-07-16,1,15,2019-07-16,1,15,2019-07-16,1,15,2019-07-16,15,1,15,40,2019-07-16,1,17,2019-07-16,1,2019-07-16,2019-07-16,1,17,1,17,54
102201470009,7beb3da18c044ad39125c5cb2b5af5f7,2020-02-07,1,11,2020-02-07,1,11,2020-02-07,1,11,2020-02-07,11,1,11,22,2020-02-07,1,11,2020-02-07,1,2020-02-07,2020-02-07,1,11,1,11,26
103021520043,4a615fd4975e43baad72dbf120a5a3b4,2019-08-13,1,15,2019-08-13,1,15,2019-08-13,1,15,2019-08-13,15,1,15,42,2019-08-13,1,15,2019-08-13,1,2019-08-13,2019-08-13,1,15,1,15,53
103021520121,ca477b192b344b6da709672368794576,2019-08-12,1,12,2019-08-12,1,12,2019-08-12,1,12,2019-08-12,12,1,12,52,2019-08-12,1,12,2019-08-12,1,2019-08-12,2019-08-12,1,13,1,13,1
103031530002,59b73b407a99406483debac0d7bb5a17,2020-03-09,2,15,2020-03-09,2,15,2020-03-09,2,15,2020-03-09,15,2,15,35,2020-03-09,2,15,2020-03-09,2,2020-03-09,2020-03-09,2,15,2,15,48
103041540194,789e0c9e34634b5e994240f549bf2e57,2019-05-16,1,7,2019-05-16,1,8,2019-05-16,1,8,2019-05-16,8,1,8,19,2019-05-16,1,8,2019-05-16,1,2019-05-16,2019-05-16,1,8,1,8,31
103041550180,63d5301b943a433da5d50baa505766aa,2019-11-29,2,15,2019-11-29,2,15,2019-11-29,1,15,2019-11-29,15,2,15,36,2019-11-29,2,15,2019-11-29,2,2019-11-29,2019-11-29,2,15,2,15,48
103041550229,2bbd8db25e7240a2bbd5997d053dab37,2019-12-02,1,14,2019-12-02,1,14,2019-12-02,1,14,2019-12-02,14,1,14,15,2019-12-02,1,14,2019-12-02,1,2019-12-02,2019-12-02,1,14,1,14,19
103051560008,826f18cfb28f46b38a961caee38658c8,2019-10-16,1,11,2019-10-16,1,11,2019-10-16,1,11,2019-10-16,11,1,11,29,2019-10-16,1,11,2019-10-16,1,2019-10-16,2019-10-16,1,11,1,11,39
103051560014,c65b0436b3c74579a404d06664b6a048,2019-10-17,1,16,2019-10-17,1,16,2019-10-17,1,16,2019-10-17,17,1,17,5,2019-10-17,1,17,2019-10-17,1,2019-10-17,2019-10-17,1,17,1,17,8
103051560023,485dde2f65804638887630db88e8d60d,2019-10-16,1,14,2019-10-16,1,14,2019-10-16,1,14,2019-10-16,14,1,14,44,2019-10-16,1,14,2019-10-16,1,2019-10-16,2019-10-16,1,14,1,14,53
103051560029,9e2b74583ee74f159721f71160ae0cf3,2019-10-16,2,10,2019-10-16,1,10,2019-10-16,1,10,2019-10-16,10,1,10,44,2019-10-16,1,10,2019-10-16,1,2019-10-16,2019-10-16,1,10,1,10,53
103051560034,9f6ed8b2a26547da9e9864b87f12c00f,2019-10-17,1,8,2019-10-17,1,8,2019-10-17,1,8,2019-10-17,8,1,8,27,2019-10-17,1,8,2019-10-17,1,2019-10-17,2019-10-17,1,8,1,8,35
103051560036,d61354615e084362a9297bebbe6266a5,2019-10-15,2,14,2019-10-15,2,14,2019-10-15,2,14,2019-10-15,14,2,14,14,2019-10-15,2,14,2019-10-15,2,2019-10-15,2019-10-15,2,14,2,14,21
103051560121,dade4852b38646408924eabdff8e9155,2019-10-15,1,14,2019-10-15,1,14,2019-10-15,1,14,2019-10-15,14,1,14,48,2019-10-15,1,14,2019-10-15,1,2019-10-15,2019-10-15,1,14,1,14,57
103051560124,ab73a5cba3ea4c39b51a134a3995c356,2019-10-17,1,8,2019-10-17,1,8,2019-10-17,1,8,2019-10-17,8,1,8,28,2019-10-17,1,8,2019-10-17,1,2019-10-17,2019-10-17,1,8,1,8,36
103051560127,f986187c2e5e460fb5e1a6e0637c8ea5,2019-10-16,1,9,2019-10-16,1,9,2019-10-16,1,9,2019-10-16,9,1,9,51,2019-10-16,1,9,2019-10-16,1,2019-10-16,2019-10-16,1,10,1,10,1
103061570005,c683ba6225d24cbebdb0b6dc1e8881e4,2019-08-01,1,11,2019-08-01,1,11,2019-08-01,1,11,2019-08-01,11,2,11,32,2019-08-01,2,11,2019-08-01,2,2019-08-01,2019-08-01,2,11,2,11,40
103061570012,13908448d36c494db21d0ddfa12cac1e,2019-08-01,2,16,2019-08-01,1,16,2019-08-01,1,16,2019-08-01,16,1,16,52,2019-08-01,1,16,2019-08-01,1,2019-08-01,2019-08-01,1,17,2,19,8
103061570040,6e7ecbbd6d7443399057e2e66f7889b3,2019-07-31,1,13,2019-07-31,1,13,2019-07-31,1,13,2019-07-31,13,1,13,52,2019-07-31,1,14,2019-07-31,1,2019-07-31,2019-07-31,1,14,1,14,8
103061570199,95621fcb6a2e4500a79a407436ef8146,2019-07-31,2,12,2019-07-31,2,12,2019-07-31,2,12,2019-07-31,12,2,13,1,2019-07-31,2,13,2019-07-31,2,2019-07-31,2019-07-31,2,13,2,13,11
103061570203,3a350102d7ec42edadeec08e1f8555e9,2019-08-01,1,14,2019-08-01,1,14,2019-08-01,1,14,2019-08-01,14,1,14,38,2019-08-01,1,14,2019-08-01,1,2019-08-01,2019-08-01,1,14,1,14,48
103071590131,311fdbae1e814acaa952ab564c9f8460,2019-09-21,4,6,2019-09-21,4,6,2019-09-21,4,6,2019-09-21,6,4,6,42,2019-09-21,4,6,2019-09-21,4,2019-09-21,2019-09-21,4,6,4,6,47
103071590137,2ce10fc6386840e6855ee3010a428ec2,2019-09-19,1,17,2019-09-19,1,17,2019-09-19,1,17,2019-09-19,17,1,17,19,2019-09-19,1,17,2019-09-19,1,2019-09-19,2019-09-19,1,7,1,7,8
103071590145,ba5dcfc6f42e46f987ec987db024fd16,2019-09-20,3,13,2019-09-20,3,13,2019-09-20,3,14,2019-09-20,14,3,14,9,2019-09-20,3,14,2019-09-20,1,2019-09-20,2019-09-20,3,14,3,14,20
103071590169,56f929979a924f0dbf18f8b87bdf1cbd,2019-09-19,1,10,2019-09-19,1,10,2019-09-19,1,10,2019-09-19,11,1,11,4,2019-09-19,1,11,2019-09-19,1,2019-09-19,2019-09-19,1,11,1,11,13
103071590172,dc6bcfce915647c9bed0e4ccd5e21a23,2019-09-20,1,11,2019-09-20,1,11,2019-09-20,1,11,2019-09-20,11,1,11,54,2019-09-20,1,11,2019-09-20,1,2019-09-20,2019-09-20,1,12,1,12,3
103071590219,6c6c3cc87562426aa6b2f0de01dc4b85,2019-09-19,4,13,2019-09-19,4,13,2019-09-19,4,13,2019-09-19,13,4,14,0,2019-09-19,4,14,2019-09-19,4,2019-09-19,2019-09-19,4,14,4,14,10
103081600079,b374bcac7d0d43b8a2ea386d84f7cc1c,2020-03-29,2,10,2020-03-29,2,10,2020-03-29,2,10,2020-03-29,10,2,10,59,2020-03-29,2,11,2020-03-29,2,2020-03-29,2020-03-29,2,11,2,11,8
103091620003,966a8f7369614dae9c2747caa722153a,2020-02-13,1,11,2020-02-13,1,11,2020-02-13,1,11,2020-02-13,11,1,11,52,2020-02-13,1,11,2020-02-13,1,2020-02-13,2020-02-13,1,11,1,11,55
103091620007,896fbdd3a1314a62ba6abe213695d5c4,2020-02-14,1,10,2020-02-14,1,10,2020-02-14,1,10,2020-02-14,10,1,10,36,2020-02-14,1,10,2020-02-14,1,2020-02-14,2020-02-14,1,10,1,10,45
103091620009,8b22280141cf4613b3d2e9ef9da33d90,2020-02-13,1,13,2020-02-13,1,13,2020-02-13,1,13,2020-02-13,13,1,13,50,2020-02-13,1,13,2020-02-13,1,2020-02-13,2020-02-13,1,14,1,14,3
103091620011,a715151846fc48d2867c9079374ce2c8,2020-02-13,1,17,2020-02-13,1,17,2020-02-13,1,17,2020-02-13,17,1,17,46,2020-02-13,1,17,2020-02-13,1,2020-02-13,2020-02-13,1,17,1,17,50
103091620012,44b58a80f2394709b5d320523950e675,2020-02-12,2,15,2020-02-12,2,15,2020-02-12,2,15,2020-02-12,15,2,15,9,2020-02-12,2,15,2020-02-12,2,2020-02-12,2020-02-12,1,15,2,15,12
103091620014,e5ef30cd32f842f99e81b66256283285,2020-02-12,1,17,2020-02-12,1,17,2020-02-12,1,17,2020-02-12,17,1,17,42,2020-02-12,1,17,2020-02-12,1,2020-02-12,2020-02-12,1,17,1,17,56
103091620017,7bdeb0713a3a4be3adbd57b9d856c8ae,2020-02-13,2,10,2020-02-13,2,10,2020-02-13,2,10,2020-02-13,10,2,10,18,2020-02-13,2,10,2020-02-13,2,2020-02-13,2020-02-13,2,10,2,10,26
103091620022,441a7583bdfa46bab21f95056eb32d95,2020-02-13,1,12,2020-02-13,1,12,2020-02-13,1,12,2020-02-13,12,1,12,47,2020-02-13,1,12,2020-02-13,1,2020-02-13,2020-02-13,1,12,1,12,56
103091620025,ddd3d5fe5f564353a0e26cd8d6382e64,2020-02-12,1,17,2020-02-12,1,17,2020-02-13,1,7,2020-02-13,7,1,11,33,2020-02-13,1,11,2020-02-13,1,2020-02-13,2020-02-13,1,11,1,11,44
103091620072,09b3c4f6c90d4a11bae782b23e1e09df,2020-02-12,1,15,2020-02-12,1,15,2020-02-12,1,15,2020-02-12,15,1,18,15,2020-02-12,1,15,2020-02-12,1,2020-02-12,2020-02-12,1,15,1,15,37
103091620078,82a903b5201b4ad59bf79a87749d1e14,2020-02-13,1,9,2020-02-13,1,9,2020-02-13,1,9,2020-02-13,9,1,9,43,2020-02-13,1,9,2020-02-13,1,2020-02-13,2020-02-13,1,9,1,9,46
103091620098,17f873e1c4a44d02a3ac76944fb536f6,2020-02-12,1,17,2020-02-12,2,17,2020-02-12,1,17,2020-02-12,17,1,17,57,2020-02-12,1,17,2020-02-12,1,2020-02-12,2020-02-12,1,18,1,18,3
103121640003,891f1b2de1ff4503bac4f3c38e2b6a67,2020-02-16,1,10,2020-02-16,1,10,2020-02-16,1,10,2020-02-16,10,1,11,3,2020-02-16,1,11,2020-02-16,1,2020-02-16,2020-02-16,1,11,1,11,9
103121640016,e4547af32128495991bf03d03a57f8db,2020-02-16,1,11,2020-02-16,1,11,2020-02-16,1,11,2020-02-16,11,1,11,55,2020-02-16,1,11,2020-02-16,1,2020-02-16,2020-02-16,1,12,1,12,5
103121640021,022aae14b41d46488caa895611177b7b,2020-02-15,2,7,2020-02-15,2,7,2020-02-15,2,7,2020-02-15,7,1,7,46,2020-02-15,2,7,2020-02-15,1,2020-02-15,2020-02-15,1,7,1,8,10
103121640028,9cb397625ab94955bdc911e682c5f4b0,2020-02-16,1,9,2020-02-16,1,9,2020-02-16,1,9,2020-02-16,9,2,9,48,2020-02-16,1,9,2020-02-16,2,2020-02-22,2020-02-16,2,13,2,10,2
103121640031,cdbb743f058e44b7b07d5ca1fd259661,2020-02-15,1,8,2020-02-15,2,8,2020-02-15,2,8,2020-02-15,8,2,8,26,2020-02-15,2,8,2020-02-15,2,2020-02-15,2020-02-15,2,8,2,8,31
103121640035,25202b0dc90640c78a0fe39a634041bf,2020-02-15,1,14,2020-02-15,1,14,2020-02-15,1,14,2020-02-15,14,1,14,26,2020-02-15,1,14,2020-02-15,1,2020-02-15,2020-02-15,1,14,1,14,28
103121640052,55ef8142719f4a908c8fcaec40cbc879,2020-02-15,2,15,2020-02-15,2,15,2020-02-15,2,15,2020-02-15,15,2,15,28,2020-02-15,2,15,2020-02-15,2,2020-02-15,2020-02-15,2,15,2,15,44
103121640053,e541cfb3d3904973b73d26dfa086688b,2020-02-15,2,9,2020-02-15,2,9,2020-02-15,2,9,2020-02-15,9,2,9,45,2020-02-15,2,9,2020-03-15,2,2020-02-15,2020-02-15,2,14,2,9,56
103121640062,4e809b335b844db28d06a96d374f87f2,2020-02-15,1,14,2020-02-15,1,14,2020-02-15,1,15,2020-02-15,15,1,15,24,2020-02-15,1,15,2020-02-15,1,2020-03-02,2020-02-15,1,5,1,15,32
103121640067,baae54b6d8fc453c856acbdc577bd9a2,2020-02-16,1,10,2020-02-16,1,10,2020-02-16,2,10,2020-02-16,10,2,10,32,2020-02-16,1,10,2020-02-16,1,2020-02-16,2020-03-03,4,6,3,6,8
103121640081,9569dcb935024d28b6d4d042bf28b865,2020-02-16,6,6,2020-02-16,6,6,2020-02-16,6,6,2020-02-16,6,6,6,35,2020-02-16,6,6,2020-02-16,6,2020-02-16,2020-02-16,6,6,6,6,44
103121640082,8af31ea03b1f4d19823e846ee669cbf6,2020-02-15,5,8,2020-02-15,5,8,2020-02-15,5,8,2020-02-15,8,5,8,51,2020-02-15,5,8,2020-02-15,5,2020-02-15,2020-02-15,5,8,5,8,55
103121650179,cba0fa54bfa74ada8d6382d8aab3fae7,2019-05-09,1,10,2019-05-09,1,10,2019-05-09,1,10,2019-05-09,10,1,10,36,2019-05-09,1,10,2019-05-09,1,2019-05-09,2019-05-09,1,10,1,10,54
103121650471,d8d67896703b4e9482c723dc3e2cc370,2019-05-08,1,16,2019-05-08,1,16,2019-05-08,1,16,2019-05-08,16,1,17,9,2019-05-08,1,17,2019-05-08,1,2019-05-08,2019-05-08,1,17,1,17,16
103121660089,ce97d4fe0ebb4eee8c921539ed3c178d,2019-12-10,1,14,2019-12-10,1,14,2019-12-10,1,14,2019-12-10,14,1,14,22,2019-12-10,1,14,2019-12-10,1,2019-12-10,2019-12-10,1,14,1,14,28
103121670169,d95ff00ef1a34fea8aa68ca52050424d,2019-10-13,1,13,2019-10-13,1,13,2019-10-13,1,13,2019-10-13,13,1,13,12,2019-10-13,1,13,2019-10-14,1,2019-10-14,2019-10-14,1,16,1,16,3
103201680072,987b4bd27aa442968db466205a1e3536,2020-03-30,1,12,2020-03-30,1,12,2020-03-30,1,12,2020-03-30,12,1,13,0,2020-03-30,1,13,2020-03-30,1,2020-03-30,2020-03-30,1,13,1,13,12
103201680086,4ff89dca92af45b684af7220cedd61ba,2020-03-31,2,8,2020-03-31,2,8,2020-03-31,2,8,2020-03-31,8,2,8,31,2020-03-31,2,8,2020-03-31,2,2020-03-31,2020-03-31,2,8,2,8,37
103201680136,1e7ca8bed2e7408ca2ecbbd9888a357a,2020-03-31,3,15,2020-04-10,3,15,2020-03-31,3,15,2020-03-31,15,3,15,50,2020-03-31,3,15,2020-03-31,3,2020-03-31,2020-03-31,3,15,3,16,57
104011730202,74ee239e031a4bf3932eba77bbe05473,2019-04-28,1,14,2019-04-28,1,14,2019-04-28,1,14,2019-04-28,14,1,14,46,2019-04-28,1,14,2019-04-28,1,2019-04-28,2019-04-28,1,15,1,15,2
104041780004,c9ab0b29b74e40bc93bbe4d1f541192a,2020-02-04,2,15,2020-02-04,2,15,2020-02-04,2,15,2020-02-04,15,2,15,39,2020-02-04,2,15,2020-02-04,2,2020-02-04,2020-02-04,2,15,2,15,50
104041780120,7b56ead5540c4dbfb7f69fc91cd251cc,2020-02-05,2,9,2020-02-05,2,9,2020-02-05,1,9,2020-02-05,9,2,9,32,2020-02-05,2,9,2020-02-05,1,2020-02-05,2020-02-05,2,9,2,9,41
104041780137,c99c252d0f00467aa85701cf5642b95a,2020-02-04,1,10,2020-02-04,1,10,2020-02-04,1,10,2020-02-04,10,1,11,0,2020-02-04,1,11,2020-02-04,1,2020-02-04,2020-02-04,1,11,1,11,8
104071820287,691e7b5b0d364ba88eb7fd5cc92dd08c,2019-12-18,1,10,2019-12-18,2,10,2019-12-18,2,10,2019-12-18,10,2,10,27,2019-12-18,2,10,2019-12-18,2,2019-12-18,2019-12-18,2,10,2,10,35
104201890128,4c55c9d701b247ceb85adc68fb6f7955,2020-01-31,1,8,2020-01-31,1,8,2020-01-31,1,8,2020-01-31,8,1,8,16,2020-02-03,1,8,2020-01-31,1,2020-01-31,2020-01-31,1,8,1,8,29
105041980029,2e0b88f7cb60435a8d92895d33ac50c4,2019-07-08,1,15,2019-07-08,1,15,2019-07-08,2,15,2019-07-08,15,1,15,52,2019-07-08,2,15,2019-07-08,1,2019-07-08,2019-07-08,2,15,1,15,58
