case_id,HHID,crop_code,ag_n01a,ag_n01b,ag_n01b_oth,ag_n02,ag_n03,ag_n04,ag_n06a,ag_n06b,ag_n07a,ag_n07b,ag_n07b_oth,ag_n07_1a,ag_n07_1b,ag_n08,ag_n08_oth,ag_n09,ag_n10,ag_n11,ag_n12,ag_n13,ag_n14a,ag_n14b,ag_n37,ag_n38a,ag_n38b,ag_n38b_oth,ag_n39a,ag_n39b,ag_n39_1,ag_n39_1_oth,ag_n40,ag_n41,ag_n42a,ag_n42b,ag_n42b_oth,ag_n43,ag_n43_oth
101011030122,be90dc04442f43f9b7bf199a362813b1,RICE IET4094 (SENGA),20,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,2,,20,KILOGRAM,,1,2,Own Bicycle or Oxcart,,0,3500,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Improved variety is too expensive,
101011040037,19877062f12f464087073252923310dc,MAIZE HYBRID,3,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,3,,3,KILOGRAM,,1,.a,Truck / Bus/ Minibus,,1000,5500,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Advice from extension officer,
101011040041,493519f5d58042dd8e21c3967f4e8d5c,ONION,1,OTHER SPECIFY,SMALL PAIL,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,1,OTHER (SPECIFY),SMALL PAIL,Preference for traditional variety,
101011040052,7c6f187e305e4df8a7ac937a9fee6dfe,MAIZE HYBRID,4,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,4,KILOGRAM,,Improved variety is too expensive,
101011040108,8d7b180c5622498aade520441256fd2b,MAIZE LOCAL,2,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,2,KILOGRAM,,Improved variety is too expensive,
101011040171,ba80ea93057b4b60846a718aa75a7867,TOMATO,2,GRAM,,"YES, THE FIGURES MATCHED",NO,YES,3,,2,GRAM,,1,.a,On Foot,,0,3000,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Advice from fellow farmer,
101011040174,b2a52469c16347649b88eecc350011a3,TOMATO,10,GRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,10,RAM,,Preference for traditional variety,
101011040174,b2a52469c16347649b88eecc350011a3,ONION,50,GRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,YES,50,GRAM,,1,,On Foot,,0,NO,,,,Advice from fellow farmer,
101011060131,d18ae2ef2087438a9abcf791818c9702,BEANS,5,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,5,KILOGRAM,,Improved variety is too expensive,
101011060135,dd415f871ee34dfeb480dad92255e98a,BEANS,5,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,1,,5,KILOGRAM,,1,.a,On Foot,,0,2500,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Other (Specify),SAVE MONEY
101011060135,dd415f871ee34dfeb480dad92255e98a,TOMATO,2,GRAM,,"YES, THE FIGURES MATCHED",NO,YES,1,,2,KILOGRAM,,1,.a,On Foot,,0,250,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Advice from fellow farmer,
101011060135,dd415f871ee34dfeb480dad92255e98a,ONION,1,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,1,,1,KILOGRAM,,1,.a,On Foot,,0,400,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Advice from fellow farmer,
101021070182,cbedb68833024df59583648863d783c4,BEANS,1,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,1,KILOGRAM,,Improved variety is too expensive,
101021070182,cbedb68833024df59583648863d783c4,NKHWANI,250,GRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,250,RAM,,Preference for traditional variety,
101021080058,4ab5ca6c1cbe4d67b31b20f8667ca8a1,TOMATO,25,GRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,NO,,,,Advice from fellow farmer,
101021080085,16b4049444234703ad6191f7b6a349c8,TANAPOSI,25,GRAM,,"YES, THE FIGURES MATCHED",NO,YES,3,,25,GRAM,,1,2,Own Bicycle or Oxcart,,0,300,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Preference for traditional variety,
101031110113,ab22d2d88d25477097c3c0caf31e5c93,BEANS,1,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,1,KILOGRAM,,Preference for traditional variety,
101031110168,504c675b07b641c6a5565e53b2121e71,MAIZE HYBRID,1,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,YES,4,,1,KILOGRAM,,1,2,On Foot,,0,2000,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Advice from fellow farmer,
101031110168,504c675b07b641c6a5565e53b2121e71,BEANS,1,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,1,KILOGRAM,,Improved variety is too expensive,
101031110196,cbb2283e752d4978ad0512417e05e861,BEANS,5,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,5,KILOGRAM,,Preference for traditional variety,
101031120054,66cf87e1938d453896a46c6df26bf85b,BEANS,1,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,NO,,,,Advice from fellow farmer,
101031120054,66cf87e1938d453896a46c6df26bf85b,TOMATO,2,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,NO,,,,Advice from fellow farmer,
101031120119,6e2fc21caea341fe91732a9e875f2186,TOMATO,225,GRAM,,"YES, THE FIGURES MATCHED",NO,YES,5,,225,GRAM,,1,2,Own Bicycle or Oxcart,,0,4000,"Paid in full, with own-savings",,,,,NO,,,,,,,,,NO,,,,Advice from input supplier,
101031120176,122cc2640c494d16a7f68e81b72a350a,SWEET POTATO,1,OTHER SPECIFY,90 KG BAG,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,1,OTHER (SPECIFY),90 KG BAG,Preference for traditional variety,
101031120176,122cc2640c494d16a7f68e81b72a350a,PIGEONPEA(NANDOLO),10,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,10,KILOGRAM,,Preference for traditional variety,
101031130037,b358dd08cad64ae49782c4efed09d0f5,MAIZE HYBRID,3,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,3,KILOGRAM,,Preference for traditional variety,
101051140012,59e45439e8f44513940d067ebd824317,MAIZE LOCAL,1,KILOGRAM,,"YES, THE FIGURES MATCHED",NO,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,YES,1,KILOGRAM,,Improved variety is too expensive,
