"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS01QA","AS01Q01","AS01Q03","AS01Q06","AS01Q07","AS01Q08","AS01Q09","AS01Q10","AS01Q11","AS01QB","AS01Q01_02","AS01Q03_02","AS01Q12","AS01Q13","AS01Q14","AS01Q15","AS01Q16","AS01Q17A","AS01Q17B","AS01Q18","AS01QC","AS01Q01_03","AS01Q03_03","AS01Q19","AS01Q20","AS01Q21","AS01Q22","AS01Q23","AS01Q24","AS01Q25","AS01Q26","AS01Q27","AS01QD","AS01Q01_04","AS01Q03_04","AS01Q28","AS01Q29","AS01Q30","AS01Q31","AS01Q32","AS01Q33A","AS01Q33B","AS01Q34","AS01Q35","AS01QE","AS01Q01_05","AS01Q03_05","AS01Q36","AS01Q37","AS01Q38","AS01Q39","AS01Q40","AS01Q41","AS01Q42","AS01Q43","AS01QF","AS01Q01_06","AS01Q03_06","AS01Q44","AS01Q45","AS01Q46","AS01Q47","AS01Q48","PrimaryLast"
1,13,5,0,1,1,1,0,6340,0,1,10,1,1,1,1,,5,3,,,,,,1,1,1,,,,200000,3,3,2,,2,1,1,1,1,2,1,4,2,3,3,2,2,1,1,1,,,1,,,,,,1,1,1,,1,2,2010,1,1
1,13,5,0,2,1,2,0,2660,0,1,10,1,2,1,2,,5,3,,,,,,2,1,2,,,,200000,3,3,2,,2,2,1,2,1,2,1,7,,,,,,2,1,2,,,2,1,1,2,2,2,2,1,2,2,,,,,1
1,13,6,0,1,1,1,0,1894,0,1,15,1,1,1,1,,20,1,5,,,,2,1,1,1,1,1000000,100000,,3,2,2,,2,1,1,1,2,2,2,2,2,2,3,1,,1,1,1,,,1,,,,,,1,1,1,,98,1,2011,1,1
1,13,6,0,2,1,2,0,7238,0,1,15,1,2,1,2,,20,1,5,,,,2,2,1,2,1,2000000,150000,,3,2,2,,2,2,1,2,2,2,2,7,,,,,,2,1,2,,,2,1,2,2,2,1,2,1,2,2,,,,,1
1,13,7,0,1,1,1,0,3337,0,1,5,1,1,1,1,,1,3,,,,,,1,1,1,,,,75000,3,2,2,,2,1,1,1,2,2,2,2,2,3,3,1,,1,1,1,,,1,,,,,,1,1,1,,1,1,9998,2,1
1,13,7,0,2,1,2,0,4876,0,1,5,1,2,1,2,,1,3,,,,,,2,1,2,,,,0,3,2,2,,2,2,1,2,2,2,2,7,,,,,,2,1,2,,,2,1,0,2,2,2,2,1,2,2,,,,,1
1,13,10,0,1,1,1,1000,535,0,1,5,1,1,1,1,,1,5,,,,,,1,1,1,,,,,3,5,2,,2,1,1,1,2,2,2,2,2,1,4,1,,1,1,1,,,1,,,,,,1,1,1,,1,2,9998,2,1
1,13,10,0,2,1,2,400,172,0,1,5,1,2,1,2,,1,5,,,,,,2,1,2,,,,,3,5,2,,2,2,1,2,2,2,2,2,2,1,4,1,,2,1,2,,,1,,,,,,2,1,2,,1,2,9998,2,1
1,13,12,0,1,1,1,3840,2713,0,1,6,1,1,1,1,,98,1,5,,,,4,1,1,1,1,9999998,9999998,,3,5,2,,2,1,1,1,2,2,2,2,2,1,4,1,,1,1,1,,,1,,,,,,1,1,1,,98,1,0,2,1
1,13,12,0,2,1,2,2000,414,0,1,6,1,2,1,2,,98,1,5,,,,4,2,1,2,1,9999998,9999998,,3,5,2,,2,2,1,2,2,2,2,2,2,1,4,1,,2,1,2,,,1,,,,,,2,1,2,,98,1,0,2,1
1,13,12,0,3,1,3,1500,216,0,1,6,1,3,1,3,,98,1,5,,,,4,3,1,3,1,9999998,9999998,,3,5,2,,2,3,1,3,2,2,2,2,2,1,4,1,,3,1,3,,,1,,,,,,3,1,3,,98,1,0,2,1
1,13,12,0,4,1,4,12000,14727,0,1,6,1,4,1,4,,98,1,5,,,,4,4,1,4,1,9999998,9999998,,3,5,2,,2,4,1,4,2,2,2,7,,,,,,4,1,4,,,2,5,,,,,4,1,4,,,,,,1
1,13,14,0,1,1,1,2000,2746,0,1,5,1,1,1,1,,25,1,5,,,,4,1,1,1,2,1000000,100000,,3,2,1,2,2,1,1,1,2,2,2,2,2,4,3,1,,1,1,1,,,1,,,,,,1,1,1,,1,1,2004,1,1
1,13,14,0,2,1,2,1000,536,0,1,5,1,2,1,2,,25,1,5,,,,4,2,1,2,2,1000000,100000,,3,2,1,2,2,2,1,2,2,2,2,2,2,4,3,1,,2,1,2,,,1,,,,,,2,1,2,,1,1,2004,2,1
1,13,14,0,3,1,3,1000,723,0,1,5,1,3,1,3,,25,1,5,,,,4,3,1,3,2,1000000,100000,,3,2,1,2,2,3,1,3,2,2,2,2,2,4,3,1,,3,1,3,,,1,,,,,,3,1,3,,1,1,2004,2,1
1,13,14,0,4,2,1,0,0,1,1,25,2,4,2,1,3,3,1,5,,,,4,4,2,1,2,9999998,9999998,,1,2,2,,2,4,2,1,2,2,2,7,,,,,,4,2,1,,,2,1,1,2,2,2,4,2,1,2,,,,,1
1,13,14,2,1,1,1,3000,3724,1,1,10,1,1,1,1,,2,3,,,,,,1,1,1,,,,100000,3,5,2,,2,1,1,1,2,2,2,2,2,1,4,1,,1,1,1,,,1,,,,,,1,1,1,,1,2,9998,2,1
1,13,14,2,2,2,1,2000,0,2,1,20,2,2,2,1,3,4,5,,,,,,2,2,1,,,,,3,5,2,,2,2,2,1,2,2,2,2,2,1,4,1,,2,2,1,,,1,,,,,,2,2,1,,1,2,9998,2,1
1,13,17,0,1,1,1,1500,3307,1,1,15,1,1,1,1,,1,3,,,,,,1,1,1,,,,100000,3,5,2,,2,1,1,1,2,2,2,2,2,1,4,1,,1,1,1,,,1,,,,,,1,1,1,,8,2,9998,2,1
1,14,1,0,1,1,1,1250,1228,1,1,10,1,1,1,1,,1,5,,,,,,1,1,1,,,,,3,2,1,3,2,1,1,1,2,2,2,3,2,24,1,1,,1,1,1,,,1,,,,,,1,1,1,,1,2,0,2,1
1,14,1,0,2,1,2,1250,317,1,1,10,1,2,1,2,,1,5,,,,,,2,1,2,,,,,3,2,1,3,2,2,1,2,2,2,2,3,2,24,1,1,,2,1,2,,,1,,,,,,2,1,2,,1,2,0,2,1
1,14,1,0,3,1,3,1250,657,1,1,10,1,3,1,3,,1,5,,,,,,3,1,3,,,,,3,2,1,3,2,3,1,3,2,2,2,3,2,24,1,1,,3,1,3,,,1,,,,,,3,1,3,,1,2,0,2,1
1,14,1,0,4,1,4,1250,2798,1,1,10,1,4,1,4,,1,5,,,,,,4,1,4,,,,,3,2,1,3,2,4,1,4,2,2,2,3,2,24,1,1,,4,1,4,,,2,1,1,2,2,2,4,1,4,2,,,,,1
1,14,3,0,1,1,1,1058,1058,1,1,6,1,1,1,1,,1,5,,,,,,1,1,1,,,,,1,2,2,,2,1,1,1,2,2,2,3,2,24,1,1,,1,1,1,,,1,,,,,,1,1,1,,1,2,0,2,1
1,14,3,0,2,1,2,507,507,1,1,6,1,2,1,2,,1,5,,,,,,2,1,2,,,,,1,2,2,,2,2,1,2,2,2,2,3,2,24,1,1,,2,1,2,,,1,,,,,,2,1,2,,1,2,0,2,1
1,14,3,0,3,1,3,100,100,1,1,6,1,3,1,3,,1,5,,,,,,3,1,3,,,,,1,2,2,,2,3,1,3,2,2,2,3,2,24,1,1,,3,1,3,,,1,,,,,,3,1,3,,1,2,0,2,1
1,14,5,0,1,1,1,2000,1350,0,1,5,1,1,1,1,,1,5,,,,,,1,1,1,,,,,1,2,2,,2,1,1,1,2,2,2,3,2,4,2,2,2,1,1,1,,,1,,,,,,1,1,1,,1,2,9998,2,1
1,14,5,0,2,1,2,1000,965,0,1,5,1,2,1,2,,1,5,,,,,,2,1,2,,,,,1,2,2,,2,2,1,2,2,2,2,3,2,4,2,2,2,2,1,2,,,1,,,,,,2,1,2,,1,2,9998,2,1
1,14,5,0,3,1,3,2000,2685,0,1,5,1,3,1,3,,1,5,,,,,,3,1,3,,,,,1,2,2,,2,3,1,3,2,2,2,3,2,4,2,2,2,3,1,3,,,1,,,,,,3,1,3,,1,2,9998,2,1
1,14,6,0,1,1,1,625,1683,1,1,10,1,1,1,1,,8,5,,,,,,1,1,1,,,,,3,2,2,,2,1,1,1,2,2,2,3,2,0,3,2,2,1,1,1,,,2,5,,,,,1,1,1,,,,,,1
1,14,6,0,2,1,2,625,385,1,1,10,1,2,1,2,,8,5,,,,,,2,1,2,,,,,3,2,2,,2,2,1,2,2,2,2,3,2,1,3,2,2,2,1,2,,,1,,,,,,2,1,2,,1,1,0,1,1
1,14,6,0,3,1,3,625,1257,1,1,10,1,3,1,3,,8,5,,,,,,3,1,3,,,,,3,2,2,,2,3,1,3,2,2,2,3,2,1,3,2,2,3,1,3,,,1,,,,,,3,1,3,,1,1,0,1,1
1,14,6,0,4,1,4,625,1675,1,1,10,1,4,1,4,,8,5,,,,,,4,1,4,,,,,3,2,2,,2,4,1,4,2,2,2,3,2,1,3,2,2,4,1,4,,,1,,,,,,4,1,4,,1,1,0,1,1
1,14,7,0,1,1,1,1667,3269,0,1,15,1,1,1,1,,1,5,,,,,,1,1,1,,,,,3,2,2,,2,1,1,1,1,2,2,3,2,5,2,1,,1,1,1,,,1,,,,,,1,1,1,,7,1,0,1,1
1,14,7,0,2,2,1,1667,934,0,1,15,1,2,2,1,,1,5,,,,,,2,2,1,,,,,3,2,2,,2,2,2,1,1,1,2,2,3,5,2,1,,2,2,1,,,1,,,,,,2,2,1,,7,1,0,1,1
1,14,7,0,3,3,1,1667,797,0,1,15,1,3,3,1,,1,5,,,,,,3,3,1,,,,,3,2,2,,2,3,3,1,1,2,2,3,2,5,2,1,,3,3,1,,,1,,,,,,3,3,1,,7,1,0,1,1
1,14,9,0,1,1,1,2000,1637,0,1,15,1,1,1,1,,6,5,,,,,,1,1,1,,,,,3,2,2,,2,1,1,1,2,2,2,3,2,1,3,2,2,1,1,1,,,1,,,,,,1,1,1,,1,1,0,1,1
1,14,9,0,2,1,2,2000,1936,0,1,15,1,2,1,2,,6,5,,,,,,2,1,2,,,,,3,2,2,,2,2,1,2,2,2,2,3,2,1,3,2,2,2,1,2,,,1,,,,,,2,1,2,,1,1,0,1,1
1,14,9,0,3,1,3,2000,1427,0,1,15,1,3,1,3,,6,5,,,,,,3,1,3,,,,,3,2,2,,2,3,1,3,2,2,2,3,2,1,3,2,2,3,1,3,,,1,,,,,,3,1,3,,1,1,0,1,1
1,14,13,0,1,1,1,1000,1271,1,3,20,1,1,1,1,,12,5,,,,,,1,1,1,,,,,3,5,2,,2,1,1,1,1,2,2,3,1,1,3,2,2,1,1,1,,,1,,,,,,1,1,1,,1,1,0,2,1
