"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS02AQA","AS01Q01","AS01Q03","AS02AQ04","AS02AQ05","AS02AQ06A","AS02AQ06B","AS02AQ06C","AS02AQ06D","AS02AQ07A","AS02AQ07B","AS02AQ07C","AS02AQ07D","AS02AQB","AS02AQ01_02","AS02AQ03_02","AS02AQ08","AS02AQ09A","AS02AQ09B","AS02AQ09C","AS02AQ10A","AS02AQ10B","AS02AQ10C","AS02AQ11A","AS02AQ11B","AS02AQ11C","AS02AQ12A","AS02AQ12B","AS02AQ12C","AS02AQC","AS02AQ01_03","AS02AQ03_03","AS02AQ13A","AS02AQ13B","AS02AQ13C","AS02AQ14A","AS02AQ14B","AS02AQ14C","AS02AQ15A","AS02AQ15B","AS02AQ15C","AS02AQ16A","AS02AQ16B","AS02AQ16C","AS02AQD","AS02AQ01_04","AS02AQ03_04","AS02AQ17A","AS02AQ17B","AS02AQ18A","AS02AQ18B","AS02AQ19A","AS02AQ19B","AS02AQ20A","AS02AQ20B","AS02AQ21A","AS02AQ21B","AS02AQ22A","AS02AQ22B","AS02AQE","AS02AQ01_05","AS02AQ03_05","AS02AQ23A","AS02AQ23B","AS02AQ23C","AS02AQ23D","AS02AQ23E","AS02AQ24A","AS02AQ24B","AS02AQ24C","AS02AQ24D","AS02AQ24E","AS02AQ25","AS02AQ26","AS02AQ27","AS02AQ28","PrimaryLast"
1,13,1,0,1,1,1,1,91,2,,,,2,,,,1,1,1,2,1,1,3,2,,,2,,,2,,,1,1,1,1,2,9,2,,,2,,,2,,,1,1,1,1,7,90,,,,,,,,,,1,1,1,2,,,,,1,5,20,0,40000,2,,2,,1
1,13,1,0,2,1,2,1,1164,2,,,,2,,,,2,1,2,2,1,2,2,2,,,2,,,2,,,2,1,2,1,31,9,2,,,2,,,2,,,2,1,2,1,7,90,,,,,,,,,,2,1,2,2,,,,,2,,,,,2,,2,,1
1,13,1,0,3,1,3,1,1178,2,,,,2,,,,3,1,3,2,1,2,2,2,,,2,,,2,,,3,1,3,1,32,9,2,,,2,,,2,,,3,1,3,1,7,90,,,,,,,,,,3,1,3,2,,,,,2,,,,,2,,2,,1
1,13,1,0,4,1,4,1,1334,2,,,,2,,,,4,1,4,2,1,3,2,2,,,2,,,2,,,4,1,4,1,35,9,2,,,2,,,2,,,4,1,4,1,7,90,,,,,,,,,,4,1,4,2,,,,,2,,,,,2,,2,,1
1,13,3,0,1,1,1,1,3911,2,,,,2,,,,1,1,1,2,1,40,2,2,,,2,,,2,,,1,1,1,1,1,3,2,,,2,,,2,,,1,1,1,1,10,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,1,25000,1
1,13,4,0,1,1,1,1,1346,2,,,,2,,,,1,1,1,2,1,18,2,2,,,2,,,2,,,1,1,1,1,1,3,2,,,2,,,2,,,1,1,1,1,7,7,7,6,7,4,7,3,7,90,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,13,4,0,2,2,1,1,205,2,,,,2,,,,2,2,1,2,1,1,2,2,,,2,,,2,,,2,2,1,1,1,3,2,,,2,,,2,,,2,2,1,2,7,8,7,90,,,,,,,,2,2,1,2,,,,,2,,,,,2,,2,,1
1,13,4,0,3,2,2,1,73,2,,,,2,,,,3,2,2,2,1,2,2,2,,,2,,,2,,,3,2,2,1,1,3,2,,,2,,,2,,,3,2,2,1,7,8,7,6,7,4,7,3,7,90,,3,2,2,2,,,,,2,,,,,2,,2,,1
1,13,5,0,1,1,1,1,6340,2,,,,2,,,,1,1,1,1,2,,,2,,,1,8,3,2,,,1,1,1,2,,,1,5,3,2,,,2,,,1,1,1,2,7,90,,,,,,,,,,1,1,1,2,,,,,1,4,7,0,15000,2,,2,,1
1,13,6,0,1,1,1,1,1894,1,1,15,3,2,,,,1,1,1,2,1,5,1,2,,,2,,,2,,,1,1,1,1,1,3,2,,,2,,,2,,,1,1,1,1,3,7,3,90,,,,,,,,1,1,1,2,,,,,1,15,0,0,30000,2,,1,45000,1
1,13,7,0,1,1,1,1,3337,2,,,,2,,,,1,1,1,2,1,40,2,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,5,2,5,90,,,,,,,,1,1,1,2,,,,,1,3,0,0,15000,2,,1,45000,1
1,13,10,0,1,1,1,1,535,2,,,,2,,,,1,1,1,2,1,7,2,2,,,2,,,2,,,1,1,1,1,1,3,2,,,2,,,2,,,1,1,1,1,7,5,4,90,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,13,10,0,2,1,2,1,172,2,,,,2,,,,2,1,2,2,1,2,2,2,,,2,,,2,,,2,1,2,1,1,3,2,,,2,,,2,,,2,1,2,1,7,5,4,90,,,,,,,,2,1,2,2,,,,,2,,,,,2,,2,,1
1,13,12,0,1,1,1,1,2713,2,,,,2,,,,1,1,1,2,1,32,2,2,,,2,,,2,,,1,1,1,1,81,9,2,,,2,,,2,,,1,1,1,1,7,4,7,90,,,,,,,,1,1,1,2,,,,,1,22,0,0,45000,2,,2,,1
1,13,12,0,2,1,2,1,414,2,,,,2,,,,2,1,2,2,1,5,2,2,,,2,,,2,,,2,1,2,1,12,9,2,,,2,,,2,,,2,1,2,1,7,4,7,90,,,,,,,,2,1,2,2,,,,,1,4,0,0,7000,2,,2,,1
1,13,12,0,3,1,3,1,216,2,,,,2,,,,3,1,3,2,1,3,2,2,,,2,,,2,,,3,1,3,1,7,9,2,,,2,,,2,,,3,1,3,1,7,4,7,90,,,,,,,,3,1,3,2,,,,,1,2,0,0,4000,2,,2,,1
1,13,14,0,1,1,1,1,2746,1,1,10,1,1,2,15,1,1,1,1,2,1,50,1,2,,,1,50,1,2,,,1,1,1,1,1,3,2,,,2,,,2,,,1,1,1,6,14,90,,,,,,,,,,1,1,1,1,20,0,0,0,2,,,,,2,,1,15000,1
1,13,14,0,2,1,2,1,536,1,1,3,1,1,2,5,1,2,1,2,2,2,,,2,,,1,2,1,2,,,2,1,2,1,1,3,2,,,2,,,2,,,2,1,2,6,14,90,,,,,,,,,,2,1,2,1,20,0,0,0,2,,,,,2,,1,5000,1
1,13,14,0,3,1,3,1,723,1,1,3,1,2,,,,3,1,3,2,2,,,2,,,1,2,1,2,,,3,1,3,1,1,3,2,,,2,,,2,,,3,1,3,6,14,90,,,,,,,,,,3,1,3,1,20,0,0,0,2,,,,,2,,1,5000,1
1,13,14,2,1,1,1,1,3724,2,,,,2,,,,1,1,1,2,1,40,1,2,,,2,,,2,,,1,1,1,1,1,3,2,,,2,,,2,,,1,1,1,1,7,90,,,,,,,,,,1,1,1,2,,,,,1,8,0,0,16000,2,,2,,1
1,13,14,2,2,2,1,1,0,2,,,,2,,,,2,2,1,2,1,60,1,2,,,2,,,2,,,2,2,1,1,1,3,2,,,2,,,2,,,2,2,1,1,7,90,,,,,,,,,,2,2,1,2,,,,,1,10,0,0,20000,2,,2,,1
1,13,17,0,1,1,1,1,3307,2,,,,2,,,,1,1,1,2,1,4,2,2,,,2,,,2,,,1,1,1,1,1,3,2,,,2,,,2,,,1,1,1,8,7,90,,,,,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,14,1,0,1,1,1,1,12282,1,3,,,2,,,,1,1,1,2,1,1,3,1,1,3,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,1,30,6,30,7,30,90,,,,,,1,1,1,2,,,,,2,,,,,2,,2,,1
1,14,1,0,2,1,2,1,3171,1,3,,,2,,,,2,1,2,2,1,1,3,1,1,3,2,,,2,,,2,1,2,2,,,2,,,2,,,2,,,2,1,2,1,30,6,30,7,30,90,,,,,,2,1,2,2,,,,,2,,,,,2,,2,,1
1,14,1,0,3,1,3,1,5569,1,3,,,2,,,,3,1,3,2,1,1,3,1,1,3,2,,,2,,,3,1,3,2,,,2,,,2,,,2,,,3,1,3,1,30,6,30,7,30,90,,,,,,3,1,3,2,,,,,2,,,,,2,,2,,1
1,14,1,0,4,1,4,1,27978,1,3,,,2,,,,4,1,4,2,1,1,3,1,1,3,2,,,2,,,4,1,4,2,,,2,,,2,,,2,,,4,1,4,1,30,6,30,7,30,90,,,,,,4,1,4,2,,,,,2,,,,,2,,2,,1
1,14,3,0,1,1,1,1,1058,2,,,,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,2,,,2,,,2,,,2,,,1,1,1,7,7,90,,,,,,,,,,1,1,1,1,2,2,5,5000,2,,,,,2,,2,,1
1,14,3,0,2,1,2,1,507,2,,,,2,,,,2,1,2,2,2,,,2,,,2,,,2,,,2,1,2,2,,,2,,,2,,,2,,,2,1,2,7,4,90,,,,,,,,,,2,1,2,1,1,0,0,0,2,,,,,2,,2,,1
1,14,3,0,3,1,3,1,100,2,,,,2,,,,3,1,3,2,2,,,2,,,2,,,2,,,3,1,3,2,,,2,,,2,,,2,,,3,1,3,7,2,90,,,,,,,,,,3,1,3,1,0,0,0,0,2,,,,,2,,2,,1
1,14,5,0,1,1,1,1,1350,2,,,,2,,,,1,1,1,2,2,,,2,,,2,,,2,,,1,1,1,1,25,2,2,,,2,,,2,,,1,1,1,9,20,1,12,90,,,,,,,,1,1,1,1,3,0,0,1500,2,,,,,2,,2,,1
1,14,5,0,2,1,2,1,965,2,,,,2,,,,2,1,2,2,2,,,2,,,2,,,2,,,2,1,2,1,25,2,2,,,2,,,2,,,2,1,2,9,20,1,12,90,,,,,,,,2,1,2,1,3,0,0,1500,2,,,,,2,,2,,1
1,14,5,0,3,1,3,1,2685,2,,,,2,,,,3,1,3,2,2,,,2,,,2,,,2,,,3,1,3,1,0,2,2,,,2,,,2,,,3,1,3,9,20,1,12,90,,,,,,,,3,1,3,1,3,0,0,1500,2,,,,,2,,2,,1
1,14,6,0,1,1,1,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,1
1,14,6,0,2,1,2,1,385,1,4,4,3,2,,,,2,1,2,2,1,20,1,2,,,1,20,1,2,,,2,1,2,1,1,3,2,,,2,,,2,,,2,1,2,1,10,1,10,90,,,,,,,,2,1,2,1,20,0,0,10000,1,1,0,0,13750,2,,2,,1
1,14,6,0,3,1,3,1,1257,1,4,4,3,2,,,,3,1,3,2,2,,,2,,,1,20,1,2,,,3,1,3,1,1,3,2,,,2,,,2,,,3,1,3,1,10,1,10,90,,,,,,,,3,1,3,1,20,0,0,10000,1,1,0,0,13750,2,,2,,1
1,14,6,0,4,1,4,1,1675,1,4,4,3,2,,,,4,1,4,2,2,,,2,,,1,20,1,2,,,4,1,4,1,1,3,2,,,2,,,2,,,4,1,4,1,10,1,10,90,,,,,,,,4,1,4,1,20,0,0,10000,1,1,0,0,13750,2,,2,,1
1,14,7,0,1,1,1,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,1
1,14,7,0,2,1,2,1,934,1,4,15,1,1,2,25,1,2,1,2,2,1,1,1,2,,,1,5,1,2,,,2,1,2,2,,,1,25,3,2,,,2,,,2,1,2,1,7,7,7,4,7,90,,,,,,2,1,2,2,,,,,1,4,0,0,8000,2,,2,,1
1,14,7,0,3,1,3,1,797,1,4,15,1,1,2,25,1,3,1,3,2,1,1,1,2,,,1,5,1,2,,,3,1,3,2,,,1,25,3,2,,,2,,,3,1,3,1,8,7,8,4,8,90,,,,,,3,1,3,2,,,,,1,4,0,0,8000,2,,2,,1
