"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS01BQ00","AS01Q01","AS01Q03","AS02BQ04","AS02BQ05","AS02BQ06","AS02BQ07","AS02BQ08","AS02BQ09","AS02BQ10","AS02BQ11","AS02BQ12","AS02BQ13A","AS02BQ13B","AS02BQ14","AS02BQ15A","AS02BQ15B","PrimaryLast","PrimaryLast1"
1,13,14,2,2,2,1,1,"OIGNON",33,1,0,1,3,7,2,,,2,,,1,1
1,13,17,0,1,1,1,1,"OIGNON",33,1,3307,1,3,7,2,,,2,,,1,1
1,14,1,0,1,1,1,1,"MAIS",4,1,12282,3,1,7,2,,,2,,,1,1
1,14,1,0,2,1,2,1,"OIGNON",33,1,3171,3,1,7,2,,,2,,,1,1
1,14,1,0,3,1,3,1,"COURGE",35,1,6569,3,1,7,2,,,2,,,1,1
1,14,1,0,4,1,4,2,,,,,,,,,,,,,,1,1
1,14,3,0,1,1,1,1,"MAIS",4,1,1058,3,1,5,2,,,2,,,1,1
1,14,3,0,2,1,2,1,"COURGE",35,1,508,3,1,5,2,,,2,,,1,1
1,14,3,0,3,1,3,1,"MELON",25,1,100,3,1,5,2,,,2,,,1,1
1,14,5,0,1,1,1,1,"MAIS",34,1,1350,3,1,8,2,,,2,,,1,1
1,14,5,0,2,1,2,1,"OIGNON",33,1,965,3,1,8,2,,,2,,,1,1
1,14,5,0,3,1,3,1,"NIEBE",8,1,5000,3,1,8,2,,,2,,,1,1
1,14,6,0,1,1,1,2,,,,,,,,,,,,,,1,1
1,14,6,0,2,1,2,1,"MELON",25,1,385,3,1,5,2,,,2,,,1,1
1,14,6,0,3,1,3,1,"OIGNON",33,1,1257,3,1,5,2,,,2,,,1,1
1,14,6,0,4,1,4,1,"MAIS",4,1,1675,3,1,5,2,,,2,,,1,1
1,14,7,0,1,1,1,2,,,,,,,,,,,,,,1,1
1,14,7,0,2,1,2,1,"OIGNON",33,2,994,3,1,5,2,,,1,"MAIS",4,1,1
1,14,7,0,3,1,3,1,"MAIS",4,2,797,3,1,5,2,,,1,"OIGNON",33,1,1
1,14,9,0,1,1,1,2,,,,,,,,,,,,,,1,1
1,14,9,0,2,1,2,1,"OIGNON",33,1,1936,3,1,5,2,,,2,,,1,1
1,14,9,0,3,1,3,1,"COURGE ET COURG",35,2,1427,3,1,5,2,,,2,,,1,1
1,14,13,0,1,1,1,1,"MAIS",4,1,127,3,1,6,2,,,2,,,1,1
1,14,13,0,2,1,2,1,"OIGNON",33,1,374,3,1,7,2,,,2,,,1,1
1,14,13,0,3,1,3,1,"COURGE",35,1,1643,3,1,4,2,,,2,,,1,1
1,14,13,0,4,1,4,1,"COURGE",35,1,126,3,1,4,2,,,2,,,1,1
1,14,13,0,5,1,5,1,"MELON",25,1,23,3,1,4,2,,,2,,,1,1
1,14,15,0,1,1,1,2,,,,,,,,,,,,,,1,1
1,14,16,0,1,1,1,1,"MAIS",4,1,1371,4,1,6,2,,,1,"POMME DE TERRE",16,1,1
1,14,16,0,2,1,2,1,"OIGNON",33,1,375,3,1,6,2,,,1,"POMME DE TERRE",16,1,1
1,14,16,0,3,1,3,1,"MELON",25,1,446,3,1,6,2,,,1,"POMME DE TERRE",16,1,1
1,16,2,0,1,1,1,1,"OIGNON",33,1,583,1,5,8,2,,,1,"LAITUE",27,1,1
1,16,2,0,2,1,2,1,"POIVRON",17,1,372,1,4,7,2,,,1,"MAIS",4,1,1
1,16,2,0,3,1,3,1,"CHOU",28,1,165,3,1,8,2,,,1,"BLE",6,1,1
1,16,2,0,4,1,4,2,,,,,,,,,,,,,,1,1
1,16,3,0,1,1,1,1,"OIGNON",33,1,0,1,6,7,2,,,1,"LAITUE",27,1,1
1,16,3,0,2,1,2,1,"MAIS",4,1,0,1,5,5,2,,,1,"TOMATE",29,1,1
1,16,3,0,3,1,3,2,,,,,,,,,,,,,,1,1
1,16,5,0,1,1,1,1,"COURGE",35,1,1051,1,6,7,2,,,1,"OIGNON",33,1,1
1,16,5,0,2,1,2,2,,,,,,,,,,,,,,1,1
1,16,6,0,1,1,1,1,"OIGNON",33,1,1893,1,4,8,2,,,1,"CHOU",28,1,1
1,16,6,0,2,1,2,1,"MAIS",4,1,1429,1,6,7,2,,,1,"COUGRGE",35,1,1
1,16,6,0,3,1,3,2,,,,,,,,,,,,,,1,1
1,16,7,0,1,1,1,1,"OIGNON",33,2,0,1,5,6,2,,,1,"TOMATE",29,1,1
1,16,7,0,2,1,2,1,"MORINGA",48,2,0,1,5,6,2,,,1,"CHOU",28,1,1
1,16,7,0,3,1,3,1,"COURGE",35,2,0,1,5,6,2,,,1,"MAIS",4,1,1
1,16,8,0,1,1,1,1,"COURGE",35,1,648,2,3,8,2,,,1,"MAIS",4,1,1
1,16,8,0,2,1,2,1,"MAIS",4,1,511,1,6,8,2,,,1,"OIGNON",33,1,1
1,16,8,0,3,1,3,1,"GAMBO",11,1,452,2,3,8,2,,,1,"OIGNON",33,1,1
1,16,8,0,4,1,4,1,"MALOHIA",48,1,381,1,6,8,2,,,1,"OIGNON",33,1,1
1,16,8,0,5,1,5,1,"OIGNON",33,1,422,1,2,7,2,,,1,"MAIS",4,1,1
1,16,9,0,1,1,1,1,"OIGNON",33,1,3129,1,4,8,2,,,1,"MAIS",4,1,1
1,16,9,0,2,1,2,1,"MOUNYO",48,1,1408,2,3,8,2,,,2,,,1,1
1,16,9,0,3,1,3,1,"CHOU",28,1,1052,3,2,8,2,,,1,"BLE",6,1,1
1,16,9,0,4,1,4,1,"TOMATE",29,1,647,3,2,8,2,,,1,"BLE",6,1,1
1,16,10,0,1,1,1,1,"MAIS",4,1,684,1,5,7,2,,,1,"BLE",6,1,1
1,16,10,0,2,1,2,1,"OIGNON",33,1,1328,1,6,8,2,,,1,"MAIS",4,1,1
1,16,10,0,3,1,3,1,"COURGE",35,1,565,2,5,8,2,,,1,"OIGNON",33,1,1
1,16,10,0,4,1,4,1,"TOMATE",29,1,378,3,2,8,2,,,1,"MAIS",4,1,1
1,16,12,0,1,1,1,1,"OIGNON",33,1,1811,1,6,7,2,,,1,"BLE",6,1,1
1,16,12,0,2,1,2,1,"MOUGA",48,1,911,1,3,5,2,,,1,"TOMATE",29,1,1
1,16,12,0,3,1,3,1,"MALOYI",48,1,783,1,3,7,2,,,1,"MOUNGE",48,1,1
1,16,12,0,4,1,4,1,"CHOU",28,1,440,1,3,8,2,,,1,"MAIS",4,1,1
1,16,12,0,5,1,5,1,"SALADE",27,1,163,1,3,8,2,,,1,"OIGNON",33,1,1
1,16,13,0,1,1,1,1,"OIGNOON",33,1,17448,1,6,8,2,,,2,,,1,1
1,16,13,0,2,1,2,1,"MORINGA",48,1,542,1,3,8,2,,,2,,,1,1
1,16,17,0,1,1,1,1,"OIGNON",33,1,1675,1,2,7,2,,,2,,,1,1
1,16,17,0,2,1,2,1,"OIGNON",33,1,2813,1,2,7,2,,,2,,,1,1
1,16,17,0,3,1,3,1,"OIGNON",33,1,3445,1,2,7,2,,,2,,,1,1
1,17,1,0,1,1,2,1,"PASTEQUE",26,1,55,1,6,5,2,,,1,"OIGNON",33,1,1
1,17,1,0,2,1,3,1,"MAIS",4,1,57,1,6,5,2,,,1,"COURGE",35,1,1
1,17,1,0,3,1,4,1,"CHOUX",28,1,3,3,3,5,2,,,1,"SALADE",27,1,1
1,17,2,0,1,1,1,2,,,,,,,,,,,,,,1,1
1,17,2,0,2,2,1,1,"COURGETTE",35,1,118,1,6,5,2,,,1,"OIGNON",33,1,1
1,17,2,0,3,3,1,1,"GAMBO",11,1,110,1,6,5,2,,,1,"LAITER",27,1,1
1,17,3,0,1,1,1,1,"COURGETTE",48,1,28,1,6,5,2,,,1,"OIGNON",33,1,1
1,17,3,0,2,1,2,1,"GAMBO",11,1,28,1,6,5,2,,,1,"SALADE",27,1,1
1,17,3,0,3,1,3,2,,,,,,,,,,,,,,1,1
1,17,5,0,2,1,1,2,,,,,,,,,,,,,,1,1
1,17,5,0,1,1,1,1,"COURGETTE",35,1,0,2,4,5,2,,,1,"OIGNON",33,1,1
1,17,6,0,1,1,1,1,"GAMBO",11,2,999999,1,3,8,2,,,1,"OIGNON",33,1,1
1,17,8,0,1,1,1,1,"COURGE",35,1,1002,2,4,8,2,,,1,"TOMATE",29,1,1
1,17,10,0,1,1,1,2,,,,,,,,,,,,,,1,1
1,17,12,0,1,1,1,1,"COURGE",35,1,257,2,4,8,2,,,1,"MAIS",4,1,1
1,17,13,0,1,1,1,2,,,,,,,,,,,,,,1,1
1,17,17,0,1,1,1,2,,,,,,,,,,,,,,1,1
1,17,17,0,2,1,2,1,"NIEBE",8,2,1430,1,3,7,2,,,2,,,1,1
1,17,17,0,3,1,2,1,"GAMBO",11,2,1430,1,3,7,2,,,2,,,1,1
