"PASSAGE","GRAPPE","MENAGE","EXTENSION","MS00Q01","MS00Q02","MS00Q03A","MS00Q03B","MS00Q04A","MS00Q04B","MS00Q05","MS00Q06","MS00Q07","MS00Q08","MS00Q09","MS00Q10","MS00Q11","MS00Q12","MS00Q14","MS00Q15","MS00Q16","MS00Q17","MS00Q22","MS00Q23","MS00Q24","MS00Q25","MS00Q26","MS00Q59","MS00Q60","MS00Q61"
1,6,2,0,10,1,15092014,1210,15092014,1548,1,1,16092014,10,16092014,1,12,1295,26,2,2,1,5,3,1,1,1,2,2,2
1,6,3,0,10,1,15092014,1606,15092014,1901,1,1,16092014,10,16092014,1,12,1295,26,2,24,1,5,1,1,1,1,2,2,2
1,6,5,0,10,2,14092014,930,16092014,1000,1,1,15092014,10,17092014,1,12,1295,26,2,174,1,3,1,1,1,1,2,2,2
1,6,8,0,10,2,15092014,1620,16092014,1300,1,1,16092014,10,17092014,1,12,1295,26,2,240,1,10,3,1,1,1,2,2,2
1,6,9,0,10,3,16092014,830,16092014,2017,1,1,15092014,10,18092014,1,12,1295,26,2,264,1,12,4,2,1,1,2,2,2
1,6,10,0,10,3,15092014,1043,17092014,2056,1,1,18092014,10,18092014,1,12,1295,26,2,272,1,5,1,1,1,1,2,2,2
1,6,11,1,10,1,18092014,1612,18092014,1851,1,1,19092014,10,19092014,1,12,1295,26,2,285,1,6,1,1,1,1,2,2,2
1,6,12,0,10,3,14092014,1626,14092014,1910,1,1,15092014,10,17092014,1,12,1295,26,2,226,1,6,1,0,1,1,2,2,2
1,7,1,0,10,2,19092014,1007,19092014,1744,1,1,19092014,10,19092014,1,12,1295,39,2,32,1,4,1,2,1,2,2,2,2
1,7,2,0,10,3,18092014,826,18092014,1942,1,1,20092014,10,21092014,1,12,1295,39,2,57,1,6,2,2,1,1,1,2,1
1,7,3,0,10,2,20092014,812,20092014,1305,1,1,21092014,10,21092014,1,12,1295,39,2,77,1,9,2,0,1,1,2,2,2
1,7,4,0,10,1,20092014,810,20092014,1025,1,1,21092014,10,21092014,1,12,1295,39,2,99,1,8,1,2,1,1,2,2,2
1,7,5,1,10,2,21092014,1630,22092014,1020,1,1,22092014,10,22092014,1,12,1295,39,2,107,1,10,4,2,1,1,2,2,2
1,7,6,0,10,3,19092014,1017,19092014,1906,1,1,22092014,10,23092014,1,12,1295,39,2,141,1,8,3,1,1,1,1,2,1
1,7,7,0,10,1,20092014,1126,20092014,1831,1,1,21092014,10,21092014,1,12,1295,39,2,147,1,15,4,2,1,1,2,2,2
1,7,7,2,9,2,8112014,915,8112014,1040,1,1,9112014,9,9112014,1,11,1190,63,2,0,1,5,1,0,1,1,2,2,2
1,7,8,1,10,3,25102014,817,26102014,1010,1,1,27102014,10,27102014,1,12,1295,999,2,1,1,17,7,1,2,1,2,2,2
1,7,10,0,10,1,21092014,906,21092014,1246,1,1,21092014,10,21092014,1,12,1295,39,2,205,1,15,5,1,1,1,2,2,2
1,7,11,0,10,2,21092014,1000,21092014,1830,1,1,21092014,10,21092014,1,12,1295,39,2,240,1,15,6,0,1,1,2,2,2
1,7,12,0,10,3,21092014,830,22092014,1700,1,1,22092014,10,23092014,1,12,1295,39,2,261,1,8,1,2,1,1,2,2,2
1,8,1,0,1,2,31102014,1306,31102014,1456,1,1,31102014,1,31102014,1,11,1150,6,3,7,2,2,0,0,1,1,2,2,2
1,8,3,0,1,2,31102014,1710,31102014,1900,1,1,13102014,1,31102014,1,11,1150,6,3,52,2,7,1,4,1,1,2,2,2
