"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS01QA","AS01Q01","AS01Q03","AS01Q07","AS01Q08","AS01Q09","AS01Q10","AS01Q10A","AS01Q10B"
2,23,6,0,1,1,1,13505,0,1,5,1,2
2,23,18,0,1,1,1,0,3,1,30,1,1
2,24,3,0,3,1,3,9025,8,1,50,1,2
2,24,3,0,2,1,2,216,8,1,50,1,1
2,24,3,0,1,1,1,4241,8,1,50,1,1
2,24,7,0,1,1,1,8719,0,1,10,1,2
2,24,7,0,2,2,1,11915,0,1,10,1,2
2,24,12,0,1,1,1,345,0,1,10,1,1
2,24,16,0,1,1,1,0,15,1,120,1,1
2,24,16,0,2,2,1,0,13,1,120,1,1
2,25,12,0,2,1,2,56,0,1,0,1,1
2,25,12,0,1,1,1,794,0,1,0,1,1
2,25,12,0,3,1,3,815,0,1,0,1,1
2,25,13,0,1,1,1,13658,4,3,30,1,2
2,25,14,0,2,1,2,0,5,3,7,1,2
2,25,14,0,1,1,1,0,5,3,7,1,1
2,25,15,0,2,1,2,48,7,3,30,1,1
2,25,15,0,1,1,1,6783,7,3,30,1,1
2,25,15,0,3,1,3,6719,7,3,30,1,2
2,26,1,0,2,2,1,7040,0,3,2,1,2
2,26,1,0,1,1,1,4044,0,3,2,1,1
2,26,2,0,2,1,2,13998,2,1,20,1,2
2,26,2,0,1,1,1,1014,2,1,20,1,1
2,26,3,0,2,1,2,0,0,1,3,1,2
2,26,3,0,1,1,1,0,0,1,3,1,1
2,26,4,0,1,1,1,415,1,3,5,1,1
2,26,4,0,2,1,2,6433,1,3,5,1,2
2,26,6,0,2,1,2,28012,1,5,1,1,2
2,26,6,0,1,1,1,0,1,5,1,1,1
2,26,7,0,1,1,1,10216,1,1,20,1,1
2,26,10,0,3,2,1,2481,2,3,15,1,2
2,26,10,0,4,2,2,2592,2,3,15,1,1
2,26,10,0,1,1,1,2363,1,3,15,1,1
2,26,10,0,2,1,2,30165,1,3,15,1,2
2,26,11,0,2,1,2,2626,3,6,60,1,1
2,26,11,0,3,1,3,222,3,6,60,1,2
2,26,11,0,1,1,1,22550,3,6,60,1,1
2,26,12,0,1,1,1,106,4,1,30,1,1
2,26,15,0,1,1,1,402,8,1,30,1,1
2,26,16,0,1,1,1,15761,4,1,37,1,1
2,27,1,0,2,1,2,2020,5,1,30,1,1
2,27,1,0,1,1,1,1719,5,1,30,1,1
2,27,2,0,1,1,1,7136,2,1,30,1,1
2,27,3,0,1,1,1,12255,0,1,5,1,2
2,27,4,0,1,1,1,210,0,1,10,1,1
2,27,4,0,2,1,2,6924,0,1,10,1,1
2,27,5,0,1,1,1,2797,0,1,0,1,1
2,27,6,0,2,1,2,14811,0,2,5,1,2
2,27,6,0,1,1,1,3350,0,2,5,1,1
2,27,6,0,3,1,3,653,0,2,5,1,1
2,27,7,0,1,1,1,4763,0,1,8,1,2
2,27,8,0,2,1,2,7741,1,3,30,1,2
2,27,8,0,1,1,1,2802,1,3,30,1,1
2,27,13,0,3,1,3,1138,0,1,5,1,1
2,27,13,0,1,1,1,2203,0,1,5,1,1
2,27,13,0,2,1,2,1264,0,1,5,1,1
2,27,14,0,1,1,1,3650,1,1,20,1,1
2,27,14,0,2,1,2,5402,1,1,20,1,1
2,27,16,0,2,1,2,1811,2,1,45,1,1
2,27,16,0,1,1,1,4375,2,1,45,1,1
2,27,17,0,1,1,1,4223,0,1,10,1,1
2,30,6,0,1,1,1,0,60,3,120,1,1
2,30,8,0,1,1,1,0,0,4,2,2,2
2,38,1,0,2,2,1,2939,2,1,30,1,1
2,38,1,0,1,1,1,9307,2,1,30,1,1
2,38,2,0,2,2,1,3719,1,1,15,1,1
2,38,2,0,1,1,1,9836,1,1,15,1,1
2,38,3,0,1,1,1,11232,6,1,70,1,1
2,38,3,0,4,4,1,7302,6,1,70,1,1
2,38,3,0,2,2,1,8307,6,1,70,1,1
2,38,3,0,3,3,1,7302,6,1,70,1,1
2,38,4,0,1,1,1,262,7,1,30,1,1
2,38,4,0,2,2,1,397,7,1,30,1,1
2,38,5,0,1,1,1,22927,4,1,60,1,1
2,38,5,0,3,1,3,3344,4,1,60,1,1
2,38,5,0,2,1,2,1659,4,1,60,1,1
2,38,6,0,2,2,1,46000,1,1,15,1,1
2,38,6,0,1,1,1,7079,1,1,15,1,1
2,38,7,0,2,1,2,10129,5,1,45,1,1
2,38,7,0,3,2,1,3867,3,1,15,1,1
2,38,7,0,1,1,1,11307,5,1,45,1,1
2,38,8,0,2,1,2,8788,2,1,30,1,1
2,38,8,0,1,1,1,974,2,1,30,1,1
2,38,9,0,1,1,1,2891,4,1,30,1,1
2,38,10,0,3,2,1,0,3,1,35,1,1
2,38,10,0,2,1,2,905,3,1,35,1,1
2,38,10,0,4,2,2,0,3,1,35,1,1
2,38,10,0,1,1,1,2338,3,1,35,1,1
2,38,11,0,3,1,3,7892,4,1,50,1,1
2,38,11,0,1,1,1,16602,4,1,50,1,1
2,38,11,0,4,1,4,7892,4,1,50,1,1
2,38,11,0,2,1,2,16602,4,1,50,1,1
2,38,12,0,2,2,1,5511,1,1,15,1,1
2,38,12,0,1,1,1,4519,1,1,15,1,1
2,38,13,0,1,1,1,4598,5,1,60,1,1
2,38,13,0,3,1,3,1669,5,1,60,1,1
2,38,13,0,2,1,2,3174,5,1,60,1,1
2,38,14,0,2,2,1,3613,3,1,15,1,1
2,38,14,0,1,1,1,2056,3,1,15,1,1
2,38,14,0,3,3,1,3866,3,1,15,1,1
2,38,15,0,2,2,1,13214,2,1,30,1,1
2,38,15,0,1,1,1,3922,2,1,30,1,1
2,38,16,0,2,2,1,0,3,1,120,1,1
2,38,16,0,1,1,1,12095,5,1,75,1,1
2,38,16,0,3,3,1,0,3,1,120,1,1
2,38,17,0,2,2,1,0,2,1,20,1,1
2,38,17,0,3,3,1,11421,2,1,20,1,1
2,38,17,0,1,1,1,0,2,1,20,1,1
2,38,18,0,1,1,1,0,3,1,130,2,1
2,51,3,0,1,1,1,0,7,3,45,1,1
2,51,3,0,2,1,2,0,7,3,45,1,1
2,51,4,0,1,1,1,0,7,1,160,1,1
2,51,8,0,1,1,1,0,6,6,60,1,1
2,51,8,0,2,2,1,0,8,6,60,1,1
2,51,9,0,2,2,1,0,2,3,25,1,1
2,51,9,0,1,1,1,0,2,1,20,1,2
2,51,10,0,2,1,2,0,6,5,45,1,1
2,51,10,0,1,1,1,0,6,5,45,1,1
2,51,10,0,3,1,3,0,6,5,45,1,1
2,52,2,0,1,1,1,6875,3,1,30,1,1
2,52,3,0,1,1,1,12486,8,1,90,1,1
2,52,3,0,2,2,1,0,12,2,30,1,1
2,52,4,0,1,1,1,8619,3,3,5,1,1
2,52,9,0,1,1,1,7237,4,1,40,1,1
2,53,1,0,1,1,1,21452,7,1,60,1,1
