,plot_ID,cropCode,hhCultivated_dum,cropStand,plot_fullyCrop,plot_cropFrac,seeding_month,seeding_year,harvestStart_month,harvestEnd_month,season,wave,crop,field_ID,areaPlotReported,areaPlotReported_unit,areaPlotGPS,lastMajor_hhCultOwn_dum,lastMinor_hhCultOwn_dum,harvestStart_year,harvestEnd_year,lastMajor,lastMinor,lon,lat,hh_ID,region,district,ea_ID,tradAuthority_ID
9899,R02,peas,YES,MIXED STAND,YES,,NOVEMBER,2012.0,MARCH,MARCH,major,2013,peas,RG02,0.5,ACRE,1.1,YES,YES,,,,,35.241741,-15.648838,315330950061,South,Chiradzulu,31533095,NTCHEMA
9900,R03,sweet potato,YES,PURE STAND,,,JANUARY,2013.0,MARCH,MARCH,major,2013,sweet potato,RG03,0.75,ACRE,0.60000002,YES,YES,,,,,35.241741,-15.648838,315330950061,South,Chiradzulu,31533095,NTCHEMA
9901,R01,maize,YES,MIXED STAND,YES,,DECEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG01,0.5,ACRE,1.3,YES,YES,,,,,35.3423,-15.3824,314431080052,South,Zomba City,31443108,LIKANGALA WARD
9902,R01,pigeonpea,YES,MIXED STAND,NO,1/4,DECEMBER,2012.0,JULY,JULY,major,2013,pigeonpea,RG01,0.5,ACRE,1.3,YES,YES,,,,,35.3423,-15.3824,314431080052,South,Zomba City,31443108,LIKANGALA WARD
9903,R02,rice,YES,PURE STAND,,,JANUARY,2013.0,JULY,JULY,major,2013,rice,RG02,0.5,ACRE,0.40000001,YES,YES,,,,,35.3423,-15.3824,314431080052,South,Zomba City,31443108,LIKANGALA WARD
9904,R01,maize,YES,MIXED STAND,YES,,DECEMBER,2013.0,APRIL,APRIL,major,2013,maize,RG01,1.5,ACRE,0.89999998,YES,NO,,,,,35.3423,-15.3824,314431080099,South,Zomba City,31443108,CHIKOWI LIKANGALA WARD
9905,R01,pigeonpea,YES,MIXED STAND,YES,,DECEMBER,2013.0,JUNE,JUNE,major,2013,pigeonpea,RG01,1.5,ACRE,0.89999998,YES,NO,,,,,35.3423,-15.3824,314431080099,South,Zomba City,31443108,CHIKOWI LIKANGALA WARD
9906,R01,maize,YES,MIXED STAND,YES,,NOVEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG01,0.5,ACRE,0.60000002,YES,NO,,,,,35.22314,-15.592524,314431080168,South,Chiradzulu,31443108,MCHEMA
9907,R01,groundnut,YES,MIXED STAND,YES,,NOVEMBER,2012.0,APRIL,APRIL,major,2013,groundnut,RG01,0.5,ACRE,0.60000002,YES,NO,,,,,35.22314,-15.592524,314431080168,South,Chiradzulu,31443108,MCHEMA
9908,R01,pigeonpea,YES,MIXED STAND,YES,,NOVEMBER,2012.0,JUNE,JUNE,major,2013,pigeonpea,RG01,0.5,ACRE,0.60000002,YES,NO,,,,,35.22314,-15.592524,314431080168,South,Chiradzulu,31443108,MCHEMA
