Value;Category;Adm_level;;;
4503;dogofry;3;;;
4504;KALA SIGUIDA;3;;;
4505;mariko;3;;;
4506;nampalari;3;;;
4508;siribala;3;;;
4510;sokolo;3;;;
4512;YEREDON SANIONA;3;;;
4601;san;3;;;
4603;dah;3;;;
4604;dieli;3;;;
4605;dieli;3;;;
4607;fion;3;;;
4610;moribila;3;;;
4611;kava;3;;;
4616;niasso;3;;;
4618;siadougou;3;;;
4622;tene;3;;;
4623;teneni;3;;;
4701;tominian;3;;;
4704;fangasso;3;;;
4705;koula;3;;;
4706;lanfiala;3;;;
4707;mafoune;3;;;
4708;mandiakuy;3;;;
4710;sanekuy;3;;;
4711;timissa;3;;;
5101;mopti;3;;;
5103;konna;3;;;
5104;dialloube;3;;;
5105;fatoma;3;;;
5106;konna;3;;;
5107;korombana;3;;;
5109;kounari;3;;;
5113;sio;3;;;
5114;socoura;3;;;
5115;soye;3;;;
5202;BARA SARA;3;;;
5203;borko;3;;;
5205;diamnati;3;;;
5206;DOGANI BERE;3;;;
5207;doucombo;3;;;
5208;dourou;3;;;
5210;kendie;3;;;
5211;LOWOL GUEOU;3;;;
5212;metoumou;3;;;
5213;ondougou;3;;;
5215;pignari;3;;;
5216;PIGNARI BANA;3;;;
5217;sangha;3;;;
5218;SEGUE IRE;3;;;
5219;soroly;3;;;
5220;timniri;3;;;
5221;wadouba;3;;;
5301;bankass;3;;;
5302;baye;3;;;
5303;diallassagou;3;;;
5304;DIMBAL HABBE;3;;;
5305;KANI-BONZONI;3;;;
5308;ouonkoro;3;;;
5309;segue;3;;;
5310;sokoura;3;;;
5312;tori;3;;;
5403;derary;3;;;
5404;fakala;3;;;
5405;femaye;3;;;
5406;kewa;3;;;
5407;madiama;3;;;
5408;NEMA-BADENYAKAFO;3;;;
5409;niansanarie;3;;;
5410;OURO ALI;3;;;
5411;pondori;3;;;
5502;dallah;3;;;
5503;DANGOL-BORE;3;;;
5504;debere;3;;;
5505;dianwely;3;;;
5506;djaptodji;3;;;
5507;gandamia;3;;;
5509;hombori;3;;;
5511;korarou;3;;;
5512;KOUBEWEL KOUNDIA;3;;;
5513;mondoro;3;;;
5514;petaka;3;;;
5515;tedie;3;;;
5601;koro;3;;;
5602;bamba;3;;;
5606;dinangourou;3;;;
5607;dioungani;3;;;
5608;DOUGOUTENE I;3;;;
5609;DOUGOUTENE II;3;;;
5610;kassa;3;;;
5613;madougou;3;;;
5615;yoro;3;;;
5702;diafarabe;3;;;
5703;diaka;3;;;
5704;diondiori;3;;;
5705;kareri;3;;;
5707;OURO GUIRE;3;;;
5708;sougoulbe;3;;;
5709;TOGORO KOTIA;3;;;
5710;TOGUERE-COUMBE;3;;;
5801;youwarou;3;;;
5802;BIMBERE TAMA;3;;;
5803;deboye;3;;;
5804;dirma;3;;;
5805;dongo;3;;;
5806;farimake;3;;;
5807;N'DODJIGA;3;;;
6101;tombouctou;3;;;
6102;alafia;3;;;
6103;ber;3;;;
6104;BOUREM-INALY;3;;;
6105;lafia;3;;;
6106;salam;3;;;
6204;BOUREM SIDI AMAR;3;;;
6205;dangha;3;;;
6206;garbakoira;3;;;
6207;haibongo;3;;;
6210;sareyamou;3;;;
6212;tindirma;3;;;
6305;douekire;3;;;
