ea_id,com_ca01,com_ca02,com_ca06,com_ca07,com_ca07a,com_ca07b,com_ca07c,com_ca12,com_ca13,com_ca13a,com_ca13b,com_ca13c,com_ca17,com_ca18,com_ca19,com_ca20,com_ca21,com_ca22,com_ca23,com_ca24
10304012,Nkhatabay,4,20,29 Mar 10,29,3,2010,,,,,,yes,yes,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10304360,Nkhatabay,4,20,18 Jan 11,18,1,2011,29,20 Jan 11,20,1,2011,yes,no,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10304625,Nkhatabay,4,20,09 Oct 10,9,10,2010,29,09 Oct 10,9,10,2010,no,no,no,yes,yes,yes,BURNT BRICKS,grass
10305446,Nkhatabay,5,20,23 Aug 10,23,8,2010,29,04 Sep 10,4,9,2010,no,no,yes,yes,no,yes,BURNT BRICKS,grass
10306417,Nkhatabay,6,20,26 Jan 11,26,1,2011,29,27 Jan 11,27,1,2011,yes,no,yes,yes,no,yes,BURNT BRICKS,grass
10306431,Nkhatabay,6,20,16 Nov 10,16,11,2010,29,17 Nov 10,17,11,2010,no,no,yes,yes,yes,yes,BURNT BRICKS,grass
10307413,Nkhatabay,7,20,24 May 10,24,5,2010,29,05 Jun 10,5,6,2010,no,no,no,yes,no,no,BURNT BRICKS,grass
10308129,Nkhatabay,8,20,04 Dec 10,4,12,2010,29,09 Dec 10,9,12,2010,no,no,yes,yes,no,yes,BURNT BRICKS,grass
10308636,Nkhatabay,8,20,20 Sep 10,20,9,2010,29,22 Sep 10,22,9,2010,no,no,yes,yes,no,yes,BURNT BRICKS,grass
10309273,Nkhatabay,9,20,12 Mar 11,12,3,2011,29,16 Mar 11,16,3,2011,no,no,no,no,no,no,COMPACTED EARTH (YAMDINDO),grass
10309281,Nkhatabay,9,20,05 Nov 10,5,11,2010,29,10 Dec 10,10,12,2010,no,no,no,no,no,no,BURNT BRICKS,grass
10310469,Nkhatabay,10,20,07 Jun 10,7,6,2010,29,09 Jun 10,9,6,2010,no,no,yes,yes,no,no,MUD BRICK (UNFIRED),grass
10312048,Nkhatabay,12,20,01 Aug 10,1,8,2010,29,07 Aug 10,7,8,2010,no,no,yes,yes,no,yes,BURNT BRICKS,grass
10312078,Nkhatabay,12,20,20 Jan 11,20,1,2011,29,23 Jan 11,23,1,2011,no,no,yes,yes,no,no,BURNT BRICKS,grass
10312187,Nkhatabay,12,20,30 Nov 10,30,11,2010,29,06 Dec 10,6,12,2010,yes,no,yes,yes,no,yes,BURNT BRICKS,grass
10312600,Nkhatabay,12,20,24 Mar 10,24,3,2010,29,18 May 10,18,5,2010,no,no,no,no,no,yes,BURNT BRICKS,grass
10320227,Nkhatabay,20,20,20 Nov 10,20,11,2010,29,23 Nov 10,23,11,2010,yes,yes,yes,yes,yes,no,BURNT BRICKS,grass
10401140,Rumphi,1,20,01 Sep 10,1,9,2010,29,04 Sep 10,4,9,2010,yes,yes,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10401212,Rumphi,1,20,24 Sep 10,24,9,2010,29,24 Sep 10,24,9,2010,no,no,yes,yes,no,yes,BURNT BRICKS,IRON SHEETS
10401424,Rumphi,1,20,22 Oct 10,22,10,2010,29,23 Oct 10,23,10,2010,no,yes,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10401502,Rumphi,1,20,07 Apr 10,7,4,2010,29,05 Apr 10,5,4,2010,no,no,yes,yes,no,yes,BURNT BRICKS,grass
10401522,Rumphi,1,20,22 Sep 10,22,9,2010,29,24 Sep 10,24,9,2010,no,no,no,no,no,no,MUD BRICK (UNFIRED),grass
10401541,Rumphi,1,20,06 Mar 11,6,3,2011,29,09 Mar 11,9,3,2011,no,no,no,yes,no,yes,BURNT BRICKS,IRON SHEETS
