ea_id,com_ck00a,com_ck00c,com_ck00b1,com_ck00b2,com_ck00b3,com_ck00b3_os
10101706,"Clothes soap (Omo, Surf)",No,,,,
10101706,Vaseline/glycerin,Yes,70,50,Millilitre,
10101706,Aspirin or Panadol,Yes,10,2,Piece,
10101706,Fansidar (3 tablet packet),No,,,,
10101706,Chitenje cloth,Yes,350,1,Piece,
10101706,Trousers (kaunjika),Yes,300,,,
10101706,"Coca-Cola, Fanta (bottle)",Yes,80,,,
10101706,Carlsberg beer (bottle),Yes,140,,,
10101706,"Cigarettes, Embassy (packet)",Yes,200,,,
10101706,Battery (dry cell) for radio,Yes,50,,,
10101706,"Watch, digital (simple), plastic",Yes,120,,,
10101706,Firewood,Yes,50,1,Heap,
10101706,Charcoal,No,,,,
10101706,Paraffin,Yes,20,50,Millilitre,
10101706,Chemical fertilizer (mkt value),Yes,6200,50,Kilogram,
10101706,Pesticides/Insecticides (mkt value),Yes,250,200,Millilitre,
10101706,Herbicides/Fungicides (mkt value),No,,,,
10101706,Motorized transport of crop output (per 50kg),No,,,,
10101706,Hybrid maize seed (mkt value),Yes,400,1,Kilogram,
10101706,"Hand hoe, without handle",Yes,1500,,,
10101706,Panga,No,,,,
10101706,Sickle,Yes,120,,,
10101706,Axe,Yes,1000,,,
10101706,Bicycle,Yes,16000,,,
10101706,"Foam mattress (10 cm, single)",Yes,6000,,,
10101706,"Mosquito net (white, not treated)",No,,,,
10101706,"Ganyu wage, 1 day, adult male",No,,,,
10102004,Maize grain,Yes,500,1,Pail (Large),
10102004,"Maize flour (Gramil, Rab, or locally milled)",No,,,,
10102004,Cost to grind 50 kg bag of maize,Yes,250,,,
10102004,Cost to grind 50 kg bag of rice,Yes,300,,,
10102004,Rice,Yes,60,1,Kilogram,
10102004,White bread loaf (unsliced),No,,,,
10102004,Scone / Mandazi,Yes,20,1,Piece,
10102004,Beans,Yes,60,1,Kilogram,
10102004,Cabbage,Yes,70,1,Piece,
10102004,Tomatoes,Yes,20,1,Piece,
10102004,Banana,Yes,20,1,Piece,
10102004,Fresh milk (liquid),Yes,20,300,Millilitre,
10102004,Egg,Yes,20,1,Piece,
10102004,Chicken (live),Yes,500,1,Piece,
10102004,Dried fish (usipa),Yes,50,1,Piece,
10102004,Beef,Yes,350,1,Kilogram,
10102004,Tea leaves,Yes,20,10,Gram,
10102004,Salt,Yes,80,1,No. 10 Plate,
