case_id,ea_id,reside,hh_wgt,qx_type,hh_a01,hh_a02,hh_a02b,hh_a11,hh_a13,hh_a22_1,hh_a22_2,hh_a23_1,hh_a23a_1,hh_a23b_1,hh_a23c_1,hh_a23_2,hh_a23a_2,hh_a23b_2,hh_a23c_2,hh_a25_1,hh_a25_2,hh_a26_1,hh_a26a_1,hh_a26b_1,hh_a26c_1,hh_a26_2,hh_a26a_2,hh_a26b_2,hh_a26c_2,hh_a31_1,hh_a31_2,hh_a32_1,hh_a32a_1,hh_a32b_1,hh_a32c_1,hh_a32_2,hh_a32a_2,hh_a32b_2,hh_a32c_2,hh_a34_1,hh_a34_2,hh_a35_1,hh_a35a_1,hh_a35b_1,hh_a35c_1,hh_a35_2,hh_a35a_2,hh_a35b_2,hh_a35c_2,hh_g09,hh_m00,hh_o00,hh_s01,hh_w01,int_outcome_1,int_outcome_2
101012150022,10101215,rural,130.70599,Panel A,Chitipa,1,Mwabulambya,No,,11,11,11 May 10,11,5,2010,21 Sep 10,21,9,2010,10,10,13 May 10,13,5,2010,21 Sep 10,21,9,2010,19,19,03 Jun 10,3,6,2010,22 Sep 10,22,9,2010,5,5,24 Nov 10,24,11,2010,04 Jan 11,4,1,2011,Yes,Yes,Yes,No,No,Complete,Complete
101012150026,10101215,rural,130.70599,Panel A,Chitipa,1,Mwabulambya,No,,12,12,12 May 10,12,5,2010,21 Sep 10,21,9,2010,10,10,13 May 10,13,5,2010,21 Sep 10,21,9,2010,19,19,03 Jun 10,3,6,2010,22 Sep 10,22,9,2010,5,5,24 Nov 10,24,11,2010,04 Jan 11,4,1,2011,Yes,Yes,No,No,No,Complete,Complete
101012150028,10101215,rural,130.70599,Panel A,Chitipa,1,Mwabulambya,No,,14,14,12 May 10,12,5,2010,21 Sep 10,21,9,2010,10,10,19 May 10,19,5,2010,21 Sep 10,21,9,2010,19,19,03 Jun 10,3,6,2010,22 Sep 10,22,9,2010,5,5,24 Nov 10,24,11,2010,04 Jan 11,4,1,2011,No,Yes,Yes,No,No,Complete,Complete
101012150034,10101215,rural,130.70599,Panel A,Chitipa,1,Mwabulambya,No,,14,14,11 May 10,11,5,2010,21 Sep 10,21,9,2010,10,10,14 May 10,14,5,2010,21 Sep 10,21,9,2010,19,19,03 Jun 10,3,6,2010,22 Sep 10,22,9,2010,5,5,24 Nov 10,24,11,2010,04 Jan 11,4,1,2011,Yes,Yes,No,No,Yes,Complete,Complete
101012150038,10101215,rural,130.70599,Panel A,Chitipa,1,Mwabulambya,No,,13,13,12 May 10,12,5,2010,21 Sep 10,21,9,2010,10,10,17 May 10,17,5,2010,21 Sep 10,21,9,2010,19,19,02 Jun 10,2,6,2010,22 Sep 10,22,9,2010,5,5,23 Nov 10,23,11,2010,04 Jan 11,4,1,2011,No,Yes,No,No,No,Complete,Complete
101012150040,10101215,rural,130.70599,Panel A,Chitipa,1,Mwabulambya,No,,12,12,13 May 10,13,5,2010,21 Sep 10,21,9,2010,10,10,14 May 10,14,5,2010,21 Sep 10,21,9,2010,19,19,03 Jun 10,3,6,2010,22 Sep 10,22,9,2010,5,5,24 Nov 10,24,11,2010,04 Jan 11,4,1,2011,Yes,Yes,No,No,No,Complete,Complete
101012150045,10101215,rural,130.70599,Panel A,Chitipa,1,Mwabulambya,Yes,Dwelling found but appears unoccupied,13,13,11 May 10,11,5,2010,21 Sep 10,21,9,2010,10,10,14 May 10,14,5,2010,21 Sep 10,21,9,2010,19,19,02 Jun 10,2,6,2010,22 Sep 10,22,9,2010,5,5,23 Nov 10,23,11,2010,04 Jan 11,4,1,2011,No,Yes,No,Yes,No,Complete,Complete
101012150048,10101215,rural,130.70599,Panel A,Chitipa,1,Mwabulambya,No,,12,12,11 May 10,11,5,2010,21 Sep 10,21,9,2010,10,10,15 May 10,15,5,2010,21 Sep 10,21,9,2010,19,19,03 Jun 10,3,6,2010,22 Sep 10,22,9,2010,5,5,24 Nov 10,24,11,2010,04 Jan 11,4,1,2011,Yes,Yes,No,No,No,Complete,Complete
101012150049,10101215,rural,130.70599,Panel A,Chitipa,1,Mwabulambya,No,,13,13,13 May 10,13,5,2010,21 Sep 10,21,9,2010,10,10,14 May 10,14,5,2010,21 Sep 10,21,9,2010,19,19,02 Jun 10,2,6,2010,21 Sep 10,21,9,2010,5,5,23 Nov 10,23,11,2010,04 Jan 11,4,1,2011,No,Yes,No,No,No,Complete,Complete
101012150053,10101215,rural,130.70599,Panel A,Chitipa,1,Mwabulambya,No,,11,11,12 May 10,12,5,2010,21 Sep 10,21,9,2010,10,10,17 May 10,17,5,2010,21 Sep 10,21,9,2010,19,19,03 Jun 10,3,6,2010,22 Sep 10,22,9,2010,5,5,24 Nov 10,24,11,2010,04 Jan 11,4,1,2011,Yes,Yes,Yes,No,No,Complete,Complete
101012150059,10101215,rural,130.70599,Panel A,Chitipa,1,Mwabulambya,No,,14,14,12 May 10,12,5,2010,21 Sep 10,21,9,2010,10,10,16 May 10,16,5,2010,21 Sep 10,21,9,2010,19,19,03 Jun 10,3,6,2010,22 Sep 10,22,9,2010,5,5,24 Nov 10,24,11,2010,04 Jan 11,4,1,2011,No,Yes,No,No,No,Complete,Complete
101012150060,10101215,rural,130.70599,Panel A,Chitipa,1,Mwabulambya,No,,12,12,11 May 10,11,5,2010,21 Sep 10,21,9,2010,10,10,13 May 10,13,5,2010,21 Sep 10,21,9,2010,19,19,03 Jun 10,3,6,2010,22 Sep 10,22,9,2010,5,5,24 Nov 10,24,11,2010,04 Jan 11,4,1,2011,No,Yes,Yes,No,No,Complete,Complete
101012150074,10101215,rural,130.70599,Panel A,Chitipa,1,Mwabulambya,Yes,Dwelling found but appears unoccupied,14,14,13 May 10,13,5,2010,21 Sep 10,21,9,2010,10,10,14 May 10,14,5,2010,21 Sep 10,21,9,2010,19,19,03 Jun 10,3,6,2010,22 Sep 10,22,9,2010,5,5,24 Nov 10,24,11,2010,04 Jan 11,4,1,2011,Yes,Yes,No,No,No,Complete,Complete
101012190012,10101219,rural,134.10271,Cross-Section,Chitipa,1,Mwabulambya,No,,11,,28 Feb 11,28,2,2011,,,,,10,,01 Mar 11,1,3,2011,,,,,19,,01 Mar 11,1,3,2011,,,,,6,,12 Apr 11,12,4,2011,,,,,No,Yes,No,No,No,Complete,
101012190018,10101219,rural,134.10271,Cross-Section,Chitipa,1,Mwabulambya,No,,11,,27 Feb 11,27,2,2011,,,,,10,,28 Feb 11,28,2,2011,,,,,19,,01 Mar 11,1,3,2011,,,,,6,,12 Apr 11,12,4,2011,,,,,No,Yes,No,No,No,Complete,
101012190025,10101219,rural,134.10271,Cross-Section,Chitipa,1,Mwabulambya,No,,11,,28 Feb 11,28,2,2011,,,,,10,,28 Feb 11,28,2,2011,,,,,19,,01 Mar 11,1,3,2011,,,,,6,,12 Apr 11,12,4,2011,,,,,Yes,Yes,Yes,No,No,Complete,
101012190032,10101219,rural,134.10271,Cross-Section,Chitipa,1,Mwabulambya,No,,11,,27 Feb 11,27,2,2011,,,,,10,,28 Feb 11,28,2,2011,,,,,19,,01 Mar 11,1,3,2011,,,,,6,,12 Apr 11,12,4,2011,,,,,No,Yes,No,No,No,Complete,
101012190045,10101219,rural,134.10271,Cross-Section,Chitipa,1,Mwabulambya,No,,24,,28 Feb 11,28,2,2011,,,,,10,,01 Mar 11,1,3,2011,,,,,19,,01 Mar 11,1,3,2011,,,,,6,,12 Apr 11,12,4,2011,,,,,No,Yes,Yes,No,No,Complete,
101012190052,10101219,rural,134.10271,Cross-Section,Chitipa,1,Mwabulambya,No,,24,,28 Feb 11,28,2,2011,,,,,10,,01 Mar 11,1,3,2011,,,,,19,,01 Mar 11,1,3,2011,,,,,6,,12 Apr 11,12,4,2011,,,,,Yes,Yes,Yes,No,No,Complete,
101012190059,10101219,rural,134.10271,Cross-Section,Chitipa,1,Mwabulambya,No,,24,,27 Feb 11,27,2,2011,,,,,10,,28 Feb 11,28,2,2011,,,,,19,,01 Mar 11,1,3,2011,,,,,6,,12 Apr 11,12,4,2011,,,,,No,Yes,Yes,No,No,Complete,
101012190065,10101219,rural,134.10271,Cross-Section,Chitipa,1,Mwabulambya,No,,24,,27 Feb 11,27,2,2011,,,,,10,,28 Feb 11,28,2,2011,,,,,19,,01 Mar 11,1,3,2011,,,,,6,,12 Apr 11,12,4,2011,,,,,No,Yes,No,No,No,Complete,
101012190079,10101219,rural,134.10271,Cross-Section,Chitipa,1,Mwabulambya,No,,13,,28 Feb 11,28,2,2011,,,,,10,,01 Mar 11,1,3,2011,,,,,19,,02 Mar 11,2,3,2011,,,,,6,,13 Apr 11,13,4,2011,,,,,No,Yes,No,No,No,Complete,
101012190086,10101219,rural,134.10271,Cross-Section,Chitipa,1,Mwabulambya,No,,13,,27 Feb 11,27,2,2011,,,,,10,,28 Feb 11,28,2,2011,,,,,19,,02 Mar 11,2,3,2011,,,,,6,,13 Apr 11,13,4,2011,,,,,No,Yes,No,No,No,Complete,
101012190092,10101219,rural,134.10271,Cross-Section,Chitipa,1,Mwabulambya,No,,13,,27 Feb 11,27,2,2011,,,,,10,,28 Feb 11,28,2,2011,,,,,19,,02 Mar 11,2,3,2011,,,,,6,,13 Apr 11,13,4,2011,,,,,No,Yes,No,No,No,Complete,
101012190099,10101219,rural,134.10271,Cross-Section,Chitipa,1,Mwabulambya,No,,13,,28 Feb 11,28,2,2011,,,,,10,,02 Mar 11,2,3,2011,,,,,19,,02 Mar 11,2,3,2011,,,,,6,,12 Apr 11,12,4,2011,,,,,No,Yes,Yes,No,No,Complete,
