ea_id,com_cd01,com_cd02a,com_cd02b,com_cd03,com_cd04,com_cd05,com_cd06,com_cd07a,com_cd07b,com_cd08a,com_cd08b,com_cd09,com_cd10a,com_cd10b,com_cd11,com_cd12,com_cd13a,com_cd13b,com_cd13c,com_cd14,com_cd15,com_cd16a,com_cd16b,com_cd17,com_cd18a,com_cd18b,com_cd19,com_cd20a,com_cd20b,com_cd21,com_cd22a,com_cd22b,com_cd23,com_cd24a,com_cd24b,com_cd25,com_cd26,com_cd27a,com_cd27b,com_cd28,com_cd29,com_cd30,com_cd31,com_cd32,com_cd33,com_cd34,com_cd35,com_cd36a,com_cd36b,com_cd37,com_cd38,com_cd39,com_cd40a,com_cd40b,com_cd41,com_cd42,com_cd43,com_cd44,com_cd45,com_cd46,com_cd47,com_cd48,com_cd49a,com_cd49b,com_cd50,com_cd51a,com_cd51b,com_cd52,com_cd53,com_cd54,com_cd55,com_cd56,com_cd57,com_cd58,com_cd59,com_cd60a,com_cd60b,com_cd61,com_cd62,com_cd63,com_cd64,com_cd65a,com_cd65b,com_cd65c,com_cd65d,com_cd65e,com_cd65f,com_cd65g,com_cd66,com_cd67a,com_cd67b,com_cd68,com_cd69a,com_cd69b,com_cd70,com_cd71
21087531,DIRT ROAD (MAINTAINED),50,meter,yes,12,12,yes,,,5,minute,yes,,,,yes,,,,,yes,,,yes,,,no,5,km,no,2,km,yes,,,1,1,1,km,52,4200,yes,,no,,,yes,1,km,45,936,yes,3,km,13,200,no,0,0,0,0,yes,,,no,2,km,,,,no,yes,female,no,no,2,km,RELIGIOUS FACILITY,yes,0,yes,,,,,,,,no,5,km,no,5,km,no,no
21087736,TAR/ASPHALT,0,meter,yes,12,12,yes,,,2,minute,yes,,,,yes,,,,,yes,,,yes,,,no,7,km,no,3,km,yes,,,30,10,0,km,59,4981,yes,,no,,,yes,0,km,52,998,yes,0,km,12,580,no,0,0,5,2,yes,,,no,5,km,,,,no,yes,male,yes,yes,5,km,GOVERNMENT FACILITY,no,,yes,,,,,,,,no,5,km,no,5,km,no,no
21088597,DIRT ROAD (MAINTAINED),250,meter,yes,0,12,no,350,meter,10,minute,yes,,,,yes,,,,,no,500,meter,no,500,meter,no,7,km,no,2,km,no,500,meter,3,0,2,meter,15,1171,yes,,yes,1/2,COOKED FOOD,no,3,km,16,196,yes,7,km,18,302,no,0,0,0,0,yes,,,yes,,,ALWAYS AVAILABLE,PRIVATE FACILITY,yes,no,yes,female,yes,no,2,km,PRIVATE FACILITY,yes,0,yes,no,no,yes,yes,yes,2,,no,7,km,no,7,km,no,no
30101280,DIRT ROAD (MAINTAINED),6,km,yes,12,12,yes,,,30,minute,no,10,km,200,no,165,km,zomba,600,no,10,km,no,10,km,no,10,km,no,10,km,yes,,,3,9,0,km,6,700,yes,,no,,,no,10,km,7,999,no,37,km,37,999,no,0,0,0,0,no,10,km,no,37,km,,,,no,,,,,37,km,GOVERNMENT FACILITY,no,,no,,,,,,,,no,10,km,no,10,km,no,no
30101545,DIRT ROAD (MAINTAINED),38,km,no,8,8,yes,,,40,minute,yes,,,,no,161,km,zomba,1100,yes,,,yes,,,no,72,km,yes,,,yes,,,0,4,3,km,16,2000,yes,,no,,,no,27,km,6,999,no,17,km,12,999,no,0,0,0,0,yes,,,no,20,km,,,,no,,,,,20,km,GOVERNMENT FACILITY,no,,no,,,,,,,,no,38,km,no,38,km,no,no
30101552,TAR/ASPHALT,0,,yes,12,12,yes,,,4,hour,no,25,km,150,no,161,km,zomba,850,yes,,,yes,,,no,7,km,no,25,km,no,25,km,3,2,0,,14,1142,yes,,yes,ALMOST ALL,COOKED FOOD,no,25,km,24,350,yes,6,km,9,390,no,0,0,0,1,yes,,,no,5,km,,,,no,,,,,25,km,GOVERNMENT FACILITY,no,,yes,no,no,no,no,yes,2,,no,25,km,no,25,km,no,no
30102028,GRADED GRAVELED,28,km,yes,6,6,no,37,km,10,hour,no,76,km,1200,no,221,km,zomba,2000,no,1,km,yes,,,yes,,,no,37,km,yes,,,7,10,1,km,8,1021,no,10,no,,,no,15,km,12,999,no,37,km,10,999,no,0,0,0,0,yes,,,no,4,km,,,,yes,,,,,37,km,GOVERNMENT FACILITY,no,,yes,no,no,yes,yes,yes,1,DIGGING THEIR GARDENS,no,37,km,no,37,km,no,no
30102540,DIRT ROAD (MAINTAINED),32,km,no,0,0,no,10,km,1,hour,no,74,km,700,no,120,km,zomba,950,no,20,km,no,20,km,no,20,km,no,20,km,no,20,km,5,1,0,,6,668,yes,,no,,,no,75,km,24,339,yes,6,km,8,200,yes,0,0,0,0,yes,,,no,6,km,,,,no,yes,male,yes,no,40,km,GOVERNMENT FACILITY,no,,yes,no,no,no,no,yes,2,,no,40,km,no,40,km,no,no
30102632,TAR/ASPHALT,0,,yes,12,12,yes,,,5,hour,no,11,km,150,no,67,km,zomba,800,no,3,km,no,3,km,no,11,km,no,11,km,no,11,km,0,3,0,,14,882,no,3,no,,,no,11,km,24,340,yes,4,km,9,310,no,0,1,0,0,no,0,,yes,,,ALWAYS AVAILABLE,RELIGIOUS FACILITY,yes,yes,yes,female,yes,no,11,km,GOVERNMENT FACILITY,no,,yes,no,no,no,no,yes,2,,no,11,km,no,11,km,no,no
30102641,DIRT ROAD (MAINTAINED),10,km,no,8,8,no,10,km,6,hour,no,58,mile,350,no,148,km,blantyre,1000,no,10,km,no,10,km,no,10,km,no,13,km,no,13,km,12,1,0,,3,540,no,3,no,,,no,35,km,16,560,yes,10,km,14,480,yes,0,0,0,0,yes,,,no,12,km,,,,no,,,,,48,km,GOVERNMENT FACILITY,no,,no,,,,,,,,no,58,km,no,58,km,no,no
