"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS02EQ01","AS02EQ03","AS02EQ0","AS02EQ04","AS02EQ05","CULTURE","AS02EQ06A","AS02EQ06B","AS02EQ07A","AS02EQ07B","AS02EQ07C","AS02EQ07D","AS02EQH","AS02EQ0A","AS02EQ07E","AS02EQ07F","AS02EQ08","AS02EQ09","AS02EQ10","AS02EQ0C"
2,94,15,0,3,1,6,1,"MIL",1,10,11,185,5,518,1,6,3,,,2,,,1
2,94,15,0,3,1,7,1,"SORGHO",2,0,,,,,,7,3,0,1,1,100,3,1
2,94,15,0,4,1,8,1,"MIL",1,10,11,280,5,784,1,8,4,,,2,,,1
2,94,15,0,4,1,9,1,"SORGHO",2,10,11,5,5,14,1,9,4,,,2,,,1
2,94,15,0,4,1,10,1,"NIEBE",8,0,,,,,,10,4,0,1,1,100,3,1
2,94,15,0,5,1,11,1,"MIL",1,10,11,30,5,84,1,11,5,,,2,,,1
2,94,15,0,5,1,12,1,"SORGHO",2,10,11,30,5,81,1,12,5,,,2,,,1
2,94,15,0,5,1,13,1,"NIEBE",8,0,,,,,,13,5,0,1,1,100,3,1
2,94,15,0,6,1,14,1,"MIL",1,10,11,90,5,252,1,14,6,,,2,,,1
2,94,15,0,6,1,15,1,"SORGHO",2,0,,,,,,15,6,0,1,1,100,3,1
2,94,15,0,6,1,16,1,"NIEBE",8,0,,,,,,16,6,0,1,2,,,1
2,94,15,0,7,1,17,1,"MIL",1,10,11,90,5,252,1,17,7,,,1,100,3,1
2,94,15,0,7,1,18,1,"SORGHO",2,0,,,,,,18,7,0,1,1,100,3,1
2,94,15,0,8,1,19,1,"MIL",1,10,11,180,5,504,1,19,8,,,2,,,1
2,94,15,0,8,1,20,1,"SORGHO",2,0,,,,,,20,8,0,1,1,100,3,1
2,94,15,0,8,1,21,1,"NIEBE",8,0,,,,,,21,8,0,1,1,200,3,1
2,94,15,0,9,1,22,1,"MIL",1,10,11,80,5,224,1,22,9,,,2,,,1
2,94,15,0,9,1,24,1,"SORGHO",2,0,,,,,,24,9,0,1,1,100,3,1
2,94,15,0,9,1,23,1,"NIEBE",8,0,,,,,,23,9,0,1,1,100,3,1
2,94,16,0,1,1,1,1,"MIL",1,10,10,25,5,500,1,1,1,,,2,,,1
2,94,16,0,1,1,3,1,"SORGHO",2,12,12,15,5,15,1,3,1,,,1,70,3,1
2,94,16,0,1,1,2,1,"NIEBE",8,11,11,20,5,60,1,2,1,,,2,,,1
2,94,16,0,2,1,4,1,"MIL",1,10,10,11,5,130,1,4,2,,,1,40,3,1
2,94,16,0,2,1,6,1,"SORGHO",2,12,12,20,5,20,1,6,2,,,1,65,3,1
2,94,16,0,2,1,5,1,"NIEBE",8,12,12,22,5,66,1,5,2,,,2,,,1
2,94,16,0,3,1,7,1,"MIL",1,10,10,20,5,50,1,7,3,,,1,50,3,1
2,94,16,0,3,1,9,1,"SORGHO",2,12,12,5,5,5,1,9,3,,,1,63,3,1
2,94,16,0,3,1,8,1,"NIEBE",8,0,,,,,,8,3,0,1,1,100,3,1
2,94,16,0,3,1,10,1,"ARACHIDE",10,0,,,,,,10,3,0,1,1,100,3,1
2,94,16,0,4,1,11,1,"MIL",1,10,10,75,5,150,1,11,4,,,1,10,3,1
2,94,16,0,4,1,13,1,"SORGHO",2,12,12,15,5,15,1,13,4,,,1,50,3,1
2,94,16,0,4,1,12,1,"NIEBE",8,12,12,10,5,30,1,12,4,,,1,50,3,1
2,94,17,0,1,1,1,1,"MIL",1,10,11,125,5,350,1,1,1,,,2,,,1
2,94,17,0,1,1,2,1,"NIEBE",8,10,11,1,5,3,1,2,1,,,2,,,1
2,94,17,0,2,1,3,1,"MIL",1,10,11,130,5,364,1,3,2,,,2,,,1
2,94,17,0,2,1,5,1,"SOTGHO",2,10,11,5,5,14,1,5,2,,,2,,,1
2,94,17,0,2,1,4,1,"NIEBE",8,10,11,4,5,11,1,4,2,,,2,,,1
2,94,17,0,3,1,6,1,"MIL",1,10,11,60,5,168,1,6,3,,,2,,,1
2,94,17,0,3,1,8,1,"SORGHO",2,10,11,5,5,14,1,8,3,,,2,,,1
2,94,17,0,3,1,7,1,"NIEBE",8,10,11,3,5,8,1,7,3,,,2,,,1
2,94,18,0,1,1,1,1,"MIL",1,10,11,165,5,462,1,1,1,,,2,,,1
2,94,18,0,1,1,2,1,"SORGHO",2,10,11,15,5,41,1,2,1,,,2,,,1
2,94,18,0,1,1,3,1,"NIEBE",8,0,,,,,,3,1,0,1,1,100,3,1
2,94,18,0,2,1,4,1,"MIL",1,10,11,135,5,378,1,4,2,,,2,,,1
2,94,18,0,2,1,5,1,"SORGHO",2,10,11,5,5,14,1,5,2,,,2,,,1
2,94,18,0,2,1,6,1,"NIEBE",8,0,,,,,,6,2,0,1,1,100,3,1
2,94,18,0,3,1,7,1,"MIL",1,10,11,55,5,154,1,7,3,,,2,,,1
2,94,18,0,3,1,8,1,"SORGHO",2,10,11,5,5,14,1,8,3,,,2,,,1
2,94,18,0,3,1,9,1,"NIEBE",8,10,11,7,5,19,1,9,3,,,2,,,1
2,94,18,0,4,1,10,1,"MIL",1,10,11,55,5,154,1,10,4,,,2,,,1
2,94,18,0,4,1,11,1,"SORGHO",2,10,11,10,5,27,1,11,4,,,2,,,1
2,94,18,0,4,1,12,1,"NIEBE",8,10,11,9,5,24,1,12,4,,,2,,,1
2,94,18,0,5,1,13,1,"MIL",1,10,11,75,5,210,1,13,5,,,2,,,1
2,94,18,0,5,1,14,1,"SORGHO",2,10,11,20,5,54,1,14,5,,,2,,,1
2,94,18,0,5,1,15,1,"NIEBE",8,10,11,17,5,46,1,15,5,,,2,,,1
2,94,18,0,6,1,16,1,"MIL",1,10,11,65,5,182,1,16,6,,,2,,,1
2,94,18,0,6,1,17,1,"SORGHO",2,10,11,15,5,41,1,17,6,,,2,,,1
